FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster
6332.0,13832.0,1831.0,3614.0,12543.0,13262.0,15835,17229,37592.0,36713.0,5726.0,13937.0,30.8,2
19496.0,35147.0,4006.0,7286.0,110.0,78.0,134,73,29699.0,27419.0,18481.0,23443.0,31.1,1
4377.0,7665.0,686.0,1782.0,28248.0,31024.0,41517,45084,46729.0,45816.0,20675.0,23443.0,31.4,2
15076.0,22883.0,4073.0,6801.0,4674.0,4726.0,6220,6236,21424.0,20277.0,5941.0,4877.0,31.5,0
3155.0,18411.0,770.0,3009.0,1440.0,3520.0,2120,4894,6459.0,14673.0,380.0,1806.0,31.6,3
108499.0,159884.0,15855.0,25043.0,240.0,360.0,0,54,86093.0,79031.0,85081.0,69062.0,31.9,1
5991.0,15875.0,2576.0,4881.0,2745.0,3220.0,3276,3750,9738.0,10787.0,1625.0,1744.0,31.9,3
3568.0,9360.0,734.0,3595.0,2739.0,3639.0,3891,4781,8708.0,10839.0,85.0,1274.0,32.0,3
9744.0,23130.0,1038.0,2543.0,6048.0,6962.0,8860,9758,21860.0,23133.0,1859.0,5609.0,32.5,2
7365.0,15943.0,2528.0,5157.0,4025.0,3621.0,6023,6163,17897.0,18766.0,1985.0,2960.0,32.8,0
6402.0,18190.0,2413.0,3622.0,3376.0,3886.0,4596,4957,13296.0,14412.0,1126.0,2579.0,32.8,0
46296.0,69846.0,80017.0,127531.0,9111.0,8677.0,4634,4214,11161.0,10797.0,641.0,645.0,33.1,0
2207.0,7256.0,999.0,2983.0,2555.0,3327.0,3605,4783,10195.0,12927.0,437.0,1507.0,33.2,3
1374.0,7725.0,436.0,3367.0,829.0,2120.0,714,2319,2297.0,7152.0,121.0,10.0,33.2,3
12100.0,17018.0,4334.0,5531.0,4391.0,4461.0,6056,5754,21504.0,19023.0,4553.0,5594.0,33.2,0
19968.0,37811.0,2737.0,4124.0,3185.0,3262.0,4931,4998,15645.0,14568.0,4392.0,5052.0,33.3,0
3033.0,10684.0,386.0,1433.0,3158.0,3212.0,3788,3918,10112.0,10213.0,1260.0,1469.0,33.7,3
3328.0,13125.0,1297.0,3890.0,2053.0,2566.0,2637,3417,6882.0,9034.0,95.0,794.0,34.0,3
857.0,3061.0,477.0,3083.0,979.0,2060.0,1148,2809,4476.0,10116.0,468.0,446.0,34.2,3
1920.0,5931.0,992.0,2946.0,2594.0,3267.0,3136,4037,8922.0,10869.0,609.0,2025.0,34.3,3
4681.0,9907.0,1833.0,5224.0,5176.0,5596.0,9132,9779,25096.0,25880.0,5503.0,8993.0,34.4,2
18661.0,27364.0,2058.0,3682.0,4233.0,4128.0,6314,6317,18222.0,17202.0,4039.0,4638.0,34.5,0
4065.0,11680.0,1347.0,3808.0,1505.0,1924.0,3311,4392,9047.0,12177.0,3364.0,4034.0,34.8,3
1606.0,9115.0,4487.0,17110.0,118.0,108.0,200,101,11667.0,18434.0,1778.0,3361.0,35.0,1
3185920.0,1693410.0,7112640.0,4338150.0,11772.0,3591.0,3444,1009,1796260.0,833667.0,1074070.0,521284.0,35.0,4
433444.0,450595.0,405386.0,558726.0,2307.0,1509.0,550,329,120435.0,99881.0,73597.0,59649.0,35.3,4
3857.0,21946.0,535.0,2079.0,798.0,1273.0,1273,2377,3411.0,5897.0,466.0,1701.0,35.4,3
6700.0,28549.0,1342.0,4632.0,2066.0,2643.0,2853,3747,9877.0,13520.0,0.0,868.0,35.7,3
3058.0,9725.0,375.0,1156.0,1206.0,1969.0,1709,2753,5809.0,8980.0,504.0,1720.0,35.8,3
136941.0,224036.0,147396.0,218430.0,24692.0,22991.0,29694,27932,61582.0,52533.0,18209.0,19546.0,35.9,2
53660.0,79950.0,19215.0,27420.0,331.0,335.0,20,139,48863.0,45541.0,45492.0,34002.0,36.0,1
567575.0,770539.0,234937.0,280278.0,1199.0,544.0,516,207,288197.0,252600.0,190434.0,180620.0,36.0,4
5676.0,19029.0,2423.0,5260.0,4155.0,4624.0,5309,5965,17706.0,20022.0,1143.0,3726.0,36.0,0
14055.0,20706.0,1172.0,2700.0,8563.0,8743.0,10289,10643,24463.0,24586.0,2008.0,4088.0,36.3,2
6467.0,9631.0,1996.0,3990.0,1574.0,1257.0,3550,3591,10707.0,9572.0,4022.0,4335.0,36.5,3
181289.0,240682.0,42632.0,66453.0,948.0,815.0,0,168,230352.0,198215.0,105279.0,84446.0,36.5,4
7460.0,23101.0,1184.0,4443.0,690.0,1394.0,2982,3314,7533.0,8396.0,3834.0,3578.0,36.6,3
83281.0,113145.0,16585.0,26952.0,152.0,97.0,257,151,89062.0,79621.0,36951.0,36659.0,36.8,1
1055.0,5696.0,1441.0,5835.0,4662.0,11842.0,5953,15220,13161.0,27293.0,4638.0,8630.0,37.0,2
14399.0,28077.0,2434.0,4162.0,4936.0,5033.0,7038,7628,20991.0,21304.0,3174.0,4924.0,37.0,0
110474.0,153763.0,8038.0,13247.0,124.0,167.0,76,88,122250.0,101202.0,40402.0,40802.0,37.2,1
1412.0,3151.0,1414.0,3913.0,2087.0,2944.0,3040,4227,10815.0,13968.0,2573.0,3149.0,37.2,3
9065.0,16986.0,2782.0,3762.0,3907.0,3715.0,5430,5685,18180.0,17212.0,2087.0,3708.0,37.4,0
22289.0,39519.0,12805.0,23555.0,475.0,223.0,96,36,36852.0,36991.0,19042.0,24938.0,37.4,1
5311.0,16666.0,916.0,2599.0,6413.0,7232.0,6206,6947,13143.0,14428.0,0.0,1213.0,37.4,0
2012.0,9690.0,1163.0,3959.0,2105.0,3078.0,3272,5229,10485.0,16692.0,954.0,2207.0,37.8,3
76537.0,117087.0,18655.0,28657.0,663.0,269.0,17,51,153111.0,124287.0,48873.0,46758.0,38.0,1
5087.0,16719.0,1053.0,2195.0,4674.0,5086.0,6005,6510,17745.0,18966.0,2852.0,4186.0,38.1,0
3662.0,7867.0,6323.0,8392.0,315.0,210.0,86,53,8742.0,6093.0,1576.0,1337.0,38.1,1
568660.0,466297.0,2447750.0,2899500.0,11132.0,4352.0,1617,842,372777.0,326445.0,195840.0,156048.0,38.1,4
4365.0,7238.0,1901.0,3841.0,5167.0,5635.0,6610,6694,20298.0,19881.0,2476.0,4919.0,38.4,0
9614.0,13719.0,2629.0,4333.0,5169.0,4979.0,7154,7175,26727.0,23927.0,4960.0,6527.0,38.9,0
10006.0,22004.0,5719.0,9782.0,3395.0,3529.0,5382,5846,16019.0,17306.0,3767.0,5036.0,38.9,0
252701.0,354607.0,41897.0,62332.0,324.0,262.0,541,191,256191.0,216127.0,104800.0,97602.0,39.1,4
2431.0,8993.0,1158.0,2840.0,4662.0,6166.0,5540,7055,15160.0,18617.0,837.0,2892.0,39.2,0
8257.0,16082.0,2842.0,4865.0,8860.0,9874.0,8865,8825,21960.0,21997.0,3356.0,3056.0,39.2,2
3508.0,13710.0,636.0,4196.0,764.0,1484.0,807,2036,2519.0,6767.0,1815.0,2109.0,39.5,3
5921.0,13249.0,502.0,5151.0,3161.0,3992.0,3996,6091,10630.0,15671.0,629.0,1265.0,39.5,3
81258.0,118355.0,15709.0,23183.0,291.0,236.0,203,96,115613.0,94017.0,40150.0,38177.0,39.5,1
5107.0,11304.0,1774.0,4971.0,3304.0,3658.0,3943,4440,9445.0,10171.0,392.0,1143.0,39.7,0
67288.0,104881.0,13183.0,20726.0,255.0,198.0,73,84,87550.0,76186.0,40321.0,35730.0,39.8,1
8745.0,18778.0,2246.0,6397.0,2343.0,2212.0,3054,3067,7958.0,8186.0,1660.0,3693.0,40.2,3
1329680.0,1249850.0,2434500.0,2938160.0,16190.0,9955.0,3939,2789,548616.0,391403.0,286562.0,193553.0,40.3,4
17583.0,22266.0,3821.0,6779.0,10617.0,10776.0,14477,14845,31042.0,26516.0,12796.0,10917.0,40.3,2
25140.0,37039.0,6069.0,8893.0,160.0,117.0,395,178,38166.0,36849.0,23571.0,28609.0,40.5,1
782.0,4688.0,351.0,2087.0,1392.0,2452.0,1842,3494,5006.0,9568.0,250.0,697.0,40.6,3
16512.0,28713.0,4169.0,6871.0,340.0,146.0,270,87,28715.0,30096.0,8331.0,17402.0,41.2,1
8943.0,18281.0,1532.0,3718.0,4373.0,4530.0,6788,7214,25601.0,25099.0,2547.0,5387.0,41.3,0
3679.0,12036.0,1239.0,3093.0,2887.0,4077.0,4555,6274,12597.0,17076.0,2140.0,4494.0,41.5,0
1364.0,4339.0,0.0,2927.0,1359.0,3281.0,1677,4723,4135.0,11965.0,235.0,230.0,41.5,3
2218.0,11626.0,743.0,2497.0,5854.0,11556.0,7867,15683,20019.0,33170.0,3400.0,9138.0,41.7,2
1844.0,10039.0,420.0,1306.0,1084.0,1256.0,1491,1764,4687.0,5820.0,595.0,835.0,42.2,3
161826.0,197532.0,60439.0,74433.0,1229.0,596.0,544,304,59716.0,53970.0,25922.0,21718.0,42.2,4
5519.0,18060.0,1718.0,3379.0,1100.0,1175.0,2511,2893,7014.0,7739.0,1161.0,1824.0,42.5,3
2935.0,10978.0,1083.0,3272.0,1102.0,2506.0,1898,4092,6552.0,12969.0,2259.0,4602.0,42.5,3
3977.0,10719.0,429.0,1827.0,1039.0,2510.0,1598,4035,5602.0,13200.0,539.0,608.0,42.5,3
33072.0,45674.0,16355.0,25844.0,453.0,285.0,314,228,42934.0,37930.0,34058.0,31969.0,42.5,1
2267.0,5888.0,2143.0,4378.0,2136.0,2502.0,2710,3179,7867.0,8625.0,1678.0,1943.0,42.6,3
24972.0,33626.0,817.0,5570.0,55.0,140.0,0,39,23902.0,24123.0,17210.0,22133.0,43.0,1
7405.0,15031.0,1534.0,4792.0,3950.0,4070.0,5063,5515,14894.0,15156.0,2180.0,3564.0,43.4,0
2533.0,6507.0,921.0,2367.0,2978.0,3861.0,3721,4784,8937.0,11338.0,1517.0,2498.0,43.6,3
15478.0,18963.0,3014.0,4387.0,4224.0,4552.0,5787,5848,15592.0,15035.0,4054.0,3905.0,43.7,0
6054.0,17711.0,2906.0,5033.0,5860.0,6798.0,8253,9347,27456.0,29590.0,3873.0,4898.0,43.9,2
12574.0,31310.0,1495.0,4437.0,3095.0,3457.0,4524,5003,14155.0,15406.0,6366.0,4509.0,44.2,0
3600.0,9454.0,1232.0,2382.0,5618.0,6567.0,5762,6375,12787.0,13593.0,0.0,1228.0,44.4,0
3209.0,6117.0,1000.0,2822.0,843.0,1538.0,1201,2499,3377.0,7808.0,2908.0,2848.0,44.5,3
2240.0,6008.0,551.0,2035.0,2014.0,2421.0,3108,3769,8604.0,10751.0,495.0,573.0,44.5,3
10196.0,19754.0,2070.0,5106.0,8825.0,9310.0,12299,13129,32684.0,34204.0,2598.0,3981.0,44.6,2
1761.0,6311.0,650.0,4062.0,497.0,1401.0,693,1598,2297.0,5501.0,1780.0,2177.0,44.7,3
4624.0,8926.0,1937.0,4273.0,2690.0,3110.0,3419,3806,10390.0,10992.0,1097.0,1287.0,44.7,3
1855.0,12070.0,291.0,1551.0,849.0,1408.0,1085,1854,4077.0,7492.0,325.0,610.0,44.7,3
7632.0,18693.0,6425.0,14488.0,8257.0,10625.0,10021,12641,23417.0,29466.0,1543.0,4022.0,44.7,2
1545.0,9240.0,1265.0,4947.0,838.0,3321.0,995,4088,2698.0,9997.0,158.0,101.0,44.7,3
2226.0,7909.0,2030.0,5496.0,14386.0,23294.0,19647,30818,38956.0,55676.0,6195.0,13276.0,45.0,2
1130.0,4363.0,0.0,296.0,828.0,1367.0,1201,2188,2182.0,4786.0,352.0,618.0,45.0,3
878336.0,594012.0,3247660.0,3087020.0,8762.0,3282.0,1161,586,89689.0,69112.0,32582.0,34559.0,45.1,4
5634.0,16796.0,554.0,1401.0,4943.0,5325.0,5265,5922,13318.0,14302.0,0.0,1237.0,45.1,0
4388.0,9193.0,3659.0,7195.0,2700.0,2281.0,3680,3823,10843.0,11190.0,3340.0,2583.0,45.4,3
2524.0,12371.0,805.0,2657.0,505.0,793.0,1704,2837,4537.0,7971.0,2006.0,3900.0,45.6,3
184227.0,267904.0,11327.0,16750.0,1262.0,1113.0,301,143,53868.0,51358.0,41491.0,41489.0,45.7,4
1785740.0,1580720.0,4334380.0,4279460.0,69407.0,47537.0,21715,14742,316392.0,216776.0,216094.0,133692.0,45.7,4
7390.0,10738.0,1304.0,2462.0,3075.0,2644.0,3324,3750,12069.0,13094.0,899.0,2276.0,45.8,3
158408.0,224869.0,62262.0,93038.0,10.0,128.0,174,122,153304.0,138378.0,68817.0,64535.0,46.1,4
58377.0,77042.0,7942.0,12174.0,471.0,402.0,575,329,83296.0,78811.0,52414.0,65061.0,46.1,1
653664.0,797677.0,605263.0,855296.0,1453.0,1343.0,999,286,780856.0,646819.0,443854.0,333768.0,46.5,4
3565.0,8950.0,379.0,909.0,1369.0,2622.0,1584,3276,4839.0,9631.0,2876.0,3230.0,46.9,3
500977.0,631256.0,44139.0,63488.0,1405.0,1215.0,0,151,776697.0,632136.0,316150.0,291444.0,47.0,4
