FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,Label
275786.0,356095.0,20475.0,27147.0,572,510,5227,4263,143673.0,119254.0,131203.0,112138.0,298.8,1,Crypto
324632.0,441894.0,33759.0,49954.0,814,642,5593,4783,152065.0,128412.0,132483.0,111153.0,302.8,1,Crypto
88672.0,138698.0,7770.0,13845.0,142712,138428,13874,13304,86175.0,78119.0,66437.0,53866.0,306.0,1,Crypto
353082.0,463398.0,18253.0,26481.0,859,848,6651,6111,214686.0,189723.0,196641.0,170697.0,306.1,1,Crypto
808138.0,1018790.0,1367570.0,1897990.0,11695,9287,7590,7074,164836.0,139211.0,88479.0,73809.0,311.8,1,Crypto
392770.0,583111.0,19455.0,24980.0,779,592,2726,2732,144099.0,131372.0,149707.0,132502.0,312.2,1,Crypto
398690.0,521177.0,36088.0,55422.0,1688,1373,503,163,601190.0,511616.0,249107.0,188464.0,20.8,2,Nano1
364468.0,473312.0,74410.0,115766.0,1389,1099,250,194,757782.0,647902.0,275692.0,249011.0,21.9,2,Nano1
488916.0,622226.0,75052.0,112155.0,779,814,226,114,784579.0,628850.0,259791.0,228485.0,23.2,2,Nano1
2340210.0,2108760.0,3920760.0,4542450.0,6489,3927,1318,792,361028.0,282998.0,184338.0,128986.0,25.5,2,Nano1
1679760.0,1368100.0,3038840.0,2804380.0,9295,5725,1805,1007,1714090.0,1107280.0,1217590.0,736218.0,26.6,2,Nano1
1043980.0,991912.0,1461270.0,1640660.0,3775,1811,861,481,581996.0,428251.0,377668.0,248651.0,27.2,2,Nano1
433443.0,542137.0,58568.0,87245.0,909,691,98,94,684075.0,558784.0,186682.0,173898.0,27.8,2,Nano1
528587.0,622582.0,36384.0,54725.0,2406,1591,586,382,1275510.0,1012590.0,419896.0,354951.0,27.9,2,Nano1
1127790.0,802982.0,3580050.0,3829570.0,4191,2288,1549,655,2516480.0,1439280.0,1763590.0,928313.0,28.8,2,Nano1
588984.0,717431.0,27136.0,36175.0,1595,1075,529,306,1131010.0,888269.0,341004.0,293521.0,28.9,2,Nano1
390062.0,414422.0,558875.0,692001.0,1357,825,635,202,485643.0,385704.0,185186.0,143223.0,30.5,2,Nano1
1241840.0,862569.0,3562220.0,3128080.0,5963,2515,2420,762,864258.0,469614.0,549230.0,257059.0,31.5,2,Nano1
525822.0,667873.0,92594.0,129178.0,1824,1275,184,105,744276.0,555099.0,285373.0,231612.0,31.6,2,Nano1
1114640.0,922848.0,1378790.0,1413710.0,4333,2830,1259,570,1458140.0,901113.0,1033240.0,617692.0,32.4,2,Nano1
381756.0,517290.0,58719.0,85969.0,1487,1154,398,151,500960.0,400494.0,204121.0,178506.0,32.6,2,Nano1
583940.0,759550.0,41289.0,56247.0,1414,1085,333,273,912969.0,738791.0,436365.0,371035.0,33.0,2,Nano1
492596.0,631839.0,52002.0,74015.0,897,1059,191,151,806336.0,653236.0,268239.0,245373.0,33.1,2,Nano1
650734.0,810758.0,157124.0,195782.0,3757,3200,2944,2630,398226.0,322192.0,256793.0,185062.0,33.8,2,Nano1
576488.0,730164.0,64151.0,94238.0,1586,1280,479,231,740795.0,565725.0,313063.0,267858.0,34.8,2,Nano1
558279.0,669650.0,83271.0,123612.0,1665,1788,393,247,1163060.0,929277.0,487010.0,390778.0,35.6,2,Nano1
471875.0,613448.0,62655.0,97234.0,1460,939,184,174,750417.0,606577.0,257313.0,220318.0,38.2,2,Nano1
315755.0,371376.0,126485.0,169254.0,5628,3650,604,438,1451770.0,1006900.0,561311.0,392071.0,38.2,2,Nano1
1351030.0,1059850.0,2581580.0,2883250.0,8234,4274,1764,991,382140.0,317028.0,101165.0,84314.0,38.2,2,Nano1
572323.0,741607.0,52715.0,76946.0,1250,1117,203,84,698687.0,557993.0,267941.0,229514.0,38.3,2,Nano1
395992.0,512192.0,67539.0,104016.0,940,992,526,241,721705.0,598039.0,305831.0,240719.0,40.9,2,Nano1
