UMAP1,UMAP2
-4.719826,10.060709
12.950499,9.133881
11.279969,14.971474
-1.5213165,12.013795
13.917082,4.7823033
12.241239,2.6090386
-3.482616,14.350485
-2.8273609,4.193648
13.813044,7.669384
-2.158995,14.848809
10.349479,16.635506
9.0013075,-6.687153
0.44856536,-3.2122362
9.954495,-1.9130635
13.329589,5.43954
-2.728387,6.186524
0.03385398,-1.5086693
-0.2337934,17.257803
1.7591523,-2.7705102
1.8374509,-2.7044861
14.234514,9.381021
-1.5135335,-2.2485933
-3.9597442,3.9730783
-0.14530025,-3.109125
-4.492041,12.402596
10.916645,0.27746576
0.118116595,16.225027
12.468909,4.7637844
0.08862099,-1.4521835
12.755672,9.318631
13.460652,2.9483166
13.676891,7.0106087
-3.2135136,13.305411
13.458878,10.552695
13.550204,5.1879253
-4.267852,1.3692714
-5.392034,9.061863
-5.25041,3.8192565
0.36588052,18.4378
14.2501135,6.373907
9.831189,-4.9403415
-1.2199194,15.330416
12.781837,12.006919
-2.321239,14.304812
-1.3671951,-3.118951
-1.040327,16.782652
-3.2115803,2.8334208
12.228565,2.6190479
-0.29854465,12.16997
13.383942,9.043514
1.1874814,-1.7451712
-3.4160626,1.2359205
-2.1635978,16.796328
-3.833018,6.0707107
0.3416459,17.221306
-4.3357816,1.8314315
0.6277048,-3.174182
11.119335,15.23508
9.748652,14.390237
7.8970103,-6.66456
13.498585,5.9656286
-3.7985418,13.175949
12.96215,2.008607
12.782511,11.678499
9.18797,13.219466
9.435868,13.976419
7.9654036,-6.7424955
-2.0441515,-1.361587
-3.8587985,12.637984
-2.328296,2.0207596
-3.7167718,0.5081273
-4.472532,3.031525
-3.736019,6.3565993
13.113226,10.078798
-3.3714638,2.1495802
-2.797784,-1.1908109
13.389522,4.9805884
7.376299,-6.6911564
13.597972,3.6396878
10.949988,16.27991
9.386257,-6.3509736
-4.594855,9.990804
-1.7816302,17.42066
13.251742,8.437061
10.3865595,-0.90938777
-3.9697325,2.6757762
-3.194893,3.1412864
13.282042,7.629235
-4.1876154,8.307943
-5.0640507,10.584379
14.244447,8.34597
13.95617,4.43578
-2.944354,1.0429248
13.906384,4.9771395
10.4096,-2.161428
12.508888,12.685967
-2.4661367,10.396833
14.262679,8.244056
13.930353,4.1283145
-3.806793,2.391655
13.115386,12.372244
8.993569,13.411643
13.396316,5.2514687
-3.4450557,2.8824453
-4.4320903,5.14245
-4.409998,1.847983
-1.1759728,-2.5861025
-4.8014126,3.7588751
-2.7803853,4.2515354
13.393723,8.947797
-3.1556783,4.9500213
12.385225,4.0631905
-4.2871895,13.768108
0.27430606,18.010914
-3.5189474,4.770132
-1.5539802,13.857274
-0.4014734,12.909943
-2.7424695,10.004185
13.101112,11.732487
-4.922129,8.048073
12.664035,4.6200166
-1.6533456,-2.2892792
-2.2639525,15.642548
-1.4477512,12.141557
0.56045514,-0.99527836
-2.4516466,16.202747
13.162693,10.878288
-3.7539577,14.016155
-3.383201,14.751454
-2.4773924,-1.1362696
-1.3920665,16.777658
-3.4825263,1.285223
1.8943657,-2.616788
-3.8094327,-0.56664276
13.692988,10.798885
-3.1491392,2.8785958
-3.896825,2.4510572
9.992719,16.207117
8.894343,-6.7236366
-2.6437254,14.33763
13.620415,3.4498167
0.18974426,16.175217
13.6452875,5.667816
-3.1960626,13.475005
14.101086,8.398137
13.422568,9.481073
0.38757044,-1.1596315
-3.4837582,4.1281285
-3.1764133,0.30842954
13.668272,11.134706
-2.9655151,0.73818374
0.65587616,18.198864
-1.4842263,16.796152
-3.0367925,7.3547287
13.721074,8.931273
-2.247839,13.020492
9.598372,-2.8352137
13.144548,12.285749
12.9963665,11.737463
-2.9239178,1.7279391
-5.4535384,8.534097
-4.242029,8.392701
11.00469,-0.11487634
13.19998,10.252922
-0.8138481,17.302166
