UMAP1,UMAP2
-3.319388,6.275459
12.790376,-0.11942659
15.662255,3.557904
-1.7288256,-4.428998
1.0251893,15.887011
-3.265518,-0.35056847
10.999579,-4.2048397
-2.1805682,8.01108
-2.923084,-0.1345326
-3.0114741,3.7434392
11.491062,-2.5627344
-2.4140213,-4.4383273
-0.8328861,12.8866825
-3.3497853,6.543953
10.761595,-3.9757943
11.117244,-2.20112
9.718537,-5.508188
15.874632,3.5937233
13.215074,9.778542
-0.31291866,12.778284
-3.3318875,0.9492455
-2.8982031,-1.5137585
-3.035478,6.9267435
-2.3565686,8.008737
9.459033,1.5426238
10.844917,-5.826572
10.762612,-5.739316
15.036071,3.6721232
10.50108,-5.44543
-2.5507216,-0.05498605
13.499921,2.2507708
-3.4445186,0.89892334
13.672433,8.850331
5.91256,12.739056
13.998828,-1.5157368
11.067569,-4.2642236
-3.6802528,0.9830279
-2.6926527,-1.7200222
-3.029911,7.3705926
-3.0448258,0.5828737
14.431891,4.2702847
-3.2933526,6.750457
10.459115,-1.6814088
-3.0582087,1.6699578
15.096995,2.2804902
-1.0925554,-3.7457924
-3.22272,5.905374
-3.4121146,3.4823308
13.670886,9.780255
15.233376,3.7292674
11.941567,13.122831
15.057918,4.86924
9.381508,3.6831844
13.4525585,9.957087
9.611332,-0.4783277
13.236405,11.422746
13.459439,9.311172
-3.7083895,3.4364939
11.501924,-5.2808504
-2.3649206,4.4398084
13.734006,0.92538625
-3.040757,3.8417752
12.449372,-0.74215496
13.201788,10.779461
-2.4633482,-5.081151
-2.163076,-4.1003866
0.4497396,14.544969
-3.08138,7.9553623
15.537236,3.889377
13.590707,2.4230893
-3.819857,1.8459959
11.395597,-2.3899333
-3.354892,-0.108923264
-3.390202,0.9557505
13.203894,-0.20730595
-2.3095012,8.335358
-3.040595,1.9950485
8.20337,13.890861
10.517426,-3.913696
12.638835,-1.9763395
13.711464,9.602367
14.210429,0.3081941
14.7842045,7.274385
13.648871,11.902827
-3.8961568,2.3781054
-2.8727624,4.3464813
-3.425341,5.527482
-3.9617321,3.1568048
14.8709135,6.934899
15.130483,2.4150097
-4.3033857,3.540083
-1.8796175,-4.860777
-1.7141804,-4.6970534
-0.18519244,15.110719
14.947673,7.395298
10.454951,-3.1340814
-3.2786717,-0.9189782
14.133575,2.9271264
10.770231,-3.5857832
-1.5162681,10.179546
13.027228,3.6534417
14.671678,8.669891
10.911483,-2.8640108
14.240222,7.9910827
13.975428,2.317842
-3.7821238,2.923244
-3.803766,1.8582277
-0.46602705,13.358884
12.577892,12.10617
-3.7747445,2.525706
10.303428,-4.5173926
14.587239,10.034629
10.324056,-5.4735584
-3.4489236,1.4817916
-3.8358777,5.7262855
13.479645,9.592825
9.707148,-3.6099439
10.174852,13.833815
