UMAP1,UMAP2
-1.6675625,15.065664
14.46211,4.9411006
-1.1562173,13.785424
14.667312,4.2107573
7.1876006,-2.60591
1.170593,15.557719
-3.6957347,-0.86790293
-1.4861128,13.160157
-3.898633,4.7368355
-2.0513995,12.755554
14.33808,7.0196457
-0.77068955,13.706728
14.821933,6.8102746
-1.1101394,12.203334
-1.3935077,12.8469305
-4.1181545,5.0485125
-1.3183128,13.383301
-3.4081383,9.031645
-3.7532759,10.030959
-3.2541566,-1.1685436
-1.8468765,15.89888
-5.9886527,4.929302
14.765508,7.5190926
14.356102,7.698101
-1.5435542,15.089113
-4.5935636,0.34872705
-4.594543,-0.04388764
-0.7878687,14.286129
11.277669,12.685555
6.1386194,-3.9151068
5.0660343,-4.168168
14.913559,6.9167814
14.796233,5.204433
-1.6454096,11.923553
2.2925358,17.690157
-0.40048197,16.91877
-5.3349757,1.6788114
14.769053,4.2540584
-4.5397735,-0.2104598
-1.1995658,15.843561
-2.930346,9.354738
-4.274661,8.027309
-4.059264,8.504527
-4.56755,-0.15419652
-0.17614225,-2.8401515
-2.9920263,4.908257
-4.7998276,0.056568317
0.48260367,-2.8570685
-5.7949724,5.3364577
-4.4578204,0.45870012
-5.6576486,4.7686143
-2.1857069,11.080749
11.455956,12.950692
11.008926,13.162998
4.767128,-5.6722875
11.0157385,12.255359
11.798146,12.711523
11.656813,12.825445
13.049959,14.021085
15.883969,15.448777
4.192199,-6.350678
6.950084,-2.9798162
-1.2651036,15.955633
12.36949,0.42492533
-2.635893,10.552331
3.3650532,18.79602
-2.3599012,3.2667646
14.271132,3.6379037
12.618365,2.8318968
14.228593,2.389008
-5.7885027,1.8807664
14.789168,4.937354
0.9879842,16.960665
14.393985,2.9501078
-2.671793,4.008687
-4.1557593,10.088416
11.22033,12.986943
10.808951,13.098486
0.7451365,-4.224323
14.219341,2.3575
-0.17223348,-2.5468128
-1.9311782,10.384832
2.8468745,18.314028
14.11189,2.473129
11.928549,-0.006456939
-3.6686723,10.857
-6.0425053,3.6728685
-3.3037643,9.409004
-3.1568778,11.768386
9.141188,-1.2906781
13.032639,1.909897
-4.1438637,8.854085
14.587736,4.132256
12.566069,2.8771498
-4.668213,0.27215612
13.83713,5.7971964
-4.856228,7.7011857
14.366574,2.940928
13.873003,2.1463826
-4.205117,5.2429304
-1.9104415,12.839563
15.171922,4.7488394
-0.7441981,14.367151
13.119011,1.056492
-4.8507404,0.21316727
-3.0884933,5.2131186
14.5445795,14.514773
-3.1058211,12.436198
-1.9777244,-1.6332295
11.040036,12.872356
5.5345235,-5.2961264
12.677815,2.1140625
-2.8776696,13.093242
13.85168,5.000465
14.439379,7.155667
12.692255,0.7269182
-5.6725807,4.347623
0.62001956,16.622337
-3.369871,-1.0856241
13.48875,1.6646134
13.954816,3.8936062
-5.6361566,2.937085
12.060199,-0.005080645
-3.6054738,-1.0182505
13.343711,1.4073071
12.441654,2.7767563
-4.989203,6.2274437
-4.657103,0.021877028
11.855262,0.005644645
-0.70571196,16.45209
12.414212,13.736665
9.049295,-1.2683243
-4.649602,-0.11146369
-2.2913027,9.258385
-0.3194092,-2.927916
12.090484,0.4958447
12.537682,0.5378854
-3.7193696,10.360002
-6.163314,4.177245
-2.5396035,14.461085
15.280673,4.61476
14.6411,5.4659166
-4.521282,10.640833
-1.2777349,10.829778
-1.6913514,-1.8495471
13.700358,14.303279
14.512693,3.9804907
13.23466,1.2155055
-5.2469926,0.35504252
6.9980536,-2.5333896
-1.4653826,10.556049
-1.248056,10.939126
14.159279,4.212476
-2.9703937,4.467754
-2.4406316,15.292381
12.722685,2.9867902
14.607701,6.2464123
-5.504493,1.0408219
15.253264,5.50126
-4.4106483,8.516266
-0.45999256,15.460101
-2.277611,9.218459
1.6020377,17.325075
-5.1528955,4.986824
-5.25733,6.057646
-0.03347931,13.591728
7.2654777,-2.324566
-5.354287,1.8439176
-3.1343882,14.766618
0.37568223,-3.5930111
4.4925117,-3.740898
-3.693026,13.04473
13.428818,1.8166732
-2.3966842,3.3629737
-0.62420833,13.029408
-1.0815567,-2.1462119
-1.1944163,13.867729
3.0656152,18.522541
14.381177,4.284413
-5.0868487,0.20189792
