FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,PC1,PC2
5915.0,14272.0,1752.0,4178.0,2796.0,3653,3940.0,5296,10664.0,14067.0,1787.0,3827.0,16.6,0,-150998.8790411288,27176.189142805382
41884.0,92926.0,5154.0,10093.0,80.0,99,105.0,84,46555.0,60750.0,39277.0,52505.0,16.6,0,-93352.01245097633,-10359.569711863289
3246.0,18048.0,324.0,1141.0,1368.0,2197,1716.0,2860,5013.0,8581.0,297.0,770.0,16.7,0,-156951.79036124135,30211.53116123853
3196.0,10825.0,987.0,2532.0,1604.0,2630,2107.0,3300,5127.0,7807.0,752.0,1947.0,16.7,0,-156075.56080018432,30274.489905534207
53292.0,99827.0,5805.0,9594.0,10.0,106,71.0,141,40660.0,52495.0,47413.0,46589.0,16.8,0,-89928.87445128823,-8226.660148411109
45851.0,90659.0,23195.0,48748.0,161.0,100,302.0,163,41018.0,49780.0,29321.0,43714.0,16.8,0,-89263.60318962908,11038.550425468438
16616.0,38771.0,1694.0,5608.0,0.0,0,238.0,91,23019.0,27544.0,10958.0,22618.0,16.9,0,-133692.47761166428,14360.49835129863
2775.0,12077.0,944.0,3089.0,1136.0,3180,1255.0,3649,3392.0,8559.0,0.0,1525.0,17.0,0,-157547.3660815168,31537.660691435267
11727.0,18499.0,1484.0,4262.0,3434.0,4484,3894.0,5004,10241.0,12957.0,2443.0,2555.0,17.1,0,-149424.24330934827,27405.94824485181
28485.0,62251.0,4878.0,8770.0,183.0,164,0.0,0,28391.0,35629.0,27668.0,34401.0,17.2,-1,-115723.89139915162,6133.891937073047
4469.0,14344.0,863.0,3209.0,2557.0,3531,3389.0,4700,9069.0,12026.0,2160.0,2935.0,17.2,0,-152889.6143237662,27363.45306789829
3752.0,13916.0,472.0,1227.0,2231.0,3004,2833.0,3819,7863.0,11311.0,486.0,610.0,17.2,0,-155144.0988521896,28705.63844384629
100265.0,199112.0,26573.0,52837.0,5182.0,7605,6608.0,8796,18416.0,22494.0,4209.0,4872.0,17.3,0,-98656.41461961145,43599.82636907618
17252.0,32293.0,2955.0,5062.0,3632.0,4654,5549.0,7352,14578.0,18911.0,3308.0,4223.0,17.3,0,-143711.12078181125,25698.076133753377
11679.0,20047.0,1960.0,3286.0,3790.0,4281,4453.0,5697,12290.0,14871.0,2777.0,2613.0,17.4,0,-147911.5643032584,26475.51572453778
19439.0,54007.0,2217.0,2929.0,145.0,130,280.0,182,22393.0,29646.0,21796.0,27501.0,17.4,0,-127294.05255778192,10433.678939990434
3690.0,8042.0,890.0,2542.0,4261.0,6716,4495.0,6951,10721.0,16019.0,1258.0,2945.0,17.5,0,-152635.3339708042,26760.66943576103
5714.0,14004.0,2452.0,6382.0,2032.0,2542,2979.0,3972,7211.0,9860.0,513.0,1019.0,17.5,0,-153488.0210429406,30511.213682063582
10731.0,20341.0,3215.0,8088.0,3735.0,5079,5354.0,6896,12887.0,17024.0,2198.0,3086.0,17.5,0,-147268.53945205465,27155.521294511556
32480.0,58304.0,4413.0,7776.0,273.0,244,247.0,126,40431.0,51114.0,26367.0,41980.0,17.5,0,-107520.76743296768,-1448.0914309371435
4133.0,12772.0,846.0,2838.0,2754.0,3477,4148.0,5543,10905.0,14934.0,1462.0,2454.0,17.6,0,-152431.52811452525,26647.58302452163
10287.0,15508.0,2143.0,3014.0,5034.0,5822,5341.0,6656,12722.0,14221.0,1602.0,2086.0,17.7,0,-148616.04345309758,26826.40247783488
103466.0,188490.0,49963.0,92683.0,934.0,821,234.0,95,184500.0,199018.0,92666.0,87323.0,17.7,0,56687.3537227558,-77324.93975021027
2177.0,12714.0,2447.0,14492.0,112.0,0,103.0,0,723.0,7934.0,615.0,2245.0,17.7,-1,-157800.83699359716,33752.49060602822
4747.0,9613.0,1239.0,3047.0,3527.0,4793,3760.0,5213,9924.0,13563.0,1231.0,1248.0,17.7,0,-152810.29183061543,27777.536386181047
46408.0,95124.0,10781.0,24493.0,299.0,221,0.0,130,38502.0,45759.0,28947.0,36213.0,17.8,0,-99851.02183672656,4758.758510870648
4500.0,8122.0,985.0,2205.0,444.0,338,143.0,37,3135.0,5843.0,2906.0,4927.0,17.8,0,-155235.50786597186,30175.347926116807
301322.0,504408.0,26632.0,45388.0,1573.0,1399,425.0,364,668107.0,717182.0,229354.0,268521.0,17.8,5,451641.9603336917,-434461.69601716864
35068.0,69790.0,5154.0,8899.0,533.0,227,80.0,123,36552.0,42011.0,27209.0,30441.0,17.9,0,-110013.17870608378,2849.3831409193044
7658.0,10102.0,846.0,3105.0,3345.0,4042,4366.0,5184,9215.0,12338.0,1460.0,2816.0,17.9,0,-152079.70018303342,27672.72183144432
4689.0,18734.0,1541.0,5907.0,2296.0,2995,3400.0,4784,8794.0,11917.0,858.0,1468.0,17.9,0,-153349.21620126968,28728.72545731889
2609.0,6670.0,968.0,4507.0,1299.0,2575,1818.0,3266,6120.0,10727.0,538.0,2296.0,17.9,0,-155788.56602046816,29709.3886396162
4345.0,14353.0,1203.0,2842.0,5009.0,7195,5585.0,8048,14473.0,19689.0,3495.0,3283.0,18.0,0,-149249.12394976185,24044.092206163303
1241.0,5232.0,605.0,2675.0,1949.0,3077,2259.0,3673,5290.0,8465.0,0.0,319.0,18.0,0,-157498.09052072017,30360.24919835789
7426.0,17893.0,705.0,2893.0,4348.0,5352,5156.0,6798,13044.0,17070.0,389.0,2932.0,18.2,0,-150665.40329835075,25804.73063982898
7298.0,15407.0,1934.0,3477.0,2377.0,2724,2574.0,3099,6768.0,8003.0,1415.0,2182.0,18.3,0,-152929.27784695115,29929.79280341296
19112.0,28899.0,1308.0,3853.0,5305.0,7153,7777.0,9713,19557.0,23676.0,2631.0,4054.0,18.3,0,-141844.29795421803,22076.588003242203
2558.0,8914.0,1512.0,4035.0,3485.0,4739,5152.0,7080,13336.0,18842.0,468.0,2544.0,18.3,0,-151653.58042392533,26065.955351195847
72629.0,126021.0,9348.0,13911.0,0.0,147,106.0,115,40249.0,45559.0,30555.0,35403.0,18.5,0,-90637.88636112426,3328.032753713731
4232.0,12881.0,1203.0,3587.0,2868.0,3729,3536.0,4423,10331.0,13204.0,1014.0,2966.0,18.8,0,-152565.02665472036,27316.231488221325
2437.0,7096.0,358.0,2036.0,1395.0,1630,2354.0,2899,5554.0,7184.0,484.0,1478.0,18.8,0,-156704.12034047267,29721.95646138298
38868.0,68424.0,8203.0,13211.0,333.0,314,263.0,130,45976.0,53366.0,33755.0,48347.0,18.9,0,-95803.14400883224,-5253.109068761019
2211.0,11279.0,782.0,2808.0,1552.0,3013,1823.0,3732,4577.0,9440.0,925.0,2010.0,19.0,0,-156736.4920110448,30318.98746212222
10250.0,15597.0,3850.0,4332.0,5592.0,6894,7157.0,9051,17330.0,20286.0,2256.0,3811.0,19.0,0,-144530.10211876163,24984.86847356489
23624.0,38135.0,2688.0,6876.0,7855.0,9059,9288.0,10784,23296.0,27030.0,4147.0,4387.0,19.1,0,-136804.53535152317,20561.22689503683
39619.0,73783.0,3905.0,6332.0,124.0,77,127.0,135,41342.0,46254.0,27629.0,41165.0,19.2,0,-104624.372107055,-2376.6848132406303
31576.0,50927.0,2792.0,5260.0,112.0,104,491.0,317,23799.0,26009.0,12677.0,22958.0,19.3,0,-126843.16567634024,14633.885578098889
36246.0,54134.0,3424.0,3512.0,0.0,144,342.0,168,28040.0,30632.0,31695.0,30293.0,19.3,0,-113326.74078923553,4745.544779496438
