FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,PC1,PC2,PC3
6982.0,13268.0,896.0,2179.0,4000.0,5119,4955,6047,11852.0,14802.0,1658.0,3294.0,16.8,0,-113209.29453122945,-28687.84892836852,-20819.04748455624
17420.0,36610.0,3659.0,8022.0,161.0,94,269,166,28132.0,31742.0,22399.0,25468.0,17.0,0,-81365.27017610622,-33238.682497315,-22164.1164398769
24089.0,40485.0,2099.0,4119.0,12878.0,17318,22707,28654,30264.0,33934.0,7960.0,8881.0,17.0,0,-89272.94023516409,-25671.83594114586,-9776.415941030811
66767.0,126265.0,74922.0,144135.0,2398.0,2416,3501,3878,9680.0,10879.0,2876.0,3502.0,17.1,0,-79253.17008072097,58475.02049006663,-16424.330578922025
7717.0,18302.0,1570.0,2993.0,2401.0,3373,3586,4540,9172.0,11873.0,1792.0,1847.0,17.1,0,-115095.63752329026,-27234.87342081288,-20948.92613351912
19849.0,38090.0,4039.0,6297.0,393.0,221,2,22,29434.0,32868.0,22233.0,27491.0,17.1,0,-79120.14220423679,-32245.72606409233,-20434.869149430077
3852.0,12588.0,758.0,1762.0,3662.0,5358,4796,7274,10968.0,16975.0,1641.0,3257.0,17.2,0,-114921.07844630245,-30017.498519478875,-23116.65505294608
4448.0,13307.0,623.0,1822.0,2383.0,3414,3359,4893,9622.0,13529.0,1202.0,3172.0,17.5,0,-115991.35410623738,-29510.80411240168,-22562.176230560064
4269.0,12865.0,2200.0,6214.0,4043.0,4981,5294,6764,14155.0,17466.0,1106.0,2958.0,17.5,0,-112494.89251038698,-29100.48937786771,-22890.90275010249
1970.0,10882.0,121.0,560.0,139.0,13,150,20,2552.0,8268.0,6030.0,20852.0,17.5,0,-115222.37921052283,-32702.206862937368,-27760.655277940565
461138.0,762797.0,94860.0,159505.0,702.0,929,178,144,538477.0,540496.0,251702.0,273141.0,17.5,3,632575.3200186669,46798.745425859786,213260.1756820962
11318.0,13635.0,1126.0,3808.0,2201.0,2477,2537,3276,5841.0,7567.0,927.0,1607.0,17.7,0,-116953.808919975,-25069.071556904117,-18175.34883952136
2070.0,12288.0,575.0,2811.0,765.0,1791,1290,3417,3917.0,11452.0,907.0,2338.0,17.8,0,-121316.30049702564,-29362.3639318365,-24826.1982170006
3300.0,6368.0,1095.0,3530.0,569.0,1675,1075,3044,3040.0,10542.0,571.0,988.0,17.8,0,-121958.74136312546,-27999.972141114908,-24118.858961629667
4905.0,13687.0,384.0,1112.0,1755.0,1936,2452,2949,5154.0,6102.0,1546.0,1338.0,17.8,0,-119452.89823091764,-28556.76656856737,-22776.900004197985
122458.0,226735.0,23353.0,41948.0,506.0,390,168,112,24552.0,25594.0,28377.0,28194.0,17.9,0,-42049.74307783159,28372.64168000829,40598.12841872441
5666.0,10623.0,1182.0,2388.0,2317.0,2941,3171,4035,7927.0,10206.0,1964.0,2782.0,17.9,0,-116433.9031536628,-28354.98296879533,-22512.926518138385
1935.0,4073.0,2205.0,4796.0,1632.0,2193,2206,2756,5912.0,6715.0,1337.0,1612.0,18.0,0,-119520.65486963608,-28513.90242503882,-25679.144432524023
3961.0,11683.0,981.0,3934.0,0.0,0,0,0,2118.0,4973.0,4592.0,9510.0,18.0,-1,-118274.7039172656,-29535.517964061517,-25796.58215837514
589588.0,709948.0,924549.0,1508550.0,1332.0,1256,0,143,292001.0,289877.0,140116.0,133646.0,18.0,3,576262.8260382804,877480.5597841084,-101231.00820127886
8533.0,30862.0,1359.0,4293.0,2450.0,4034,3386,4935,8409.0,12461.0,1711.0,1829.0,18.1,0,-115478.3152660592,-26865.87661979228,-20319.12419448492
