FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,UMAP-1,UMAP-2
12654.0,29359.0,3565.0,8171.0,592,384,80,73,18366.0,26138.0,13829.0,20111.0,16.3,0,13.383598,10.94665
17684.0,22042.0,2303.0,3289.0,3010,3961,4719,6042,12262.0,16809.0,4471.0,3938.0,16.3,1,-3.3696823,1.1481023
32244.0,72347.0,18665.0,36424.0,260,160,87,57,39271.0,52637.0,32649.0,42998.0,16.4,0,14.379804,5.098939
31492.0,60068.0,3216.0,7866.0,95,139,282,164,49536.0,60377.0,21818.0,27134.0,16.4,0,14.219246,6.7409897
92810.0,233784.0,14602.0,26379.0,474,431,0,74,68642.0,92040.0,40493.0,52135.0,16.5,3,10.965022,-2.2130697
5274.0,14315.0,920.0,2050.0,1606,2031,1930,2776,5083.0,6993.0,1821.0,2034.0,16.5,4,-2.3037686,13.603634
2797.0,13085.0,1333.0,3970.0,599,771,936,1262,3417.0,4954.0,1141.0,2443.0,16.6,4,-1.0990833,17.830576
8144.0,26451.0,1606.0,6116.0,1459,1946,2455,3332,6858.0,9293.0,1894.0,3357.0,16.6,4,-3.0015597,11.868132
5340.0,15058.0,2217.0,5833.0,1520,2166,1984,2713,6703.0,9800.0,2034.0,2193.0,16.6,4,-2.2978814,13.587713
40560.0,96963.0,11159.0,26708.0,442,236,187,188,53803.0,71816.0,38169.0,61118.0,16.6,0,13.791479,2.925151
107318.0,245205.0,6380.0,13289.0,336,247,0,72,147958.0,195045.0,55675.0,77202.0,16.6,3,11.346428,-2.8961496
2287.0,13975.0,750.0,3320.0,355,1141,408,1473,1412.0,4528.0,1021.0,1489.0,16.6,4,-0.22566248,18.732561
10625.0,15778.0,1320.0,2508.0,505,1210,304,1159,1443.0,4294.0,507.0,1498.0,16.6,4,-0.1730041,18.955898
35440.0,85338.0,7355.0,17198.0,331,275,197,87,44664.0,58760.0,39478.0,48822.0,16.7,0,14.061796,4.312607
21786.0,59156.0,11583.0,29024.0,381,216,152,98,33119.0,42853.0,19045.0,45223.0,16.8,0,14.705561,6.1950707
36985.0,76938.0,5345.0,12350.0,233,260,544,170,43429.0,56644.0,48786.0,49830.0,16.8,0,14.092578,4.4900165
4365.0,13628.0,1641.0,4093.0,2775,4260,3637,5457,8800.0,13292.0,2365.0,2133.0,16.9,2,-1.6823206,6.6225953
75560.0,160441.0,10599.0,15477.0,1031,539,234,176,110071.0,132113.0,42657.0,48472.0,17.0,3,11.877782,-1.3861371
8164.0,22085.0,1673.0,6696.0,3890,5341,4438,5889,11884.0,15799.0,1971.0,2155.0,17.1,1,-3.2176788,0.8180376
11785.0,25288.0,2593.0,5792.0,4028,5471,5553,7797,15731.0,22304.0,2481.0,5156.0,17.1,1,-2.285547,-1.6217914
667.0,3643.0,0.0,623.0,272,1206,358,1571,1143.0,4843.0,1299.0,2526.0,17.1,4,-0.2160957,18.54098
1531.0,6567.0,453.0,1971.0,1846,3005,2137,3349,5701.0,8982.0,644.0,2140.0,17.1,4,-2.2053406,11.481197
2268.0,8547.0,822.0,3214.0,770,1142,1138,1791,2816.0,4687.0,375.0,829.0,17.2,4,-1.1720017,17.022064
2425.0,8646.0,82.0,2328.0,1312,2095,1677,3031,4914.0,8030.0,370.0,1728.0,17.2,4,-1.4428309,13.203216
4383.0,15380.0,0.0,583.0,1864,2465,2457,3263,7286.0,10254.0,944.0,2434.0,17.2,4,-2.7781806,11.637656
55073.0,138481.0,1320.0,6829.0,405,242,83,106,81796.0,107709.0,25949.0,47455.0,17.3,3,12.030655,-1.0875502
2959.0,12458.0,116.0,487.0,1691,2921,2241,3778,5493.0,8574.0,1416.0,1467.0,17.3,2,-1.8684782,10.452955
4696.0,14638.0,2846.0,7325.0,2458,4320,3276,5631,10390.0,17353.0,2820.0,4106.0,17.4,2,-1.4762092,6.7674966
1931.0,10900.0,1376.0,4094.0,1680,2814,1862,3130,5284.0,8552.0,445.0,1774.0,17.5,4,-1.8215802,12.596423
4322.0,24035.0,698.0,3980.0,1752,2899,2492,4129,7845.0,13116.0,352.0,939.0,17.5,2,-2.0236883,9.051217
877.0,3992.0,432.0,3145.0,483,1497,747,2632,2596.0,7808.0,1124.0,1692.0,17.5,4,-0.4329399,15.546305
1146.0,5201.0,806.0,2378.0,204,918,345,1580,1387.0,5927.0,278.0,334.0,17.5,4,-0.24548437,18.613514
