FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster
22706.0,48218.0,6026.0,15144.0,400,363,267.0,162.0,25743.0,32360.0,11138.0,27955.0,18.2,1
10167.0,32238.0,4979.0,13268.0,2775,3572,3858.0,5062.0,12103.0,15991.0,1185.0,4461.0,18.2,0
3446.0,11206.0,679.0,2673.0,939,1162,1104.0,1336.0,3126.0,3972.0,1085.0,1191.0,18.2,4
218095.0,351625.0,69465.0,121623.0,1303,994,513.0,198.0,158061.0,169288.0,93248.0,93896.0,18.2,2
36471.0,83114.0,4737.0,8560.0,0,42,283.0,154.0,12003.0,14984.0,8913.0,14369.0,18.3,1
3794.0,8213.0,945.0,2231.0,2175,2796,2597.0,3618.0,6048.0,7871.0,871.0,1148.0,18.3,4
3796.0,12588.0,1040.0,2810.0,2017,2597,2635.0,3476.0,7683.0,9925.0,667.0,1285.0,18.3,4
23409.0,44510.0,8934.0,20805.0,207,172,0.0,30.0,17329.0,21372.0,5743.0,14693.0,18.3,1
10431.0,14453.0,1144.0,2727.0,1546,2205,1944.0,2594.0,4913.0,7038.0,1033.0,820.0,18.4,4
4123.0,10454.0,823.0,2289.0,985,1470,2178.0,3547.0,4903.0,7979.0,1518.0,2340.0,18.4,4
2713.0,16930.0,700.0,3523.0,1357,2397,1811.0,3443.0,4857.0,10030.0,63.0,418.0,18.4,4
2023.0,7276.0,0.0,334.0,6328,8982,9465.0,13470.0,14978.0,21251.0,1115.0,3929.0,18.4,2
49845.0,97819.0,2137.0,5144.0,0,57,0.0,111.0,39647.0,47438.0,37900.0,38175.0,18.5,3
26724.0,50590.0,2998.0,6388.0,14,165,17.0,33.0,24250.0,30544.0,8893.0,24620.0,18.5,1
31438.0,54754.0,19769.0,36896.0,7,64,54.0,72.0,30428.0,36480.0,24676.0,28413.0,18.5,1
32048.0,59644.0,7334.0,14693.0,245,182,48.0,69.0,28694.0,32745.0,30604.0,33216.0,18.5,1
48046.0,88513.0,10900.0,18298.0,76,275,119.0,23.0,26345.0,31518.0,24573.0,29379.0,18.5,3
6050.0,14221.0,4320.0,7968.0,856,1079,1996.0,2458.0,5648.0,7181.0,1494.0,2939.0,18.5,4
48286.0,101779.0,8302.0,15737.0,506,334,0.0,101.0,64020.0,71047.0,52725.0,51912.0,18.5,3
2492.0,9830.0,104.0,802.0,320,273,158.0,95.0,753.0,4249.0,8496.0,16339.0,18.6,1
157339.0,291266.0,44740.0,77468.0,448,333,594.0,221.0,171215.0,196004.0,85466.0,93386.0,18.6,2
4008.0,12891.0,1570.0,4280.0,4734,6767,5331.0,7598.0,11571.0,16197.0,1283.0,1498.0,18.6,2
4543.0,8707.0,930.0,2241.0,29,22,168.0,163.0,818.0,4577.0,12767.0,21735.0,18.7,1
45668.0,100244.0,6579.0,12016.0,237,154,188.0,115.0,49079.0,61322.0,29985.0,47153.0,18.7,3
26349.0,53233.0,3340.0,5875.0,243,246,298.0,134.0,30436.0,37000.0,18931.0,29952.0,18.7,1
7318.0,20713.0,1519.0,3726.0,3253,4206,4290.0,5713.0,10541.0,14009.0,1178.0,1343.0,18.7,0
82540.0,142653.0,9839.0,18378.0,29,305,232.0,196.0,63408.0,72318.0,62704.0,59666.0,18.8,3
31934.0,65085.0,32690.0,59810.0,306,210,32.0,16.0,36475.0,43930.0,24432.0,36686.0,18.8,3
51546.0,101179.0,3664.0,7531.0,260,230,58.0,76.0,27952.0,33417.0,15932.0,27117.0,18.8,3
25341.0,48391.0,5482.0,13068.0,643,279,0.0,0.0,21895.0,27583.0,7996.0,18776.0,18.8,-1
16091.0,23016.0,2900.0,4820.0,2488,3152,3392.0,3875.0,9634.0,12026.0,2528.0,2846.0,18.8,0
2948.0,16527.0,1177.0,4736.0,2740,5063,2909.0,5363.0,7240.0,13363.0,448.0,1777.0,18.8,0
49231.0,104946.0,6098.0,12146.0,213,174,244.0,153.0,42511.0,52977.0,18802.0,44557.0,18.8,3
7844.0,11997.0,1649.0,2813.0,868,1055,1393.0,1625.0,3550.0,3982.0,1664.0,1280.0,18.8,4
4498.0,11250.0,1005.0,2293.0,2367,2785,3591.0,4478.0,8351.0,10074.0,2655.0,2842.0,18.9,4
48567.0,75498.0,25854.0,48263.0,3666,4422,4526.0,5330.0,13055.0,15288.0,3341.0,4092.0,18.9,0
25270.0,66071.0,9310.0,18086.0,195,186,169.0,66.0,34592.0,41220.0,25227.0,37629.0,19.0,1
23094.0,52206.0,10944.0,19716.0,1103,1377,2471.0,3172.0,8186.0,9812.0,2102.0,2873.0,19.1,4
7137.0,9749.0,492.0,4423.0,985,1070,1356.0,1993.0,4210.0,6507.0,0.0,689.0,19.2,4
351605.0,613864.0,21985.0,37817.0,1078,1443,17982.0,21245.0,138950.0,153189.0,101074.0,112619.0,19.3,2
1788.0,8840.0,583.0,2510.0,1070,1426,1687.0,2534.0,4269.0,6489.0,1318.0,1751.0,19.4,4
2893.0,13521.0,0.0,1688.0,710,1533,796.0,2159.0,2495.0,6153.0,956.0,1101.0,19.4,4
8386.0,23186.0,2171.0,4828.0,2038,2612,2547.0,3470.0,8962.0,11460.0,1761.0,1654.0,19.4,4
57408.0,100048.0,6021.0,10495.0,683,316,635.0,189.0,26216.0,28355.0,22165.0,21589.0,19.5,3
243236.0,414796.0,328718.0,532291.0,5369,5449,6614.0,7339.0,128819.0,133969.0,85526.0,72973.0,19.6,2
