FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Predicted_Label,Cluster
5360.0,13159.0,726.0,2340.0,2159,2358,3485,3899,9365.0,10219.0,1143.0,2874.0,19.0,Syn,6
2330.0,6402.0,835.0,2240.0,1610,1931,2418,3150,6671.0,9137.0,799.0,1275.0,19.0,Syn,6
11194.0,24563.0,3783.0,4594.0,6889,7505,7572,7842,12581.0,13827.0,1579.0,1867.0,19.0,Syn,6
8040.0,27626.0,769.0,3187.0,4650,6226,5977,8117,13194.0,17734.0,559.0,2170.0,19.0,Syn,6
31105.0,39465.0,3434.0,4960.0,412,203,147,178,40224.0,43457.0,37471.0,34629.0,19.0,PEuk1,4
1987.0,10331.0,777.0,2851.0,2329,3617,2997,4654,7992.0,12620.0,326.0,418.0,19.1,Syn,6
3838.0,10545.0,2308.0,5175.0,3223,3746,4065,4790,11386.0,13189.0,1239.0,1317.0,19.1,Syn,6
18218.0,43429.0,5879.0,10550.0,524,373,55,48,28182.0,30310.0,6220.0,18272.0,19.1,PEuk1,4
8473.0,16555.0,2691.0,5754.0,3748,3675,4979,5425,13158.0,14933.0,1413.0,4018.0,19.2,Syn,6
15207.0,31203.0,1869.0,3787.0,299,161,292,154,21510.0,21911.0,3627.0,5376.0,19.2,PEuk1,4
22503.0,45420.0,17627.0,27183.0,228,221,80,87,38768.0,38507.0,29946.0,30276.0,19.4,PEuk1,4
15606.0,28564.0,5973.0,10513.0,432,305,248,130,24257.0,25954.0,10225.0,18985.0,19.4,PEuk1,4
1959.0,11849.0,30.0,2012.0,1085,2989,1258,3982,2518.0,8381.0,728.0,1832.0,19.5,Syn,6
3972.0,9739.0,1270.0,2803.0,1709,1795,3794,4528,9553.0,10613.0,1997.0,3283.0,19.5,Syn,6
48205.0,65050.0,14716.0,20534.0,149,206,210,121,54455.0,50941.0,59127.0,44448.0,19.6,PEuk1,4
51133.0,68492.0,7003.0,12539.0,143,267,144,119,48516.0,44933.0,43684.0,44651.0,19.7,PEuk1,4
28687.0,64613.0,13613.0,23037.0,203,153,137,112,39119.0,41113.0,7973.0,22852.0,19.7,PEuk1,4
25447.0,21163.0,2986.0,3158.0,2661,2275,3942,4249,10945.0,11865.0,3359.0,3009.0,19.8,Syn,6
11212.0,20874.0,2428.0,3672.0,2992,3313,4420,4749,14806.0,14893.0,1807.0,3539.0,19.8,Syn,6
31010.0,54159.0,2657.0,3612.0,124,106,38,93,38413.0,37144.0,24611.0,25788.0,19.8,PEuk1,4
19052.0,42840.0,3954.0,7971.0,133,128,73,2,21427.0,22154.0,10771.0,17338.0,20.0,PEuk1,4
7689.0,17058.0,1630.0,3240.0,4210,4613,6214,6916,14311.0,15713.0,1502.0,3027.0,20.0,Syn,6
44008.0,80557.0,7947.0,13628.0,804,391,269,114,54540.0,52155.0,19453.0,35778.0,20.1,PEuk1,4
1653.0,5130.0,127.0,1618.0,0,0,171,73,2682.0,5080.0,25725.0,38831.0,20.1,PEuk1,4
62226.0,101526.0,13478.0,22920.0,278,226,355,273,53634.0,52885.0,15766.0,34954.0,20.1,PEuk1,4
41419.0,73812.0,4780.0,10382.0,204,73,130,54,49262.0,52637.0,16652.0,35083.0,20.1,PEuk1,4
2188.0,10149.0,686.0,2517.0,2150,3026,2847,4051,7268.0,9975.0,340.0,1785.0,20.1,Syn,6
1557.0,9183.0,511.0,1859.0,2657,4285,2882,4786,6870.0,11542.0,188.0,584.0,20.2,Syn,6
4949.0,14832.0,1893.0,4416.0,2687,2910,3560,3651,9902.0,10104.0,1222.0,1595.0,20.2,Syn,6
24348.0,51981.0,5110.0,10144.0,212,62,190,133,37105.0,40495.0,7134.0,17101.0,20.3,PEuk1,4
8347.0,13898.0,1781.0,2754.0,3352,3169,5325,5535,11847.0,11980.0,1505.0,2884.0,20.3,Syn,6
12453.0,22849.0,4509.0,6377.0,5399,5846,6430,7098,17273.0,17997.0,1196.0,3184.0,20.3,Syn,6
480431.0,651043.0,85230.0,129995.0,1927,1770,20035,19904,222474.0,209443.0,211597.0,161043.0,20.3,Crypto,1
4057.0,10508.0,6068.0,7969.0,402,220,177,55,45819.0,28383.0,62006.0,45020.0,20.4,PEuk1,4
1941.0,11421.0,295.0,2616.0,142,59,171,99,5366.0,11535.0,14032.0,25014.0,20.4,PEuk1,4
1502.0,6310.0,1017.0,4243.0,97,0,152,35,3377.0,4193.0,19389.0,25501.0,20.4,PEuk1,4
1168180.0,988850.0,1427330.0,1764780.0,4136,3221,1363,855,2489880.0,1819560.0,1539060.0,1106800.0,20.4,Nano2,3
29216.0,33330.0,4430.0,4653.0,460,193,333,181,29332.0,26749.0,20286.0,22894.0,20.4,PEuk1,4
12148.0,26512.0,4344.0,9036.0,5851,6769,7366,8077,22350.0,25696.0,448.0,1872.0,20.4,Syn,6
2326.0,7357.0,717.0,2107.0,2386,3552,2988,4443,8061.0,11202.0,0.0,0.0,20.5,Syn,6
308441.0,439543.0,69444.0,99126.0,1396,723,166,225,341892.0,295837.0,124293.0,144365.0,20.5,PEuk2,5
5641.0,25255.0,1205.0,4126.0,1734,2169,2358,3151,6200.0,8589.0,0.0,1214.0,20.5,Syn,6
28328.0,59040.0,3508.0,5403.0,363,265,395,155,32313.0,30095.0,26130.0,25547.0,20.6,PEuk1,4
3407.0,20458.0,746.0,3361.0,1924,4404,2859,5755,7613.0,15471.0,0.0,2102.0,20.6,Syn,6
2265.0,8004.0,573.0,1271.0,930,3060,1226,3676,3470.0,11110.0,658.0,1339.0,20.6,Syn,6
4105.0,13938.0,377.0,2296.0,308,264,232,159,2936.0,4985.0,2779.0,3049.0,20.7,PEuk1,4
1172.0,4891.0,720.0,2320.0,155,68,171,70,9371.0,13450.0,2062.0,3651.0,20.7,PEuk1,4
589234.0,580575.0,109715.0,86122.0,2892,2737,301,201,1324880.0,1065940.0,748740.0,535948.0,20.7,Nano1,2
2886.0,9165.0,1180.0,3057.0,1954,3162,1953,3218,5861.0,9092.0,179.0,1039.0,20.7,Syn,6
6898.0,17571.0,1244.0,3842.0,4716,5800,6444,7902,14756.0,17887.0,0.0,380.0,20.8,Syn,6
19425.0,35323.0,4186.0,7223.0,270,132,241,150,23031.0,23910.0,5143.0,16261.0,20.9,PEuk1,4
2365.0,14822.0,969.0,3591.0,2912,5188,3594,6488,8450.0,15199.0,0.0,497.0,20.9,Syn,6
3505.0,19881.0,0.0,1017.0,530,2063,806,2843,1975.0,6783.0,351.0,380.0,20.9,Syn,6
20226.0,38370.0,3996.0,8437.0,5425,6173,7969,8695,21214.0,21688.0,2143.0,5494.0,20.9,Syn,6
20878.0,33392.0,4703.0,7226.0,0,113,242,121,21101.0,18751.0,17779.0,16579.0,21.0,PEuk1,4
10394.0,13032.0,0.0,1651.0,3271,3206,4052,3982,9214.0,8584.0,746.0,1104.0,21.0,Syn,6
8518.0,17882.0,2856.0,5435.0,3946,4117,4974,5501,13349.0,13945.0,1863.0,2827.0,21.0,Syn,6
4489.0,9686.0,2360.0,3948.0,4158,4237,4368,4603,11631.0,10956.0,709.0,1945.0,21.1,Syn,6
11303.0,14603.0,3398.0,5256.0,1930,2131,3267,3055,10056.0,9175.0,1608.0,3102.0,21.2,Syn,6
9558.0,14906.0,1462.0,5443.0,3001,3081,4505,4971,12689.0,14980.0,1077.0,1782.0,21.3,Syn,6
22192.0,35451.0,2682.0,4262.0,4354,5135,6617,6645,21030.0,21076.0,7750.0,6225.0,21.3,Syn,6
41308.0,68290.0,6704.0,12128.0,160,127,136,217,46941.0,42426.0,27408.0,35278.0,21.3,PEuk1,4
34352.0,50919.0,8416.0,11716.0,364,233,193,119,38798.0,36812.0,29289.0,30178.0,21.4,PEuk1,4
32969.0,55200.0,7993.0,15459.0,55,66,11,5,28947.0,30559.0,7798.0,18226.0,21.4,PEuk1,4
1825.0,9798.0,794.0,2661.0,2265,4140,2831,5365,7216.0,13858.0,805.0,1520.0,21.5,Syn,6
4649.0,12051.0,240.0,1282.0,1084,3073,1748,4496,4790.0,12521.0,342.0,478.0,21.5,Syn,6
892.0,2829.0,0.0,207.0,1556,2276,2082,3308,4658.0,8372.0,167.0,860.0,21.5,Syn,6
4535.0,9996.0,1273.0,3136.0,9026,10780,9163,10905,18505.0,21411.0,1319.0,2710.0,21.6,Syn,6
13796.0,24668.0,3556.0,6010.0,11931,12502,14158,14343,30002.0,27559.0,5322.0,5586.0,21.7,Syn,6
14853.0,39006.0,24031.0,49189.0,246,140,254,133,30175.0,34309.0,10240.0,24760.0,21.7,PEuk1,4
181056.0,271254.0,16932.0,26376.0,441,431,259,199,248868.0,219847.0,74421.0,107042.0,21.8,PEuk2,5
4808.0,9047.0,1122.0,3593.0,5139,5853,6580,7501,12402.0,14722.0,1409.0,1789.0,21.9,Syn,6
1158.0,4434.0,2736.0,7766.0,122,22,140,18,3494.0,5440.0,954.0,1333.0,21.9,PEuk1,4
4276.0,12063.0,2693.0,6734.0,112,66,147,85,3760.0,4818.0,339.0,525.0,21.9,PEuk1,4
1327200.0,1484040.0,1963580.0,2489430.0,3249,1851,1088,650,459937.0,354327.0,244576.0,169452.0,21.9,Nano1,2
6554.0,16995.0,1634.0,3546.0,2739,3729,3504,5293,7943.0,12488.0,2497.0,2682.0,22.0,Syn,6
3365.0,9045.0,0.0,1400.0,1404,3252,1788,4641,4365.0,11270.0,427.0,948.0,22.0,Syn,6
47208.0,61747.0,13577.0,21354.0,333,330,0,45,50074.0,46784.0,31100.0,30224.0,22.0,PEuk1,4
31981.0,47409.0,12635.0,20647.0,509,274,92,71,29301.0,28028.0,23278.0,21551.0,22.1,PEuk1,4
11110.0,18452.0,1972.0,5548.0,6163,6272,7840,7840,19280.0,19180.0,3633.0,3702.0,22.2,Syn,6
57673.0,81560.0,15570.0,24041.0,0,234,61,117,67466.0,67629.0,30028.0,59233.0,22.2,PEuk1,4
6488.0,10732.0,1556.0,3393.0,3514,3805,4672,5112,12560.0,13936.0,2426.0,2251.0,22.2,Syn,6
