FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,PC1,PC2,PC3
8788.0,15347.0,2149.0,5038.0,1936,2588,2044,2964,4860.0,5948.0,1211.0,1396.0,16.4,0,-113120.47467083574,36404.6713266419,20610.352031621434
25230.0,57850.0,2792.0,4474.0,520,348,0,0,25476.0,34342.0,24397.0,32550.0,16.6,-1,-82953.55362811853,8732.359031329404,20599.272267249664
1582.0,7601.0,588.0,2221.0,1870,3489,2566,4938,6721.0,13662.0,1161.0,3136.0,16.7,0,-115992.901172209,34818.96315716085,20379.39280301297
16748.0,44222.0,63625.0,151517.0,320,174,163,57,28594.0,37780.0,18851.0,32666.0,16.7,0,-45451.57579926062,52678.4320053001,19368.4631943321
5064.0,10982.0,2030.0,3554.0,2302,3007,2890,4162,8584.0,10801.0,1976.0,2031.0,16.7,0,-112668.099310022,34337.47377953577,19440.483778702917
3812.0,9220.0,1023.0,3617.0,1661,4053,1943,4168,5101.0,11108.0,1359.0,2059.0,16.8,0,-115603.04245584368,35791.23624570916,21273.83601544163
6115.0,25645.0,1744.0,6562.0,1120,1567,2609,4083,7646.0,12193.0,378.0,3579.0,16.8,0,-113239.89161346196,35051.75437344398,18504.288065231103
9299.0,22398.0,1582.0,5320.0,5157,7140,6206,8862,14762.0,20258.0,3095.0,5421.0,16.8,0,-107617.08902893,29475.45577203456,15494.726672744811
26200.0,64917.0,7477.0,15628.0,409,314,491,201,29671.0,39306.0,27823.0,34716.0,16.8,0,-75820.36479592242,7767.028695632849,20562.634542527856
14762.0,35032.0,1984.0,3428.0,325,245,10,17,16841.0,20140.0,14047.0,17852.0,16.9,0,-97905.4363948428,20861.582417973998,20789.57264490296
24736.0,48604.0,1589.0,2674.0,65,102,39,49,15395.0,19591.0,8858.0,17642.0,17.0,0,-96935.1557153794,22972.142526729727,16093.049355290834
5008.0,11576.0,786.0,2383.0,468,1040,736,1705,2127.0,5600.0,1356.0,2110.0,17.0,0,-116569.6412827152,36990.22072367503,22903.375748060887
33331.0,68038.0,3882.0,6870.0,409,227,450,178,31274.0,40493.0,33153.0,38441.0,17.0,0,-72026.1136914691,615.0967535152377,21984.339110308185
7908.0,27516.0,1522.0,3613.0,30155,40996,30369,41757,20073.0,26928.0,4445.0,7161.0,17.1,0,-104997.34935414024,25977.57009589103,13286.46807113439
1299.0,5164.0,372.0,2198.0,334,1957,740,3036,1890.0,8690.0,311.0,524.0,17.1,0,-119106.5170612323,37930.63707055356,22951.47257891878
681.0,3555.0,190.0,1115.0,1088,2501,1483,3283,3787.0,8448.0,1121.0,2057.0,17.1,0,-118084.1752544329,36277.767792416096,22371.030543073604
885.0,4015.0,0.0,519.0,11,0,218,150,2787.0,5386.0,16654.0,22906.0,17.2,0,-108986.18934100836,25690.361227018555,33270.736925747886
1165.0,7159.0,0.0,620.0,192,75,179,81,3859.0,6711.0,10242.0,20992.0,17.2,0,-111280.5955561638,28590.39816166185,27813.67326941401
1507.0,5622.0,68.0,438.0,0,0,147,24,6597.0,12491.0,21777.0,40502.0,17.2,0,-102147.3109910094,18487.770377179204,33438.52792445079
964010.0,1194460.0,621807.0,909461.0,3582,3062,998,691,2538210.0,2368340.0,1552430.0,1367840.0,17.2,3,2624776.43304066,-1864172.505737072,-586320.5447536152
22472.0,60685.0,20263.0,40840.0,432,272,109,177,28230.0,37850.0,28137.0,32671.0,17.2,0,-69363.86693825152,17823.528015752843,23200.195459719704
5077.0,15820.0,1023.0,2955.0,8335,11563,8373,11980,17352.0,23093.0,1325.0,1463.0,17.2,0,-109901.1654130886,29687.95810167548,13481.550794042125
375605.0,666438.0,433407.0,762129.0,951,1142,640,374,208710.0,247793.0,72785.0,81457.0,17.3,0,458033.24452315376,150800.40166104495,-91758.24923329276
8339.0,12728.0,1941.0,3860.0,3176,4230,3851,5519,9811.0,14174.0,2747.0,3811.0,17.3,0,-110296.44777782066,32701.510951767377,18596.10942648277
23895.0,49531.0,3549.0,8495.0,2262,2897,6159,7995,13544.0,18462.0,4766.0,6453.0,17.3,0,-100158.99039313878,29099.009171473364,15178.338127220655
15459.0,38194.0,4648.0,9692.0,231,140,0,0,23676.0,32943.0,16832.0,28609.0,17.4,-1,-90001.7094685658,16162.96462366294,17941.710257000246
30551.0,58696.0,13842.0,27320.0,148,98,121,82,36920.0,46588.0,34143.0,35973.0,17.5,0,-63875.18668786857,4840.26518911872,20456.4046748708
21943.0,51246.0,6165.0,13013.0,125,152,0,0,14811.0,19022.0,5790.0,14069.0,17.5,-1,-96969.87260238011,28748.751451510838,15104.779097113073
63760.0,134836.0,1076.0,5286.0,424,268,405,150,38990.0,50117.0,30022.0,44791.0,17.5,0,-58732.65756054813,-7440.429335998117,9216.985081043622
15348.0,31059.0,1900.0,4576.0,5311,7515,6596,8600,16530.0,22615.0,1634.0,2811.0,17.6,0,-105235.60126156006,29385.207843061544,12504.390286196834
2953.0,12504.0,808.0,3249.0,2995,4742,3523,5625,9428.0,15224.0,1232.0,2875.0,17.7,0,-114139.12050088156,33502.94361478504,18561.92999753052
4287.0,18248.0,1670.0,4437.0,3828,5535,5249,7740,13987.0,20709.0,2592.0,5223.0,17.8,0,-110123.09462634052,30665.19951886084,16432.698623140037
2265.0,7559.0,884.0,3146.0,424,1269,311,1552,797.0,4085.0,152.0,424.0,17.8,0,-118922.18101484932,38832.84711837525,23387.163684766874
8243.0,16467.0,2365.0,3456.0,877,1987,1627,2997,5511.0,10026.0,1570.0,1824.0,17.8,0,-112699.3856256133,36035.77308740679,20552.4194505596
7762.0,16596.0,1311.0,2982.0,2352,3244,3812,5114,8653.0,11796.0,2715.0,3468.0,18.1,0,-111528.1568644035,32965.61010448758,19372.37537031444
7846.0,13260.0,3012.0,4735.0,1268,1447,3277,4226,9156.0,11653.0,2230.0,4151.0,18.2,0,-110197.57899659358,34012.63297772856,18728.562972410396
96544.0,166168.0,11313.0,21986.0,276,392,191,109,160702.0,179931.0,76286.0,77793.0,18.2,0,37615.8630540343,-91956.88830656964,-38105.50454118637
28349.0,51563.0,5961.0,9943.0,490,208,0,42,34467.0,41222.0,31794.0,37403.0,18.3,0,-71917.45079180927,1756.4872536700932,19982.134272005253
36465.0,60367.0,9154.0,18148.0,0,17,402,168,36506.0,41757.0,28915.0,32637.0,18.3,0,-67542.59935667759,4362.041311493165,15730.354918598883
1353.0,5887.0,542.0,1979.0,717,1982,1031,2559,2728.0,7039.0,275.0,219.0,18.4,0,-118669.63147275252,37691.82576257597,22427.44157763185
9644.0,20868.0,1807.0,4381.0,3043,4215,3885,5352,8199.0,11903.0,805.0,2020.0,18.5,0,-111629.85664306476,34528.63894179104,18024.05170579042
4085.0,14775.0,904.0,2584.0,2458,3567,2982,4359,8518.0,12766.0,2009.0,3112.0,18.5,0,-113668.9628444413,33497.19125049736,19522.13138816845
2581.0,7143.0,257.0,2303.0,3066,3922,3864,4987,8262.0,10409.0,638.0,2753.0,18.6,0,-115423.7343347424,34048.747401512745,18868.895160090127
26477.0,60633.0,2729.0,6125.0,261,183,81,99,35319.0,43312.0,21400.0,37257.0,18.6,0,-78681.45774624191,4416.346492054581,11662.044154307578
21742.0,42859.0,5570.0,12502.0,151,91,0,0,27477.0,33066.0,12704.0,27455.0,18.6,-1,-87065.27035988694,16539.990475685045,11551.657406191043
1398.0,8441.0,228.0,2504.0,1658,4734,1637,4981,3493.0,9611.0,0.0,124.0,18.6,0,-118658.92760198016,37240.774429600766,21723.731295011155
4962.0,9561.0,80.0,2036.0,3709,4739,3872,4705,8356.0,9978.0,729.0,1251.0,18.7,0,-114763.08846986608,33851.449618682425,18588.86528654426
25749.0,59706.0,6993.0,12242.0,381,250,150,72,37263.0,43285.0,30852.0,34414.0,18.7,0,-71900.48109388212,2253.4371352330127,18234.188667488288
18100.0,39575.0,509.0,2333.0,4106,4916,6229,7698,18066.0,21746.0,3527.0,6485.0,18.8,0,-103084.18947731477,25893.92121647987,12198.393620061395
2032.0,12940.0,362.0,2052.0,1371,2444,1802,3351,4573.0,8641.0,866.0,2181.0,18.8,0,-117170.1004101359,35986.1342410236,21469.28789351157
460286.0,684177.0,91876.0,109518.0,749,393,0,50,48664.0,52672.0,53531.0,46627.0,18.8,0,175172.9083262844,1804.8831875304456,-38529.56345919987
12704.0,27296.0,6701.0,15382.0,282,167,269,122,18023.0,21596.0,13588.0,18919.0,18.8,0,-94989.34170584948,23777.87307669565,20241.80716242434
1341.0,5056.0,334.0,1224.0,0,0,232,159,5737.0,9564.0,3809.0,4879.0,18.8,0,-115356.3261652107,33577.582263887,22908.69919494714
1502.0,8754.0,0.0,0.0,191,183,346,561,2163.0,4529.0,5989.0,16654.0,18.8,0,-114278.54669093832,32181.002612527507,25883.483980504607
