FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,SOM_Cluster,Final_Cluster
30250.0,73496.0,2713.0,5814.0,71,54,254.0,211.0,24945.0,32857.0,14413.0,24070.0,5283.2,6,7
19145.0,39113.0,3046.0,8619.0,245,136,0.0,15.0,20399.0,25682.0,13840.0,22083.0,5283.3,6,7
3573.0,11819.0,1323.0,3286.0,770,1566,1337.0,2381.0,3868.0,6867.0,1135.0,2168.0,5283.3,11,3
32923.0,73271.0,8979.0,18278.0,255,220,139.0,119.0,40566.0,50647.0,38625.0,44941.0,5283.3,15,5
29764.0,59951.0,15522.0,33140.0,0,60,250.0,179.0,38820.0,44452.0,34329.0,36055.0,5283.4,22,0
1046.0,4287.0,741.0,2642.0,454,1299,642.0,1842.0,1412.0,5367.0,453.0,575.0,5283.4,19,1
4753.0,11561.0,1587.0,3397.0,2415,3187,2761.0,3730.0,8138.0,11221.0,2718.0,2827.0,5283.4,4,6
142344.0,280279.0,32758.0,62595.0,230,209,33.0,113.0,153932.0,183854.0,66681.0,88839.0,5283.5,17,5
38407.0,85406.0,3261.0,4473.0,520,450,5.0,41.0,42430.0,50171.0,28974.0,41794.0,5283.5,15,5
3313.0,12406.0,260.0,2087.0,103,0,121.0,65.0,6583.0,7588.0,3343.0,5055.0,5283.5,6,7
3914.0,12249.0,195.0,496.0,31,0,165.0,93.0,2899.0,5100.0,2008.0,2511.0,5283.5,6,7
5130.0,8635.0,0.0,979.0,0,0,102.0,79.0,1480.0,13211.0,18085.0,36572.0,5283.5,6,7
256334.0,411451.0,78491.0,145307.0,913,962,0.0,159.0,605998.0,691239.0,218246.0,246177.0,5283.5,10,3
6499.0,13330.0,2197.0,3777.0,1179,1793,1341.0,2087.0,4698.0,6603.0,1346.0,1367.0,5283.5,19,1
8734.0,20081.0,187.0,3142.0,1158,1585,2228.0,3356.0,6305.0,9236.0,638.0,2555.0,5283.6,11,3
3253.0,17286.0,1201.0,4398.0,1801,2953,1947.0,3116.0,6162.0,10006.0,1211.0,1685.0,5283.7,11,3
17788.0,29326.0,1773.0,1929.0,2413,2689,3494.0,4129.0,9140.0,11101.0,4016.0,3608.0,5283.7,4,6
695.0,3875.0,221.0,1008.0,995,2132,1066.0,2372.0,2932.0,6811.0,335.0,509.0,5283.7,11,3
36084.0,78530.0,25415.0,46843.0,2081,2457,5487.0,6954.0,14472.0,18607.0,6905.0,8133.0,5283.8,7,2
3310.0,11933.0,1934.0,5450.0,6579,9427,6141.0,8857.0,13821.0,18896.0,1083.0,1733.0,5283.8,7,2
3072.0,12382.0,954.0,3113.0,2183,3405,2831.0,4494.0,8467.0,14271.0,2291.0,4972.0,5283.8,4,6
8300.0,14735.0,781.0,2541.0,56,1503,187.0,1772.0,1446.0,6542.0,399.0,1023.0,5283.8,19,1
16908.0,31972.0,3343.0,5420.0,0,23,10.0,43.0,21171.0,24677.0,19608.0,22510.0,5283.9,6,7
6429.0,19030.0,1568.0,3078.0,206,152,125.0,93.0,4397.0,4869.0,837.0,1516.0,5283.9,6,7
7685.0,8758.0,465.0,1948.0,0,0,100.0,116.0,1418.0,6677.0,24245.0,34259.0,5283.9,6,7
307234.0,517167.0,241103.0,447444.0,1695,1752,2619.0,3065.0,338287.0,379265.0,150661.0,175777.0,5283.9,8,2
5206.0,9561.0,1241.0,3241.0,1531,2198,1435.0,2265.0,3685.0,6284.0,869.0,1303.0,5283.9,19,1
36354.0,64732.0,2504.0,6435.0,0,80,26.0,92.0,46001.0,51335.0,41836.0,42948.0,5284.0,15,5
21479.0,42865.0,942.0,3647.0,0,13,17.0,95.0,16734.0,21377.0,11142.0,20373.0,5284.0,6,7
4708.0,11570.0,3.0,1177.0,1070,1423,1852.0,2380.0,4259.0,5776.0,820.0,1095.0,5284.0,11,3
4746.0,11250.0,0.0,1478.0,95,63,384.0,217.0,14148.0,12186.0,2994.0,3446.0,5284.0,6,7
617054.0,862508.0,55166.0,86694.0,3819,4354,60973.0,67293.0,588433.0,599008.0,517855.0,471462.0,5284.0,14,4
1866.0,6055.0,0.0,1734.0,130,23,199.0,548.0,1429.0,5225.0,3198.0,4760.0,5284.0,6,7
3864.0,13067.0,1143.0,3574.0,1126,1430,2086.0,2775.0,6023.0,7935.0,3046.0,4921.0,5284.0,11,3
2703.0,9228.0,604.0,2120.0,774,1905,873.0,2710.0,2531.0,7752.0,0.0,540.0,5284.1,11,3
2024.0,8428.0,1423.0,4125.0,242,169,49.0,0.0,4077.0,6778.0,19390.0,32351.0,5284.1,6,7
1249320.0,1145280.0,2176320.0,2241350.0,5706,3868,1311.0,966.0,2225430.0,1913800.0,1854240.0,1387220.0,5284.1,1,-1
5847.0,13339.0,2027.0,4164.0,2410,3021,3136.0,3796.0,9693.0,11634.0,1929.0,3464.0,5284.1,4,6
5500.0,9283.0,1773.0,2534.0,2551,3385,2879.0,3854.0,8083.0,10796.0,1670.0,2931.0,5284.2,4,6
9909.0,25355.0,4773.0,9827.0,494,288,237.0,116.0,13924.0,17690.0,8112.0,14707.0,5284.2,6,7
5858.0,8820.0,1028.0,2674.0,1235,1205,1898.0,2266.0,5039.0,6583.0,667.0,1480.0,5284.2,19,1
6018.0,16670.0,1306.0,3976.0,3249,4386,3794.0,4958.0,11263.0,14028.0,1675.0,4303.0,5284.2,13,4
76293.0,154323.0,5940.0,12892.0,218,183,340.0,204.0,44819.0,54097.0,31212.0,41271.0,5284.2,15,5
10127.0,19776.0,1714.0,2747.0,2178,2584,2499.0,3543.0,8931.0,11094.0,2265.0,3416.0,5284.3,4,6
9398.0,16973.0,1350.0,3471.0,782,915,2432.0,3082.0,6906.0,9217.0,1573.0,1982.0,5284.4,11,3
6131.0,18740.0,708.0,3151.0,1091,1489,1668.0,2557.0,5385.0,7500.0,373.0,1996.0,5284.5,11,3
3713.0,9546.0,1299.0,4347.0,1976,2277,2784.0,3503.0,8150.0,10342.0,1170.0,2702.0,5284.6,4,6
26176.0,33764.0,4334.0,5723.0,20,59,475.0,188.0,20437.0,23734.0,14326.0,18841.0,5284.7,6,7
485.0,2865.0,432.0,2421.0,162,160,140.0,66.0,3272.0,8097.0,3929.0,7047.0,5284.7,6,7
1913.0,4835.0,123.0,1409.0,116,0,174.0,100.0,21313.0,29419.0,3195.0,4202.0,5284.7,6,7
2502.0,12634.0,367.0,1511.0,157,77,179.0,88.0,3519.0,9524.0,14173.0,24426.0,5284.7,6,7
721874.0,930673.0,74366.0,120651.0,4749,4181,345.0,274.0,1985380.0,1739970.0,695067.0,618054.0,5284.7,1,-1
46584.0,87437.0,7748.0,12993.0,707,341,232.0,111.0,55838.0,64051.0,30525.0,49868.0,5284.7,9,2
4119.0,18677.0,966.0,3594.0,1562,2077,2418.0,3476.0,6490.0,9316.0,1080.0,1414.0,5284.7,11,3
1346.0,6900.0,422.0,1659.0,342,974,563.0,1790.0,1714.0,5255.0,560.0,1218.0,5284.8,19,1
41673.0,69670.0,9528.0,16136.0,106,71,0.0,0.0,48268.0,51875.0,45869.0,45816.0,5284.9,15,5
42977.0,71932.0,13816.0,22801.0,1665,2278,4158.0,5257.0,11158.0,13569.0,5550.0,5641.0,5284.9,13,4
260304.0,486274.0,27784.0,47884.0,408,569,87.0,118.0,109331.0,114873.0,72466.0,70679.0,5284.9,3,6
159616.0,284755.0,29706.0,48204.0,595,487,247.0,216.0,118857.0,123580.0,120883.0,103940.0,5284.9,3,6
6364.0,19714.0,1023.0,3244.0,5941,7835,8598.0,11393.0,21983.0,26884.0,4180.0,9929.0,5284.9,21,1
57835.0,103208.0,1927.0,3652.0,176,267,302.0,124.0,37315.0,43153.0,31733.0,37758.0,5285.0,22,0
3061.0,12786.0,698.0,3561.0,1595,2149,1571.0,2225.0,4262.0,5920.0,1047.0,1404.0,5285.0,19,1
44073.0,77484.0,5649.0,9708.0,136,155,61.0,44.0,50459.0,55963.0,43155.0,42925.0,5285.0,15,5
4520.0,17255.0,1036.0,2452.0,3300,4294,4499.0,5547.0,11523.0,14659.0,542.0,3257.0,5285.0,13,4
9531.0,14478.0,2162.0,3152.0,2658,3046,3494.0,4242.0,10831.0,11940.0,3423.0,3573.0,5285.1,4,6
17342.0,38345.0,2463.0,4259.0,139,55,10.0,127.0,20874.0,21822.0,16461.0,17718.0,5285.2,6,7
3591.0,12726.0,1071.0,3607.0,1413,2036,1716.0,2525.0,4639.0,7066.0,530.0,505.0,5285.2,11,3
6603.0,16270.0,702.0,1303.0,2223,3070,3444.0,4499.0,8924.0,11042.0,2160.0,3893.0,5285.3,4,6
830.0,5438.0,434.0,2998.0,414,1113,491.0,2028.0,1804.0,8318.0,395.0,656.0,5285.3,19,1
5838.0,10171.0,1218.0,2867.0,222,129,335.0,133.0,8505.0,9909.0,12788.0,9761.0,5285.4,6,7
821.0,2969.0,257.0,1249.0,136,54,146.0,26.0,25106.0,44852.0,4197.0,5845.0,5285.4,22,0
2957.0,8023.0,3.0,868.0,239,155,81.0,15.0,6524.0,12200.0,7044.0,7001.0,5285.4,6,7
2448.0,14978.0,472.0,2369.0,136,48,87.0,0.0,2935.0,5497.0,5027.0,9819.0,5285.4,6,7
1866.0,6423.0,530.0,2525.0,227,132,185.0,98.0,4747.0,6839.0,9452.0,15558.0,5285.4,6,7
810828.0,800323.0,285737.0,397749.0,7188,5882,1259.0,768.0,4451430.0,3436120.0,2190230.0,1605220.0,5285.4,18,5
5099.0,9180.0,2171.0,4981.0,1830,2192,2193.0,2888.0,5780.0,6936.0,524.0,1536.0,5285.4,11,3
5991.0,19609.0,1553.0,4724.0,2791,3266,3894.0,5053.0,10602.0,13839.0,2222.0,3506.0,5285.4,13,4
11318.0,24991.0,3290.0,4438.0,3549,4107,5053.0,5746.0,14355.0,16160.0,6169.0,6973.0,5285.5,13,4
5685.0,11935.0,980.0,1865.0,2111,2467,2806.0,3248.0,7540.0,9096.0,1354.0,2301.0,5285.5,11,3
47234.0,100082.0,20102.0,36582.0,324,142,0.0,0.0,59826.0,67347.0,36480.0,53193.0,5285.6,9,2
8304.0,14656.0,1919.0,5672.0,1848,2254,2707.0,3276.0,8819.0,10080.0,3143.0,2946.0,5285.6,11,3
1432.0,4472.0,303.0,1125.0,0,0,260.0,191.0,8884.0,8119.0,2605.0,3339.0,5285.6,6,7
719.0,3747.0,0.0,28.0,64,0,220.0,167.0,4167.0,7529.0,1435.0,1862.0,5285.6,6,7
2312.0,9920.0,192.0,1061.0,115,0,269.0,338.0,1739.0,3983.0,6955.0,12844.0,5285.6,6,7
935003.0,1360870.0,134253.0,206749.0,3520,3926,46484.0,47143.0,572866.0,533918.0,487246.0,422860.0,5285.6,23,0
1876.0,7549.0,1381.0,6394.0,46,0,146.0,54.0,4463.0,9730.0,24555.0,54599.0,5285.6,6,7
55293.0,102678.0,14455.0,26187.0,186,218,456.0,219.0,67062.0,74164.0,43170.0,66087.0,5285.6,9,2
4007.0,15721.0,2056.0,5212.0,1870,2652,2855.0,3863.0,7403.0,9667.0,974.0,2031.0,5285.6,4,6
4430.0,8015.0,0.0,1242.0,1804,2168,2401.0,2819.0,7329.0,8674.0,1050.0,1201.0,5285.7,11,3
3025530.0,1805120.0,8720510.0,6575380.0,17320,8049,4703.0,2339.0,370775.0,291484.0,184258.0,130109.0,5285.7,16,5
4419.0,12610.0,2638.0,7285.0,1997,2245,2502.0,3215.0,8018.0,9406.0,2879.0,4392.0,5285.7,11,3
800.0,4204.0,1162.0,4610.0,1111,1798,1960.0,3226.0,4401.0,7231.0,360.0,1393.0,5285.7,11,3
21839.0,41638.0,3427.0,5300.0,62,119,109.0,53.0,25836.0,29008.0,14129.0,20987.0,5285.8,6,7
4877.0,8753.0,417.0,2153.0,0,0,124.0,139.0,1568.0,4605.0,10346.0,12141.0,5285.9,6,7
30696.0,51531.0,19692.0,36620.0,321,271,400.0,188.0,41976.0,44357.0,29100.0,38461.0,5285.9,22,0
7388.0,11681.0,449.0,2448.0,0,29,204.0,131.0,16321.0,15722.0,4802.0,2559.0,5285.9,6,7
993047.0,1187580.0,124238.0,188829.0,1393,1255,595.0,248.0,1338120.0,1098540.0,658715.0,505402.0,5285.9,2,6
7028.0,16683.0,1119.0,3942.0,4483,5373,5802.0,7061.0,13319.0,16136.0,1287.0,2797.0,5285.9,7,2
25497.0,50924.0,20784.0,37689.0,1317,1425,3515.0,4135.0,8882.0,9842.0,2526.0,3831.0,5286.0,4,6
12341.0,30623.0,1946.0,5236.0,339,240,122.0,78.0,19067.0,22027.0,6078.0,13526.0,5286.0,6,7
2096.0,7653.0,2478.0,5261.0,816,1716,1290.0,2476.0,3120.0,5755.0,959.0,1326.0,5286.0,11,3
67510.0,110547.0,4188.0,5883.0,189,103,162.0,128.0,33353.0,36711.0,29508.0,38703.0,5286.0,22,0
10369.0,20875.0,4571.0,7315.0,3838,4859,5588.0,6580.0,14259.0,17257.0,4436.0,3699.0,5286.1,13,4
2871.0,9743.0,1335.0,4562.0,8211,12031,11484.0,16902.0,5733.0,7965.0,0.0,160.0,5286.1,21,1
2519.0,14951.0,1541.0,5180.0,695,1144,1952.0,3435.0,5616.0,10066.0,977.0,2282.0,5286.1,11,3
9723.0,22888.0,2483.0,5044.0,2963,3138,3643.0,3986.0,10208.0,11439.0,2503.0,2494.0,5286.1,4,6
28298.0,56732.0,4066.0,7044.0,0,76,131.0,77.0,49540.0,50618.0,39312.0,44077.0,5286.1,15,5
272389.0,388308.0,1183750.0,1913780.0,891,474,0.0,138.0,155817.0,151857.0,85189.0,76183.0,5286.2,3,6
9374.0,16057.0,2763.0,5553.0,601,955,1559.0,1930.0,4636.0,6208.0,3227.0,3014.0,5286.2,19,1
