FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Row_Status,SOM_Cluster,SOM_X,SOM_Y,HDBSCAN_Cluster
3982.0,-0.3521870434282655,878.0,-0.1259670263720335,2700,0.0938530134569861,3872,0.1265653698710239,10004.0,-0.2274895319317066,1292.0,2496.0,1,0-0,0,0,2
2542.0,-0.3614207795034709,832.0,-0.1246720815409924,2017,-0.0754699214069335,2717,-0.0437199776430847,7209.0,-0.2366927402293424,670.0,2507.0,1,0-0,0,0,2
1194.0,-0.3785734293092211,796.0,-0.123452424200128,704,-0.0088926041611202,1011,-0.1405190888787833,2108.0,-0.2482734763776126,1459.0,2292.0,1,0-0,0,0,2
48657.0,-0.0545917814052045,8117.0,-0.1013875430165595,113,-0.6387278475869113,0,-0.6606664946287243,52853.0,-0.0551925748998596,45433.0,51425.0,1,1-0,1,0,3
25436.0,36553.0,5920.0,12304.0,391,271.0,0,0.0,24756.0,27486.0,29818.0,26385.0,0,4-5,4,5,1
24537.0,-0.1922198467005311,3283.0,-0.1169438206743428,254,-0.6288218799690221,272,-0.6322856033763729,32005.0,-0.1377106616242505,23364.0,26514.0,1,1-0,1,0,3
20540.0,-0.233947254205506,1812.0,-0.1221198356239985,251,-0.6490945578847023,222,-0.6429284375960046,17233.0,-0.2016669377762042,15649.0,17677.0,1,1-0,1,0,3
3166.0,-0.3412316181590747,981.0,-0.1176665805800402,2569,0.8660577449724403,3176,0.6357320736483288,6585.0,-0.2062743691991658,665.0,1161.0,1,0-0,0,0,2
26467.0,-0.1904681778439639,4615.0,-0.1102187656142993,309,-0.6246751958499056,0,-0.6571188832221804,46939.0,-0.0700404694180378,27656.0,49461.0,1,1-0,1,0,3
799.0,-0.3835543361067461,832.0,-0.1249675849399364,1722,0.0325742370300437,1909,-0.0166905574027499,5836.0,-0.2316929390140375,865.0,2169.0,1,0-0,0,0,2
3970.0,-0.3421053111828883,2583.0,-0.1165259751038615,3774,0.5492971525399375,5133,0.5799838944026385,12991.0,-0.2052798477453056,2055.0,4475.0,1,0-0,0,0,2
20676.0,-0.2217241174899976,4535.0,-0.1162361182666808,95,-0.6610738675621496,295,-0.6368468180419293,33473.0,-0.1266038771063355,17679.0,27685.0,1,1-0,1,0,3
8719.0,-0.3398611192981908,2404.0,-0.1197539262451923,2187,-0.1222353034169684,3365,0.0431120348789905,10130.0,-0.2279246350677704,1599.0,1539.0,1,0-0,0,0,2
1905.0,-0.364705693960652,547.0,-0.1242354140979669,1173,0.036951292489111,1643,0.248028827076028,4863.0,-0.217357844620506,2452.0,4535.0,1,0-0,0,0,2
3228.0,-0.3181644092068224,0.0,-0.1292947334378485,1450,0.1793207805787741,2377,0.4673049987757433,5447.0,-0.211752006894255,126.0,252.0,1,0-0,0,0,2
1274.0,-0.3696309242419536,324.0,-0.1270511662305796,704,-0.076621778106688,721,-0.213498523527687,2000.0,-0.2454103423483355,1111.0,1842.0,1,1-0,1,0,3
2408.0,-0.3744919123891512,1093.0,-0.1230025814463216,5453,0.9851597277270612,5947,0.6578624114701029,13944.0,-0.2013134164781523,304.0,743.0,1,0-0,0,0,2
