FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,SOM_Cluster,Final_Cluster
5527.0,16076.0,2557.0,7187.0,4882.0,6184,5167,6883,14965.0,19496.0,5038.0,5180.0,16.7,7,6
151963.0,318950.0,26112.0,51483.0,1163.0,1349,206,168,103244.0,123368.0,73757.0,76005.0,16.8,3,-1
18237.0,21937.0,2624.0,4438.0,210.0,142,212,130,11979.0,14901.0,13426.0,14661.0,16.8,6,5
3982.0,9859.0,1004.0,4169.0,2029.0,2790,2524,3316,7882.0,9851.0,1471.0,2726.0,16.8,11,7
5287.0,9298.0,1338.0,4232.0,1969.0,2890,2727,3886,8276.0,11767.0,2327.0,3561.0,16.8,4,4
5358.0,9880.0,475.0,2013.0,2817.0,3990,3238,4667,8971.0,12604.0,766.0,2533.0,16.8,4,4
24767.0,56529.0,4059.0,9827.0,245.0,179,147,98,27336.0,34659.0,11059.0,28845.0,16.8,6,5
38143.0,56624.0,10800.0,19552.0,269.0,130,0,79,32624.0,39678.0,39236.0,39636.0,16.9,22,3
3406.0,11724.0,825.0,2837.0,1365.0,2129,1979,2799,4641.0,6851.0,1146.0,1200.0,16.9,11,7
27340.0,64578.0,11960.0,29418.0,71.0,173,93,92,35824.0,44551.0,35112.0,39584.0,16.9,22,3
3507.0,15909.0,1105.0,3088.0,1960.0,2760,2170,2924,5089.0,7305.0,699.0,862.0,16.9,11,7
53140.0,104031.0,4787.0,12370.0,321.0,258,250,141,61535.0,79775.0,36186.0,67770.0,17.0,0,-1
4466.0,10205.0,1721.0,4135.0,3059.0,4139,4202,5835,10356.0,13611.0,1529.0,3220.0,17.1,13,0
1460.0,4315.0,516.0,2608.0,517.0,1653,551,2131,1628.0,5898.0,1587.0,2067.0,17.1,19,2
10017.0,15049.0,1848.0,3334.0,1721.0,2962,2748,4640,7897.0,12332.0,59.0,1093.0,17.1,4,4
1416.0,5164.0,549.0,4475.0,681.0,813,1009,1364,3030.0,4479.0,609.0,647.0,17.1,19,2
5861.0,22328.0,1462.0,4397.0,2637.0,3887,3308,5107,9641.0,15890.0,1736.0,3278.0,17.1,13,0
10982.0,17472.0,964.0,4200.0,1984.0,2779,3071,4462,9669.0,14594.0,506.0,2251.0,17.1,4,4
6018.0,7652.0,10.0,1398.0,267.0,127,418,212,7646.0,6007.0,6613.0,4089.0,17.1,6,5
738.0,3199.0,281.0,821.0,95.0,142,125,1048,179.0,5287.0,5872.0,9589.0,17.1,19,2
547104.0,762304.0,41792.0,66049.0,4785.0,4978,66617,75915,414809.0,437465.0,278001.0,263748.0,17.1,14,0
42745.0,74323.0,2422.0,7620.0,0.0,147,83,106,42489.0,51986.0,28755.0,48269.0,17.1,15,1
9776.0,22230.0,1965.0,4515.0,2676.0,3668,4235,5331,12003.0,16107.0,5842.0,6050.0,17.2,13,0
4937.0,17273.0,2722.0,5840.0,3914.0,5176,5058,6722,12930.0,17551.0,2015.0,3509.0,17.4,7,6
14196.0,35143.0,9114.0,20198.0,10.0,0,171,91,16579.0,21528.0,9007.0,16838.0,17.4,6,5
22152.0,43555.0,7503.0,14398.0,583.0,331,0,0,25722.0,30774.0,20591.0,25787.0,17.5,6,5
11691.0,22140.0,1398.0,4062.0,3816.0,5004,4761,6338,13843.0,17006.0,1632.0,4335.0,17.5,13,0
4541.0,16031.0,702.0,2433.0,1937.0,2526,2926,4172,7514.0,10647.0,2265.0,4216.0,17.5,4,4
3460.0,20733.0,1340.0,5660.0,1460.0,2780,2020,3907,5849.0,11234.0,1132.0,2494.0,17.5,4,4
7469.0,16253.0,1776.0,5231.0,2234.0,2559,2860,3596,8375.0,10288.0,899.0,2270.0,17.6,4,4
2286.0,6222.0,0.0,85.0,44.0,80,149,74,1170.0,4287.0,4816.0,5515.0,17.6,6,5
1572.0,7207.0,413.0,5818.0,185.0,69,139,7,223.0,7607.0,12738.0,20309.0,17.6,6,5
208231.0,381789.0,40344.0,70727.0,1395.0,1974,624,375,172523.0,201820.0,93481.0,113210.0,17.6,17,2
14536.0,22306.0,3798.0,7114.0,239.0,187,336,222,22463.0,27847.0,10410.0,22210.0,17.6,6,5
382050.0,644088.0,39065.0,66401.0,1766.0,1280,109,167,654749.0,716057.0,220049.0,254243.0,17.7,10,7
36180.0,57627.0,7451.0,13826.0,270.0,255,0,76,32066.0,38078.0,30268.0,34260.0,17.7,22,3
24648.0,52494.0,7115.0,15419.0,427.0,201,237,133,28139.0,32483.0,25864.0,27172.0,17.8,6,5
10850.0,29802.0,868.0,3471.0,2382.0,2886,2702,3387,8515.0,10212.0,979.0,2715.0,17.9,11,7
7634.0,26692.0,1241.0,3415.0,2688.0,3354,3695,4889,10368.0,13276.0,1047.0,3224.0,18.0,4,4
10304.0,19108.0,1371.0,3200.0,2959.0,3564,4069,5297,9641.0,12389.0,2920.0,2950.0,18.0,13,0
2889.0,12699.0,494.0,2428.0,2606.0,4202,3081,4915,7430.0,11625.0,110.0,2433.0,18.0,13,0
2643.0,10478.0,1508.0,5422.0,1492.0,2558,2398,4138,6462.0,11557.0,1062.0,3092.0,18.1,4,4
10298.0,22542.0,1574.0,2784.0,1434.0,1809,3381,4167,8404.0,10431.0,2727.0,3926.0,18.1,4,4
11813.0,24106.0,1807.0,4160.0,0.0,0,52,0,14009.0,16889.0,11692.0,15410.0,18.1,6,5
19483.0,36691.0,2344.0,5198.0,148.0,81,263,117,25713.0,30603.0,16011.0,23212.0,18.2,6,5
7818.0,18075.0,2406.0,5609.0,3207.0,4011,4520,5877,13558.0,17298.0,1255.0,2960.0,18.2,13,0
83094.0,142760.0,65893.0,118393.0,61.0,359,130,119,53193.0,60452.0,59749.0,61492.0,18.3,9,7
12116.0,16117.0,41.0,1187.0,1815.0,1783,2222,2354,5620.0,5581.0,2175.0,1410.0,18.3,11,7
13315.0,20740.0,2353.0,3694.0,2986.0,3528,3438,4024,10045.0,11883.0,2441.0,3296.0,18.4,4,4
1808.0,6589.0,587.0,3048.0,210.0,131,158,72,5758.0,11865.0,4326.0,6767.0,18.4,6,5
7089.0,12700.0,403.0,2876.0,74.0,44,125,156,5021.0,5425.0,9089.0,6680.0,18.4,6,5
