FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,SOM_Cluster,Final_Cluster
31949.0,84092.0,0.0,541.0,360,139,193,126,23736.0,27863.0,15312.0,27134.0,5268.8,6,6
31819.0,56902.0,99285.0,176383.0,10922,13389,16116,20191,41840.0,50051.0,13516.0,13925.0,5268.8,21,0
14149.0,42282.0,13380.0,28850.0,2159,2385,2795,3364,8530.0,9495.0,2563.0,3057.0,5268.9,11,3
4011.0,10502.0,1335.0,2129.0,1634,2033,2208,2709,6679.0,7457.0,2281.0,2282.0,5269.0,11,3
6195.0,16715.0,1090.0,2551.0,1798,2177,2454,3188,7737.0,9118.0,1862.0,2741.0,5269.1,11,3
5940.0,9260.0,1308.0,1907.0,2280,3917,3370,5617,8341.0,15194.0,1792.0,2028.0,5269.1,13,4
1130.0,6179.0,252.0,1716.0,396,1475,295,1466,853.0,4417.0,148.0,181.0,5269.1,19,0
4072.0,8689.0,798.0,3058.0,2240,2586,2979,3822,7122.0,8728.0,380.0,2379.0,5269.1,4,5
17077.0,26623.0,2373.0,2381.0,254,211,36,104,25447.0,26777.0,23092.0,25290.0,5269.2,6,6
16242.0,17318.0,1778.0,3311.0,2624,3145,3885,4809,11819.0,13806.0,4720.0,4952.0,5269.2,4,5
27852.0,54654.0,23353.0,40471.0,509,304,0,37,36408.0,40426.0,30361.0,32548.0,5269.3,22,0
43308.0,90597.0,4152.0,9628.0,379,255,122,81,53745.0,62544.0,39245.0,53472.0,5269.3,9,1
2002.0,5915.0,983.0,2321.0,2732,3317,3596,4692,8412.0,10983.0,1692.0,2125.0,5269.3,4,5
1851.0,10912.0,89.0,852.0,497,1735,559,2519,1566.0,6692.0,38.0,113.0,5269.4,11,3
4902.0,8139.0,1707.0,6159.0,3753,4288,4616,5694,11532.0,14065.0,1520.0,2832.0,5269.4,13,4
11651.0,22733.0,2253.0,5729.0,3002,3555,4147,5330,12680.0,15329.0,1958.0,5308.0,5269.4,13,4
34718.0,49043.0,3132.0,4574.0,131,141,57,134,30388.0,32666.0,29550.0,27295.0,5269.5,6,6
19827.0,32970.0,2301.0,4080.0,303,153,412,309,16582.0,18901.0,11652.0,15840.0,5269.5,6,6
8415.0,15695.0,1592.0,3615.0,4858,6018,6422,7925,14851.0,18626.0,1267.0,2904.0,5269.5,7,1
14300.0,21690.0,1855.0,2776.0,3517,4438,4535,5543,13383.0,16722.0,2818.0,3555.0,5269.5,13,4
3406.0,12829.0,781.0,4159.0,1742,2328,2170,2994,6947.0,9856.0,430.0,1776.0,5269.5,11,3
2793.0,9033.0,331.0,2081.0,1475,1902,1539,2129,4084.0,5429.0,418.0,824.0,5269.5,19,0
5153.0,11191.0,2772.0,5431.0,3005,3611,3819,4955,9715.0,12504.0,962.0,2165.0,5269.6,13,4
