FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,SOM_Cluster,Final_Cluster
92183.0,160486.0,6186.0,10390.0,0,55,100.0,60.0,65455.0,64672.0,50250.0,53613.0,6653.8,9,-1
14645.0,25114.0,5547.0,9367.0,3861,4549,5901.0,6633.0,16459.0,18185.0,3756.0,4424.0,6653.9,13,7
63212.0,111446.0,11849.0,20435.0,3089,3517,9089.0,9962.0,22864.0,23642.0,9775.0,8292.0,6653.9,21,1
1039900.0,1096020.0,1858850.0,2453640.0,7210,5400,8546.0,8994.0,454825.0,412677.0,215178.0,202638.0,6653.9,12,6
1482.0,5988.0,703.0,3369.0,577,1587,616.0,1976.0,1767.0,5701.0,240.0,251.0,6654.0,19,0
55812.0,103625.0,45147.0,83028.0,3143,3558,9890.0,11254.0,20171.0,22972.0,7850.0,10295.0,6654.0,21,1
4298.0,11896.0,3036.0,6611.0,3286,4387,3478.0,4475.0,9229.0,10920.0,1555.0,2480.0,6654.1,4,2
1190.0,6434.0,102.0,847.0,170,156,175.0,53.0,726.0,4264.0,6169.0,10914.0,6654.2,6,4
45392.0,76964.0,6763.0,10386.0,349,254,282.0,169.0,38514.0,42244.0,23781.0,35821.0,6654.2,22,1
12110.0,20383.0,1313.0,3837.0,3653,4221,5192.0,5627.0,16015.0,17366.0,3891.0,4769.0,6654.2,13,7
57883.0,100331.0,5173.0,8138.0,355,205,374.0,253.0,41058.0,39623.0,29798.0,33342.0,6654.2,22,1
1015.0,3402.0,612.0,1905.0,758,1904,905.0,2804.0,2140.0,5846.0,1649.0,2206.0,6654.2,11,6
2637.0,11030.0,293.0,1759.0,729,2095,921.0,2928.0,2353.0,7390.0,107.0,266.0,6654.2,11,6
6335.0,11309.0,1738.0,3667.0,2314,2577,3422.0,3895.0,9027.0,9583.0,1272.0,1797.0,6654.2,4,2
23775.0,58383.0,33532.0,61090.0,4807,5340,5868.0,6786.0,17348.0,19547.0,3289.0,3505.0,6654.3,7,5
6604.0,12868.0,770.0,1964.0,1187,1152,1789.0,1823.0,5203.0,5604.0,1479.0,1555.0,6654.3,19,0
193808.0,324937.0,8725.0,15808.0,439,249,0.0,15.0,127154.0,120273.0,58694.0,62657.0,6654.3,3,2
2121.0,8728.0,0.0,692.0,219,159,103.0,77.0,3555.0,5693.0,1457.0,1779.0,6654.3,6,4
651304.0,921317.0,54515.0,80986.0,1103,1268,16.0,124.0,609006.0,526400.0,299800.0,265552.0,6654.3,8,5
32488.0,51954.0,4315.0,7487.0,278,168,201.0,92.0,25681.0,27134.0,17835.0,23655.0,6654.3,6,4
994.0,3831.0,1361.0,4035.0,1650,2061,2196.0,2950.0,6101.0,7718.0,1319.0,1516.0,6654.3,11,6
15154.0,19115.0,1752.0,3238.0,1932,2921,4049.0,4754.0,12421.0,13629.0,3756.0,2509.0,6654.3,4,2
7618.0,22200.0,2406.0,6173.0,10045,13327,15100.0,20280.0,6280.0,7906.0,629.0,1314.0,6654.4,21,1
17377.0,22728.0,2056.0,3536.0,3316,3826,4535.0,4852.0,13788.0,14468.0,3753.0,4206.0,6654.4,4,2
9362.0,29112.0,1797.0,4302.0,3569,4659,4750.0,5614.0,13257.0,15972.0,810.0,1853.0,6654.4,13,7
28285.0,59176.0,3714.0,7537.0,3470,3907,5279.0,6241.0,16623.0,17653.0,4427.0,5057.0,6654.4,13,7
47321.0,86067.0,17898.0,30015.0,318,172,383.0,157.0,36286.0,36095.0,27776.0,30097.0,6654.4,22,1
93559.0,172936.0,26204.0,42622.0,136,111,254.0,159.0,66997.0,66268.0,51150.0,55746.0,6654.5,9,-1
103361.0,168658.0,5245.0,7989.0,375,304,84.0,153.0,55654.0,58944.0,40084.0,49134.0,6654.5,9,-1
150103.0,237488.0,12410.0,21584.0,322,279,321.0,179.0,99376.0,99764.0,91199.0,96538.0,6654.6,0,2
13292.0,21895.0,2540.0,6632.0,2280,2975,3517.0,4332.0,10751.0,11724.0,1892.0,3196.0,6654.6,4,2
2305.0,9108.0,744.0,2888.0,2021,3118,2613.0,3831.0,5234.0,7458.0,553.0,1002.0,6654.6,4,2
2540.0,9717.0,717.0,2766.0,1318,1756,1843.0,2637.0,4561.0,6775.0,424.0,904.0,6654.6,11,6
2923.0,8984.0,935.0,3288.0,998,1473,1445.0,2382.0,3678.0,6239.0,1128.0,1064.0,6654.7,11,6
2357.0,8505.0,0.0,1639.0,121,83,226.0,133.0,1584.0,4869.0,10310.0,16530.0,6654.8,6,4
87506.0,161279.0,11212.0,18465.0,207,225,150.0,128.0,62731.0,59964.0,45656.0,47486.0,6654.8,9,-1
73163.0,127171.0,64501.0,108469.0,10805,10457,17579.0,18554.0,14814.0,15438.0,3834.0,3865.0,6654.8,21,1
72664.0,112096.0,15613.0,25513.0,415,155,152.0,126.0,50780.0,49371.0,49142.0,45325.0,6654.9,15,3
9802.0,23733.0,1283.0,2153.0,3084,3216,4770.0,5261.0,12710.0,13486.0,2289.0,2636.0,6655.0,13,7
15693.0,11990.0,971.0,4231.0,2198,2165,2817.0,2894.0,6990.0,6564.0,2184.0,1482.0,6655.0,11,6
40761.0,66127.0,11483.0,19949.0,3484,3424,8970.0,9374.0,19958.0,19765.0,8793.0,7982.0,6655.0,7,5
7665.0,14595.0,599.0,2816.0,4175,4838,5487.0,6114.0,13103.0,15172.0,4048.0,3380.0,6655.1,13,7
33087.0,63883.0,4387.0,8641.0,288,115,0.0,0.0,35271.0,32746.0,22280.0,25030.0,6655.1,6,4
2491.0,13986.0,1065.0,4906.0,1281,2149,1720.0,2922.0,3751.0,6829.0,0.0,0.0,6655.2,11,6
37703.0,66154.0,4263.0,6294.0,364,324,90.0,64.0,27227.0,26983.0,20771.0,24167.0,6655.2,6,4
58141.0,96031.0,12429.0,17563.0,363,257,324.0,200.0,36877.0,34718.0,30145.0,27092.0,6655.3,6,4
7489.0,24017.0,1810.0,3882.0,3499,3842,4322.0,5144.0,10474.0,12430.0,1144.0,4242.0,6655.4,13,7
9582.0,17259.0,1913.0,3801.0,4323,5125,5487.0,6408.0,14621.0,16700.0,2669.0,3287.0,6655.5,13,7
87734.0,136755.0,8553.0,12994.0,242,181,686.0,282.0,60802.0,59505.0,51863.0,51441.0,6655.5,9,-1
19732.0,39206.0,5183.0,8052.0,2252,2446,3134.0,3485.0,9053.0,9834.0,2853.0,2438.0,6655.5,11,6
51480.0,83600.0,6869.0,11608.0,200,208,0.0,6.0,52274.0,50356.0,45617.0,40395.0,6655.5,15,3
