"FSC-A","FSC-H","SSC-A","SSC-H","FL1-A","FL1-H","FL2-A","FL2-H","FL3-A","FL3-H","FL4-A","FL4-H","Time"
15363,44923,22934,50062,1682,2128,2437,3184,7221,9497,1258,2827,16.6
15868,39385,3426,7744,532,391,48,0,21198,27718,12637,23057,16.6
1643,5892,73,933,1351,2380,1576,3147,3874,7204,472,1318,16.7
18531,45866,5374,10797,4170,5849,4615,6203,13173,18012,2277,3323,16.9
3989,9988,739,2197,200,214,0,35,6012,3971,1353,1060,16.9
4133,17652,188,1212,92,0,68,0,2231,9061,14913,32945,16.9
10323,15788,2653,4460,1481,1791,2581,3400,8261,10346,2104,3148,17.1
2508,15216,674,3586,666,3405,1014,5979,1989,10492,865,1544,17.1
2670,11687,593,2620,448,1744,494,1741,1472,4682,799,1050,17.1
2994,13511,422,1636,669,2114,753,2156,2220,6117,434,600,17.1
4409,16300,933,4567,1958,2643,2803,3816,8011,11652,1851,3480,17.2
10111,23891,2576,5306,3747,5169,4981,6903,15616,20819,3683,3965,17.2
4344,12108,1539,4343,2171,3019,3408,4510,8875,12086,1803,3479,17.3
22580,34530,1259,2582,290,201,127,107,31412,39901,27855,35516,17.3
9244,20617,3597,6771,3255,4581,4802,6536,13494,17065,1325,3056,17.3
3192,11161,1273,3599,133,52,98,41,4922,6296,790,1142,17.6
3056,8843,2284,5155,2479,3129,3037,4056,9090,12086,2316,4229,17.7
4586,14162,1845,4252,680,987,1236,1787,3163,3905,916,1553,17.7
4708,13893,961,2655,7264,10805,11017,16532,9988,14787,588,2284,17.8
3422,15994,0,482,270,230,193,100,5191,7267,617,2249,17.8
1790,11810,99,574,228,622,238,1115,603,3871,138,107,17.9
3092,9184,717,1978,2047,2882,2458,3492,7166,10280,951,2607,17.9
31899,63079,6917,14365,0,49,364,155,30163,35536,17061,24976,18
4566,9625,1155,3048,1807,2071,2642,3492,6783,9054,2642,2944,18
1920,10462,1019,3483,1260,2191,1693,3172,4904,9511,425,591,18
1297,6669,755,2723,260,245,163,83,6141,8729,1045,1779,18.1
3803,11112,576,2996,148,68,270,149,1316,3804,3821,6171,18.1
3482,6867,0,1115,171,74,210,156,2568,9992,20128,47749,18.1
373507,652396,66377,115478,991,975,153,126,543550,577961,190330,215743,18.1
18732,38109,2961,4786,0,239,285,167,24279,28407,17574,25785,18.2
383,1993,0,604,113,0,103,0,4255,7102,272,369,18.2
1071,5651,0,422,74,0,162,43,1736,5975,1497,7476,18.2
1552,6617,140,1008,88,11,109,0,1284,8966,12408,28625,18.2
291210,532075,31891,62321,447,921,316,172,462092,493409,134915,154227,18.2
766,4976,0,611,151,35,121,21,1588,6367,12,2104,18.2
94080,181971,20507,36446,41,116,143,115,68352,75302,29856,35943,18.4
814,3198,1131,3438,1516,2476,1933,3401,4287,7574,416,755,18.4
