"FSC-A","FSC-H","SSC-A","SSC-H","FL1-A","FL1-H","FL2-A","FL2-H","FL3-A","FL3-H","FL4-A","FL4-H","Time"
142189,186557,14007,16029,0,175,172,155,198941,153623,83336,61082,17.9
2347,12115,1138,4612,439,810,605,1568,1600,4302,1296,3654,18
2677,11957,1299,3776,1224,2019,1996,2963,6074,9569,138,346,18
1654,10734,978,5387,659,1688,791,2073,2226,5842,373,1034,18
4643,11658,417,4690,1108,1917,1398,2550,3040,6411,401,272,18
13820,26743,1925,3344,5703,5421,7931,7765,21300,20440,2228,3410,18
8680,22389,6704,13353,278,152,140,78,11892,12532,4053,8514,18.1
9992,20706,3565,6877,2594,2875,3952,4173,11757,13122,1483,2244,18.1
47582,81685,9844,15722,3297,3084,8194,7803,21065,18535,8328,8483,18.2
74285,97073,6891,9233,511,280,591,223,59713,49018,44183,40124,18.2
158969,221472,31939,41195,3928,2607,65752,45945,101610,76258,139915,118695,18.2
29196,47465,3833,6656,5918,5930,8268,8079,22279,22378,5313,5696,18.3
8451,15624,2466,4493,4674,5271,6299,5846,15388,15312,4113,2636,18.3
62639,93295,16623,22771,360,246,0,46,74517,66189,74537,52164,18.3
7530,17030,2123,3956,3765,3596,5098,5269,13071,13854,1120,2030,18.3
1716,9626,387,2159,469,1202,655,1907,1772,4486,1277,2735,18.3
9877,20348,2760,4174,2625,2564,3734,3768,9234,8993,466,1355,18.3
9015,13135,3560,5383,388,364,119,99,9140,7321,5439,5911,18.4
49073,71620,6627,7311,2,150,264,117,37403,33475,33188,28508,18.5
33648,58106,442,2844,4569,4446,7726,7476,19177,18460,4712,5866,18.5
3094,15553,1486,5582,2483,3399,2771,3802,6721,9145,85,887,18.5
2630,9829,2871,9188,1190,1554,1816,2337,4351,5521,600,786,18.6
17018,37973,2035,4788,5208,5190,7529,7508,17767,17630,291,1418,18.6
4175,16428,317,1693,2171,3447,2669,4688,6716,11158,361,534,18.7
7501,16486,2166,3594,3690,3811,5219,5292,12232,11752,1377,2193,18.8
144072,220493,14204,21957,746,426,516,176,100648,88288,78240,70759,18.8
14744,20948,3165,5640,2995,2387,4715,4624,11600,12051,3148,2614,18.8
17288,36467,4027,6403,1731,1755,4848,4995,12134,11998,3306,4168,18.8
59336,80361,6423,9327,336,238,200,169,52592,47729,49296,41118,18.8
24975,43871,4138,7079,7662,7995,9883,9771,21060,20275,2795,3780,18.9
20244,45723,10929,17922,3137,3175,6959,7189,19191,20783,3504,6920,18.9
910191,794295,1.24816e+06,1.30906e+06,4901,2711,2574,1693,102303,81463,55337,43017,18.9
3837,12368,490,1647,1743,2670,2512,3916,6585,9650,472,859,18.9
23326,33903,4663,7020,5606,5174,7682,7146,19714,18896,3651,3874,19
477736,587405,47191,66256,1443,889,11516,9715,220154,174809,178267,136795,19
9707,19037,2691,4740,3189,3594,4539,4607,12739,12358,740,1106,19
28393,46783,16049,23129,0,0,196,72,31082,28782,15400,26681,19
8691,20337,3869,6671,3043,3051,4261,4377,10668,10874,3130,5044,19
2445,6786,954,2382,1715,1809,1918,2109,4826,5819,272,397,19.1
6181,12314,3235,5276,3068,2826,4284,4227,11368,12020,1391,2124,19.1
10901,24511,5932,11774,4882,5275,6569,6730,17012,17449,1378,1671,19.2
16067,26207,2217,4978,6352,6275,7439,7592,18853,17964,5296,3157,19.2
44920,78157,14726,23457,2917,2917,7940,7973,20684,19807,3630,7227,19.2
6239,13440,1359,3484,3102,3668,3485,3560,8906,9798,1727,1612,19.3
4263,8309,2756,5121,2100,2010,3488,3441,9726,9977,2329,2069,19.3
18095,36347,5683,9595,13426,12139,1258,1183,46312,45396,20249,44121,19.4
5930,11755,513,2686,2074,2003,3368,3664,7617,7357,763,1412,19.4
425205,533826,117956,166458,520,606,421,168,171616,147047,102137,89491,19.4
89631,136999,40330,62045,514,431,2,38,76621,66247,50262,49081,19.5
6148,21920,1917,5621,4128,5193,4641,5823,10489,13197,256,1092,19.5
63300,88960,8270,12864,435,218,299,151,63486,53920,42812,33329,19.5
245261,340089,16017,20455,800,669,95,134,141936,116528,83442,68986,19.6
666938,745828,329890,420403,1881,1814,939,584,184440,157406,95889,84578,19.6
7154,15505,731,1914,152,179,0,19,10693,6263,3356,2458,19.6
484771,644667,75598,111958,1284,1078,0,159,544339,446615,175260,150804,19.6
82145,121315,10549,16370,252,274,431,172,81426,73343,49846,55873,19.6
9526,12019,2061,3151,3065,3270,3465,4246,8557,9017,2485,2798,19.6
16583,32310,2183,4815,8154,8353,10531,11042,23216,22842,3514,4420,19.6
8220,13896,2705,5245,3201,3644,4271,4348,10705,11210,1100,1641,19.6
31270,54422,7904,13724,0,104,144,94,35735,30230,23880,22765,19.6
5836,18036,1546,3512,3910,3831,4766,5164,12935,13447,253,2280,19.7
4315,10064,985,3312,2292,2713,3984,4440,8876,9451,217,783,19.7
13304,32738,2955,5404,3074,3032,3935,3656,10072,8995,363,1336,19.7
17421,29594,1280,2923,2739,2963,6206,6048,15734,15069,4414,4508,19.8
6271,20071,1256,4065,2462,2994,2702,3720,7501,9402,3,767,19.8
7395,17296,3896,6728,2835,2713,3719,3800,8921,9479,2158,2097,19.9
16520,33074,2772,5683,5541,4995,7303,6871,23029,22152,4281,4821,19.9
6258,20407,2389,6578,2262,2938,3343,4136,7638,9841,1907,1974,20
4758,10669,1203,4930,1927,2268,2547,3318,6357,8074,197,341,20.1
10391,16725,0,921,2041,2332,3026,3829,7302,9438,1270,1706,20.1
993906,920922,1.41179e+06,1.41096e+06,1338,636,54,175,132442,107927,46015,53964,20.3
3849,12677,1155,4085,1911,3633,2641,4905,6249,11849,592,667,20.3
58008,76228,16147,24078,331,142,269,165,71841,64415,54887,44520,20.3
5706,16999,472,2195,2002,2310,3697,4524,9779,11681,68,1057,20.3
3867,10745,1503,2961,1520,1691,1754,1937,4170,4629,129,561,20.4
400555,530004,32439,51758,1407,1077,79,67,183390,160950,155953,136137,20.4
285972,402250,16635,25119,1191,782,488,240,311563,263411,106018,104880,20.4
13125,17112,1690,3635,4538,4212,5770,5818,14910,13659,2526,2465,20.4
3386,8251,283,1962,2356,2593,2942,3562,7015,8275,548,635,20.4
77396,114320,17465,29182,400,257,111,94,74706,67999,41965,49315,20.4
22407,40076,12884,21873,183,182,235,97,35121,30769,21520,21408,20.4
23083,37861,4693,6874,5084,4835,7305,7115,19098,18976,2350,4798,20.5
10754,22726,2413,6269,3530,3749,4660,5201,12262,12525,895,2531,20.5
23928,34584,9027,13018,245,151,1,75,42789,38509,20613,23675,20.6
107406,167011,4236,7245,302,213,241,155,81727,74186,68123,58956,20.6
6801,22820,2442,5644,3526,4297,4818,6007,11844,14760,1834,2882,20.6
4105,10943,722,2651,539,1046,722,1744,1912,4833,2946,2506,20.6
1697,11121,873,4065,1190,2030,1710,3131,4129,8038,416,715,20.6
23653,36358,3661,6932,4342,3951,5874,5993,18005,16672,5371,5016,20.7
28966,45761,7044,11621,496,375,216,119,36755,34822,17876,24770,20.8
82732,119125,16181,24478,737,514,139,113,88982,83548,66330,64035,20.8
7259,15061,1754,2724,1128,1335,1823,2194,4722,6739,1704,1743,20.8
15643,20892,2157,4658,3659,3904,5045,5260,16345,16005,5970,5131,20.8
2056,13578,727,3221,1036,2029,1052,2147,2694,5099,395,748,20.8
7397,7944,3599,6660,2337,2003,3162,2786,7823,7855,2017,2453,20.8
24218,27471,1809,3240,3529,3407,4494,4300,15021,13721,3926,3330,20.8
1126,7216,461,3231,614,1761,759,2263,1859,4921,1039,2274,20.9
3889,11648,787,3427,2147,2856,2799,3738,6444,8569,436,908,20.9
37900,61937,3512,4919,545,281,0,0,44202,39739,34506,28822,20.9
58874,97879,29086,44581,3071,2962,8029,7472,18273,17145,5150,4954,20.9
27274,33256,4365,6287,104,200,225,117,20635,20613,10530,15435,20.9
17891,22954,3532,4770,4514,4601,5718,5698,17123,16171,3951,3594,20.9
16052,18489,880,2992,4426,4339,4369,4431,11850,10245,1204,1687,20.9
8576,17573,2950,4351,2676,2823,4014,3992,12017,12118,2715,2815,20.9
65875,105123,8852,12932,397,294,251,108,49999,43638,26140,38139,21
9833,18968,5686,9284,4083,4163,5936,5735,17348,16759,4858,3710,21
11708,29578,3288,5915,3660,3625,5322,5704,12625,12864,1064,1559,21
419928,597792,17143,24527,1055,655,3755,3931,161522,145149,194095,139305,21
7618,14423,3579,5341,1149,1318,1936,2206,4426,4728,1091,788,21.1
20489,32224,4150,5271,2642,2398,7390,7322,17705,17499,5609,5586,21.1
