"FSC-A","FSC-H","SSC-A","SSC-H","FL1-A","FL1-H","FL2-A","FL2-H","FL3-A","FL3-H","FL4-A","FL4-H","Time"
170637,377590,7487,12687,462,250,0,0,120694,155315,77507,99274,16.4
24957,54344,5463,10354,52,73,389,215,24355,30545,18805,27973,16.4
8753,23140,1555,4931,3200,4244,3826,5167,10653,14411,3482,5159,16.5
4539,12171,961,3548,1492,1986,1835,2489,4846,6743,510,1519,16.5
26397,68807,4454,10439,408,258,160,98,18384,22862,17914,23323,16.5
2506,9108,739,3381,3020,6404,5951,12977,12426,26765,6237,10855,16.6
1617,10532,962,4218,1003,2898,1344,3945,3870,10913,751,1832,16.7
6152,9974,652,2935,1105,2988,1529,4068,4152,11147,0,326,16.7
85748,198719,26929,57020,4285,5498,5895,7823,18431,24815,6711,9918,16.7
32113,76651,1452,4098,405,219,278,159,45735,63400,28848,44084,16.7
5118,11706,990,3476,3412,4837,3901,5315,9701,13407,1339,1695,16.7
12963,30258,1380,5894,4556,5806,346,373,9187,11758,8122,8630,16.7
51431,112849,7506,16065,299,182,174,156,48222,59006,39064,46605,16.8
29815,73353,6191,11894,227,211,182,115,40222,54458,20158,38819,16.8
48858,104517,12192,27460,32,251,92,119,48410,61421,32968,53133,16.8
6417,15562,1697,3543,1966,2749,2458,3451,6030,8189,0,2026,16.9
4189,13450,844,2378,1885,2267,2202,2812,6502,8607,630,1700,17
2001,8209,1060,2800,1396,1791,1480,1920,3781,4643,782,713,17
5396,15171,0,771,343,1697,283,1953,1121,5070,481,957,17
14287,31738,4823,11116,197,107,210,145,17604,22612,8537,17475,17
18811,46534,4083,11789,456,340,13,0,25710,33361,17961,30066,17
24890,60219,4657,9789,1,136,70,17,24253,29886,17849,23182,17.1
56815,127150,29572,55949,273,294,26,56,41089,53316,32298,48397,17.1
29738,54330,16563,33756,103,81,11,12,34173,42838,28740,28984,17.2
3166,8769,1084,3130,2476,3311,3046,4111,7725,10124,1036,2539,17.2
8016,15475,0,2336,2456,3339,3368,4279,8106,9700,1538,1608,17.2
74965,161279,2973,8112,453,304,51,160,75967,96392,51875,87138,17.3
5146,11752,636,1639,1335,2316,1921,3687,4357,9153,782,1185,17.4
54433,110760,5872,12765,53,125,478,220,53172,64150,55066,68028,17.4
1716,7519,207,1664,1600,2220,2168,3166,5627,8297,150,1069,17.5
9240,23281,2147,5383,1471,2143,2228,2883,5978,8260,1397,1364,17.5
38680,85798,2178,5696,623,478,463,185,26821,31765,23047,32414,17.5
12536,33333,2598,4429,240,160,128,94,19493,24167,17077,22161,17.6
9772,33414,935,2841,95,164,307,212,18975,25363,10356,20094,17.6
9345,29157,1196,3286,2226,2768,3068,4204,10315,12496,2248,4403,17.6
7492,15731,1503,3780,3083,3646,3367,4586,9212,11780,1889,2645,17.6
9980,18174,1309,3382,2906,3829,4040,5316,9529,12525,1562,2110,17.6
8737,16048,2289,4026,2138,2458,3109,3917,9499,12604,2286,3301,17.7
