"FSC-A","FSC-H","SSC-A","SSC-H","FL1-A","FL1-H","FL2-A","FL2-H","FL3-A","FL3-H","FL4-A","FL4-H","Time"
21485,38348,6814,13842,170,68,19,98,22881,28525,19488,26179,16.7
1971,11242,108,818,550,2134,886,3340,1905,7710,693,1779,16.8
2808,16733,444,2120,1555,2708,1867,3513,5018,9482,454,1041,16.8
2316,5884,520,2530,867,905,1543,2279,5499,8062,896,1601,16.9
10828,27410,3242,8304,3229,4244,4195,5299,12472,16180,2578,4207,17
5371,16167,2461,6002,2920,3887,4259,5877,12552,17132,921,2207,17
191111,382698,85525,154062,22358,27482,34777,44167,75227,91714,19427,21734,17
22978,48142,15265,31391,4119,4924,4927,6495,15299,20910,3305,4306,17
3503,10503,116,694,200,107,68,0,5385,9373,3267,2761,17.1
838,3428,0,1500,73,0,136,13,1312,4755,2554,6603,17.1
3745,12626,18,1349,91,33,39,65,5071,18502,24175,56903,17.1
599789,864159,199763,337823,1791,2136,169,212,1.43827e+06,1.44377e+06,643748,636467,17.1
70164,152615,10167,19689,157,167,0,39,107647,116369,35043,40261,17.2
1879,6590,1797,5571,1217,1669,1766,2706,6025,8790,1901,2812,17.4
10977,19021,1838,3821,3165,3261,3096,4057,8307,10803,2602,2109,17.5
13688,24752,5906,13866,1359,1695,2612,3375,8048,10733,1632,2661,17.5
6924,25590,199,2057,3328,5327,4821,8062,12819,21103,1862,3882,17.5
2556,11626,787,2928,1015,1376,1295,1867,4030,5704,1059,2106,17.6
39258,74238,1428,2591,55,130,122,93,33617,39580,18036,37725,17.6
3413,10806,1671,3304,1638,2110,2231,3037,6912,9179,1235,1940,17.7
3755,11449,751,1934,7448,9673,8124,10446,18490,22798,2253,3526,17.8
2923,11506,1138,3511,746,1724,1040,2397,2634,6283,766,1314,17.8
6018,16922,2030,4577,2216,2713,3239,4111,11362,14405,1961,3222,17.9
8505,18559,3003,6212,2464,2866,3639,4523,9885,12714,3162,3451,17.9
43391,65849,2104,3538,71,104,153,102,42741,47813,39558,37706,18
4934,7844,2188,3014,1193,1118,2546,2985,6730,7992,1632,2402,18.2
882,4891,0,670,254,184,165,42,9310,16095,50021,108876,18.4
1.79228e+06,1.70418e+06,254583,288019,5782,3523,1268,726,5.54738e+06,3.53357e+06,3.92824e+06,2.11934e+06,18.4
21786,36642,3702,5818,104,70,0,7,29406,31146,28238,31938,18.5
70462,130011,10379,18623,106,172,0,26,100373,106270,54886,59794,18.5
3712,11973,600,2513,1369,1961,1958,3065,5286,8351,1409,3087,18.5
3034,15355,921,3028,1012,1817,1526,3105,3695,7684,1508,2121,18.6
3784,7364,1211,2240,1341,1201,1843,2032,5752,6335,1106,872,18.7
3213,10165,892,2976,1685,2334,2230,3297,5101,7323,1482,1778,18.7
42229,96471,22229,37085,1837,1846,4612,4927,12401,12806,5989,6270,18.8
6095,12314,1342,4376,2803,3125,4030,4832,11643,13427,2360,3015,18.8
8369,18591,2204,4789,1230,1353,2809,3457,8274,9689,2169,4214,19
136481,235976,24819,41926,463,315,210,90,138166,134699,50874,53670,19
34056,51792,2080,4259,379,163,0,0,34479,38238,21216,33931,19.2
12970,24089,6244,13887,3161,3943,5205,6013,14546,16573,2947,5022,19.3
130801,209002,124422,201788,2284,2362,3642,3662,14827,14421,3755,4575,19.3
20360,38937,6363,13131,146,143,125,110,38403,42229,16768,32051,19.6
2163,13365,0,576,122,0,185,114,3420,8364,3254,5732,19.6
828,3190,0,664,177,70,403,361,11878,20860,4369,7769,19.6
1116,4752,0,546,191,125,340,398,8729,12792,5225,6073,19.6
1.12308e+06,926883,195312,160250,12759,6341,222092,110586,2.08345e+06,997223,1.76981e+06,756504,19.6
3985,15792,841,3079,2235,3071,3144,4389,7040,9431,1269,1519,19.6
32255,64117,12549,23957,234,109,89,169,38238,41551,19574,40307,19.6
2674,11877,1265,4664,547,1269,1239,3527,6437,15081,7680,11659,19.6
7096,21117,2537,4809,1055,1598,3809,5364,13596,20303,1322,1630,19.6
5159,19994,1785,5368,2455,3341,3557,4542,10661,13050,208,697,19.6
3390,10182,3189,6900,1395,1608,1735,2150,4490,5320,1229,2192,19.7
7096,14416,511,1838,1807,2055,3027,3399,6530,6276,792,1292,19.9
140352,223674,12537,20317,183,100,260,199,138437,133807,63752,63452,20
5563,9572,2871,4445,2299,2435,3913,4189,10636,11786,4002,2953,20
8744,7885,593,5230,865,2011,1501,2612,3935,8382,302,865,20
6248,17371,1862,4908,3080,3559,4434,5107,13809,16049,2000,3248,20.2
1859,12064,856,5588,115,0,130,25,1874,4664,12607,28054,20.4
32237,42903,10881,18826,297,259,185,79,32516,33157,14953,27378,20.4
1477,4350,909,3170,2688,3719,3277,4325,8162,10431,633,2009,20.4
4836,20399,719,1557,3523,3867,4874,5554,11223,13028,1550,3001,20.4
7887,20930,3149,7609,4683,5077,6529,7584,19116,21657,2395,5188,20.5
5450,18243,2068,5288,2391,2967,2977,3781,9368,12251,2195,4332,20.6
413581,633298,212265,340234,312,385,0,0,216062,196721,98014,101264,20.7
2285,13052,672,2928,1140,2372,1565,3036,3445,6893,559,1369,20.8
630,3761,54,649,776,2055,722,2276,1975,5638,22,788,20.8
1861,4839,969,3301,3407,4307,4204,5109,10155,12564,1593,3414,20.9
10006,15122,720,2980,2482,2789,4079,4439,11329,11422,2187,3504,21
4000,13188,1081,2455,1481,2223,2653,3856,7400,10506,1616,2459,21.1
2333,6809,460,1731,1365,1747,2161,2513,6068,7415,3,1216,21.1
3918,8789,720,3174,1148,1356,3099,4130,8165,9989,2061,2911,21.2
5906,19132,1465,3603,2601,2873,4406,5343,12757,15193,1555,2328,21.2
3313,13541,1651,5560,1619,2491,1996,3096,6301,9586,1020,2841,21.3
22588,43980,10089,16603,0,61,408,272,25840,27307,12533,22025,21.3
42960,60346,7146,11465,355,221,0,17,50993,47137,39826,39320,21.4
27926,45393,6538,10948,0,72,0,48,28250,26332,22598,22254,21.6
2308,12615,1726,5835,1338,2995,1508,3663,4184,9302,1021,2908,21.8
1518,9913,0,0,71,0,98,24,6844,12812,1009,1731,21.8
2240,8213,1088,3359,52,0,73,0,11976,13608,1795,2398,21.8
2711,10639,310,1417,109,0,131,29,3812,8427,16780,48411,21.8
829618,793393,151382,162913,2572,1567,608,271,1.44296e+06,759536,654291,337216,21.8
4193,11845,1314,3691,1855,3568,2616,5116,6784,11911,2488,2838,22.2
2186,7103,0,0,186,108,112,0,1398,4417,9088,14073,22.3
66438,108504,6165,9170,273,298,292,92,46516,43223,27729,30570,22.3
2104,11013,175,1029,145,54,270,217,1982,3846,2292,3375,22.3
536133,607441,104665,145373,6688,5426,67994,55862,752318,576734,594526,483507,22.3
1827,6415,847,3094,1248,2728,1448,3129,3405,7561,1316,1672,22.3
25785,37170,3682,6394,321,154,0,0,33526,33966,18621,27921,22.5
16394,12122,2964,7483,0,131,0,44,2984,5918,29672,43101,22.6
35718,65346,25870,45191,216,105,234,217,44479,45674,28930,44644,22.6
465534,590018,761443,911783,916,939,642,301,233789,209463,118612,103933,22.6
6355,11474,1828,4444,4044,3979,5426,5407,16326,16383,3010,2525,22.7
5439,11604,1792,3399,3055,3381,4646,5313,11375,12092,2599,3729,22.7
140255,201207,50363,79835,110,104,199,107,44735,42627,38369,40054,22.8
723,4196,451,2320,7511,13625,11645,21257,5922,10451,823,2130,22.8
3827,9586,0,2283,1410,5363,2003,8276,1917,4338,118,238,22.8
30423,46729,4538,5867,352,176,0,36,37722,37619,21490,27810,22.8
24878,44061,5697,8169,336,191,386,181,27952,24644,15617,18295,22.8
2957,7070,863,2582,1268,2672,1429,3361,4065,8647,1999,2100,22.8
7936,13013,3106,4279,2392,2695,3515,3777,10053,9982,2082,2206,22.9
7404,12390,2401,5477,2486,2798,3526,4076,9743,11468,3528,3007,23
31866,49757,8084,12158,275,278,210,49,50390,50026,25543,36374,23.1
5177,10666,889,2043,2528,2900,3039,3403,11579,12677,1495,1917,23.2
