"FSC-A","FSC-H","SSC-A","SSC-H","FL1-A","FL1-H","FL2-A","FL2-H","FL3-A","FL3-H","FL4-A","FL4-H","Time"
4111,13022,592,1634,2877,3833,3623,5092,8209,11806,1135,1792,16.4
9488,22461,2003,2915,3001,4458,5009,6970,12014,15872,2341,3312,16.4
5099,17645,1150,2915,200,77,51,0,3663,6552,1850,2922,16.4
4147,11825,15,1679,278,187,201,57,4515,5627,3691,4092,16.4
509032,814733,50192,87583,1502,1440,263,275,1.24352e+06,1.34508e+06,545900,564109,16.4
3607,18302,382,1672,260,165,188,100,2370,12855,4598,8145,16.4
4606,10708,1821,4645,1329,1585,2224,2973,6304,8313,1965,2852,16.4
20459,43656,9892,21565,328,262,67,56,29757,38414,20093,31757,16.5
8419,21538,1730,3590,336,196,267,107,11986,16018,7896,13294,16.5
5987,17816,1234,4402,3923,5475,5432,7558,13251,17658,2003,3837,16.5
25119,14219,3323,4817,971,1731,2234,2862,5653,7353,1705,1264,16.6
5362,18614,935,2726,2089,3037,3043,4542,8100,12167,535,2389,16.6
38858,66883,7425,14261,547,245,140,79,23375,28848,25426,26356,16.6
3605,9856,954,2128,521,1586,1034,2994,2424,7293,1689,2198,16.7
14059,12951,2166,4144,3074,3807,3476,4503,8493,10183,2382,1901,16.8
20054,56905,1083,2503,293,263,95,96,28443,39442,8040,23964,16.8
3787,13898,317,3587,640,1699,819,2656,2090,7032,313,813,16.8
17291,41800,889,2653,302,238,0,28,20357,24422,15511,22197,16.8
5835,13051,1230,2794,6162,8457,10021,13522,3836,5136,180,744,16.9
5035,16200,1991,3528,2877,3967,3646,4859,9323,12049,2239,2681,16.9
9999,25291,2471,4997,83,25,99,43,17472,23461,14459,20029,17
6851,13099,1898,5942,2893,3768,3513,5005,10798,13658,2873,3171,17
62524,123341,5139,8125,257,254,158,91,58920,69174,32228,34765,17
1169,5434,1033,3252,1395,4071,1748,4914,4336,11816,1457,2161,17
1765,10111,0,776,491,2275,513,2605,1356,6435,0,0,17
3582,11388,2658,7538,3705,4719,4432,6046,9936,12463,2242,3172,17
6744,13436,1357,2209,1392,2065,2294,3138,6499,7910,2008,1871,17
1657,5104,1804,3678,998,1934,1328,2006,3746,6550,579,1113,17.1
25862,61343,5956,13708,245,206,0,2,31323,39816,31176,39942,17.1
9369,18856,1838,4204,4308,5625,5079,6780,14632,17755,1945,2849,17.1
17833,44569,835,3681,3331,4607,4475,5754,14491,19723,3893,6091,17.1
8300,20251,3141,7250,4050,5875,5415,7312,12372,16300,2076,2712,17.1
8544,18457,2475,4332,5356,7073,6545,8788,16471,22333,1555,3421,17.2
15093,40125,2787,6348,212,240,71,73,18532,24822,17370,23857,17.2
53953,117775,23672,48153,299,273,185,120,67836,80928,61017,71734,17.3
107018,194172,8625,14107,234,206,276,125,139977,168042,45053,69649,17.5
1812,7272,274,2789,1595,2563,1842,2817,4653,7242,781,1492,17.6
5770,19710,1481,5193,248,189,140,80,12694,16870,3519,10439,17.6
947,3677,274,1846,116,67,263,207,1560,4399,11514,31333,17.7
36066,70707,10656,20291,131,126,297,235,51184,62235,38268,57364,17.7
12427,30864,820,2972,360,246,108,47,14707,18222,5553,13975,17.7
