FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Row_Status,SOM_Cluster,Cluster
1492.0,-0.3603420837215154,1012.0,-0.1071708826861272,952,-0.2573861211393972,1044,-0.3042611314916441,3206.0,-0.2547249462744375,370.0,446.0,1,'2-5,17
1316.0,-0.3681605588092198,724.0,-0.0987157944168272,77,-0.893005462027401,134,-0.7107695984383418,1895.0,-0.2591431033318289,25060.0,55176.0,1,'1-5,11
543794.0,3.483331469857793,521565.0,1.6567301030907962,1214,-0.5557186667878773,458,-0.6784751645740844,416559.0,2.014709732885867,182344.0,204506.0,1,'0-4,4
20173.0,-0.1726445574970588,4818.0,-0.0881057184688617,0,-0.903139900945396,65,-0.7202572287261462,26863.0,-0.1230486683723305,12624.0,28441.0,1,'1-5,11
5045.0,13224.0,786.0,2123.0,255,275.0,79,0.0,16178.0,12042.0,2468.0,3156.0,0,'2-2,14
481214.0,3.215530246699524,69489.0,0.1157537607551129,1948,-0.3371948276186084,178,-0.6917943378627329,919683.0,4.500151041546178,430036.0,374382.0,1,'0-4,4
24838.0,-0.2481280227711141,7542.0,-0.0817443832556641,450,-0.8315654260870559,7,-0.7151485047250208,23356.0,-0.150377195133959,9155.0,18427.0,1,'1-5,11
6560.0,-0.3141643689964642,2173.0,-0.1053385543648138,2763,-0.0189101053503254,3964,0.12432432131706,11266.0,-0.2265225579818016,1322.0,2216.0,1,'2-5,17
24214.0,-0.2242396045516018,3139.0,-0.1039913926684239,285,-0.8702029744619121,108,-0.7167905945825254,26948.0,-0.1197377644349733,8513.0,25951.0,1,'1-5,11
30160.0,-0.065493561911823,17591.0,-0.0254344374532425,454,-0.8065460300082555,179,-0.7129590515816813,35898.0,-0.0651838374277978,16297.0,37732.0,1,'1-5,11
29068.0,-0.130275212638517,12417.0,-0.059850650511538,188,-0.8873048401360288,130,-0.7104046895811185,33506.0,-0.0999103347904392,16174.0,29157.0,1,'1-5,11
12269.0,-0.2606257740126304,1529.0,-0.1057153828113564,154,-0.8619687428410411,86,-0.7129590515816813,16556.0,-0.1896738254724279,18875.0,17166.0,1,'1-5,11
203787.0,1.33245864044384,19815.0,-0.0407383827384545,569,-0.801478810549258,311,-0.6996398782930328,219873.0,0.9176281439641324,88654.0,89843.0,1,'0-5,5
47676.0,-0.0465402793203582,18832.0,-0.0360327375122536,512,-0.8211142859528734,0,-0.7114994161527882,42539.0,-0.0455680885267997,43446.0,38819.0,1,'1-5,11
3069.0,-0.3388351267621975,777.0,-0.110819053084218,2100,-0.041395891699627,2416,-0.1376802381692316,7549.0,-0.2417364329595265,545.0,1040.0,1,'2-5,17
3978.0,-0.3033838284570304,2655.0,-0.0998557004676187,1428,-0.1256384152054611,1899,-0.1499046848862104,5321.0,-0.252895807541832,729.0,1630.0,1,'2-5,17
3016.0,-0.3450544801359284,1924.0,-0.1062052597918618,3025,0.7478235390392397,3883,0.546706323552969,10460.0,-0.2019078869065314,1395.0,4113.0,1,'1-4,10
3600.0,-0.3361190800356948,1120.0,-0.1096367538331905,683,-0.1025192264237848,891,-0.1364030571689502,2177.0,-0.2508332772201997,661.0,1043.0,1,'2-5,17
5035.0,-0.3295159374506102,3106.0,-0.09666207938317,3267,0.3782332197486067,5082,0.4135145906664837,15172.0,-0.1951232476906355,784.0,1417.0,1,'1-4,10
17226.0,-0.2741076001550534,2082.0,-0.1063889636595513,5459,1.052806810227654,7938,0.97383214093278,22923.0,-0.1560545812298207,7047.0,7363.0,1,'1-4,10
35566.0,-0.060858569128552,3596.0,-0.1032754186199929,251,-0.8537345112201701,210,-0.701464422579149,38221.0,-0.0890603397563785,29426.0,32780.0,1,'1-5,11
37840.0,-0.0276362004739387,2698.0,-0.1059956489684725,49,-0.8714697793266615,169,-0.6868680682902191,36072.0,-0.0928000328921803,40349.0,32380.0,1,'1-5,11
256863.0,1.6558797770013611,16688.0,-0.04532391389732,134,-0.8055959263596935,0,-0.711134507295565,188889.0,0.6930077365156246,121301.0,105606.0,1,'0-5,5
6792.0,-0.3172888068068433,988.0,-0.1104422246376753,3268,0.5353170229775304,4568,0.4684333736785824,12238.0,-0.2001221698649076,459.0,1747.0,1,'1-4,10
2850.0,-0.3340426819947814,1077.0,-0.1085039133157718,2678,0.271504909893471,3594,0.2261338924823461,9421.0,-0.2244545999487965,1640.0,3154.0,1,'2-5,17
16755.0,-0.2371605080005079,3098.0,-0.1026583620387794,100,-0.8638689501381651,231,-0.7144186870105742,22074.0,-0.1632571542214158,16371.0,21496.0,1,'1-5,11
13028.0,-0.2785999020776929,2355.0,-0.1072274069531086,2709,0.0678660278850073,4201,0.1208576871734392,10976.0,-0.2278197809998809,1804.0,2220.0,1,'2-5,17
10377.0,-0.3001757442800742,4694.0,-0.1006187780718675,3680,0.4190876766367743,4979,0.3401679103646109,13513.0,-0.2153523279767506,3270.0,3099.0,1,'2-5,17
26589.0,-0.1376705355188315,5841.0,-0.091372350064828,415,-0.8391662552755521,190,-0.6821242531463169,34691.0,-0.0840288513138702,16970.0,38932.0,1,'1-5,11
42574.0,-0.0941350619027151,8042.0,-0.0802205832249574,654,-0.8204808835204987,389,-0.7016468770077606,37047.0,-0.0913942556466467,28393.0,32004.0,1,'1-5,11
8807.0,-0.3130130013624033,1071.0,-0.1103857003706939,5420,1.0249371032031676,6536,0.6012601977078446,15655.0,-0.2031725436563743,1529.0,3819.0,1,'1-4,10
3579.0,-0.3442130960956531,502.0,-0.1127809161840305,1417,-0.3789993881553381,1513,-0.4115443355152788,5602.0,-0.2593873503436012,1033.0,1285.0,1,'1-5,11
27401.0,-0.0974267924462483,4615.0,-0.0894151973205972,213,-0.8553180173011068,79,-0.7237238628697671,32591.0,-0.1022442506807074,16786.0,30094.0,1,'1-5,11
9205.0,-0.2683310804867305,1579.0,-0.1077078632224505,3636,0.3516303175888696,5398,0.4253741285262392,17033.0,-0.1935709222380385,4662.0,5975.0,1,'1-4,10
24003.0,-0.1562597103969607,4514.0,-0.0984873421711108,462,-0.8176305725748126,36,-0.7105871440097301,39580.0,-0.0774396097073921,25903.0,33795.0,1,'1-5,11
3863.0,-0.3236754529137284,2319.0,-0.1025170513713259,4354,0.9004735252415406,5982,0.762002549314685,14611.0,-0.1895869820904645,1809.0,3662.0,1,'1-4,10
16598.0,-0.2685082139688938,3573.0,-0.1028797487511232,6465,1.221925259671697,8863,0.9302255324946022,22841.0,-0.1741885649260672,4087.0,3582.0,1,'1-4,10
