FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Row_Status,SOM_Cluster,Cluster
2670.0,-0.3073595818233313,621.0,-0.1202370555793351,1052.0,-0.0599830913790459,1305,-0.179132710698067,3842.0,-0.2000736038754405,205.0,314.0,1,'0-4,4
27939.0,-0.1441338268284911,13986.0,-0.0588285617266814,188.0,-0.2006506182798779,254,-0.6874964967134335,28579.0,-0.1030041351079354,28401.0,29566.0,1,'1-3,9
7796.0,-0.2504390048299877,1548.0,-0.1148545042407472,1946.0,0.0406788673675567,2670,0.2452325321323248,8350.0,-0.1792198729004838,972.0,3047.0,1,'1-4,10
2116.0,-0.3268398619422746,1229.0,-0.1157140842810288,1562.0,0.0900161879206127,1905,0.2387888082715597,5116.0,-0.1845827352451582,1135.0,1770.0,1,'1-4,10
78852.0,0.3003754988551969,21031.0,-0.0391755450953958,1200.0,-0.128415942303775,118,-0.6932498215891166,76229.0,0.093940758266858,46662.0,52459.0,1,'0-3,3
19012.0,44328.0,6158.0,13741.0,505.0,346.0,0,0.0,21979.0,29386.0,14612.0,21620.0,0,'3-0,18
18735.0,-0.2122886709118961,12201.0,-0.0633898429989279,468.0,-0.1967623881137002,0,-0.7148823231216854,25391.0,-0.1147924702928233,22182.0,21981.0,1,'1-3,9
8288.0,-0.3032387533366317,2265.0,-0.1188171921701791,2189.0,0.0345441042164762,2863,0.1619243879324323,7836.0,-0.1892549007677321,1205.0,2730.0,1,'1-4,10
3905.0,-0.3054951900767061,1280.0,-0.118249725681191,1013.0,-0.0515153901282587,1640,0.0091160792342868,3753.0,-0.1989910694331099,1900.0,2508.0,1,'0-4,4
3140.0,-0.3545008142578583,1313.0,-0.1215252284530719,1194.0,-0.0649081829228711,1561,-0.1446127614439679,4071.0,-0.2012889646297134,1094.0,1172.0,1,'0-4,4
31944.0,-0.0721587220866975,36560.0,0.0581820705533253,1522.0,-0.0655994238413027,4169,0.5531504794788891,9206.0,-0.1832511514679357,4028.0,5494.0,1,'1-4,10
33138.0,-0.0849132525402454,1744.0,-0.1205339578773711,346.0,-0.1888995226665406,299,-0.6762199799570944,37974.0,-0.0569532527575057,15734.0,40860.0,1,'1-3,9
5998.0,-0.3144555962047621,1220.0,-0.1220687512083475,708.0,-0.0243841840798182,717,-0.1303445157522736,2463.0,-0.2008904856938862,1444.0,2102.0,1,'0-4,4
1443.0,-0.3583036506943157,125.0,-0.123048049917192,855.0,-0.0143611907625599,1019,-0.0221820080894296,2886.0,-0.1976063551311104,129.0,646.0,1,'0-4,4
29469.0,-0.1482067387048802,3802.0,-0.1071733544657515,375.0,-0.1964167676544844,128,-0.6962415505244719,29126.0,-0.1035985328538776,28774.0,30346.0,1,'1-3,9
6547.0,-0.3366496988894706,0.0,-0.1229929793296531,119.0,-0.2055757098237031,261,-0.6759898469620671,2571.0,-0.194538067325241,11947.0,28223.0,1,'1-3,9
309630.0,1.9951555131477836,23489.0,-0.0178991433183973,930.0,-0.1057778022251399,121,-0.708208466265893,486408.0,1.598148931147547,202985.0,220120.0,1,'0-2,2
3045.0,-0.3186809700230481,681.0,-0.1180390208245203,174.0,-0.2081678632678217,159,-0.6930196885940894,2717.0,-0.2053235638549638,439.0,2294.0,1,'1-3,9
5299.0,-0.3406746941555492,187.0,-0.1215946652808384,1785.0,0.0044751242647013,2098,-0.0092945603678993,6727.0,-0.1915229100441486,1235.0,1471.0,1,'0-4,4
