FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Row_Status,SOM_Cluster,Cluster
6012.0,-0.3702971745691505,1998.0,-0.1219060615122527,2992,0.1810934527733559,3705,0.2570806217515096,10038.0,-0.207002520253122,2120.0,2870.0,1,'5-4,34
22899.0,-0.1806901014879183,2361.0,-0.1224472495730312,188,-0.4746205634440932,108,-0.7176734271411637,30499.0,-0.1103297166241853,24330.0,42427.0,1,'5-3,33
10684.0,-0.2807169611080151,334.0,-0.1260685823217344,146,-0.4752862629529434,58,-0.7336807869085279,17928.0,-0.1754331032888801,13787.0,18394.0,1,'5-3,33
27207.0,-0.1531218208527396,2696.0,-0.1215378926828012,354,-0.4596423244949636,355,-0.7054325049661204,32750.0,-0.1097343976132124,30037.0,41389.0,1,'5-3,33
98583.0,0.5435216396496882,201694.0,0.6264302798981058,8840,1.407811222707066,11257,2.0105456428565485,28459.0,-0.1246734029120983,5766.0,6049.0,1,'5-5,35
8875.0,-0.3554020205189692,2188.0,-0.1233666657208964,3439,0.1749357323164916,4109,0.2568922998718935,8552.0,-0.2153930164313055,2262.0,1799.0,1,'5-4,34
1980.0,-0.3833799735525385,820.0,-0.1249821824971234,1408,-0.1818792044272167,1928,-0.2046846270670442,4889.0,-0.2303635386190076,0.0,913.0,1,'4-3,27
25095.0,-0.1931539389128682,5439.0,-0.1024916942761493,158,-0.4874352789894596,253,-0.7152252427061551,26898.0,-0.1355957558251843,14556.0,27156.0,1,'5-3,33
2625.0,-0.3736903307384295,180.0,-0.1276418502158932,94,-0.4786147604971944,172,-0.7285960961588945,4019.0,-0.2357774397423263,966.0,972.0,1,'5-3,33
1594.0,-0.3699275788184286,293.0,-0.1226263043589393,185,-0.4694613922505041,153,-0.7282194523996625,0.0,-0.2268931789726888,12063.0,22175.0,1,'5-3,33
189005.0,1.18485932636938,9937.0,-0.0921165759511146,457,-0.4496568318622106,269,-0.6954514453464699,236011.0,0.7112525410369063,124202.0,146734.0,1,'5-2,32
2929.0,-0.3597258455063313,164.0,-0.1237227634411855,140,-0.4744541385668807,119,-0.7391421214173933,4451.0,-0.2184186377576621,9135.0,22312.0,1,'5-3,33
69231.0,0.3524094658004555,10915.0,-0.0785305425888964,151,-0.4814439834098077,27,-0.7329274993900637,98250.0,0.1673305719701333,26603.0,38826.0,1,'5-3,33
11806.0,-0.2824313510360628,1550.0,-0.121984523721808,188,-0.4779490609883442,114,-0.7236997272888773,21211.0,-0.1577311174037726,15315.0,25712.0,1,'5-3,33
18865.0,-0.2417223829264192,2090.0,-0.1193127848938758,173,-0.4816104082870203,282,-0.707504045641897,23704.0,-0.1545689228925457,23044.0,27029.0,1,'5-3,33
1363.0,-0.3781878211990224,1158.0,-0.1214091341850696,1266,-0.1619082191617107,1843,-0.1707866887361553,3751.0,-0.2324191401451318,446.0,853.0,1,'4-3,27
2655.0,-0.3682488125771974,1320.0,-0.1199445062733718,2271,0.0551098207234551,3204,0.1578349911938514,9353.0,-0.2028738078181979,820.0,1710.0,1,'5-4,34
7115.0,-0.3481303354475354,880.0,-0.1240265530217712,4018,0.3852967771131554,5811,0.7506722682251759,14519.0,-0.189412594417139,2578.0,4592.0,1,'4-4,28
16045.0,-0.2545513631412391,3968.0,-0.113914987246781,272,-0.4656336200746154,59,-0.722758117890797,26818.0,-0.1354346695045681,19164.0,21797.0,1,'5-3,33
1554.0,-0.369397676477032,413.0,-0.1238897471179313,2471,0.2709628864681332,3049,0.3292079016444567,7980.0,-0.1999322315286845,4.0,1415.0,1,'5-4,34
18113.0,-0.242759922804952,4442.0,-0.110514958166054,387,-0.4444976606686215,354,-0.7041142518088082,27022.0,-0.1354556807637789,19834.0,28048.0,1,'5-3,33
10294.0,-0.3204151071042383,3546.0,-0.1192081686144688,3995,0.3107384321219328,5171,0.4148943568697593,13611.0,-0.1950646231448468,3682.0,4865.0,1,'5-4,34
15040.0,-0.2801736998840622,5865.0,-0.1066461676795228,68,-0.477283361479494,283,-0.7240763710481094,28560.0,-0.1343350802725357,18630.0,23877.0,1,'5-3,33
3273.0,-0.3717532927677781,2040.0,-0.1189063908854102,4659,0.6036462160160218,5001,0.5712015169510806,11976.0,-0.1993439162707818,2429.0,3943.0,1,'4-4,28
12786.0,-0.2799020692720859,2329.0,-0.1185321865013776,460,-0.4516539303887612,193,-0.7282194523996625,21801.0,-0.1569326895537619,16567.0,23124.0,1,'5-3,33
3220.0,-0.3393134729604325,908.0,-0.1219000259576716,2083,0.0174977984734187,2623,0.016216937722582,7286.0,-0.2144545135198893,570.0,1734.0,1,'4-3,27
2576.0,-0.3548008708039394,1330.0,-0.1191518367717112,2281,0.0474542763716778,3032,0.126008593538739,7737.0,-0.2128086315483759,963.0,3084.0,1,'5-4,34
28191.0,-0.0794698483594662,5750.0,-0.1037189237076543,104,-0.4618058478987268,191,-0.7261479117238859,37278.0,-0.0947463660428346,26110.0,33450.0,1,'5-3,33
2095.0,-0.3862031507327523,2035.0,-0.1176107585019853,1665,0.2123813296893154,2080,0.247287884011475,5011.0,-0.2127455977707434,0.0,0.0,1,'5-4,34
6618.0,-0.3491411575609557,1132.0,-0.1217229830232905,2981,0.205890759478026,4112,0.3250648202929035,10170.0,-0.2017076829319979,2867.0,2379.0,1,'5-4,34
807.0,-0.3918361462106235,885.0,-0.122968319118539,954,-0.1276246944559253,1208,-0.2090160302982134,3445.0,-0.226378403122024,416.0,854.0,1,'4-3,27
1014.0,-0.3814117648559226,705.0,-0.1229139991273085,1338,-0.0633846918518808,1467,-0.2167372273624714,3963.0,-0.2277371312176564,767.0,1173.0,1,'4-3,27
50334.0,0.0072248464695264,4875.0,-0.1107764988645715,662,-0.4351778675447187,80,-0.7338691087881439,65366.0,0.0086885611754477,44948.0,61761.0,1,'5-3,33
2817.0,-0.3515947389904475,1388.0,-0.1203971728669597,1908,-0.0485728777799638,2732,0.0022811186309943,7361.0,-0.2171964828469,924.0,1177.0,1,'4-3,27
6747.0,-0.3382046857082665,1759.0,-0.1205842750589761,4134,0.352511076302283,5686,0.6216717806881819,14391.0,-0.189853830860566,2529.0,5117.0,1,'4-4,28
6005.0,-0.3562436301200108,1544.0,-0.1229783783761743,2080,-0.0705409615720204,2789,-0.0952696150101194,8842.0,-0.2152914620117866,2491.0,3402.0,1,'4-3,27
18667.0,-0.2168615024893004,1687.0,-0.1245959070039284,227,-0.4496568318622106,166,-0.7129653801507624,26450.0,-0.145288950074438,11985.0,25161.0,1,'5-3,33
2415.0,-0.3669040183998716,563.0,-0.1248916491784058,197,-0.4749534131985183,128,-0.726712877362734,30732.0,-0.1246944141713091,8624.0,13217.0,1,'5-3,33
374.0,2049.0,0.0,1088.0,95,60.0,95,0.0,2327.0,7297.0,4157.0,7789.0,0,'2-5,17
2577.0,8451.0,82.0,1232.0,254,212.0,23,0.0,2951.0,4092.0,10760.0,10332.0,0,'1-5,11
2398.0,-0.3684224780504281,0.0,-0.1280583034819941,131,-0.4895988023932227,200,-0.7178617490207797,2765.0,-0.2333926618218994,9364.0,14686.0,1,'5-3,33
611.0,-0.3997535106056078,218.0,-0.1244892788729944,264,-0.4410027382471579,118,-0.7353756838250723,7403.0,-0.2038333219888249,19290.0,43067.0,1,'5-3,33
2174.0,-0.371437132547281,3215.0,-0.0896641289396317,240,-0.4669650190923158,127,-0.7270895211219661,22548.0,0.0926635604879849,214408.0,389571.0,1,'5-3,33
304613.0,1.177039927113141,272070.0,0.6820539509181874,7485,0.722806428100208,886,-0.6246424186108351,2921460.0,8.726161955197524,1422240.0,1267710.0,1,'4-2,26
1905.0,-0.3681731122427121,0.0,-0.1284506145297703,194,-0.4777826361111316,159,-0.7293493836773588,5767.0,-0.2078359668684842,7447.0,11834.0,1,'5-3,33
21756.0,-0.2356708091284531,2195.0,-0.1209806098098064,32,-0.4714584907770547,0,-0.7252063023258056,25210.0,-0.147001367700119,17253.0,24466.0,1,'5-3,33
3226.0,-0.3691794813952804,1943.0,-0.1186267435231493,2097,0.1263396681704268,3042,0.1305283186495242,6323.0,-0.2205477786910242,2187.0,2066.0,1,'5-4,34
37269.0,-0.1342813434876223,8012.0,-0.1032582097079582,19,-0.4736220141808179,0,-0.7199332896965562,45131.0,-0.0876620698122565,28336.0,32320.0,1,'5-3,33
1301.0,-0.3724969372300742,2430.0,-0.0964561396949773,77,-0.493925849200749,163,-0.7210632209742526,0.0,-0.2351225888302561,4138.0,11536.0,1,'5-3,33
832211.0,3.6043533405385233,1843860.0,4.28927557301063,3185,-0.1128128803840083,1047,-0.6216292685369783,405121.0,1.1966931719669247,208013.0,190807.0,1,'5-1,31
14252.0,-0.3331149514543481,3400.0,-0.1175745451744983,3229,0.1230111706261758,5533,0.504723893446615,14469.0,-0.1934642655682902,3416.0,3565.0,1,'4-4,28
2280.0,-0.3572633581551354,1170.0,-0.1202784736268633,149,-0.487268854112247,178,-0.7253946242054217,4545.0,-0.2317257685911751,1597.0,3309.0,1,'5-3,33
451963.0,2.512095479055449,180045.0,0.4664840597939927,1828,-0.2316402427137694,477,-0.696204732864934,364622.0,0.9073996495228878,190034.0,153756.0,1,'5-2,32
6147.0,-0.3485266489633698,1376.0,-0.1219362392851586,10688,1.7692860560127257,11563,1.9817323952752928,25484.0,-0.1413493389724111,1620.0,4741.0,1,'5-5,35
