FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster
4661.0,9097.0,1069.0,3732.0,1628,2267,2107,2675,4905.0,7101.0,1266.0,1892.0,17.9,0
39539.0,61611.0,3886.0,7033.0,0,68,0,33,38520.0,36724.0,18893.0,26287.0,17.9,3
77561.0,127864.0,313749.0,524059.0,10908,11003,13849,13913,28175.0,23584.0,6730.0,7141.0,17.9,1
1748.0,5043.0,769.0,1581.0,2103,2450,2790,3568,7256.0,8351.0,962.0,1378.0,17.9,0
52619.0,87594.0,16746.0,28479.0,297,247,415,156,48864.0,44009.0,27425.0,36221.0,18.0,3
32566.0,61039.0,10338.0,17221.0,131,221,139,105,42739.0,41933.0,17714.0,35072.0,18.0,3
3561.0,12194.0,1445.0,3273.0,1993,2485,2657,3401,7816.0,10855.0,681.0,708.0,18.1,0
13689.0,25881.0,1963.0,3866.0,8339,8166,9374,9328,22810.0,22497.0,3755.0,3489.0,18.2,0
38723.0,62728.0,13771.0,21878.0,0,164,0,111,30903.0,30460.0,17461.0,29218.0,18.2,3
7058.0,22352.0,2909.0,4212.0,3704,4191,5265,5496,16336.0,16797.0,4417.0,4520.0,18.3,0
6695.0,12861.0,1900.0,3580.0,1054,988,2421,2352,6178.0,6420.0,1976.0,2643.0,18.3,0
749360.0,562386.0,871445.0,958167.0,826,541,196,189,295822.0,232624.0,165661.0,127601.0,18.4,4
183095.0,234351.0,24464.0,33891.0,610,348,450,246,148419.0,101181.0,83801.0,52052.0,18.5,3
7506.0,13866.0,1931.0,4413.0,1897,1978,2572,2970,8230.0,8848.0,1400.0,2487.0,18.5,0
177843.0,254940.0,20076.0,31798.0,616,401,282,79,214066.0,188172.0,77227.0,87594.0,18.5,3
5233.0,8770.0,1390.0,4928.0,3820,4374,4480,4755,12828.0,14197.0,1272.0,2075.0,18.6,0
582577.0,760158.0,558945.0,751279.0,1302,1009,474,230,148862.0,129019.0,92543.0,79877.0,18.7,4
166707.0,267161.0,13239.0,18220.0,677,448,152,159,171800.0,145366.0,84988.0,75640.0,18.7,3
43542.0,64721.0,10481.0,16830.0,0,59,343,126,47891.0,44814.0,32270.0,30928.0,18.7,3
779945.0,989292.0,145446.0,199311.0,4520,4286,87432,79554,497653.0,415374.0,454757.0,336805.0,18.7,2
14063.0,24625.0,2432.0,4418.0,5487,5515,6326,6760,17435.0,19189.0,136.0,1693.0,18.8,0
10404.0,32432.0,1374.0,4687.0,4720,5513,7117,7887,16709.0,18233.0,825.0,2355.0,18.8,0
238932.0,363859.0,15184.0,22068.0,690,564,188,154,99455.0,90088.0,94686.0,87474.0,18.9,2
24429.0,45418.0,1390.0,2292.0,257,142,223,167,25584.0,27726.0,11018.0,21541.0,18.9,3
32697.0,59827.0,1029.0,3367.0,23,45,149,81,27792.0,25650.0,15268.0,20508.0,18.9,3
43000.0,72107.0,8610.0,15184.0,80,124,179,125,43637.0,39233.0,34073.0,29944.0,18.9,3
1088230.0,1030790.0,5527560.0,7077760.0,1565,751,0,88,247908.0,206959.0,173785.0,125727.0,18.9,4
6794.0,15642.0,3417.0,5425.0,2871,2636,4169,4027,10684.0,10451.0,1090.0,1540.0,18.9,0
34974.0,51381.0,3146.0,3437.0,825,304,0,88,27215.0,25587.0,27846.0,22037.0,19.0,3
23955.0,36590.0,4078.0,5677.0,5033,5560,7918,8336,23884.0,22686.0,4778.0,5254.0,19.1,0
28866.0,54295.0,1158.0,3289.0,5876,5848,9368,9870,24069.0,25019.0,8416.0,5465.0,19.1,0
26222.0,41421.0,11663.0,18551.0,80,100,127,99,28122.0,28515.0,17443.0,24462.0,19.1,3
23669.0,27142.0,3060.0,5707.0,8886,8997,11873,12146,27037.0,25543.0,5203.0,6440.0,19.1,0
12682.0,13576.0,1567.0,2738.0,1742,1386,2200,2408,6317.0,5635.0,840.0,1457.0,19.1,0
3591.0,11004.0,288.0,1092.0,115,36,0,0,2481.0,6612.0,30767.0,54356.0,19.1,-1
77293.0,121725.0,10220.0,16493.0,0,142,0,0,81345.0,75988.0,36325.0,56450.0,19.1,-1
1917.0,6415.0,0.0,2864.0,330,245,23,0,9229.0,10649.0,1438.0,1387.0,19.2,-1
2727.0,6647.0,0.0,1588.0,195,236,99,33,3793.0,4256.0,2184.0,2617.0,19.2,3
487.0,2421.0,90.0,1455.0,281,327,172,112,8748.0,17778.0,62081.0,126052.0,19.2,4
488427.0,537065.0,88599.0,131044.0,2195,1813,178,279,1176340.0,943656.0,458660.0,425468.0,19.2,4
4826.0,13336.0,564.0,4062.0,1487,2341,2089,2948,5058.0,7217.0,453.0,1112.0,19.3,0
2347.0,12242.0,1232.0,4356.0,3232,6708,3441,7079,6600.0,13100.0,411.0,1664.0,19.4,0
3147.0,10862.0,920.0,2883.0,2162,6132,2745,6716,4982.0,12224.0,682.0,1069.0,19.4,1
45420.0,65680.0,18495.0,28446.0,430,240,295,185,39304.0,34485.0,32602.0,26124.0,19.4,3
27432.0,41712.0,1565.0,3807.0,414,291,295,118,33594.0,31311.0,13615.0,23271.0,19.6,3
25313.0,38759.0,7777.0,12327.0,215,166,0,2,33028.0,32086.0,26130.0,21038.0,19.6,3
3435.0,9609.0,942.0,3740.0,1203,1629,1780,2451,5067.0,6424.0,373.0,630.0,19.6,0
9938.0,13861.0,3046.0,6411.0,4647,4974,5688,5559,17074.0,17775.0,836.0,2421.0,19.6,0
69996.0,105741.0,22974.0,36999.0,71,80,0,0,69821.0,65422.0,38505.0,53349.0,19.7,-1
4748.0,9422.0,4536.0,6505.0,1727,1843,2717,2807,8437.0,8285.0,878.0,2168.0,19.7,0
7560.0,15453.0,2258.0,3400.0,3753,3815,5238,4832,14207.0,13220.0,3811.0,3378.0,19.7,0
