FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Predicted_Label,Cluster
2836.0,7944.0,617.0,3665.0,1115.0,1480.0,1287,2418,4419.0,7791.0,2301.0,2517.0,18.5,Syn,6
3715.0,11458.0,779.0,1842.0,571.0,892.0,679,1892,2356.0,6417.0,553.0,699.0,18.5,Syn,6
9097.0,24449.0,2058.0,5958.0,2857.0,3302.0,4274,5079,11707.0,13841.0,638.0,3798.0,18.5,Syn,6
23256.0,34606.0,6660.0,9630.0,0.0,122.0,184,74,39887.0,39301.0,25472.0,26774.0,18.6,PEuk1,4
6112.0,12289.0,662.0,2962.0,2174.0,2373.0,3187,3299,7606.0,7700.0,2961.0,2663.0,18.6,Syn,6
744.0,4150.0,449.0,2314.0,1671.0,3378.0,1862,4104,5027.0,11034.0,1124.0,1741.0,18.6,Syn,6
978.0,6798.0,120.0,841.0,1087.0,2964.0,1434,3875,3288.0,10053.0,895.0,1799.0,18.6,Syn,6
5700.0,12756.0,1625.0,5260.0,1151.0,1411.0,1665,2505,4164.0,6235.0,19.0,942.0,18.7,Syn,6
36770.0,66936.0,7312.0,10081.0,538.0,326.0,52,34,55719.0,52011.0,38123.0,39061.0,18.7,PEuk1,4
35989.0,57472.0,20536.0,35343.0,233.0,376.0,329,110,37553.0,37297.0,29674.0,30811.0,18.7,PEuk1,4
49980.0,76961.0,3673.0,6916.0,119.0,62.0,291,126,52566.0,50844.0,33278.0,32829.0,18.7,PEuk1,4
227863.0,366239.0,38648.0,59358.0,1911.0,1682.0,535,335,119448.0,109854.0,96478.0,83789.0,18.7,PEuk2,5
6662.0,14717.0,1840.0,5666.0,2290.0,2349.0,3668,3986,8908.0,9234.0,3429.0,3629.0,18.7,Syn,6
2898.0,11036.0,892.0,2179.0,2289.0,3022.0,2989,3805,7356.0,9248.0,419.0,1156.0,18.7,Syn,6
11490.0,24842.0,2894.0,6119.0,3204.0,3571.0,4185,4754,12763.0,14303.0,1143.0,2816.0,18.7,Syn,6
78329.0,104217.0,14182.0,23624.0,687.0,423.0,190,168,95264.0,93561.0,80566.0,72479.0,18.8,PEuk1,4
53223.0,79210.0,10671.0,18966.0,345.0,158.0,181,154,69916.0,68102.0,52750.0,59834.0,19.0,PEuk1,4
43186.0,68431.0,9796.0,14381.0,367.0,455.0,264,135,42871.0,44340.0,25035.0,38793.0,19.0,PEuk1,4
37771.0,55611.0,13042.0,19692.0,183.0,89.0,74,85,46751.0,46141.0,36726.0,39511.0,19.0,PEuk1,4
29575.0,47871.0,11689.0,16727.0,1964.0,1908.0,6032,6393,14317.0,15406.0,5392.0,6640.0,19.0,Syn,6
9371.0,17837.0,3144.0,5658.0,3769.0,4102.0,5721,6441,16431.0,17180.0,3607.0,5088.0,19.0,Syn,6
2785.0,9033.0,245.0,1465.0,1535.0,1775.0,2337,2797,6959.0,8211.0,302.0,1314.0,19.0,Syn,6
1388.0,4911.0,2245.0,6862.0,2199.0,2952.0,3327,4599,8715.0,11773.0,1994.0,2209.0,19.1,Syn,6
1068.0,4053.0,702.0,4031.0,1317.0,2141.0,1644,2848,5383.0,8966.0,177.0,363.0,19.1,Syn,6
75782.0,104209.0,6898.0,12694.0,155.0,183.0,0,88,93415.0,89704.0,77822.0,76486.0,19.2,PEuk1,4
21095.0,31577.0,2784.0,4104.0,345.0,173.0,324,145,25669.0,25917.0,11927.0,16858.0,19.2,PEuk1,4
4760.0,10148.0,2264.0,4987.0,2074.0,2262.0,2745,3070,6765.0,7794.0,1210.0,2215.0,19.2,Syn,6
35706.0,51276.0,10649.0,17456.0,533.0,334.0,520,254,48068.0,46320.0,33429.0,37441.0,19.2,PEuk1,4
14514.0,21016.0,9677.0,13517.0,2358.0,2341.0,5162,5708,13444.0,14006.0,6214.0,6322.0,19.2,Syn,6
30536.0,44928.0,3697.0,5628.0,357.0,260.0,0,199,31920.0,30538.0,17715.0,20800.0,19.3,PEuk1,4
