FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster
30683.0,57611.0,17144.0,31711.0,40,183,215,101,37278.0,38725.0,33775.0,35303.0,16.9,0
7259.0,16397.0,6090.0,12195.0,5452,6067,6854,8031,7943.0,8091.0,310.0,2239.0,16.9,0
2531.0,8764.0,920.0,2887.0,1230,1746,1444,2801,5382.0,9618.0,852.0,1858.0,16.9,0
1229.0,5305.0,115.0,1876.0,433,1058,556,2007,2055.0,5995.0,411.0,856.0,16.9,0
49921.0,73338.0,18186.0,32028.0,124,167,308,148,46609.0,48054.0,36154.0,34754.0,16.9,0
3041.0,9784.0,1702.0,4349.0,1661,2153,2140,2645,7058.0,9088.0,200.0,1342.0,17.0,0
422863.0,630230.0,79888.0,119192.0,1134,1008,184,220,508581.0,451543.0,254960.0,223627.0,17.0,0
1752.0,5711.0,1661.0,3184.0,3881,5279,5574,7004,12140.0,15271.0,1774.0,2696.0,17.0,0
12146.0,19070.0,1953.0,2494.0,378,201,0,0,10616.0,6453.0,4072.0,2828.0,17.2,-1
7027.0,14347.0,0.0,2746.0,275,179,125,62,1556.0,3779.0,5909.0,9026.0,17.2,0
1583.0,8131.0,396.0,2512.0,291,252,181,76,1057.0,5987.0,8227.0,26770.0,17.2,0
428956.0,581790.0,42285.0,68820.0,1437,1079,245,208,546491.0,480760.0,220670.0,213203.0,17.2,0
17402.0,22593.0,2454.0,2345.0,3078,4110,4646,5144,11337.0,13001.0,2774.0,2568.0,17.2,0
101253.0,163869.0,8864.0,16044.0,85,152,49,91,54199.0,55330.0,34237.0,40706.0,17.4,0
6669.0,16834.0,2657.0,6417.0,2026,2309,3143,3447,8706.0,10491.0,1847.0,2916.0,17.4,0
4254.0,10067.0,2888.0,6675.0,1538,1562,2563,3115,7123.0,8221.0,1473.0,1370.0,17.4,0
6141.0,13979.0,1273.0,2642.0,1628,1819,2879,3238,8476.0,9720.0,1243.0,2501.0,17.4,0
1945.0,6437.0,975.0,3717.0,1117,1372,1545,1938,4346.0,5611.0,0.0,251.0,17.4,0
1290.0,7710.0,0.0,0.0,143,12,226,175,4593.0,7583.0,3639.0,8588.0,17.5,0
459386.0,666485.0,49973.0,76138.0,604,610,418,220,576047.0,509908.0,283805.0,249056.0,17.5,0
3629.0,11327.0,878.0,2806.0,2542,2935,3242,3795,8680.0,9949.0,959.0,2071.0,17.5,0
4215.0,8019.0,1213.0,2953.0,2253,2385,3127,3614,7464.0,8207.0,1777.0,1594.0,17.5,0
112899.0,175051.0,3673.0,7888.0,94,299,427,185,158607.0,147608.0,74325.0,69674.0,17.6,0
18334.0,23309.0,2991.0,4636.0,3210,3362,4088,4599,13211.0,13826.0,2221.0,3448.0,17.7,0
10302.0,26160.0,2351.0,7540.0,5411,6602,7460,8940,17194.0,19464.0,0.0,2955.0,17.8,0
3849.0,12143.0,207.0,1045.0,1440,1653,1960,2437,6382.0,7643.0,574.0,1997.0,17.9,0
287401.0,433273.0,54399.0,84943.0,311,366,330,206,200704.0,188241.0,115716.0,114061.0,17.9,0
1740.0,3939.0,617.0,1676.0,823,1991,1362,3138,2985.0,6987.0,5734.0,8001.0,17.9,0
5178.0,9435.0,2657.0,4199.0,2927,3237,3509,3849,9159.0,8876.0,969.0,1171.0,17.9,0
7625.0,15871.0,2186.0,6354.0,2476,3258,3673,4079,9638.0,11116.0,2824.0,3709.0,17.9,0
198335.0,304755.0,15033.0,23607.0,162,257,0,108,120239.0,107505.0,79362.0,64949.0,18.0,0
2041.0,8207.0,1558.0,6083.0,1870,2860,2473,3684,7299.0,11118.0,1622.0,2431.0,18.0,0
3862.0,10898.0,844.0,3159.0,928,993,1573,1740,4581.0,5490.0,2269.0,2036.0,18.1,0
31629.0,47550.0,4469.0,6472.0,0,49,98,137,18111.0,17579.0,18566.0,15761.0,18.1,0
1086.0,4520.0,456.0,2683.0,146,102,112,28,4738.0,6464.0,218.0,417.0,18.2,0
2347.0,7951.0,197.0,1995.0,182,87,273,198,7654.0,15953.0,46366.0,65449.0,18.2,0
521230.0,687902.0,49089.0,63234.0,1487,978,712,386,862548.0,694784.0,289803.0,264258.0,18.2,0
3717.0,12367.0,2607.0,6372.0,1718,2097,2972,3596,9310.0,10948.0,1260.0,2378.0,18.2,0
44791.0,65983.0,6277.0,10914.0,65,199,23,29,35460.0,36071.0,14402.0,24059.0,18.2,0
11350.0,14307.0,1852.0,3705.0,3488,3493,5268,5412,11167.0,12245.0,2467.0,3631.0,18.3,0
8207.0,13815.0,2628.0,4816.0,3386,3744,4188,4468,13149.0,14705.0,1231.0,2065.0,18.3,0
3541.0,12972.0,1012.0,2921.0,1269,2524,1835,3757,4534.0,9194.0,1090.0,1469.0,18.4,0
96977.0,154594.0,15454.0,23261.0,535,177,0,0,110630.0,102212.0,31118.0,40442.0,18.4,-1
5021.0,15728.0,1055.0,3009.0,3306,3846,4227,5014,11810.0,13094.0,1307.0,1819.0,18.4,0
3331.0,13513.0,422.0,2698.0,1994,2762,3229,4488,8499.0,11738.0,1289.0,2650.0,18.4,0
19914.0,41126.0,10242.0,18845.0,0,0,0,0,27986.0,29615.0,11879.0,24134.0,18.5,-1
1234.0,4473.0,1199.0,3366.0,1055,1176,1420,1952,4621.0,6514.0,425.0,783.0,18.5,0
20260.0,34178.0,5886.0,10216.0,7846,8484,10041,10803,29452.0,31136.0,4933.0,5466.0,18.5,0
5705.0,10084.0,999.0,3484.0,2560,3774,3204,5747,9698.0,17604.0,3484.0,2548.0,18.5,0
5533.0,13251.0,890.0,4268.0,1215,2573,1283,3969,4857.0,13476.0,592.0,1299.0,18.5,0
18548.0,39648.0,4957.0,8757.0,0,30,261,96,23631.0,24020.0,10567.0,17574.0,18.5,0
223177.0,296182.0,746491.0,1261760.0,4831,5541,7527,8180,24817.0,24925.0,4300.0,5575.0,18.5,0
63217.0,87550.0,9774.0,17798.0,680,462,238,93,62981.0,57830.0,53683.0,50776.0,18.5,0
5602.0,13163.0,1354.0,3119.0,1547,1767,2663,3030,8168.0,9410.0,1812.0,3100.0,18.6,0
22206.0,20636.0,2820.0,5247.0,2723,3039,5025,5065,13254.0,13277.0,3768.0,2875.0,18.6,0
1183.0,4274.0,744.0,3506.0,91,0,131,1,6623.0,8331.0,6023.0,7861.0,18.6,0
559.0,3308.0,152.0,692.0,82,0,179,119,2853.0,5728.0,2798.0,5853.0,18.6,0
434456.0,584419.0,61171.0,93774.0,746,842,307,165,722480.0,629341.0,318735.0,264543.0,18.6,0
6228.0,12807.0,899.0,3399.0,1330,1488,1653,1683,4506.0,4838.0,717.0,820.0,18.7,0
2980.0,9515.0,0.0,1708.0,174,81,193,125,1997.0,5791.0,12779.0,25752.0,18.7,0
110152.0,185559.0,11133.0,17567.0,231,283,343,215,54613.0,53052.0,29821.0,36236.0,18.7,0
26722.0,38117.0,4610.0,8082.0,219,193,348,217,36806.0,34592.0,24821.0,22532.0,18.7,0
4111.0,9092.0,2164.0,4230.0,3463,3523,5184,5609,14510.0,16929.0,2131.0,3003.0,18.8,0
2389.0,14540.0,600.0,2562.0,192,143,191,96,2185.0,6741.0,10596.0,32492.0,18.8,0
73654.0,116809.0,12935.0,20583.0,566,276,38,72,70411.0,67839.0,52085.0,58064.0,18.8,0
35246.0,44204.0,14491.0,22701.0,212,164,335,202,51474.0,48055.0,42397.0,39566.0,18.8,0
7501.0,15229.0,1141.0,3596.0,3650,4573,4295,5387,10958.0,13361.0,3080.0,2740.0,18.8,0
39496.0,67019.0,10045.0,17588.0,0,132,234,156,36155.0,37524.0,22515.0,28042.0,18.8,0
2689.0,12979.0,1249.0,4126.0,1022,1917,1589,3103,5799.0,10445.0,2161.0,4055.0,18.8,0
36051.0,66596.0,10359.0,17121.0,20,133,106,118,38678.0,38058.0,23685.0,24689.0,18.9,0
