FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,PC1,PC2,PC3,PC4
363700.0,666529.0,29708.0,48480.0,1175,1067,76,72,511142.0,597619.0,151767.0,203830.0,16.6,-1,4.332528535604878,-1.8013684642756291,-1.178586898585117,0.2407808412948434
1643.0,7325.0,2797.0,7896.0,252,224,185,88,1346.0,7355.0,1616.0,3562.0,16.6,0,-0.8492982015770042,-1.163885326924038,-0.0096926860789736,0.1624205597771635
1578.0,10404.0,300.0,2104.0,148,55,130,52,1710.0,4210.0,276.0,1238.0,16.6,0,-0.8789130443023574,-1.2149326323299374,-0.0271268727128804,0.2089380695146511
12140.0,19945.0,1117.0,3557.0,2394,3055,3605,4728,9396.0,12336.0,2874.0,3952.0,16.6,1,-0.5415912091012227,0.3608094320555208,0.0334850727356006,-0.014421439108418
1696.0,6355.0,0.0,0.0,0,0,90,25,3966.0,5270.0,691.0,1088.0,16.7,0,-0.8924606796274795,-1.2540569730112827,-0.0470395545391724,0.2260661986240142
2552.0,6481.0,90.0,3118.0,118,105,102,68,3115.0,6718.0,2579.0,4696.0,16.7,0,-0.859583941065947,-1.2145696565702933,-0.042147231414352,0.190063580350446
1381.0,7311.0,557.0,3689.0,112,27,169,59,8871.0,27851.0,33576.0,111727.0,16.7,0,-0.3247248450768656,-1.321440370004921,-0.360473773982263,0.0711108351541941
278033.0,496950.0,24896.0,44590.0,1088,1593,456,228,392472.0,456471.0,144891.0,198777.0,16.7,-1,3.334656055430919,-1.4954967025212962,-1.0054566226049784,0.0457889428890644
964.0,6035.0,303.0,1992.0,67,0,128,0,1654.0,4811.0,0.0,909.0,16.7,-1,-0.894715862064786,-1.2415549876898635,-0.0348210118242924,0.2178051827210164
4115.0,12679.0,667.0,1785.0,1375,1597,2086,2585,6438.0,7882.0,1264.0,2510.0,16.8,1,-0.7114802613145498,-0.3669769405924111,-0.0040692559796466,0.0985224760541133
4707.0,10220.0,1678.0,4565.0,2012,2350,2560,3233,6204.0,8111.0,1076.0,861.0,16.8,1,-0.6651655717707248,-0.0302401101764914,0.0471186451875089,-0.0380776095045745
12029.0,32750.0,1538.0,3448.0,173,154,0,0,15476.0,20045.0,14086.0,17941.0,16.8,-1,-0.6643637801088577,-1.2447930873594666,-0.0865996755411747,0.1784608261099653
7039.0,12944.0,3400.0,6064.0,2646,3955,3430,4847,9260.0,12626.0,2613.0,3516.0,16.9,1,-0.5434919641516867,0.5666676055706406,0.0875241801813927,-0.2106648095302375
19999.0,32847.0,4584.0,9028.0,210,178,61,76,29252.0,34071.0,20771.0,23189.0,16.9,0,-0.5519359482749492,-1.2415668980825758,-0.1156203308334478,0.1553882382229562
6018.0,14178.0,1120.0,3238.0,3058,4105,4005,5332,9732.0,13355.0,1993.0,4155.0,16.9,1,-0.5101738828736031,0.747901137607418,0.0778834510179565,-0.2213211454257695
6827.0,12418.0,2485.0,4251.0,2833,3281,3443,4535,9891.0,12317.0,2297.0,2934.0,16.9,1,-0.5535419337638418,0.4514697515053122,0.0705348269613588,-0.1558329375199263
6332.0,21696.0,600.0,1795.0,3120,4906,3756,5852,9195.0,14470.0,1825.0,2190.0,17.0,1,-0.4891044341583557,0.9325632294664709,0.1112975397129367,-0.32355119457281
3213.0,17428.0,266.0,1195.0,134,38,105,0,5596.0,10351.0,1219.0,1914.0,17.0,-1,-0.8418688091552573,-1.2344226921080936,-0.0396316938344799,0.2134824705599019
1302.0,6375.0,0.0,0.0,110,32,127,0,1408.0,4298.0,883.0,3084.0,17.0,-1,-0.8849297557172152,-1.229920324766188,-0.0411207390927439,0.2057082965615318
3541.0,8132.0,130.0,711.0,233,149,13,0,5025.0,11945.0,10295.0,26693.0,17.0,-1,-0.7384133052846404,-1.2204315504825052,-0.1036882405212758,0.1288079294663836
493673.0,932589.0,27070.0,43005.0,1269,1227,380,162,673840.0,728161.0,273744.0,283196.0,17.0,-1,6.191908435402171,-2.0547932887974483,-1.681141867085208,0.4388009851965379
13315.0,20126.0,7154.0,9953.0,388,289,147,55,4925.0,5832.0,1769.0,2066.0,17.0,0,-0.790685628812667,-1.144075474816421,0.0358411465463638,0.1616566668213129
7751.0,17543.0,1677.0,4489.0,5966,8090,7034,9510,18705.0,24889.0,1474.0,4103.0,17.0,1,-0.1884641585580639,2.540408558587389,0.2200806041969067,-0.778510250450535
2034.0,9896.0,1402.0,4232.0,2880,5142,3883,7180,9906.0,18583.0,484.0,2472.0,17.1,1,-0.4971237894095855,1.0730213041830208,0.0756719236541553,-0.2554717042581947
12148.0,17733.0,2066.0,3438.0,5863,7994,6119,7802,11332.0,14936.0,608.0,1958.0,17.1,-1,-0.2655423882622764,2.28879731214332,0.2916631409060836,-0.9088966233514554
7762.0,16098.0,1423.0,2833.0,2382,2937,3002,3787,9041.0,11245.0,2014.0,2252.0,17.1,1,-0.5948761953920378,0.2128611700972497,0.0581634222571944,-0.1075610862462596
9170.0,11473.0,2068.0,4648.0,3256,3425,4760,5988,15672.0,19493.0,4694.0,4870.0,17.1,1,-0.4533231865716302,0.7680168249821184,0.0203987147537736,-0.0614128714317953
8329.0,26989.0,1472.0,4506.0,1670,2233,2162,2924,6046.0,8060.0,1023.0,1464.0,17.1,1,-0.649297767397567,-0.1732847823933686,0.0494138859828492,0.0137611058033806
1928.0,6126.0,1374.0,3583.0,2144,3492,2685,4437,9048.0,14599.0,1029.0,1298.0,17.3,1,-0.6257083783343494,0.3175641400133652,0.053610311890366,-0.1622188945440417
9813.0,18580.0,853.0,2444.0,76,23,209,94,22184.0,28594.0,8892.0,18649.0,17.4,0,-0.6828899302127364,-1.2593735050061996,-0.1289941238446386,0.1999522800156434
4775.0,12438.0,463.0,2486.0,681,892,809,1757,1941.0,4445.0,1062.0,1270.0,17.5,1,-0.7980473959893954,-0.7695139134914948,-0.0094148635802574,0.1670279174490196
35706.0,71936.0,3611.0,8163.0,95,71,204,190,39378.0,44388.0,23336.0,35487.0,17.5,0,-0.3578199611465404,-1.296141555737211,-0.1586979082483389,0.2614121234574577
1888.0,8801.0,411.0,1730.0,103,0,261,162,13343.0,15497.0,2666.0,3106.0,17.5,0,-0.8297609157630972,-1.2222425606280158,-0.0741763983514623,0.2191372739831793
6091.0,19471.0,382.0,1377.0,248,147,264,211,3201.0,5290.0,2710.0,5298.0,17.5,0,-0.8172325110816286,-1.1667628625246895,-0.0328113635118405,0.2129547545722101
3500.0,11085.0,894.0,1764.0,53,69,156,88,3555.0,10230.0,7694.0,11092.0,17.5,0,-0.8068257806611357,-1.2363930877933988,-0.0720445667847425,0.2080440000735755
338654.0,494430.0,97814.0,162353.0,2349,2609,566,255,999948.0,1035970.0,376925.0,430485.0,17.5,-1,7.14268572627102,-1.768349530862754,-2.7643963081492395,-1.4509317744852224
781.0,4845.0,1915.0,7750.0,243,211,112,14,1810.0,5449.0,643.0,2044.0,17.5,0,-0.8716318953810976,-1.175979084628879,-0.0063251752660215,0.1533402656900758
1858.0,8017.0,5086.0,12797.0,109,26,143,15,2343.0,4926.0,945.0,1678.0,17.5,0,-0.861301837606316,-1.232866430037323,0.0023170272689719,0.2119684111188658
134310.0,221969.0,13097.0,23026.0,469,236,790,317,131773.0,141138.0,48741.0,50245.0,17.6,0,0.6359902906670553,-1.3257551413429025,-0.2379414390524719,0.405210545038304
8904.0,24039.0,1261.0,3483.0,3937,5008,5161,6607,14728.0,18716.0,1596.0,2432.0,17.6,1,-0.3894934614404917,1.248686039015708,0.1089635769983722,-0.3082057156440868
