FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,PC1,PC2,PC3,PC4
2993.0,18772.0,693.0,4189.0,1064,1922,1690,3160,5104.0,9782.0,27.0,1191.0,16.6,1,-0.5529931776573992,-0.1177337681451708,0.0570709056870742,0.027837925199463
2779.0,10059.0,1230.0,4395.0,2181,3171,2938,4512,9553.0,14964.0,2062.0,4514.0,16.7,1,-0.4992939028760435,0.1283063819407506,-0.0059844302709737,-0.0291001701577715
5260.0,15827.0,2415.0,5780.0,1414,1936,2110,2922,6147.0,7851.0,1591.0,2324.0,16.8,1,-0.5458708191496436,-0.1039109241729958,0.0664713654995744,0.0297411707952283
4039.0,6767.0,1308.0,2727.0,1341,1706,1409,1971,4454.0,6328.0,761.0,1275.0,16.9,1,-0.5829765686447418,-0.2236218188183469,0.157731543793576,0.0406295509368611
5289.0,9735.0,0.0,1388.0,59,51,259,266,5172.0,4684.0,6050.0,3786.0,17.0,0,-0.6341940633785944,-0.5188422814954828,0.2159763727766322,0.0924454617679694
2412.0,13842.0,629.0,2679.0,188,180,210,1206,767.0,10018.0,6675.0,32858.0,17.0,-1,-0.577480345828147,-0.4583204572842289,0.1527226796028311,0.0444301960163735
500200.0,964655.0,18403.0,36178.0,2711,3278,28127,40289,224924.0,308888.0,197612.0,236350.0,17.0,-1,2.2774661151786346,3.875148906688494,-4.091830371998841,-0.5011871919528063
7372.0,22374.0,1453.0,4000.0,2809,3867,4274,5823,12260.0,16818.0,3292.0,4680.0,17.1,1,-0.4374419054834124,0.3429536442202371,-0.1152820690472767,-0.0561427324936348
7524.0,26242.0,1350.0,3714.0,2865,4064,3847,5462,11374.0,16141.0,857.0,4272.0,17.3,1,-0.4425557543391486,0.3029725805831478,-0.0578698164368463,-0.0524174678929676
10538.0,21988.0,1608.0,4460.0,2624,3484,2863,4216,8291.0,11447.0,2084.0,2141.0,17.4,1,-0.48475828342643,0.1281833901165587,0.0461716092748429,-0.0204089645727343
94464.0,195546.0,3862.0,7043.0,1,135,127,96,119244.0,148270.0,56429.0,60959.0,17.4,-1,-0.1063913468492449,-0.6545736048685559,0.1640062446221931,-0.0245395828792894
2959.0,4668.0,1392.0,4135.0,210,180,229,113,2192.0,4558.0,2348.0,2561.0,17.4,0,-0.643359629277064,-0.5205539992824246,0.2414781763369638,0.0952842584085948
6215.0,11643.0,2083.0,5747.0,0,22,0,0,8212.0,7827.0,1942.0,2498.0,17.4,-1,-0.6353573918957597,-0.5556847760827626,0.2447470150414141,0.1021155217061066
589023.0,1000870.0,626447.0,1022340.0,2027,1876,684,485,506702.0,604728.0,279500.0,329944.0,17.4,-1,2.802215891551381,-0.892976101785958,0.0989091852871959,0.7791768692423505
1581.0,10024.0,573.0,2644.0,1013,2180,986,1947,3041.0,6229.0,238.0,988.0,17.5,1,-0.5874548687907385,-0.237073258090791,0.1922694868490162,0.0343325059084467
20896.0,52079.0,8265.0,18364.0,396,329,0,0,30456.0,40499.0,26803.0,31149.0,17.6,-1,-0.4803275766413709,-0.5694049260161628,0.253295540826474,0.0569400254586378
397.0,1863.0,1077.0,4236.0,565,1861,772,2753,2509.0,9504.0,1558.0,2763.0,17.7,1,-0.5927504219357594,-0.2139459373829731,0.1155517247884201,0.0255888638302411
4112.0,21805.0,492.0,2890.0,690,2223,986,3227,3303.0,11104.0,340.0,542.0,17.7,1,-0.5595261780727567,-0.1482606792536061,0.0881842689863149,0.0228143388763116
2991.0,7066.0,1304.0,2533.0,1749,2194,2300,2972,7003.0,9688.0,713.0,1236.0,17.9,1,-0.549950143454652,-0.070275139360571,0.0779372176301739,0.0150029956179534
17021.0,39010.0,5362.0,11973.0,174,133,197,121,18783.0,23212.0,15832.0,23446.0,17.9,0,-0.5364450733288993,-0.5490357463362777,0.2251939649361547,0.0755499459266043
28388.0,49778.0,8884.0,16421.0,55,34,0,43,27164.0,36491.0,18798.0,27261.0,18.0,0,-0.4987512419961619,-0.58203407402256,0.2273976923485657,0.0734679388738006
2055.0,6493.0,823.0,2842.0,2301,3273,2929,4118,7572.0,10703.0,0.0,2010.0,18.0,1,-0.5151774026070345,0.108736713896455,0.0335375442750623,-0.0229194523868867
180846.0,363228.0,221170.0,420809.0,677,657,118,127,139091.0,174482.0,87211.0,112876.0,18.1,-1,0.514108585344404,-0.6540364338187388,0.21513950629663,0.4443726873789435
5253.0,10951.0,856.0,1505.0,1460,3331,1628,3840,3957.0,10178.0,1968.0,1964.0,18.2,1,-0.5375258656626689,-0.0023750976355337,0.0919542837869305,-0.0160962678778128
798.0,3821.0,118.0,1525.0,485,2050,449,2201,880.0,5346.0,547.0,834.0,18.2,1,-0.6079918724364459,-0.265086790470764,0.1782085903179736,0.0327215872580003
5890.0,15863.0,1033.0,2444.0,1580,1858,1720,2267,4049.0,4712.0,433.0,512.0,18.3,1,-0.5642046156563089,-0.1710626993091637,0.1343976457166744,0.0400720570406088
10894.0,16373.0,583.0,2259.0,2646,4120,4183,5472,12723.0,17269.0,1640.0,3331.0,18.4,1,-0.4494184106529177,0.317987695045797,-0.0766586332297703,-0.0592027206901228
17044.0,41041.0,961.0,2707.0,146,28,49,0,23009.0,29044.0,13308.0,17914.0,18.5,-1,-0.5458471076977914,-0.5706915639078873,0.2338665485553863,0.0712360341463172
1841.0,4050.0,1531.0,4014.0,4074,5910,4584,6764,10560.0,15335.0,1141.0,1241.0,18.5,1,-0.4244259715425882,0.5518128447471006,-0.0560622621386052,-0.1140141211954868
346.0,2337.0,0.0,0.0,176,58,191,117,2571.0,4452.0,1128.0,2080.0,18.6,0,-0.6526849381052094,-0.5276423456976871,0.2361446833794096,0.0928031649670267
163902.0,317496.0,14437.0,23583.0,765,513,482,266,229232.0,259005.0,119281.0,130960.0,18.6,-1,0.3608346137605527,-0.6992374616922423,0.1185620457001357,-0.166920919950867
323500.0,593819.0,38249.0,72870.0,1199,1176,384,237,534107.0,609178.0,253929.0,268451.0,18.7,-1,1.4716612242436922,-0.9512839238288836,0.0335683187628448,-0.5293066183906261
8416.0,23573.0,243.0,3183.0,3410,4637,5237,7181,16259.0,21708.0,3806.0,5208.0,18.8,1,-0.3911256482905644,0.5426752362982802,-0.2057333303163328,-0.0948670498993805
18743.0,43491.0,6237.0,14778.0,378,190,0,0,23193.0,31628.0,12789.0,26012.0,18.9,-1,-0.518924949744397,-0.5654822346303068,0.250296431106289,0.0709811007566951
181799.0,380261.0,16166.0,28023.0,1193,1470,0,9,116356.0,135143.0,52999.0,70258.0,18.9,-1,0.1804056786954433,-0.5903156876573126,0.2408240954249662,0.0736755034737139
723.0,4175.0,15.0,1797.0,237,181,203,152,2629.0,4481.0,0.0,561.0,19.0,0,-0.6500071985785574,-0.5166211735364336,0.2410581619858365,0.0945009602674121
141251.0,264664.0,12172.0,27220.0,819,385,892,309,203560.0,229172.0,75862.0,85034.0,19.0,-1,0.1769584432296524,-0.626506454535853,0.1189405915767588,-0.0917889482941566
5202.0,16820.0,532.0,1453.0,183,84,51,0,9875.0,8873.0,1856.0,2724.0,19.1,-1,-0.6276723632175534,-0.54653918300421,0.249035121226567,0.0964648151515358
