FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,PC1,PC2,PC3,PC4,PC5
170637.0,377590.0,7487.0,12687.0,462.0,250,0,0,120694.0,155315.0,77507.0,99274.0,16.4,-1,0.4358248753349704,-0.7385199350718157,-0.0894543938271787,-0.0298477297896635,0.994399123536185
24957.0,54344.0,5463.0,10354.0,52.0,73,389,215,24355.0,30545.0,18805.0,27973.0,16.4,1,-0.4749854790824724,-0.5372572277491483,-0.1850336260213005,-0.0584832732786627,-0.026268249298556
8753.0,23140.0,1555.0,4931.0,3200.0,4244,3826,5167,10653.0,14411.0,3482.0,5159.0,16.5,2,-0.397118470747976,0.4163283618895763,0.0827882792231083,-0.030078996436663,-0.1924766332639133
4539.0,12171.0,961.0,3548.0,1492.0,1986,1835,2489,4846.0,6743.0,510.0,1519.0,16.5,2,-0.5562890704603313,-0.0781983413738908,-0.0942814818672875,-0.0348582864000864,-0.1847863989658862
26397.0,68807.0,4454.0,10439.0,408.0,258,160,98,18384.0,22862.0,17914.0,23323.0,16.5,1,-0.4766264699679772,-0.5324555341928017,-0.2345555781801108,-0.0526397909198327,0.020238873624971
2506.0,9108.0,739.0,3381.0,3020.0,6404,5951,12977,12426.0,26765.0,6237.0,10855.0,16.6,-1,-0.2156220364137603,1.2792458223423473,0.7517018106651306,0.1621853655683633,-0.3537195680970074
1617.0,10532.0,962.0,4218.0,1003.0,2898,1344,3945,3870.0,10913.0,751.0,1832.0,16.7,2,-0.5359738928562884,0.0436260247452297,-0.0205653127604534,-0.0313897788594825,-0.1991071798126013
6152.0,9974.0,652.0,2935.0,1105.0,2988,1529,4068,4152.0,11147.0,0.0,326.0,16.7,2,-0.5299661667420135,0.0733101713000392,-0.0101334940044236,-0.0271673328118806,-0.2021636290738186
85748.0,198719.0,26929.0,57020.0,4285.0,5498,5895,7823,18431.0,24815.0,6711.0,9918.0,16.7,-1,0.0606197146652729,0.8257552014446198,0.2651972294126938,0.2488292320590487,0.2814549403564945
32113.0,76651.0,1452.0,4098.0,405.0,219,278,159,45735.0,63400.0,28848.0,44084.0,16.7,1,-0.3540770325663281,-0.5691326950780589,-0.1611480952882194,-0.1259161485651904,0.056216251428007
5118.0,11706.0,990.0,3476.0,3412.0,4837,3901,5315,9701.0,13407.0,1339.0,1695.0,16.7,2,-0.4130065538175187,0.4748556868465881,0.064138051693932,-0.0589508195777389,-0.2244946285134151
12963.0,30258.0,1380.0,5894.0,4556.0,5806,346,373,9187.0,11758.0,8122.0,8630.0,16.7,-1,-0.4759995870984721,-0.067849103340003,-0.5709718571691395,-0.3616106781004287,-0.0612853714498827
51431.0,112849.0,7506.0,16065.0,299.0,182,174,156,48222.0,59006.0,39064.0,46605.0,16.8,1,-0.2790050894336922,-0.5870797898415716,-0.1736031080349309,-0.077664371708797,0.1533916185575139
