FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,PC1,PC2,PC3
2160.0,5514.0,3764.0,9303.0,1109,1184,1527,1982,4087.0,5617.0,789.0,1581.0,18.2,1,-0.6560063976154427,-0.7839422554707706,0.0526629899671536
3824.0,7626.0,0.0,2733.0,333,1693,491,1930,1541.0,5806.0,2231.0,2084.0,18.4,1,-0.6835235522767243,-0.8842031950330508,0.0440593737192639
1525.0,7233.0,688.0,2692.0,4481,7710,5458,9587,14882.0,25572.0,0.0,76.0,18.4,-1,-0.4148457635335202,1.1644794387206965,-0.0542724912834403
3266.0,10750.0,791.0,2920.0,2406,3158,2951,3970,7622.0,10593.0,367.0,1657.0,18.6,1,-0.5678217785066833,-0.1719054365887748,0.0255388579413716
4355.0,10100.0,508.0,2293.0,2344,2804,2783,3346,7705.0,10798.0,2435.0,1982.0,18.8,1,-0.5722498859100752,-0.2775137292528234,0.0310057340156311
145627.0,278626.0,43677.0,78430.0,619,377,5,69,100630.0,115439.0,66212.0,81174.0,19.8,-1,0.3579305385490212,-1.3080195950235716,-0.0148858549387165
9725.0,11249.0,4257.0,5613.0,6059,7258,6488,7591,13762.0,16854.0,1578.0,1068.0,20.0,1,-0.3524038307081124,1.2085751981251656,0.0097740069072453
1151920.0,1531860.0,883827.0,1373760.0,20890,21580,7097,7059,107298.0,113155.0,84686.0,80037.0,20.1,-1,5.1485719296211565,4.08596342578446,3.030750877689919
7229.0,15116.0,1853.0,4688.0,7022,8993,9156,11613,27761.0,31686.0,6941.0,7123.0,20.4,-1,-0.232525328843186,1.983153364168756,-0.098288310566708
5950.0,17864.0,763.0,2598.0,4282,5748,5003,6358,13658.0,17085.0,1304.0,2381.0,20.4,1,-0.4340982998660713,0.6456169716956781,0.0008080134622774
1527.0,9094.0,700.0,2607.0,1097,3118,1480,3918,4584.0,11078.0,605.0,2011.0,20.5,1,-0.6270780327362314,-0.423135647742151,0.0162415528026453
12851.0,28520.0,1584.0,4320.0,2948,3633,4934,5915,13973.0,16433.0,2062.0,4139.0,21.2,1,-0.4766303918812888,0.2130076423754585,-0.0137131413883785
221950.0,364979.0,57842.0,102260.0,100,236,215,201,253937.0,253578.0,123495.0,123448.0,21.6,-1,1.0105808945215111,-1.4524148414417966,-0.3081529446380403
9263.0,24468.0,1792.0,4287.0,3822,4515,6133,7352,17363.0,20204.0,1453.0,4108.0,21.7,1,-0.4312380568618131,0.5978254656149926,-0.0384200195317337
5342.0,20147.0,1019.0,2491.0,15219,21345,17202,23286,39391.0,43599.0,8508.0,12610.0,21.7,-1,0.2768092593302638,5.714390260547874,-0.2054587320698866
3307.0,12024.0,0.0,2214.0,2332,9718,2459,10676,4389.0,16656.0,25.0,95.0,21.7,-1,-0.4984601183341254,1.0420400104075354,-0.0535047181981928
1748.0,5863.0,1639.0,4797.0,2018,2855,2629,3526,8589.0,10800.0,272.0,1550.0,22.0,1,-0.5931581043954486,-0.3034176712285,0.0254464423174877
5353.0,11625.0,629.0,2127.0,168,120,36,61,9126.0,5188.0,2327.0,1536.0,22.0,0,-0.698679321183906,-1.2545219431728096,0.0687745072080036
3748.0,11189.0,152.0,1770.0,152,37,156,64,8049.0,20782.0,47093.0,84107.0,22.0,-1,-0.4484186489988016,-1.3024627211645583,-0.1456810534441769
6838.0,28095.0,3611.0,18698.0,267,373,194,120,114410.0,206269.0,87437.0,101110.0,22.0,-1,0.0179732715173267,-1.3176043391549452,-0.4736753638790502
18779.0,29879.0,19831.0,36624.0,562,454,36,141,313288.0,248316.0,44999.0,96667.0,22.0,-1,0.2069567552447394,-1.3102863997308742,-0.5670949911435748
7828.0,10551.0,375.0,2139.0,418,691,866,1969,2217.0,6081.0,278.0,637.0,22.5,1,-0.6846627642633076,-0.9632836197399184,0.0465031581729321
4453.0,10667.0,1378.0,2890.0,5158,6112,6686,7534,16651.0,19117.0,498.0,1778.0,22.6,1,-0.3979819643496919,0.9850061401125036,-0.0231549457815927
11055.0,15498.0,762.0,2754.0,373,237,134,144,7231.0,5198.0,2374.0,2028.0,23.0,0,-0.6782356954882444,-1.20670136777448,0.0762612864899348
253599.0,396904.0,20341.0,31829.0,807,644,316,121,337121.0,317355.0,97397.0,101154.0,23.0,-1,1.138875131922669,-1.343804053774036,-0.4115350297177554
41343.0,61963.0,9581.0,16953.0,518,225,578,263,49534.0,47850.0,48399.0,41642.0,23.1,0,-0.3400840289459073,-1.200769468505666,-0.061584799679508
4409.0,14535.0,1677.0,4949.0,5176,7084,6765,9138,18480.0,24240.0,2152.0,3349.0,23.2,1,-0.3654225403338835,1.2202611132364565,-0.0516976291199141
2692.0,14230.0,1349.0,4780.0,1284,2282,1854,3096,5197.0,8349.0,1083.0,1688.0,23.2,1,-0.621688684170705,-0.5351639133957729,0.0338899002302921
98049.0,153123.0,43322.0,65615.0,8789,8980,13395,13870,17466.0,18256.0,3910.0,3671.0,23.4,-1,0.1493856293365655,2.605704776016676,0.0850051848997475
2224.0,7502.0,389.0,2135.0,2174,2656,3083,3789,7792.0,9031.0,0.0,307.0,23.5,1,-0.5924670135057826,-0.2585686609017648,0.0227306207252889
4079.0,18823.0,2310.0,6351.0,3182,4787,3575,5191,7708.0,10576.0,562.0,1174.0,23.7,1,-0.506116844502291,0.2335675456207288,0.0284071456627671
23495.0,31590.0,4339.0,7405.0,529,216,509,281,32310.0,32758.0,14173.0,26104.0,23.7,0,-0.5080257891028298,-1.181459289554663,-0.0102294362138219
2801.0,10329.0,896.0,3527.0,10887,16430,14004,20867,23364.0,33781.0,1354.0,2494.0,23.8,-1,-0.0160475431024356,4.284011800225838,-0.1855792164196239
406342.0,557779.0,27415.0,43881.0,2109,2530,28875,28933,224542.0,206562.0,153228.0,146798.0,24.0,-1,1.6696944353803354,3.044009834778468,-0.8540529679976788
10205.0,19951.0,2478.0,3666.0,7394,7785,8871,9551,20600.0,20067.0,2002.0,4262.0,24.2,-1,-0.2577697148462087,1.71726840021824,-0.0300850340860898
1359.0,8394.0,0.0,53.0,213,184,147,51,2540.0,5829.0,5302.0,11104.0,24.2,0,-0.6843455206294218,-1.2385689639265638,0.0458334080089476
579.0,3324.0,211.0,1533.0,191,173,201,169,2562.0,5256.0,1850.0,3096.0,24.2,0,-0.7143973539630739,-1.2251159657329518,0.0600592737689039
2584.0,12815.0,521.0,2946.0,168,86,162,65,9551.0,29067.0,80700.0,147631.0,24.2,-1,-0.2549723633203394,-1.3285481403547987,-0.3025765877739174
585270.0,607002.0,111989.0,158093.0,2489,2354,520,289,1428540.0,1148410.0,487723.0,438667.0,24.2,-1,5.03941968133844,-1.508102879380076,-2.5923812353405
1891.0,6954.0,1074.0,3483.0,168,99,282,173,4185.0,4959.0,1830.0,2453.0,24.2,0,-0.7086493780347156,-1.230964407609949,0.0637659269815382
4529.0,9260.0,2276.0,4648.0,1730,1977,2581,2938,7018.0,8429.0,0.0,1179.0,24.3,1,-0.6108406219451867,-0.4834034461826111,0.0354313985706371
7908.0,13014.0,387.0,2171.0,1926,2453,2509,2962,7348.0,9455.0,1308.0,1598.0,24.9,1,-0.589111992758038,-0.4109646603933053,0.0372315352816437
