FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,PC1,PC2,PC3,PC4,PC5
8681.0,11233.0,127.0,1317.0,291,165,193.0,170.0,6463.0,4275.0,3449.0,1788.0,16.6,1,-0.6790818035758537,-0.1636326086417552,0.063352510076532,0.0939375079755139,-0.1006724277529587
239490.0,484736.0,17642.0,39308.0,363,244,253.0,127.0,212810.0,260318.0,121715.0,152262.0,16.6,-1,0.6536396168423095,-0.3754162730567196,0.1060918804294792,-0.0882645971628375,-0.1351550671625994
7133.0,13574.0,1989.0,4249.0,1978,2547,2067.0,2881.0,6977.0,8949.0,2177.0,3244.0,16.7,0,-0.6416409211574835,0.0222349585980889,-0.0209061125715223,0.0202971313157168,-0.0108014475488804
9116.0,23522.0,3108.0,7126.0,3203,3913,4369.0,5429.0,11972.0,15522.0,2762.0,4212.0,16.7,0,-0.5963187743575324,0.1559074819192559,-0.0458151046006259,-0.0274310888208163,0.044420456029279
85177.0,180825.0,12165.0,23747.0,62,71,0.0,55.0,37389.0,47583.0,32051.0,43399.0,16.8,-1,-0.2855756416235448,-0.2281153302332515,0.0852364076301389,0.113780861000158,-0.0776994263436291
6242.0,20550.0,1404.0,2863.0,1691,2296,2512.0,3225.0,6197.0,7712.0,1492.0,2855.0,16.8,0,-0.6395690712733795,0.0141335823674019,0.0069109345595716,0.0263085969658064,-0.0131477438363946
57457.0,105498.0,4974.0,7258.0,254,354,0.0,6.0,42094.0,49135.0,39935.0,38612.0,16.8,2,-0.4019574105492942,-0.2091602445615015,0.058737818166848,0.0481390663440802,-0.0959416429859595
62986.0,135443.0,10553.0,23880.0,0,0,87.0,48.0,51446.0,64551.0,34946.0,58243.0,16.8,-1,-0.3134706698260983,-0.2405184172395835,0.0857952778582414,0.0508969258709678,-0.1126277439682653
6646.0,30595.0,1859.0,6631.0,4774,7255,4814.0,7263.0,13134.0,19973.0,89.0,1192.0,16.9,-1,-0.5645848484519564,0.3576872627626861,-0.2009225245371146,-0.1153009114073021,0.162327053698184
2779.0,15712.0,1519.0,5016.0,2041,3418,2356.0,4014.0,6067.0,10354.0,0.0,640.0,17.2,0,-0.6398870097092482,0.0784950013070192,-0.041659391957129,-0.0065991950577694,0.0316926396053926
56794.0,129219.0,8836.0,16734.0,97,161,42.0,20.0,42930.0,53770.0,29050.0,50916.0,17.2,2,-0.3557353967572501,-0.22378956003054,0.0747612682809704,0.0582000393435416,-0.1046678068295817
3558.0,12961.0,817.0,2416.0,3569,5307,4701.0,7144.0,10902.0,16586.0,2417.0,3001.0,17.3,0,-0.6057376429487293,0.246766966891041,-0.0884605806860509,-0.0857590078778453,0.1076461526206243
6532.0,14877.0,925.0,3007.0,2100,2646,2574.0,3578.0,7323.0,9623.0,823.0,1298.0,17.3,0,-0.6416469717285723,0.0433786235322385,-0.0112524719168377,0.0135262867067223,-0.0020577500324898
12340.0,27871.0,1869.0,5308.0,1540,1628,3307.0,4249.0,9323.0,12729.0,4811.0,4096.0,17.3,0,-0.6164882453313938,-0.0007735257197965,0.0677639792670051,0.0326862801844598,-0.0218542851963858
1780.0,9718.0,298.0,2786.0,294,605,266.0,1113.0,985.0,4193.0,224.0,402.0,17.3,0,-0.6880914871915659,-0.1298149230507502,0.0595358615501527,0.0781403291875645,-0.073184245166403
2675.0,10036.0,1350.0,3920.0,1600,2222,1884.0,2776.0,5829.0,8952.0,468.0,1749.0,17.4,0,-0.6575008930568048,-0.0007111754229186,-0.0015089983719975,0.026771070451223,-0.0204086767077296
13380.0,23156.0,2677.0,5147.0,2793,3398,3635.0,4876.0,8657.0,10989.0,1287.0,2724.0,17.4,0,-0.6092721554055588,0.1132209510436601,-0.0286717426298763,-0.0072430183876473,0.0333462377771944
8911.0,32321.0,1730.0,4304.0,2754,3263,3652.0,4939.0,11537.0,15756.0,1026.0,3674.0,17.6,0,-0.5984414961655348,0.1071852441551734,-0.0186071434668832,-0.0086477736244236,0.0236567051726957
16590.0,31563.0,2813.0,4302.0,261,182,181.0,117.0,18893.0,23186.0,10585.0,17771.0,17.8,2,-0.5994330796468419,-0.1807328846292131,0.0639560844557143,0.0678516485396912,-0.1088073775067138
1980.0,12539.0,293.0,2106.0,837,1850,1060.0,2595.0,2904.0,6164.0,1128.0,2210.0,17.9,0,-0.6668770188165103,-0.0427050072946578,0.0214370017991596,0.0341455280071963,-0.020600602131388
3108.0,9436.0,1283.0,2391.0,586,1765,957.0,2478.0,1830.0,5477.0,0.0,113.0,17.9,0,-0.6752541307405129,-0.0533356106765503,0.0268348105543918,0.0398951988086259,-0.0190511025636623
1186.0,6381.0,89.0,2519.0,958,1503,1412.0,2358.0,3886.0,6501.0,0.0,0.0,18.1,0,-0.678187671278124,-0.0525940952151187,0.0340415872073849,0.0454048598582723,-0.0405849638237774
17601.0,31228.0,2628.0,4273.0,3049,3927,4296.0,5396.0,13219.0,16624.0,2935.0,3438.0,18.1,0,-0.5827150281548299,0.1495907745856542,-0.0442702575478966,-0.0260059651725801,0.0516101261267075
5529.0,22627.0,1287.0,4391.0,1336,1871,2176.0,2861.0,6333.0,8565.0,1044.0,1504.0,18.4,0,-0.6435682722617674,-0.0180251572984338,0.025553812263491,0.0412312911755428,-0.0274922275568475
12561.0,24769.0,1553.0,3833.0,3289,4072,4513.0,5784.0,13463.0,17955.0,2192.0,3388.0,18.5,0,-0.5913452851018033,0.1688279724824493,-0.0475251518685192,-0.0381216487976319,0.0536091327882723
7724.0,20612.0,1208.0,3321.0,3132,3742,3617.0,4449.0,8965.0,11163.0,1052.0,1734.0,18.6,0,-0.6173751095061814,0.1313685363804706,-0.0597167776689968,-0.0141079865003866,0.0299382652421762
79926.0,131541.0,13998.0,27806.0,100,162,0.0,0.0,84956.0,93543.0,55118.0,70275.0,18.6,-1,-0.230730648389619,-0.2556556347076141,0.0733937558224596,0.001231883703025,-0.1217844837428585
28131.0,62053.0,13516.0,27137.0,532,240,346.0,251.0,36262.0,38626.0,22404.0,27899.0,18.7,2,-0.4938948435654649,-0.1807490866664301,0.0630843533457954,0.0780458800759302,-0.1093605229369231
13429.0,22606.0,3355.0,6413.0,5505,7268,7431.0,9024.0,19582.0,23677.0,1942.0,3801.0,18.8,-1,-0.5451791473442836,0.4149309430303941,-0.164893885777833,-0.1351919161649947,0.1658963228765339
8976.0,25261.0,1526.0,3097.0,2560,2684,3111.0,3769.0,9039.0,10622.0,1239.0,2194.0,19.0,0,-0.6209989241284188,0.0615675362126777,-0.0128169400609446,0.016683301876326,-0.0057954387970181
26056.0,45955.0,6510.0,13993.0,242,92,166.0,182.0,25158.0,29522.0,7409.0,19208.0,19.1,2,-0.5602354424163777,-0.1869150645483525,0.0716219984750177,0.081809045771919,-0.1074290320519271
31116.0,58684.0,4011.0,7768.0,2498,2710,5413.0,6589.0,14715.0,17660.0,2266.0,5637.0,19.5,0,-0.5389718148708637,0.1078592191556178,0.0583749855126456,0.0075356834103194,0.0369239244869573
18451.0,32341.0,6486.0,11304.0,1396,1635,3954.0,4712.0,11176.0,12651.0,2956.0,4491.0,19.5,0,-0.5990306649300883,0.0066242708977099,0.0833997072454598,0.0409381992859334,-0.0106688514149315
93947.0,166622.0,255098.0,461811.0,8589,9428,9511.0,10946.0,22544.0,23838.0,4322.0,4704.0,19.5,-1,0.1115141514822387,0.6464689826418178,-0.2617310382670708,0.4927508543563632,0.4238713110851291
74839.0,117264.0,11004.0,16253.0,3630,3721,7741.0,8471.0,21881.0,23161.0,5652.0,6630.0,19.6,-1,-0.3992583116265414,0.2077782822979104,0.0447575450569939,0.0143551893115007,0.1024412555453379
3374.0,7062.0,1833.0,4334.0,4119,4708,5060.0,5903.0,11992.0,13728.0,2815.0,4620.0,19.6,0,-0.6119984367108732,0.2228059816402676,-0.0896110708309038,-0.0577788398497865,0.0591499521270654
11871.0,18263.0,976.0,5517.0,2127,2655,3017.0,3173.0,8566.0,7791.0,2056.0,1478.0,19.9,0,-0.6316806055949866,0.0421477010339929,-0.0163295883351521,0.0238500032817294,-0.0073095354123354
56922.0,89777.0,12177.0,22206.0,690,337,330.0,134.0,53433.0,52276.0,40641.0,43040.0,19.9,2,-0.3904473212526105,-0.1971879621934898,0.0548474162926735,0.0498567495439549,-0.1060368328957425
5487.0,11034.0,805.0,3464.0,2449,2816,3100.0,3319.0,7983.0,9604.0,1330.0,1774.0,20.0,0,-0.642347957321199,0.0595615052423172,-0.0273370211770921,0.0115232813512228,-0.0088610419757761
126552.0,213062.0,33701.0,53187.0,544,205,329.0,271.0,130034.0,111645.0,56717.0,48529.0,20.0,-1,-0.0669753788883184,-0.2391814157764062,0.0803966661893007,0.0880406171707909,-0.0991415753228504
228874.0,370977.0,15715.0,25323.0,303,433,162.0,182.0,162375.0,145539.0,58223.0,62930.0,20.1,-1,0.2328519491287224,-0.2794166412738045,0.086667603578215,0.0829781038718524,-0.057844443979541
47266.0,74959.0,12396.0,22658.0,551,293,125.0,39.0,35809.0,36800.0,26504.0,28583.0,20.2,2,-0.4649398231330195,-0.1882078594473295,0.0552410612683825,0.0828123133025369,-0.096550338402095
3332.0,11586.0,2634.0,8053.0,2171,2887,2754.0,3714.0,8262.0,11111.0,507.0,1088.0,20.2,0,-0.6410198146766025,0.0590825631498635,-0.0208496499420185,0.0097317859745126,0.0043557766390648
19580.0,27858.0,5664.0,11389.0,3201,3229,4928.0,5704.0,14488.0,16078.0,2453.0,3582.0,20.2,0,-0.5802387230594043,0.1344280808467949,-0.0026853249652151,-0.0032570942252547,0.0291213504994932
3117.0,19031.0,1297.0,4995.0,1816,3737,2534.0,5133.0,5943.0,11272.0,617.0,1636.0,20.3,0,-0.6309451981973904,0.1008337421784503,-0.0312937970933474,-0.0258709900619264,0.061367590594906
175139.0,291901.0,20984.0,33164.0,418,204,496.0,176.0,137742.0,125791.0,60118.0,65154.0,20.4,-1,0.0834467469660902,-0.2671359396719341,0.0896500806579741,0.071382505451628,-0.0863071031326115
49189.0,83707.0,8838.0,15548.0,191,224,125.0,81.0,39144.0,39818.0,21058.0,34374.0,20.6,2,-0.4527919904562601,-0.2027934133391969,0.066934981683752,0.0693618757694789,-0.099080693257631
44045.0,63279.0,4809.0,6514.0,0,15,0.0,52.0,47303.0,45697.0,35406.0,31872.0,20.7,2,-0.4759523441597857,-0.2209400179696702,0.0766755840709216,0.0436507097923398,-0.1135279308415097
25282.0,32735.0,2906.0,3515.0,6572,7335,8177.0,8797.0,22915.0,22745.0,2905.0,3443.0,20.7,0,-0.5183760149484421,0.4436873553820585,-0.1852202213861181,-0.1254957332767435,0.1537441653354971
110867.0,157363.0,30970.0,50945.0,86,161,178.0,94.0,112615.0,107000.0,89657.0,91428.0,20.8,-1,-0.0804514618737518,-0.2805090715190806,0.0772341898782924,-0.0027600412167236,-0.110616659118383
119004.0,179355.0,31799.0,45232.0,224,248,0.0,49.0,151424.0,134675.0,78682.0,79402.0,21.1,-1,-0.0342855335967114,-0.2776840468121082,0.0727026479786664,-0.0097108712335417,-0.1263783530442992
2702.0,8559.0,755.0,1830.0,2051,2789,2721.0,3812.0,7823.0,10416.0,1464.0,2654.0,21.1,0,-0.6484243200269617,0.0517654294456214,-0.0128092181168237,0.0004267373912362,0.0026502112427208
5990.0,15730.0,1759.0,4329.0,3546,4105,4829.0,6010.0,12503.0,15536.0,582.0,1467.0,21.2,0,-0.6102807056243615,0.1852363633960693,-0.0481050152054517,-0.0392824419456898,0.0503530608378037
14749.0,16299.0,3484.0,5942.0,3886,4261,4815.0,4865.0,10303.0,10776.0,2782.0,2493.0,21.2,0,-0.6019245993172342,0.1834176255697303,-0.0835346535375793,-0.0236847986344787,0.0431542109040287
6239.0,15647.0,2542.0,6357.0,3179,3650,3892.0,4422.0,9992.0,11351.0,33.0,1708.0,21.2,0,-0.621541855273855,0.1314236385524037,-0.055016707425533,-0.0099101302201163,0.0232205833230328
843.0,5102.0,111.0,846.0,73,0,119.0,5.0,1386.0,4287.0,12796.0,29205.0,21.4,1,-0.6539988943484977,-0.1925550492692889,0.0700816628725817,0.0564732534663793,-0.1161090364130097
99641.0,162439.0,6304.0,10980.0,435,328,49.0,99.0,84289.0,77723.0,68627.0,72016.0,21.4,-1,-0.1938476746407026,-0.2445261480570561,0.0633951307117071,0.0026014113530976,-0.1042360464028977
407591.0,530628.0,204508.0,302027.0,1175,1168,933.0,309.0,176703.0,165206.0,92494.0,74896.0,21.4,-1,0.8896092509610034,-0.25338611976631,0.0532136259879118,0.524637031765457,0.1759488168152383
6446.0,16132.0,1644.0,4537.0,3058,3832,4499.0,5101.0,10505.0,11094.0,747.0,1791.0,21.5,0,-0.6193498751165207,0.1491780070147559,-0.0451204129735609,-0.0220725027109686,0.0373989793412171
53107.0,98315.0,26951.0,50168.0,228,94,185.0,81.0,49895.0,50509.0,31607.0,41549.0,21.6,2,-0.3748920765577462,-0.212803940129525,0.0745713803254219,0.1012319674294032,-0.100272969259888
