FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,PC1,PC2,PC3,PC4
2670.0,18830.0,621.0,2892.0,1052.0,1804,1305,2357,3842.0,7167.0,205.0,314.0,16.5,2,-0.5231069280396833,-0.195523790242366,-0.1483813545842052,0.0253016362599767
27939.0,56301.0,13986.0,28539.0,188.0,176,254,148,28579.0,36399.0,28401.0,29566.0,16.5,1,-0.3794139636718884,-0.6796652184344829,-0.4250421769755568,0.0386618809483034
7796.0,31897.0,1548.0,5140.0,1946.0,2969,2670,4201,8350.0,13447.0,972.0,3047.0,16.5,2,-0.4117192937539115,0.2100646773437168,0.1196984569098793,-0.0025630791524778
2116.0,14358.0,1229.0,4781.0,1562.0,3540,1905,4173,5116.0,11832.0,1135.0,1770.0,16.6,2,-0.4628388781183478,0.1535726384610815,0.0419997599736656,0.0003787832267034
78852.0,158345.0,21031.0,36747.0,1200.0,1012,118,123,76229.0,95708.0,46662.0,52459.0,16.6,1,-0.0203154122506125,-0.6865274621423822,-0.5327701676635359,0.0073056223315667
19012.0,44328.0,6158.0,13741.0,505.0,346,0,0,21979.0,29386.0,14612.0,21620.0,16.7,-1,-0.4553536855063481,-0.6910184047805953,-0.4815600022923286,0.0319488945229303
18735.0,40655.0,12201.0,26634.0,468.0,221,0,29,25391.0,32849.0,22182.0,21981.0,16.8,1,-0.4391430085040277,-0.6995857753065416,-0.4671326544578946,0.0469973302257206
8288.0,19776.0,2265.0,3485.0,2189.0,2898,2863,3839,7836.0,10425.0,1205.0,2730.0,16.8,2,-0.4331482255268293,0.1920419930230229,0.0917867767897622,-0.0056563139383842
3905.0,19258.0,1280.0,3722.0,1013.0,1902,1640,3175,3753.0,7493.0,1900.0,2508.0,16.8,2,-0.4972372678546134,-0.0693688879540436,-0.021424712862385,0.011734424360518
3140.0,8008.0,1313.0,2354.0,1194.0,1747,1561,2507,4071.0,6801.0,1094.0,1172.0,16.9,2,-0.528709303142167,-0.1530712838785669,-0.1059126964239035,0.0138539600889841
31944.0,72824.0,36560.0,77408.0,1522.0,1739,4169,5539,9206.0,12233.0,4028.0,5494.0,16.9,-1,-0.2264214853809046,0.4158507390927275,0.4848607526767947,0.1314551476210529
33138.0,69896.0,1744.0,2768.0,346.0,312,299,197,37974.0,50267.0,15734.0,40860.0,16.9,1,-0.3399983668427846,-0.6641756967934686,-0.4380546244534403,-0.0330630721446591
5998.0,17201.0,1220.0,2127.0,708.0,2216,717,2569,2463.0,6921.0,1444.0,2102.0,17.0,2,-0.5294520228879201,-0.2184431910571644,-0.1800476045391218,0.0259180088029937
1443.0,7135.0,125.0,1718.0,855.0,2332,1019,3039,2886.0,7910.0,129.0,646.0,17.0,2,-0.5356902010819007,-0.1258307605295819,-0.1024204769581642,0.0127863814933043
29469.0,55366.0,3802.0,8348.0,375.0,225,128,110,29126.0,36220.0,28774.0,30346.0,17.1,1,-0.3983732234854929,-0.6849928563101783,-0.4525907467360212,-0.0025054336402489
6547.0,12106.0,0.0,1741.0,119.0,119,261,198,2571.0,8834.0,11947.0,28223.0,17.1,1,-0.5449528249916182,-0.6507080493819397,-0.4077254492856859,0.0030508529371213
