FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,PC1,PC2,PC3,PC4,PC5
87021.0,168978.0,14563.0,29601.0,160,174,102.0,64.0,118998.0,144137.0,48966.0,58778.0,17.9,0,-0.1899726216940909,-0.7107984589342105,-0.4413114708308101,-0.3949430025486555,-0.2619452428706257
1423.0,9155.0,181.0,2131.0,1389,3036,1840.0,3853.0,3956.0,8596.0,410.0,1535.0,17.9,1,-0.5750292193680707,-0.0095993484653425,0.0029737751574961,0.0519788149405396,0.1124359508319095
6212.0,14432.0,463.0,1984.0,575,2457,758.0,2976.0,2096.0,7232.0,0.0,132.0,17.9,1,-0.640888022682386,-0.190187200918069,-0.0762712452235232,-0.0784556744107076,0.0894008834170363
1319.0,8980.0,106.0,1406.0,158,28,162.0,72.0,1273.0,6739.0,5051.0,20174.0,18.0,0,-0.7217943647605836,-0.6230840025571973,-0.325412786044149,-0.4052460352565877,-0.0352074347872074
220495.0,416264.0,65783.0,116597.0,487,543,158.0,109.0,233709.0,276559.0,123170.0,134513.0,18.0,-1,0.6005741861565737,-0.7902721836237356,-0.4850874792743701,-0.3943985353915862,-0.6036709944813404
34341.0,66552.0,5134.0,9702.0,240,179,90.0,22.0,20548.0,23008.0,14720.0,20806.0,18.1,0,-0.5904041206440196,-0.6253737078607807,-0.2926189037953732,-0.4063654848982859,-0.1033286689585843
1737.0,4626.0,0.0,0.0,322,287,242.0,141.0,4861.0,9415.0,6164.0,10031.0,18.5,0,-0.7197472462406718,-0.5730345851886757,-0.285603708423551,-0.3567946961300429,-0.0089464244236463
699.0,3198.0,65.0,1263.0,77,0,270.0,238.0,9316.0,19890.0,3615.0,5969.0,18.5,0,-0.7399155878682155,-0.6214720112111992,-0.3342526100404208,-0.4202080930918488,-0.017844287281057
3045.0,13124.0,87.0,1104.0,116,8,163.0,69.0,1617.0,5877.0,6450.0,13367.0,18.5,0,-0.7296240387021152,-0.6273048695528225,-0.3192556108939476,-0.4190291640996086,-0.0333202927533517
2459.0,7098.0,1323.0,3105.0,97,0,219.0,104.0,3049.0,18061.0,89168.0,183772.0,18.5,-1,-0.40622054299012,-0.7004059128124974,-0.6110425603515762,-0.2744171370375388,-0.1471177878760603
420218.0,553694.0,197170.0,355933.0,2114,2078,951.0,609.0,1390070.0,1444200.0,1048990.0,1017330.0,18.5,-1,4.844842471675841,-1.3537647792211065,-3.237897231832481,1.2198005435880646,-0.843747465419103
