FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,PC1,PC2,PC3,PC4,PC5
46405.0,102794.0,5129.0,10561.0,22,269,319,157,37028.0,51720.0,45367.0,53036.0,16.3,0,-0.2800090782985965,-1.0732746393304762,-0.1409490815111629,-0.1471577165157453,0.0566019695561078
10115.0,21988.0,3137.0,4321.0,1849,2242,2588,3727,8393.0,12453.0,3485.0,2742.0,16.3,1,-0.4698461222606395,0.1575625947139702,0.0347823306034901,0.061251304198155,-0.1635754174886881
2526.0,11831.0,1050.0,3434.0,2166,3655,2637,4478,7357.0,12329.0,361.0,2180.0,16.3,1,-0.4099790492609996,0.5358334918393887,0.0786501269412228,0.271793469856198,-0.10057699115567
3047.0,10527.0,1460.0,5056.0,249,183,178,120,2695.0,5539.0,2899.0,6126.0,16.3,0,-0.7946040984303689,-0.929281978178572,0.0663520036578492,0.0182989550951589,-0.2742816298293232
1079940.0,1528900.0,1624040.0,2397650.0,5386,4727,1274,1003,1046640.0,1122090.0,879504.0,787664.0,16.3,-1,13.939585192291403,-3.7070562658258073,3.9033451392551073,-4.246431937142755,2.785710686462987
16253.0,34424.0,4200.0,9582.0,73,239,0,0,19857.0,28091.0,13136.0,23515.0,16.3,-1,-0.6240736899842959,-1.0136636488877702,0.0007405990621135,-0.0018064317515695,-0.1771281807703308
7527.0,10480.0,0.0,1288.0,1238,1720,1379,2038,4688.0,6340.0,1581.0,1627.0,16.4,1,-0.6273071060829379,-0.2614990070599277,0.0760981983905666,0.1399419525954005,-0.1958549071094104
72582.0,152410.0,5376.0,10013.0,357,369,340,130,41163.0,54314.0,30152.0,42512.0,16.4,0,-0.177454640604735,-1.066712861198255,-0.0884417237400626,-0.2186517614702636,0.3042665055047875
19469.0,39683.0,2667.0,5620.0,348,240,256,114,21161.0,28961.0,10482.0,18955.0,16.4,0,-0.6093332043721282,-0.9624779121513776,0.0016170828829075,-0.0083955050243375,-0.1491734028426922
29327.0,78774.0,1986.0,6548.0,0,64,93,74,28814.0,40008.0,19492.0,30349.0,16.5,0,-0.4884807106311142,-1.0809435185685592,-0.0649583701486174,-0.1279362721491783,-0.0146053626081764
6694.0,19762.0,678.0,3791.0,1372,1957,1865,2424,5258.0,7223.0,1260.0,2084.0,16.5,1,-0.571389697908881,-0.1318993388850693,0.0700846729948734,0.1081899273330083,-0.1582363889664501
3821.0,10248.0,0.0,0.0,174,67,232,203,1189.0,5221.0,2307.0,4258.0,16.5,0,-0.8154457683910514,-0.9356299649624606,0.0463943594545515,-0.0102902112290747,-0.2832323683910461
198227.0,385680.0,13847.0,25940.0,523,393,194,84,248431.0,313899.0,78816.0,111605.0,16.5,-1,1.3141356186085982,-1.533380065268363,-0.6554228817544177,-0.5087194603664634,1.3153326677485804
46053.0,99686.0,4924.0,12051.0,43,82,472,162,47157.0,64345.0,48026.0,54785.0,16.5,0,-0.2498923962087181,-1.102502028176713,-0.1769592313304108,-0.1680059000461588,0.0271097611919938
3741.0,14553.0,2428.0,7316.0,1178,1585,1640,2239,4231.0,5888.0,688.0,1143.0,16.5,1,-0.6200392984674977,-0.245466156645987,0.0737546594085566,0.0659042290118279,-0.2074543719060608
6156.0,23235.0,1011.0,2842.0,1347,1771,2143,3047,6083.0,9226.0,1473.0,3298.0,16.6,1,-0.552089719884235,-0.0710332010028646,0.0265433302797824,0.0139809305760731,-0.1779519464703607
1931.0,4821.0,319.0,2017.0,725,767,1324,1721,4546.0,6413.0,1254.0,1758.0,16.7,1,-0.7196422274660095,-0.498712947147182,0.0283877193696645,-0.0151220633531016,-0.2971610752958194
4998.0,16262.0,1493.0,3911.0,2220,4296,2637,5121,7758.0,13849.0,2890.0,3119.0,16.7,1,-0.3454967387457834,0.7261244516060725,0.0812207222578245,0.3194862812219806,-0.0490818048106367
3652.0,12730.0,1002.0,3166.0,3071,4647,3673,5571,8459.0,13331.0,1099.0,1958.0,16.7,1,-0.2736688290880015,0.9812724160695596,0.092749263749676,0.3677826357052143,-0.0479320427192292
194430.0,451015.0,82986.0,165206.0,1004,1277,403,261,110494.0,145153.0,63738.0,97846.0,16.7,-1,1.2393541888070143,-1.2605855312590244,0.1466672091828137,-0.8149618677860887,1.4485135096149648
18977.0,40548.0,4250.0,9068.0,348,217,241,96,27064.0,35275.0,33105.0,33950.0,16.7,0,-0.5216603042435897,-0.9976848176419556,-0.0535793805913293,0.002581089020756,-0.184017576959497
8728.0,22685.0,3115.0,7172.0,77,14,0,0,12080.0,16785.0,10127.0,12608.0,16.7,-1,-0.7298465935975695,-1.025406119021989,0.0279697420536151,-0.0215251667872638,-0.2430747299280252
