FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,tSNE-1,tSNE-2
8073.0,23446.0,2068.0,4323.0,2292.0,2940.0,3378,4831,10035.0,14364.0,1295.0,2624.0,18.2,0,-30.135426,19.80326
2742.0,13388.0,1302.0,4985.0,985.0,1388.0,2574,4006,5968.0,9278.0,512.0,1901.0,18.2,0,-41.426804,7.0352826
17817.0,34767.0,3982.0,9355.0,79.0,181.0,4,92,26216.0,30379.0,23941.0,21944.0,18.3,1,-6.0203424,-43.22009
32961.0,73327.0,19869.0,36803.0,201.0,164.0,199,73,48150.0,56840.0,31350.0,47218.0,18.3,1,44.135498,-36.926155
4261.0,11281.0,880.0,2856.0,1766.0,2260.0,2177,3092,6492.0,8690.0,1979.0,1981.0,18.4,0,-54.15055,-6.4762354
11708.0,35003.0,1673.0,3726.0,200.0,88.0,83,71,22174.0,27595.0,10018.0,22229.0,18.5,1,-12.328177,-37.973297
33340.0,80008.0,2753.0,6409.0,77.0,110.0,67,75,43099.0,49866.0,24762.0,43758.0,18.5,1,40.289177,-30.174246
72363.0,121966.0,9798.0,11528.0,170.0,265.0,500,236,95042.0,102987.0,47333.0,52284.0,18.5,1,70.105034,-16.835772
95136.0,173108.0,13490.0,22536.0,188.0,309.0,212,190,158537.0,166747.0,93984.0,82150.0,18.5,1,73.341736,-5.6225634
7338.0,7932.0,1658.0,4063.0,2000.0,4444.0,2718,5334,7032.0,12246.0,2370.0,1853.0,18.5,0,-31.266308,31.2187
19502.0,38587.0,6454.0,12010.0,201.0,247.0,193,119,24345.0,28975.0,14846.0,27614.0,18.6,1,-3.998403,-37.248207
16755.0,44678.0,1915.0,6990.0,164.0,112.0,16,16,24234.0,27381.0,22644.0,26451.0,18.9,1,-2.7115974,-32.04035
7424.0,17281.0,2270.0,6118.0,10189.0,12308.0,10682,13474,25630.0,31955.0,4918.0,4073.0,19.0,0,32.7064,24.399256
792.0,5158.0,154.0,1295.0,629.0,3409.0,535,2879,1145.0,6806.0,82.0,407.0,19.0,0,-77.49108,-2.121281
674522.0,999260.0,971429.0,1515880.0,7251.0,7141.0,1216,1083,118372.0,118526.0,65278.0,61050.0,19.1,1,79.27858,23.408298
2215.0,9330.0,703.0,2128.0,1988.0,3101.0,2909,4419,7577.0,11233.0,1213.0,1451.0,19.1,0,-34.641476,15.348551
9522.0,18420.0,2576.0,4110.0,2265.0,2664.0,3392,4063,8493.0,10082.0,2240.0,2267.0,19.1,0,-26.258371,5.140544
26940.0,65213.0,4718.0,9988.0,284.0,170.0,235,87,31264.0,35730.0,16824.0,29104.0,19.1,1,19.879461,-26.369722
14066.0,24167.0,631.0,2987.0,2473.0,3109.0,3946,5098,11429.0,13861.0,3490.0,2965.0,19.2,0,-12.97897,24.367964
2111.0,10946.0,276.0,1131.0,1235.0,2275.0,1775,3470,5525.0,11065.0,1102.0,1641.0,19.2,0,-57.81782,4.7102647
9841.0,19196.0,3553.0,5224.0,1791.0,1738.0,2317,2919,7082.0,8138.0,0.0,2344.0,19.2,0,-53.495403,-11.013805
