"FSC-A","FSC-H","SSC-A","SSC-H","FL1-A","FL1-H","FL2-A","FL2-H","FL3-A","FL3-H","FL4-A","FL4-H","Time"
38362,69650,4761,8510,0,169,48,85,29785,35298,24207,26963,6651.7
3997,10231,1419,3668,2356,3357,2838,3967,6645,8574,1044,2060,6651.7
265765,467547,39683,77392,387,982,166,103,143797,161223,75950,90372,6651.8
2894,17323,1017,4103,2618,4690,2537,4437,6191,12063,1888,4251,6651.9
311010,504548,165357,275064,1712,2015,974,2148,86767,100101,60330,59922,6651.9
3947,12878,839,2845,1885,2332,2934,3991,7092,9373,1240,2041,6651.9
23107,50387,4360,8245,243,135,297,166,23199,28260,11072,17716,6651.9
17815,44623,7597,13314,3852,4768,4909,5977,14615,18354,2710,4208,6652
381165,682926,223409,446558,1169,1345,0,32,172661,195873,78200,91630,6652
37088,78266,8167,16207,80,140,182,106,39070,46102,23015,35821,6652.1
8701,33483,1532,4538,2948,3761,3577,4691,10553,13573,1796,3305,6652.2
391889,711410,150021,264919,632,758,320,256,105191,116736,74792,82477,6652.3
62934,118592,5441,9573,523,325,55,84,45313,50761,31565,39599,6652.3
22356,48559,835,2565,29,109,136,75,21050,24240,11845,19857,6652.4
5319,18634,2283,6268,2470,3138,2970,3769,7654,10351,1315,3542,6652.4
222575,419064,10050,15484,542,354,339,179,119479,130369,62108,64401,6652.5
41759,73901,4045,8340,0,76,89,79,37919,43765,28273,30893,6652.5
91481,170971,12645,24403,0,60,45,88,75957,84411,59033,72290,6652.7
6015,13694,1000,2729,889,1110,1199,1703,2976,3884,551,645,6652.7
6262,12262,1407,2784,1694,1957,2399,2961,5629,5939,1234,1699,6652.7
42960,72320,8987,14224,0,38,418,195,36694,40616,20523,31458,6652.8
48423,103560,3990,7535,74,199,0,102,24855,25864,29234,24897,6652.9
3873,12222,863,2120,1658,2236,2619,3651,6506,9146,532,2053,6652.9
195281,354469,32614,61852,0,137,452,234,167753,167244,58721,69094,6653
18582,34018,4547,7870,3917,4989,5686,6786,16475,19822,2178,4097,6653
9420,23020,391,1669,2542,3169,3851,4728,12523,15545,2937,4199,6653.1
33223,72308,7027,14288,309,159,89,44,33035,35785,15479,24553,6653.1
7654,17854,2846,5351,2521,2819,2906,3511,8140,9460,592,3221,6653.1
7843,25319,2018,4023,2328,2759,2524,2957,5611,6113,804,831,6653.2
13235,33560,2506,5261,4049,4699,5677,6952,16327,20106,4737,7364,6653.2
7405,13808,647,2594,80,91,105,14,3482,3989,2221,3439,6653.2
2059,7640,688,2517,2373,2802,3176,4120,7968,10497,602,1981,6653.2
57186,105682,3949,6644,397,390,263,160,48691,50990,36092,40337,6653.3
3321,8577,611,1244,70,0,73,0,12361,14645,1897,2809,6653.3
1306,8086,0,0,142,15,67,0,4311,10851,23649,69838,6653.3
557431,801835,58532,98722,2409,2575,83,171,768855,751347,352053,358807,6653.3
50590,103395,12111,22320,260,122,150,59,40844,45882,27875,41741,6653.3
2979,6390,1320,3080,1791,2036,2304,2591,6128,7721,807,1355,6653.3
28500,57480,6380,12218,3621,4385,4518,5272,12152,13020,5105,3838,6653.4
16353,22194,2731,3419,3974,5153,5442,6300,13478,15681,2595,3469,6653.5
4446,19963,333,1398,2260,3042,2893,4453,7725,11267,1419,1956,6653.5
219076,358573,47416,82944,593,316,292,154,118390,120615,105982,113339,6653.5
5678,10387,626,1650,58,99,52,30,1949,4170,8090,11038,6653.5
38019,77621,5123,10840,26,48,92,128,27625,29684,10409,20157,6653.5
5854,12240,966,3589,1821,2119,3349,3802,8569,9800,3409,3601,6653.6
1.27503e+06,1.35853e+06,2.30495e+06,2.82761e+06,4936,3601,1372,708,160698,148568,97640,83793,6653.6
6772,20169,2138,6581,2371,2796,2749,3163,8563,9554,1640,1743,6653.7
21556,46633,3733,8657,1290,1696,2979,3578,7128,8390,2780,3670,6653.7
3268,15545,1103,4407,1345,1831,1922,2758,5108,7450,536,916,6653.8
92183,160486,6186,10390,0,55,100,60,65455,64672,50250,53613,6653.8
14645,25114,5547,9367,3861,4549,5901,6633,16459,18185,3756,4424,6653.9
63212,111446,11849,20435,3089,3517,9089,9962,22864,23642,9775,8292,6653.9
1.0399e+06,1.09602e+06,1.85885e+06,2.45364e+06,7210,5400,8546,8994,454825,412677,215178,202638,6653.9
1482,5988,703,3369,577,1587,616,1976,1767,5701,240,251,6654
55812,103625,45147,83028,3143,3558,9890,11254,20171,22972,7850,10295,6654
4298,11896,3036,6611,3286,4387,3478,4475,9229,10920,1555,2480,6654.1
1190,6434,102,847,170,156,175,53,726,4264,6169,10914,6654.2
45392,76964,6763,10386,349,254,282,169,38514,42244,23781,35821,6654.2
12110,20383,1313,3837,3653,4221,5192,5627,16015,17366,3891,4769,6654.2
57883,100331,5173,8138,355,205,374,253,41058,39623,29798,33342,6654.2
1015,3402,612,1905,758,1904,905,2804,2140,5846,1649,2206,6654.2
2637,11030,293,1759,729,2095,921,2928,2353,7390,107,266,6654.2
6335,11309,1738,3667,2314,2577,3422,3895,9027,9583,1272,1797,6654.2
23775,58383,33532,61090,4807,5340,5868,6786,17348,19547,3289,3505,6654.3
6604,12868,770,1964,1187,1152,1789,1823,5203,5604,1479,1555,6654.3
193808,324937,8725,15808,439,249,0,15,127154,120273,58694,62657,6654.3
2121,8728,0,692,219,159,103,77,3555,5693,1457,1779,6654.3
651304,921317,54515,80986,1103,1268,16,124,609006,526400,299800,265552,6654.3
32488,51954,4315,7487,278,168,201,92,25681,27134,17835,23655,6654.3
994,3831,1361,4035,1650,2061,2196,2950,6101,7718,1319,1516,6654.3
15154,19115,1752,3238,1932,2921,4049,4754,12421,13629,3756,2509,6654.3
7618,22200,2406,6173,10045,13327,15100,20280,6280,7906,629,1314,6654.4
17377,22728,2056,3536,3316,3826,4535,4852,13788,14468,3753,4206,6654.4
9362,29112,1797,4302,3569,4659,4750,5614,13257,15972,810,1853,6654.4
28285,59176,3714,7537,3470,3907,5279,6241,16623,17653,4427,5057,6654.4
47321,86067,17898,30015,318,172,383,157,36286,36095,27776,30097,6654.4
93559,172936,26204,42622,136,111,254,159,66997,66268,51150,55746,6654.5
103361,168658,5245,7989,375,304,84,153,55654,58944,40084,49134,6654.5
150103,237488,12410,21584,322,279,321,179,99376,99764,91199,96538,6654.6
13292,21895,2540,6632,2280,2975,3517,4332,10751,11724,1892,3196,6654.6
2305,9108,744,2888,2021,3118,2613,3831,5234,7458,553,1002,6654.6
2540,9717,717,2766,1318,1756,1843,2637,4561,6775,424,904,6654.6
2923,8984,935,3288,998,1473,1445,2382,3678,6239,1128,1064,6654.7
2357,8505,0,1639,121,83,226,133,1584,4869,10310,16530,6654.8
87506,161279,11212,18465,207,225,150,128,62731,59964,45656,47486,6654.8
73163,127171,64501,108469,10805,10457,17579,18554,14814,15438,3834,3865,6654.8
72664,112096,15613,25513,415,155,152,126,50780,49371,49142,45325,6654.9
9802,23733,1283,2153,3084,3216,4770,5261,12710,13486,2289,2636,6655
15693,11990,971,4231,2198,2165,2817,2894,6990,6564,2184,1482,6655
40761,66127,11483,19949,3484,3424,8970,9374,19958,19765,8793,7982,6655
7665,14595,599,2816,4175,4838,5487,6114,13103,15172,4048,3380,6655.1
33087,63883,4387,8641,288,115,0,0,35271,32746,22280,25030,6655.1
2491,13986,1065,4906,1281,2149,1720,2922,3751,6829,0,0,6655.2
37703,66154,4263,6294,364,324,90,64,27227,26983,20771,24167,6655.2
58141,96031,12429,17563,363,257,324,200,36877,34718,30145,27092,6655.3
7489,24017,1810,3882,3499,3842,4322,5144,10474,12430,1144,4242,6655.4
9582,17259,1913,3801,4323,5125,5487,6408,14621,16700,2669,3287,6655.5
87734,136755,8553,12994,242,181,686,282,60802,59505,51863,51441,6655.5
19732,39206,5183,8052,2252,2446,3134,3485,9053,9834,2853,2438,6655.5
51480,83600,6869,11608,200,208,0,6,52274,50356,45617,40395,6655.5
6716,11488,638,2707,2260,2565,2999,3356,7295,7369,1482,2168,6655.7
12928,24849,1955,3810,5653,6388,6801,7613,14552,16078,1543,3929,6655.7
10240,23194,1349,3990,3005,4041,4559,5149,12279,13291,1912,3290,6655.7
1227,4863,219,1596,124,64,114,25,2793,7055,13186,28908,6655.7
57250,94897,9473,16814,239,157,32,34,45344,45227,27036,36456,6655.7
6666,9647,1836,4602,2709,3085,3610,4035,8471,8398,941,2830,6655.8
16404,14101,6158,5883,4233,4713,4974,5180,10819,11564,3225,2045,6655.8
122771,183885,8804,15453,442,233,156,114,92558,82936,75756,60749,6655.9
40158,64141,15639,26125,0,86,70,88,32897,31218,29113,23475,6656
8922,22803,1991,4397,2666,2686,3575,3876,10729,10522,3189,3394,6656
2014,7892,37,883,331,808,573,1129,2265,7231,4338,8958,6656
6960,15396,1309,3151,8523,9821,9864,11691,20988,22906,3376,8175,6656
11799,23237,2296,3998,4236,4578,5574,6146,14186,13918,2202,1592,6656.1
86097,141106,4099,8066,608,293,0,0,57769,56698,43850,52436,6656.2
42001,68545,7176,11549,611,339,199,135,32384,30583,22553,19315,6656.2
86463,136503,9370,15273,8737,8772,21036,21113,50941,49409,14456,16916,6656.2
3138,11893,806,2988,1377,2083,1956,3228,5650,9850,273,1833,6656.3
23177,33045,7564,12041,3692,3961,4570,4881,14722,15675,4227,3895,6656.3
12071,19361,3445,7577,1538,1615,3381,3836,9486,10577,699,3550,6656.3
12916,12180,1265,2294,4486,4588,5756,6027,14963,14892,4690,2940,6656.3
12798,21175,4258,8230,4734,4853,6061,6246,15296,16161,2607,1997,6656.4
80335,117565,75,3351,752,326,155,140,63868,58711,63221,54972,6656.4
4668,9437,0,1415,137,113,247,118,6647,4720,560,964,6656.4
1403,4460,532,1519,121,27,219,140,2334,4017,16058,24312,6656.4
297552,438449,55470,90958,399,503,667,306,211773,185194,79506,86280,6656.4
30637,46884,2566,3571,6673,6065,9718,10396,27412,28214,6582,5589,6656.4
203188,322816,19453,26294,430,327,428,142,144127,128035,61421,59677,6656.4
1484,3855,887,2500,1864,2200,2391,2837,5756,6789,621,1111,6656.5
139940,210813,21657,37425,634,535,415,184,59082,56911,57864,51085,6656.5
1269,5557,628,4005,770,1647,837,2118,2248,5954,1533,2526,6656.5
1807,7117,2246,5330,2337,3154,3242,3986,8535,11009,311,1034,6656.5
52386,100108,12010,20206,511,254,0,57,47654,44165,31542,32797,6656.7
9058,16292,1350,3554,11729,13535,21328,25113,33591,38751,5714,10758,6656.7
51506,74746,8565,12426,227,151,131,56,40927,37960,35686,33692,6656.8
3936,11014,492,1991,1185,1256,1710,2014,5502,6385,717,1303,6656.8
59045,87179,12668,20116,648,331,152,112,36885,34786,32959,29913,6656.8
125366,180111,15826,25891,65,295,4,42,53622,48636,41901,39740,6656.8
1261,3874,667,2190,209,125,108,7,17966,18819,8667,9915,6656.8
1474,5448,0,1878,188,126,193,158,3012,4053,18319,33686,6656.8
804311,888732,755751,1.22993e+06,2814,2895,763,414,1.28016e+06,1.02007e+06,909178,733668,6656.8
1453,5780,777,3506,146,126,133,39,6440,9954,6246,9216,6656.8
4523,16129,0,833,219,141,179,48,4851,8148,24427,47850,6656.8
654856,839111,105386,162428,1416,1176,64,108,750453,635051,206874,193455,6656.8
71471,110936,10330,14829,275,233,109,105,53119,50853,44841,40872,6656.9
227968,356628,50507,86473,858,565,278,143,108696,95106,98944,88788,6657
72854,119356,16624,27453,237,149,259,188,55386,53509,34444,35833,6657
2911,9016,667,1455,4713,6034,5196,6337,14120,17464,453,2409,6657.1
51782,75218,12537,19749,0,80,0,0,35916,35509,23828,23273,6657.1
44932,72061,5386,8526,206,208,200,203,45185,43321,29193,31839,6657.1
33360,63718,5999,9166,266,127,194,79,27557,25847,22413,21760,6657.2
25961,46677,2490,5018,3325,3580,5402,5440,16426,15766,5410,5466,6657.2
24666,38240,5000,6291,4900,4620,7384,7490,20477,21317,5138,5897,6657.3
18234,37532,1381,2226,5567,6271,7151,7582,17237,18314,3596,4760,6657.4
93681,159603,56278,82073,7176,7610,12879,12614,33702,32192,8452,8674,6657.4
11587,17708,1376,4162,2951,2831,4028,4397,10889,11056,5980,4166,6657.4
20212,26871,1584,3828,2901,2692,5074,5150,14735,14801,2848,3405,6657.5
10230,11266,1247,2876,4352,4704,5493,5411,12963,13025,2801,2107,6657.5
17529,24726,1953,4213,3225,3044,4501,4416,13475,13684,3736,3355,6657.5
8580,19840,1452,3665,3804,3830,5336,5915,13164,13465,796,3324,6657.5
9346,28913,1651,3749,4332,4774,5664,6359,16016,17422,2075,3351,6657.5
9845,20952,2363,5010,2920,2763,3978,4068,13379,13763,3364,3171,6657.5
