"FSC-A","FSC-H","SSC-A","SSC-H","FL1-A","FL1-H","FL2-A","FL2-H","FL3-A","FL3-H","FL4-A","FL4-H","Time"
101317,198505,4215,9772,497,272,219,159,149027,171312,51503,58592,5301.7
25751,39874,3391,4703,0,89,13,116,25503,31547,24897,29339,5301.8
65139,149043,43327,79976,3382,3952,5012,6372,16197,19685,6943,8598,5301.8
22207,40977,5813,11154,444,347,0,0,31489,36137,24933,27508,5301.8
21465,47770,15491,32758,185,148,119,140,27231,32978,16099,24716,5301.8
5366,16600,226,993,2213,3387,2885,4458,8908,13307,383,2511,5301.9
895,5482,0,0,236,265,43,0,3130,5770,1248,2258,5301.9
247463,423054,41650,82295,671,1167,0,109,416274,461732,171402,168465,5301.9
7426,17336,1524,3604,2693,3559,4025,5298,11233,14943,4031,4453,5301.9
11752,34219,2571,6394,180,108,232,70,19005,24040,14924,24638,5302
1423,5003,1450,4062,876,1176,1255,1729,4315,6168,740,1517,5302
17519,38020,5911,11790,324,236,317,121,20668,24108,16462,20211,5302
2492,9781,863,3401,1571,2219,2414,3699,6185,9728,1529,2513,5302.1
31299,58355,4042,6968,459,186,0,42,29921,34023,24695,29384,5302.1
6743,15847,806,2443,122,42,8,53,6000,8365,1210,1024,5302.1
4873,12649,331,1439,136,14,0,0,1041,5311,3864,6244,5302.1
595,4005,0,4116,134,50,166,66,0,5950,11023,26182,5302.1
238926,426404,43633,71873,1019,907,58,65,318086,357883,110597,132543,5302.1
11776,30792,1548,3595,224,117,79,1,21751,27565,7961,18687,5302.1
21337,35997,4269,11353,125,162,313,194,22736,27630,18699,31749,5302.1
19523,48571,19215,38068,385,264,0,31,35889,43460,27691,36593,5302.1
5893,14001,1752,3377,1055,1361,2176,3107,6404,8237,3473,3625,5302.2
662117,869232,567142,864646,2205,2075,444,281,69084,73397,17040,20334,5302.2
2849,9740,756,3141,1417,2097,1589,2342,4707,7286,0,836,5302.2
1915,8386,441,2552,524,1490,885,2627,2225,6998,273,485,5302.3
4313,12293,1299,3823,3364,4397,4125,5086,11387,14558,2999,2942,5302.3
5479,13961,1107,3282,4043,5369,5854,7434,13534,18580,404,2997,5302.3
6774,12910,2155,3323,3934,5131,4270,5519,10249,12826,3264,3218,5302.3
9283,25530,1778,4836,385,207,49,15,12304,14863,12043,14148,5302.3
9223,16754,3163,3966,2470,2941,2986,3793,8342,10306,1626,2140,5302.4
17837,35877,1486,2626,56,112,0,59,19803,24365,14421,19333,5302.4
11489,25666,6322,12313,194,139,83,34,22116,26968,13890,19697,5302.4
2641,7324,1189,2373,1271,1657,1706,2357,6129,8230,1155,1120,5302.4
4258,17893,1388,4096,1742,2234,2571,3243,6564,8864,98,1117,5302.5
2674,9915,429,1494,1079,1513,1595,2403,4333,6465,738,984,5302.5
26492,59038,16683,33775,2865,3521,3370,4252,10566,13139,3292,4475,5302.6
7305,7561,5389,8830,2220,2934,3203,3957,10207,12109,3999,3733,5302.6
12387,24093,578,2781,1619,1812,3583,4579,9905,12189,4507,5046,5302.6
2057,14253,0,617,112,10,90,0,1368,4710,6400,22689,5302.6
271482,493460,37599,69723,942,764,0,134,183482,204436,123865,132788,5302.6
17795,26657,4576,9155,3950,4921,5313,6580,17190,20904,2066,5405,5302.7
11446,21423,3323,7235,88,35,291,132,19526,23388,14681,20355,5302.7
18006,39341,6328,11003,284,250,38,59,25765,28372,19778,22579,5302.7
11051,28305,1774,4007,3416,4287,4930,6456,15814,19623,3168,5060,5302.7
2490,6484,2464,6307,559,683,1122,1390,3028,4373,1249,1718,5302.7
24167,38530,13085,25305,2557,2616,2853,2975,8660,9737,3440,4020,5302.7
2896,9895,698,2687,1472,1949,1802,2362,5398,7213,1588,2230,5302.7
31709,63743,20394,39489,194,236,99,52,36692,41159,35957,38005,5302.8
15111,30289,1493,3839,207,137,17,47,19007,22527,9775,16240,5302.8
9495,21480,2087,4101,1722,1888,4606,5590,12975,16243,4855,5379,5302.8
42147,81633,11571,20443,206,240,272,162,50097,55192,43187,44884,5303
1320,8308,0,1417,722,1145,1137,2031,3225,6067,361,471,5303
1802,10466,82,747,218,257,237,176,2506,6846,3846,6204,5303.1
1971,6841,0,1867,281,192,93,18,1850,5808,714,996,5303.1
7311,16548,1599,3357,3959,4397,5566,7063,13222,16192,1698,4070,5303.1
3246,7895,1333,3666,1688,2081,2102,2919,5660,8203,1018,928,5303.2
2896,7458,1386,3141,2787,3682,3809,5019,11288,14903,1418,2679,5303.2
24862,43709,4087,7054,394,196,0,55,32576,34958,20216,27302,5303.3
4072,12298,1011,2623,828,995,2544,3186,6943,8785,1570,3056,5303.4
42097,76495,2770,6602,0,114,201,117,54835,58968,50554,53396,5303.4
21696,45587,2942,5632,254,257,0,21,35550,39322,20543,30568,5303.5
12683,29561,581,1766,2205,2546,3557,4365,11722,14468,2779,4686,5303.5
6435,13217,36,1315,3952,4577,4941,5957,12769,15080,161,1560,5303.6
1953,9581,554,1954,2881,4589,3813,6205,10597,17474,564,2775,5303.7
7031,10346,937,2588,258,143,169,143,6552,4353,1401,1230,5303.8
416340,663573,221629,343050,1600,1346,1914,2072,204850,209892,102433,106600,5303.8
34931,52562,18581,31324,116,134,380,176,13365,13829,1640,2330,5303.8
33353,68101,9133,15745,284,195,153,45,38176,40508,29341,31105,5303.8
25145,34092,6081,11733,397,280,200,158,28861,29826,16727,26514,5303.8
18715,30718,3731,6442,195,83,305,118,19600,21282,9649,20506,5303.9
2499,13745,1438,5560,2667,4437,3553,6013,9084,15588,1076,2183,5303.9
2005,9923,461,2705,672,2600,778,3400,1890,8964,237,779,5303.9
10933,11303,1565,2649,2240,2287,2855,3065,7079,9303,2383,2298,5303.9
18352,31433,3117,3784,385,172,0,4,24018,27880,21437,28407,5304
2068,7854,360,1716,566,1540,564,1735,1600,4723,1053,1422,5304
5441,12971,1613,3150,1981,2473,2480,2688,5775,7124,1737,1654,5304.1
52861,89270,2514,5158,224,237,0,33,56950,55283,49133,49180,5304.1
102381,175818,14534,24116,916,426,301,136,145327,133977,43066,39893,5304.1
46481,81503,11840,21270,647,375,49,61,54282,55975,46158,53423,5304.1
164526,243600,105676,163953,7248,8612,11928,13523,36382,38947,13136,12001,5304.1
31000,47014,1433,3199,43,218,0,0,37346,39765,32602,30335,5304.2
920,4695,116,596,191,71,261,320,5420,13802,7691,14580,5304.3
6510,12251,1148,2786,2253,3361,3010,4398,8477,12514,3530,2507,5304.3
14970,27830,1745,3434,5389,6109,7580,8489,18854,20254,4077,5455,5304.3
4897,9557,1328,3606,1505,2284,1851,2942,5879,9224,1448,2499,5304.4
1540,9911,0,0,485,1489,446,1699,1247,4777,237,360,5304.4
3880,16679,576,2515,3259,4471,4599,6509,10312,14445,465,2508,5304.4
1935,6769,1467,4263,1739,2397,2470,3648,7529,10196,1007,1723,5304.4
3819,11533,1386,3144,1730,2140,1706,2195,5616,6375,939,1637,5304.5
22482,39183,9837,20646,276,188,291,126,37138,41068,24977,33693,5304.5
1358,5356,1344,3388,2032,2852,3272,4645,8765,12778,694,1656,5304.5
3925,11643,2056,4101,1836,2222,2596,3081,8320,10000,1456,2187,5304.6
5398,11299,872,2821,2175,2541,3146,3728,9954,10717,1816,2653,5304.6
172498,254294,15685,25197,610,555,172,144,214464,191119,52368,56939,5304.6
849465,834457,1.03891e+06,1.09369e+06,1567,1065,661,330,149646,139863,94779,79675,5304.7
2907,8618,506,2336,2263,3024,3305,4367,7801,10374,2243,4258,5304.7
5199,13304,1565,3999,1154,1156,2667,3076,7092,8796,2415,4225,5304.7
66421,117859,9068,17025,258,162,534,239,42467,42861,30657,36601,5304.7
47485,85639,22371,39068,197,170,0,20,58553,57945,55035,49683,5304.7
2635,7049,609,1795,191,207,279,208,2072,5613,13433,26706,5304.7
39676,69248,6366,13304,578,272,203,183,45458,49222,22855,41770,5304.7
77005,120885,4674,6196,255,406,439,171,40154,38984,37941,37972,5304.8
2843,11361,1946,4287,2204,2751,3481,4339,9458,11215,2370,3865,5304.8
1474,8964,291,3056,777,2076,875,2863,2569,7547,1530,2627,5304.8
1894,5851,563,4483,1248,2483,2094,3978,4516,9256,430,1595,5304.8
26158,55171,20687,34064,2543,2831,3803,4300,10880,12316,2236,3209,5304.8
34549,55874,5419,12852,463,316,0,62,23120,23938,24777,21835,5304.8
2239,13106,1265,4930,1112,2691,1526,3428,4055,9810,1270,1903,5304.8
16723,33330,5245,9678,92,90,114,106,19150,19635,13325,17176,5304.9
6166,18554,2046,5601,1474,1998,3144,3742,8970,10449,1962,3020,5304.9
3242,8838,1131,4594,1001,1371,2154,3003,6209,8699,3081,3995,5304.9
12222,18640,3027,3348,2806,2862,4792,4874,13618,14438,3438,4914,5305
8728,26485,12759,22456,4221,4397,6122,6922,16556,18798,4309,5742,5305
90967,156527,8442,15392,358,238,0,0,73483,74967,66798,63192,5305
14859,17367,2003,3484,1766,2417,2991,3044,7617,7940,2216,2280,5305
3989,12166,1536,4432,1303,1679,1246,1579,3232,4252,0,1154,5305
99766,177223,41339,76209,0,33,133,91,132069,128224,33018,46504,5305.1
23915,44238,17828,35461,450,263,185,77,33729,34483,24026,25948,5305.1
162640,243206,190214,302540,3147,3171,7669,8105,20516,22529,8460,8063,5305.1
16682,28530,2164,5585,2990,3096,4717,4875,13781,14158,3140,3648,5305.1
30994,49436,15797,26390,110,347,140,63,43353,45537,28690,37989,5305.1
2352,7111,805,2727,2841,7534,5041,13035,1630,4562,1059,1193,5305.1
1714,6149,18,757,2231,7260,3787,12316,1618,4429,434,820,5305.1
4820,7906,2075,4113,2772,3327,2850,3952,7324,9580,2818,2204,5305.1
2973,11872,396,2424,2166,3091,2557,4035,7040,9967,0,425,5305.2
39686,69702,8363,15578,445,258,51,122,41231,40210,37217,35447,5305.2
3826,8152,1189,3059,3487,4403,4287,6153,11352,14366,1727,1645,5305.3
56069,71492,17014,26120,465,223,602,191,39727,37986,38170,34312,5305.3
