"FSC-A","FSC-H","SSC-A","SSC-H","FL1-A","FL1-H","FL2-A","FL2-H","FL3-A","FL3-H","FL4-A","FL4-H","Time"
30250,73496,2713,5814,71,54,254,211,24945,32857,14413,24070,5283.2
19145,39113,3046,8619,245,136,0,15,20399,25682,13840,22083,5283.3
3573,11819,1323,3286,770,1566,1337,2381,3868,6867,1135,2168,5283.3
32923,73271,8979,18278,255,220,139,119,40566,50647,38625,44941,5283.3
29764,59951,15522,33140,0,60,250,179,38820,44452,34329,36055,5283.4
1046,4287,741,2642,454,1299,642,1842,1412,5367,453,575,5283.4
4753,11561,1587,3397,2415,3187,2761,3730,8138,11221,2718,2827,5283.4
142344,280279,32758,62595,230,209,33,113,153932,183854,66681,88839,5283.5
38407,85406,3261,4473,520,450,5,41,42430,50171,28974,41794,5283.5
3313,12406,260,2087,103,0,121,65,6583,7588,3343,5055,5283.5
3914,12249,195,496,31,0,165,93,2899,5100,2008,2511,5283.5
5130,8635,0,979,0,0,102,79,1480,13211,18085,36572,5283.5
256334,411451,78491,145307,913,962,0,159,605998,691239,218246,246177,5283.5
6499,13330,2197,3777,1179,1793,1341,2087,4698,6603,1346,1367,5283.5
8734,20081,187,3142,1158,1585,2228,3356,6305,9236,638,2555,5283.6
3253,17286,1201,4398,1801,2953,1947,3116,6162,10006,1211,1685,5283.7
17788,29326,1773,1929,2413,2689,3494,4129,9140,11101,4016,3608,5283.7
695,3875,221,1008,995,2132,1066,2372,2932,6811,335,509,5283.7
36084,78530,25415,46843,2081,2457,5487,6954,14472,18607,6905,8133,5283.8
3310,11933,1934,5450,6579,9427,6141,8857,13821,18896,1083,1733,5283.8
3072,12382,954,3113,2183,3405,2831,4494,8467,14271,2291,4972,5283.8
8300,14735,781,2541,56,1503,187,1772,1446,6542,399,1023,5283.8
16908,31972,3343,5420,0,23,10,43,21171,24677,19608,22510,5283.9
6429,19030,1568,3078,206,152,125,93,4397,4869,837,1516,5283.9
7685,8758,465,1948,0,0,100,116,1418,6677,24245,34259,5283.9
307234,517167,241103,447444,1695,1752,2619,3065,338287,379265,150661,175777,5283.9
5206,9561,1241,3241,1531,2198,1435,2265,3685,6284,869,1303,5283.9
36354,64732,2504,6435,0,80,26,92,46001,51335,41836,42948,5284
21479,42865,942,3647,0,13,17,95,16734,21377,11142,20373,5284
4708,11570,3,1177,1070,1423,1852,2380,4259,5776,820,1095,5284
4746,11250,0,1478,95,63,384,217,14148,12186,2994,3446,5284
617054,862508,55166,86694,3819,4354,60973,67293,588433,599008,517855,471462,5284
1866,6055,0,1734,130,23,199,548,1429,5225,3198,4760,5284
3864,13067,1143,3574,1126,1430,2086,2775,6023,7935,3046,4921,5284
2703,9228,604,2120,774,1905,873,2710,2531,7752,0,540,5284.1
2024,8428,1423,4125,242,169,49,0,4077,6778,19390,32351,5284.1
1.24932e+06,1.14528e+06,2.17632e+06,2.24135e+06,5706,3868,1311,966,2.22543e+06,1.9138e+06,1.85424e+06,1.38722e+06,5284.1
5847,13339,2027,4164,2410,3021,3136,3796,9693,11634,1929,3464,5284.1
5500,9283,1773,2534,2551,3385,2879,3854,8083,10796,1670,2931,5284.2
9909,25355,4773,9827,494,288,237,116,13924,17690,8112,14707,5284.2
5858,8820,1028,2674,1235,1205,1898,2266,5039,6583,667,1480,5284.2
6018,16670,1306,3976,3249,4386,3794,4958,11263,14028,1675,4303,5284.2
76293,154323,5940,12892,218,183,340,204,44819,54097,31212,41271,5284.2
10127,19776,1714,2747,2178,2584,2499,3543,8931,11094,2265,3416,5284.3
9398,16973,1350,3471,782,915,2432,3082,6906,9217,1573,1982,5284.4
6131,18740,708,3151,1091,1489,1668,2557,5385,7500,373,1996,5284.5
3713,9546,1299,4347,1976,2277,2784,3503,8150,10342,1170,2702,5284.6
26176,33764,4334,5723,20,59,475,188,20437,23734,14326,18841,5284.7
485,2865,432,2421,162,160,140,66,3272,8097,3929,7047,5284.7
1913,4835,123,1409,116,0,174,100,21313,29419,3195,4202,5284.7
2502,12634,367,1511,157,77,179,88,3519,9524,14173,24426,5284.7
721874,930673,74366,120651,4749,4181,345,274,1.98538e+06,1.73997e+06,695067,618054,5284.7
46584,87437,7748,12993,707,341,232,111,55838,64051,30525,49868,5284.7
4119,18677,966,3594,1562,2077,2418,3476,6490,9316,1080,1414,5284.7
1346,6900,422,1659,342,974,563,1790,1714,5255,560,1218,5284.8
41673,69670,9528,16136,106,71,0,0,48268,51875,45869,45816,5284.9
42977,71932,13816,22801,1665,2278,4158,5257,11158,13569,5550,5641,5284.9
260304,486274,27784,47884,408,569,87,118,109331,114873,72466,70679,5284.9
159616,284755,29706,48204,595,487,247,216,118857,123580,120883,103940,5284.9
6364,19714,1023,3244,5941,7835,8598,11393,21983,26884,4180,9929,5284.9
57835,103208,1927,3652,176,267,302,124,37315,43153,31733,37758,5285
3061,12786,698,3561,1595,2149,1571,2225,4262,5920,1047,1404,5285
44073,77484,5649,9708,136,155,61,44,50459,55963,43155,42925,5285
4520,17255,1036,2452,3300,4294,4499,5547,11523,14659,542,3257,5285
9531,14478,2162,3152,2658,3046,3494,4242,10831,11940,3423,3573,5285.1
17342,38345,2463,4259,139,55,10,127,20874,21822,16461,17718,5285.2
3591,12726,1071,3607,1413,2036,1716,2525,4639,7066,530,505,5285.2
6603,16270,702,1303,2223,3070,3444,4499,8924,11042,2160,3893,5285.3
830,5438,434,2998,414,1113,491,2028,1804,8318,395,656,5285.3
5838,10171,1218,2867,222,129,335,133,8505,9909,12788,9761,5285.4
821,2969,257,1249,136,54,146,26,25106,44852,4197,5845,5285.4
2957,8023,3,868,239,155,81,15,6524,12200,7044,7001,5285.4
2448,14978,472,2369,136,48,87,0,2935,5497,5027,9819,5285.4
1866,6423,530,2525,227,132,185,98,4747,6839,9452,15558,5285.4
810828,800323,285737,397749,7188,5882,1259,768,4.45143e+06,3.43612e+06,2.19023e+06,1.60522e+06,5285.4
5099,9180,2171,4981,1830,2192,2193,2888,5780,6936,524,1536,5285.4
5991,19609,1553,4724,2791,3266,3894,5053,10602,13839,2222,3506,5285.4
11318,24991,3290,4438,3549,4107,5053,5746,14355,16160,6169,6973,5285.5
5685,11935,980,1865,2111,2467,2806,3248,7540,9096,1354,2301,5285.5
47234,100082,20102,36582,324,142,0,0,59826,67347,36480,53193,5285.6
8304,14656,1919,5672,1848,2254,2707,3276,8819,10080,3143,2946,5285.6
1432,4472,303,1125,0,0,260,191,8884,8119,2605,3339,5285.6
719,3747,0,28,64,0,220,167,4167,7529,1435,1862,5285.6
2312,9920,192,1061,115,0,269,338,1739,3983,6955,12844,5285.6
935003,1.36087e+06,134253,206749,3520,3926,46484,47143,572866,533918,487246,422860,5285.6
1876,7549,1381,6394,46,0,146,54,4463,9730,24555,54599,5285.6
55293,102678,14455,26187,186,218,456,219,67062,74164,43170,66087,5285.6
4007,15721,2056,5212,1870,2652,2855,3863,7403,9667,974,2031,5285.6
4430,8015,0,1242,1804,2168,2401,2819,7329,8674,1050,1201,5285.7
3.02553e+06,1.80512e+06,8.72051e+06,6.57538e+06,17320,8049,4703,2339,370775,291484,184258,130109,5285.7
4419,12610,2638,7285,1997,2245,2502,3215,8018,9406,2879,4392,5285.7
800,4204,1162,4610,1111,1798,1960,3226,4401,7231,360,1393,5285.7
21839,41638,3427,5300,62,119,109,53,25836,29008,14129,20987,5285.8
4877,8753,417,2153,0,0,124,139,1568,4605,10346,12141,5285.9
30696,51531,19692,36620,321,271,400,188,41976,44357,29100,38461,5285.9
7388,11681,449,2448,0,29,204,131,16321,15722,4802,2559,5285.9
993047,1.18758e+06,124238,188829,1393,1255,595,248,1.33812e+06,1.09854e+06,658715,505402,5285.9
7028,16683,1119,3942,4483,5373,5802,7061,13319,16136,1287,2797,5285.9
25497,50924,20784,37689,1317,1425,3515,4135,8882,9842,2526,3831,5286
12341,30623,1946,5236,339,240,122,78,19067,22027,6078,13526,5286
2096,7653,2478,5261,816,1716,1290,2476,3120,5755,959,1326,5286
67510,110547,4188,5883,189,103,162,128,33353,36711,29508,38703,5286
10369,20875,4571,7315,3838,4859,5588,6580,14259,17257,4436,3699,5286.1
2871,9743,1335,4562,8211,12031,11484,16902,5733,7965,0,160,5286.1
2519,14951,1541,5180,695,1144,1952,3435,5616,10066,977,2282,5286.1
9723,22888,2483,5044,2963,3138,3643,3986,10208,11439,2503,2494,5286.1
28298,56732,4066,7044,0,76,131,77,49540,50618,39312,44077,5286.1
272389,388308,1.18375e+06,1.91378e+06,891,474,0,138,155817,151857,85189,76183,5286.2
9374,16057,2763,5553,601,955,1559,1930,4636,6208,3227,3014,5286.2
10510,27179,2023,4627,3395,3848,4842,5632,13168,13889,2172,4236,5286.2
1534,9807,226,1626,204,188,105,0,2430,6286,5849,18245,5286.2
34614,62130,6931,12097,388,184,0,92,43887,46467,23874,32479,5286.2
16821,27608,48626,91188,1451,1570,3624,4020,9735,10773,3583,3425,5286.3
5851,14038,1974,3276,1650,1763,2547,2673,7076,8149,2322,2476,5286.3
29602,44717,3276,5574,0,39,144,71,38395,38450,30987,31394,5286.3
7589,16461,858,1915,2163,2273,2879,3411,7950,8668,810,1427,5286.4
7480,15754,2212,5283,2539,2714,3924,4607,11415,14315,2987,4013,5286.4
13750,29872,3105,6657,2277,2321,6053,7303,15746,17099,6578,6219,5286.4
15105,31370,6043,11510,275,227,68,43,14429,14717,10643,12165,5286.5
8110,18907,1431,3226,1646,1801,1652,1952,5083,5987,828,1387,5286.5
27540,31405,2749,2657,483,229,0,191,15201,15947,14374,11373,5286.5
7833,12151,3141,6341,3385,3461,4267,4895,12232,12840,0,1810,5286.6
3142,10232,1229,2558,2887,3943,3983,5556,11541,16131,2736,2660,5286.6
16522,38788,2655,4966,222,158,45,89,31590,33076,15006,23209,5286.6
3334,10718,932,4431,1840,2493,2439,3428,5790,8200,0,722,5286.6
18065,34293,1476,4023,261,188,297,104,17426,18757,10149,14313,5286.6
1686,10821,149,791,430,1071,411,1387,1432,4337,0,0,5286.7
1640,9179,707,2608,2198,3624,2631,4509,6389,10878,238,1071,5286.7
30954,53208,7595,12896,417,255,392,180,32252,31643,30260,28872,5286.7
132754,206753,8411,13954,533,207,326,117,194695,180776,66687,65955,5286.7
7042,15324,880,2219,1013,1239,1309,1576,4323,4650,994,2313,5286.8
9290,17239,6787,10541,2247,2567,5499,6338,13131,14471,5929,7398,5286.8
11521,33678,12535,28388,1764,2086,2860,3513,8043,9704,3175,4055,5286.8
38281,71844,2590,3387,336,413,304,165,27968,28097,16618,23990,5286.9
49598,81656,6644,11461,254,200,152,62,49243,48192,41141,46134,5286.9
18176,37020,4102,9105,83,28,153,115,21318,22626,15115,18125,5287.1
166711,96662,0,19867,0,213,0,62,50613,48576,52292,38581,5287.1
41602,69660,36363,60985,2661,2656,3491,4005,10553,11424,2059,3226,5287.2
1125,6689,732,2629,629,1866,756,2370,2472,6702,755,1491,5287.2
3467,9450,520,2445,1266,2250,1558,3156,3775,7877,453,298,5287.2
6409,17894,1467,2737,2549,2700,3981,4366,11214,12360,1249,3202,5287.2
10794,24611,3417,6345,3090,3478,4278,4977,16179,18872,2423,3267,5287.2
36252,44272,6553,7895,547,280,139,197,27370,25744,27734,21576,5287.2
2375,11650,0,0,171,70,200,181,2775,5682,538,675,5287.3
306639,435830,22819,36334,1597,1053,399,237,591179,515562,205802,190575,5287.3
8691,23927,4605,10635,2923,3363,4355,5341,14420,17357,3069,4506,5287.3
2969,8723,1680,3810,95,62,196,120,4623,4172,1235,2071,5287.3
419005,596698,167406,267375,562,391,329,202,253005,231106,122110,108347,5287.4
23098,56368,4727,9811,188,218,244,153,31174,31991,17499,28642,5287.4
16159,19577,1036,3075,1323,1328,2972,3010,8649,8354,3850,3057,5287.4
17468,32649,11279,17350,0,41,463,255,16429,16873,10357,11782,5287.4
2795,8321,858,4479,1562,4016,2035,4741,5617,13380,1184,2016,5287.4
21925,34144,1800,5212,4541,4565,6258,6768,20885,20209,4544,5116,5287.5
3422,11793,580,1931,1253,1621,1818,2357,5987,7881,957,1969,5287.5
2046,9805,2037,5418,681,922,1204,1736,3960,5769,1102,1715,5287.5
1.08766e+06,1.48087e+06,57145,87247,5040,4603,87098,82797,636294,534295,501787,375047,5287.5
5398,9553,2049,3931,2365,2831,3349,3841,9393,10634,2991,3465,5287.6
16095,25183,3201,5912,3609,4033,5673,6165,15454,16252,4913,4747,5287.6
4730,12245,1381,2716,1139,1233,2124,2400,7597,8276,1351,2778,5287.6
1722,6728,1580,4133,1839,2206,2451,3093,5275,6688,460,1002,5287.6
35246,61611,7791,14265,529,282,376,231,28230,26601,17025,22097,5287.6
62125,95121,27859,46507,237,188,261,102,71588,67311,56853,56181,5287.7
9780,17769,3484,5777,2314,2869,3273,3705,10569,11485,1026,2327,5287.7
2462,13445,573,3365,971,2531,1227,3778,3451,10937,615,1067,5287.8
1180,4511,806,3419,1707,2660,1548,2443,4570,7522,408,473,5287.8
1414,8883,528,3050,97,3,174,56,2342,4780,10897,31946,5287.8
30721,54230,14729,26698,394,293,57,51,34921,34277,23570,34151,5287.8
13014,14772,1229,2086,183,119,187,117,8842,4084,2883,2514,5287.8
515672,691014,105741,162076,931,875,496,223,288316,218532,162853,127396,5287.8
2933,6564,387,1344,3389,3634,4315,4650,10696,12088,758,3430,5287.8
31428,55813,5161,10069,345,213,158,66,41063,40912,26940,29919,5287.8
11629,20099,2439,5219,2989,3201,3575,3973,11525,11431,1933,2605,5287.8
3115,9708,762,2634,1039,1302,1170,1529,3694,4585,618,1031,5287.8
7433,17682,1141,2282,722,1537,1161,2856,3837,7641,1877,1575,5287.8
2782,15109,635,2081,1236,1943,1956,3411,5129,8820,296,1020,5287.8
38626,65859,35863,62151,2220,2231,5970,5862,16142,17275,6521,6728,5287.9
17727,41593,3100,5843,1372,1543,3740,3947,12168,13008,5912,5655,5287.9
29280,46318,13710,23809,340,182,122,116,27991,27781,12004,19589,5287.9
8555,20518,2490,5125,103,103,43,10,25399,27651,15122,17609,5288
25614,43625,5070,9687,70,94,70,105,16596,17926,12010,15796,5288
15456,31477,7645,13729,0,95,122,62,25342,24747,9936,18106,5288
31942,50975,15666,24015,145,186,437,149,46200,41669,33929,30540,5288
3318,8761,1515,5192,550,1152,582,1342,1753,4453,1568,1860,5288
2037,13461,1170,6070,1360,2496,1641,2972,5484,10347,0,0,5288
9402,19921,5127,9692,6836,7594,8850,9702,23318,24083,3365,3510,5288
25086,38746,4861,8452,0,51,613,236,32116,31369,29719,23045,5288
39636,69544,10694,16537,438,265,307,193,53462,54883,32913,42770,5288.1
5748,16664,1407,4458,1597,2341,1813,3106,4898,8332,1175,1457,5288.1
67078,98504,15955,26877,46,103,357,159,61330,61504,35878,42216,5288.1
24504,27073,5872,9142,201,206,427,170,23389,22150,11096,16237,5288.1
34722,57431,27585,47951,438,195,234,176,41733,39063,31966,30157,5288.1
61253,93913,25279,44461,0,105,133,92,37858,35513,30364,29653,5288.1
5484,12273,1131,2455,2338,2431,3457,4077,9720,11157,1959,1815,5288.2
1815,10848,322,2283,916,2322,1160,3104,3407,9415,1498,2667,5288.3
4193,12835,394,2547,915,2472,1257,3329,3870,9749,335,720,5288.3
52751,76666,25878,40854,52,86,0,90,66300,59730,51015,44729,5288.3
15913,21842,295,1751,4626,4489,6573,6954,30714,27213,8280,11327,5288.3
16082,32403,1174,4277,483,296,478,274,24763,21902,19173,17011,5288.3
30608,50556,3912,4793,116,90,430,220,41103,37326,29973,35149,5288.3
328286,452394,204115,250542,1680,888,125,119,273003,233705,122525,96854,5288.3
3062,11618,5731,12402,2567,2939,3494,4178,9782,11474,796,1927,5288.4
3579,20229,1390,5623,1372,2027,2190,3348,6086,9360,275,1087,5288.4
11236,21429,1762,4746,3321,3817,4337,4676,12235,12576,4244,3928,5288.4
5075,18179,1225,3705,1661,2106,2575,3346,6490,8671,1442,2568,5288.5
18345,23105,3312,6075,6074,6440,7448,7678,21380,22062,3520,3380,5288.5
4225,17930,2192,3569,1372,1435,1889,1950,4808,4916,1307,1389,5288.5
272884,370787,40948,58251,1344,509,177,172,251381,212523,143075,129300,5288.5
6108,19335,1635,2738,4862,5115,6112,6343,11668,11812,1723,2628,5288.7
13254,19747,1345,3293,1659,1516,2326,2445,6101,6606,1708,1329,5288.7
9083,19356,1194,2869,5072,5672,6623,7028,16919,16589,2114,2522,5288.7
4211,13506,1004,2462,1063,990,1966,2143,5675,6006,3615,3593,5288.7
24149,33727,9998,17206,219,148,48,70,43276,40504,29996,29085,5288.7
17752,27750,700,3039,1917,1846,4224,4448,13420,14232,5284,4204,5288.8
33455,67384,2573,5357,517,322,0,21,31638,28504,24293,27537,5288.8
2132,5748,1067,3352,1544,2009,2389,2858,6259,7484,188,1060,5288.8
22156,39821,6814,11104,170,124,17,46,30703,29990,20833,26168,5288.8
20219,14692,3831,5330,6709,7273,8933,8964,27703,27630,4458,4371,5288.9
2258,11568,655,2575,276,235,273,183,17872,26588,6888,7325,5288.9
1808,7382,75,1064,206,169,133,3,23346,34705,2321,3240,5288.9
1417,8606,446,2145,155,42,156,98,7748,17057,2608,5674,5288.9
1.22e+06,1.24178e+06,290016,379233,8420,6118,1109,732,4.03695e+06,2.61743e+06,1.90032e+06,1.23356e+06,5288.9
18113,34971,796,2726,4109,4354,6113,6513,19791,20560,4445,5627,5288.9
1527,7902,1750,4910,1475,2346,1966,3290,5685,9410,1205,1380,5288.9
2479,10023,1438,3914,734,2003,810,2554,2028,7103,48,854,5288.9
5246,13225,1280,4193,992,1612,1637,2659,4460,7568,1716,2056,5288.9
1640,9544,305,1479,853,1663,1163,2610,3462,7661,878,1400,5288.9
100316,157608,20919,31652,155,406,98,68,131506,115262,44817,44306,5288.9
5854,12055,2118,3657,1115,2406,1343,3240,3438,7919,2157,1954,5288.9
39165,69780,26755,45132,46,144,500,258,45035,42794,27983,37144,5289
95064,141876,696678,1.1412e+06,7636,6908,9842,10163,30456,30011,8040,8218,5289
10659,20193,3021,4542,4185,4093,5029,5062,13380,13284,3022,3685,5289.1
4905,16175,1505,4129,1558,1992,2034,2552,5966,7461,820,1405,5289.1
7150,21952,2008,4642,1108,1149,3296,3910,8038,9486,1781,4860,5289.1
314836,417160,173934,266917,750,511,686,190,139862,122490,70350,64196,5289.1
1631,10454,714,2854,1437,2721,1775,3357,4400,8197,329,1100,5289.1
7474,13646,1654,3153,2278,2386,3743,4372,8660,10052,848,1842,5289.2
39889,70332,8167,11680,165,135,0,0,48052,43815,38631,34642,5289.2
148728,233821,26635,41734,912,513,140,87,136388,121339,74299,58224,5289.2
5987,10251,1205,3107,2118,2275,2850,3150,14442,15762,2699,7352,5289.2
3090,13104,885,3165,2316,3196,2932,3897,7397,9866,0,1371,5289.3
1024,4167,140,893,207,94,168,64,4469,6302,97,152,5289.3
3092,15617,513,1709,176,204,220,203,2362,4571,4194,6642,5289.3
414151,550612,38622,55864,2114,1835,320,245,582561,513747,215754,202890,5289.3
122103,194124,8950,16320,174,133,179,95,109139,98106,46545,46956,5289.3
3655,7995,617,2124,186,79,330,153,5283,5142,2949,2220,5289.3
610301,678324,91131,120321,3704,3252,62373,48611,571171,410205,466442,289509,5289.3
8148,17494,3536,7084,1055,1087,2521,2761,6484,6893,2669,3055,5289.3
12540,19434,890,2697,5511,5673,8092,8470,19868,20616,5062,4502,5289.3
48099,72534,4890,8360,0,47,0,105,43757,40885,36729,39016,5289.3
5185,24826,2336,6646,1933,4155,2830,5340,6688,12245,922,1731,5289.4
930491,772653,973702,1.11105e+06,2488,1563,665,406,1.02001e+06,513410,444858,229112,5289.4
26528,54612,6564,11376,346,203,0,10,40783,41105,15115,32558,5289.4
50590,77704,9894,17032,496,313,0,65,51737,52330,34859,43289,5289.5
47195,68708,10529,17830,321,262,0,48,44909,43323,38502,35236,5289.5
2048,10216,3999,12098,168,76,93,0,34597,49148,18997,31384,5289.5
7.01331e+06,2.69316e+06,9.14784e+06,3.90198e+06,23064,3974,6703,1257,1.23557e+07,2.43829e+06,9.2861e+06,1.80012e+06,5289.5
98321,27447,35335,11677,4997,4923,5723,6319,15355,14106,3058,3903,5289.5
9417,22812,3855,6919,1653,1666,4060,4542,10440,10958,2519,4654,5289.6
24235,42152,3851,8357,3476,3252,7580,7297,23757,23962,7329,7604,5289.6
1317,8175,1136,4659,587,1684,649,1975,1791,5498,469,693,5289.6
2614,11184,1368,4253,2063,3174,2591,4063,6641,10029,1597,2825,5289.7
3777,14274,587,3621,1694,3365,2045,4432,5306,10787,2268,2935,5289.7
69797,106594,13016,19602,599,285,131,55,60114,54672,55582,54570,5289.7
1769,10120,999,3662,1653,3004,2189,3996,6230,11284,474,1728,5289.7
2045,11519,892,3710,602,1982,804,2677,2250,7426,13,0,5289.7
74279,107788,17429,26918,249,343,245,89,87406,86747,71818,74733,5289.8
7108,20997,823,2253,5413,5981,7587,8299,18397,20102,2129,2952,5289.8
11982,18008,5027,8711,2566,3388,4015,4873,10556,12230,7549,6130,5289.8
2659,9810,0,233,188,129,166,53,2031,4798,13515,26527,5289.8
20466,35045,4708,7568,149,206,295,114,30702,31332,15438,27477,5289.8
42664,62990,2693,5980,487,174,115,88,51474,49780,38550,41339,5289.9
8198,17336,3010,5411,3683,4030,5121,5665,16333,18404,2899,2853,5290
16290,22539,2559,5703,5269,5692,7135,7783,20995,21685,3720,3537,5290
220944,322040,126545,199904,406,295,512,178,189414,168832,86311,86428,5290
13103,19559,3656,6601,3660,3821,5844,5873,16234,16899,4357,4852,5290.1
39168,62008,9083,14266,450,315,0,151,48824,45929,38657,35401,5290.1
27179,48207,4327,7221,149,188,307,111,27348,26248,22370,22124,5290.1
2418,15959,1253,5450,569,825,1388,2432,3928,7127,603,908,5290.1
27901,44926,24848,42562,264,216,327,176,31927,28232,22300,20253,5290.1
5031,15090,1453,4752,1472,1965,1890,2251,6875,8843,2260,2586,5290.2
59416,73407,8181,11416,684,283,165,101,52664,52062,50354,43427,5290.2
98644,133473,9046,15130,0,217,297,146,58367,51156,47252,34515,5290.3
39010,70004,9301,14455,2274,2471,6579,6493,17552,17394,6851,5956,5290.3
38175,62758,2724,6278,258,275,150,52,46231,45419,27615,37773,5290.4
26142,22610,4263,6478,4750,5131,7068,7524,18971,18771,6493,7290,5290.4
2785,13086,683,3646,207,162,194,99,2128,5723,13239,31669,5290.4
48006,73701,18724,33464,493,242,228,178,46706,46540,32871,44605,5290.4
3471,11657,1129,3329,2726,3123,3551,4235,10866,13278,0,659,5290.5
1883,4554,578,1523,168,134,121,44,5332,5254,942,1020,5290.5
402752,525168,48705,70512,838,587,40,141,527956,441979,225959,194448,5290.5
5093,13942,2434,5259,1997,2347,3097,3861,8826,10893,2686,2280,5290.5
2576,8699,175,1346,130,1,144,23,2876,4704,10731,23240,5290.6
21239,41810,5065,9859,133,29,67,8,31954,34574,15684,23906,5290.6
65443,103119,8565,13579,110,110,209,108,66236,60654,52160,55764,5290.7
16775,27538,6603,8137,2682,2734,3466,3427,9832,9740,1652,2201,5290.7
24761,33597,9895,15424,185,208,377,199,30752,27609,24378,24851,5290.7
39313,61419,8225,14360,0,104,302,130,27540,26043,15658,19565,5290.8
15689,15797,2322,2890,1789,1627,2865,2871,8573,8204,2709,2509,5290.9
5814,10747,2195,4823,2157,2237,2967,3171,8689,9733,1582,1964,5290.9
1089,6377,0,0,228,437,433,1016,1395,3969,1079,2399,5290.9
2589,5748,803,5122,1139,2568,1309,3338,3179,8190,2047,2271,5291
2114,8476,779,4618,209,197,204,117,2750,5453,7315,12199,5291
7122,18905,3357,7431,273,141,215,193,15320,17027,4089,9686,5291
874,4270,916,4572,1634,2908,1603,2627,3099,5867,640,806,5291
958,3626,1591,8552,203,127,112,33,2234,4704,8802,20543,5291
31849,57896,29289,49433,49,86,21,88,30268,29605,19278,25348,5291
11706,27173,2899,4658,242,177,46,84,12297,12026,9808,7723,5291
2607,9737,854,2562,1923,2086,2882,3487,7680,9352,1123,1410,5291
7331,17931,1833,5019,2115,2277,2477,2551,7107,7462,933,2421,5291.1
2441,9052,0,0,167,95,140,15,4811,6683,772,1014,5291.1
446928,594005,49163,71619,1380,1173,191,136,548095,462281,222250,204947,5291.1
83486,133400,16923,27822,330,134,0,0,98443,92459,77205,74941,5291.1
2765,4106,1254,6297,804,1572,919,2277,2812,5192,1801,1815,5291.2
3013,15255,1714,6486,1133,1759,1621,2588,3688,5722,849,1801,5291.2
1552,5639,176,2145,939,2455,763,2596,2435,5592,1711,1937,5291.2
920,2659,415,1690,3439,4496,3766,5473,8147,10725,659,1501,5291.2
9294,19429,2198,3865,2537,3079,3686,3891,10292,11111,1103,3185,5291.2
6008,19315,1656,4783,7111,8704,9490,11412,21741,24739,2791,5145,5291.3
2121,7798,0,906,466,1346,854,2410,1554,6317,428,1085,5291.3
5876,12056,1447,2921,3443,3852,5297,5840,13237,13822,2494,3854,5291.4
44979,77127,5285,8077,638,258,90,122,36553,34827,26869,31014,5291.4
22623,29322,3064,4214,79,113,90,44,26953,25776,15915,18365,5291.5
157018,206035,14995,21997,136,270,0,77,200261,162564,82959,65682,5291.5
18187,22470,11574,16142,3690,3389,4400,4481,11066,11049,1719,2258,5291.5
53658,92774,11094,18357,254,173,377,204,54387,46020,46810,41990,5291.5
36871,66599,3369,4010,50,73,5,21,31118,32095,14117,26942,5291.5
49712,69307,10862,15556,183,243,232,97,46692,44583,30043,37342,5291.6
3704,12029,1338,4637,1923,2388,2449,2877,5811,7344,91,350,5291.6
