"FSC-A","FSC-H","SSC-A","SSC-H","FL1-A","FL1-H","FL2-A","FL2-H","FL3-A","FL3-H","FL4-A","FL4-H","Time"
195108,335102,26065,47224,672,1002,0,81,390973,433134,207359,201157,5303.2
1840,11455,90,1051,113,0,84,0,2572,8175,31,3336,5303.2
36756,70900,8314,14818,360,227,297,121,91437,104133,38587,58154,5303.3
30318,60575,6613,12439,225,104,0,0,33130,39124,23308,33023,5303.4
1933,10247,2099,7882,589,1597,744,2377,2367,7343,1109,1712,5303.4
13318,21009,2260,4982,2693,3126,4052,5269,12958,16555,4089,3786,5303.4
8645,14240,1098,2230,1869,2379,2518,3178,7394,8862,1213,1821,5303.5
1795,6636,2439,6139,1772,2300,2337,3066,7464,9874,1254,1849,5303.5
3842,10328,1644,4006,3345,4501,4211,5301,14544,17581,2128,2823,5303.6
21571,45593,2150,6033,3394,4543,5455,6885,16613,20090,5313,7406,5303.6
5049,11557,1285,4563,4957,7183,6772,9580,16897,23446,2771,4296,5303.6
2566,8391,490,1492,1272,2516,1608,2697,4658,7431,1243,1317,5303.7
2700,6675,506,2614,447,1305,639,1749,1844,5551,1900,2574,5303.7
4488,15350,1129,3434,1321,1988,1786,2795,4959,7856,1,127,5303.7
8095,16018,2633,7640,1185,1282,2992,3531,9069,11328,2713,4484,5303.7
4385,11436,1867,3780,1954,2539,2317,3173,7077,9575,539,941,5303.8
1.12288e+06,1.17474e+06,2.34066e+06,2.8004e+06,5758,3480,1564,854,278851,279013,140204,138902,5303.8
2210,11842,1095,5189,1205,1870,1217,1894,3911,6270,0,163,5303.8
1575,9808,451,2556,550,1701,639,2391,1615,6558,526,1828,5303.8
110634,193906,9938,16201,1481,1207,1338,1559,30569,34766,25544,29442,5303.9
4026,8011,2008,4150,2391,3566,3115,4698,7986,11745,2359,2311,5303.9
2746,5460,683,2162,303,1678,419,1883,1236,4747,0,262,5303.9
14210,32079,3070,6500,179,119,275,164,16267,18893,8767,13381,5304
2831,14192,772,3046,635,1227,1191,2162,3590,7067,1254,2162,5304
3630,11145,1788,4605,1884,2509,2408,2846,6904,8580,544,1443,5304
5983,12128,1090,2107,1701,1832,2250,3125,6907,8914,1498,2477,5304
6963,16679,1083,2948,1453,1746,3175,3904,9149,10970,4177,4652,5304
18419,37327,6905,12931,255,140,21,0,21810,25162,11392,21810,5304.1
29174,57519,4028,7917,139,122,389,228,44392,49512,28296,32543,5304.2
2486,7860,1024,2724,1549,1822,2107,2711,6623,8856,716,1716,5304.2
23128,42860,4826,5952,200,132,229,123,19734,23020,13507,19122,5304.2
2315,5835,156,739,88,66,273,159,3077,4993,5358,6936,5304.2
525855,793081,197020,331918,2097,2390,604,420,762632,757921,315460,335006,5304.2
22738,20436,8184,7360,2252,2012,2534,2969,8169,9591,2643,2694,5304.2
2674,16823,763,4789,805,1391,1232,2285,2969,5391,1079,1924,5304.2
6912,17488,2277,3674,2766,3273,3389,4223,11065,13323,3368,3490,5304.2
27605,43328,7197,13203,8,197,10,101,29496,32523,21003,26713,5304.3
9036,15395,1223,3666,4501,5339,5857,6752,14817,17574,1850,3771,5304.3
65829,110164,8788,14271,417,230,588,222,65346,68514,64001,56762,5304.3
