"FSC-A","FSC-H","SSC-A","SSC-H","FL1-A","FL1-H","FL2-A","FL2-H","FL3-A","FL3-H","FL4-A","FL4-H","Time"
408810,613875,262996,428964,831,830,479,236,303952,286155,130237,113797,5271.1
57125,87519,3817,6323,490,236,0,97,60528,57304,53645,45266,5271.1
133614,207796,15673,23356,885,639,488,225,35558,37210,29570,29816,5271.1
29696,69932,6613,12163,6276,6690,8417,9451,25602,28069,7593,8131,5271.2
3561,9644,2183,5066,1982,3316,2884,5247,6816,11651,1754,2365,5271.2
1989,13649,302,3076,897,2712,1317,4451,2927,9550,0,0,5271.2
8627,16559,2003,5018,2986,3158,4357,4633,11109,13167,2362,2194,5271.2
3795,13955,1259,3199,3068,3809,4035,5194,9649,12441,1091,2174,5271.3
11615,26688,3050,5631,1327,1445,2896,3122,7841,8058,3245,3199,5271.3
40319,47305,13497,23801,628,183,769,235,27024,27389,20414,17507,5271.3
11504,15425,4423,5387,4897,5071,6276,7473,18501,19301,3990,4770,5271.4
8613,15276,2727,5017,4003,4416,5205,6022,11582,12766,2447,2965,5271.4
3984,21046,1261,5013,1692,3022,2372,4721,5759,10852,1837,2779,5271.4
12035,28127,5525,10384,5778,6823,7561,8671,17656,20616,3450,4269,5271.4
8375,20854,2538,6235,5595,6522,6768,7902,17805,21232,2189,4532,5271.5
8903,22991,2046,4812,3717,4391,5549,6467,14726,15822,1982,3061,5271.5
117091,198140,12127,20844,357,174,0,49,113269,113063,36498,40347,5271.5
4854,11553,1838,3123,1987,2048,2903,3353,8650,9970,1793,3219,5271.5
3862,11714,628,3136,1733,2147,2181,2872,7583,9706,20584,24521,5271.5
455547,582457,285047,485694,882,792,261,306,499003,391961,478720,373081,5271.5
6190,12571,2123,4546,1351,1546,2477,2720,7390,8655,3165,3719,5271.5
2098,11563,509,3406,1653,2790,2149,3789,5253,9429,1574,2682,5271.6
50269,84075,3985,6754,225,93,158,97,60864,59529,52362,51919,5271.6
9888,19375,3378,6339,3591,4045,5203,5752,14330,17321,2581,3856,5271.6
3986,15280,279,1619,3141,4400,4275,6043,13956,19087,1100,6563,5271.6
31991,50484,7999,13137,662,438,0,24,32997,32700,30405,31089,5271.6
100575,162294,13625,22026,797,352,0,105,119520,99715,51930,40864,5271.6
5639,17664,899,2544,1658,1765,3007,3346,7468,8533,685,1983,5271.6
33900,58422,53777,89033,3952,4219,5177,5401,15062,16056,3184,2868,5271.7
24366,41452,1397,4005,5256,5573,7249,7680,22137,22686,4232,6824,5271.7
1798,10788,868,3487,1169,2077,1647,3064,4888,9638,109,97,5271.7
3738,13385,212,2784,236,232,187,138,4663,5793,1266,1068,5271.8
377549,566920,38740,60742,800,706,338,227,432875,387330,177153,165028,5271.8
6894,14369,1653,3201,1377,1501,3523,4004,8589,10054,3317,4001,5271.8
3711,10972,1431,3154,1873,2026,3096,3296,7912,9082,2277,2028,5271.8
32562,52757,14685,18393,0,119,216,179,31249,30914,22040,26995,5271.8
4212,9726,1366,2730,1757,1791,1996,2182,5598,6115,734,1035,5271.9
4995,12791,1246,3187,3167,3603,4025,4523,10862,12070,2821,3288,5272
1955,8606,1077,2690,1078,1339,2241,2921,5997,7920,1232,2562,5272.1
31651,52741,15186,26387,139,137,0,38,41797,42394,32969,37808,5272.1
3780,10667,0,1430,2975,3409,4005,4556,9520,10088,1552,1818,5272.1
36828,58746,4399,7543,146,122,0,0,38416,38399,30757,31416,5272.2
3974,10032,1831,3390,1640,2257,2016,2716,5298,7328,0,194,5272.2
4184,17549,1670,4378,3285,4362,3750,5061,8514,11645,1207,3009,5272.2
65700,105945,8598,10267,379,167,0,62,73342,69459,62266,48966,5272.2
4329,16143,1822,4711,1374,1913,2230,3619,6987,10162,1407,2642,5272.3
13771,24036,6256,10402,2096,2056,5430,5700,14047,15378,4468,4925,5272.4
14158,26765,2782,5179,5081,5334,6591,6554,18082,17644,4641,4014,5272.5
329124,453398,53364,87409,1937,1769,21801,22222,183337,170411,145185,115375,5272.5
1.2649e+06,1.10985e+06,2.82257e+06,3.59253e+06,12386,9370,11717,11534,1.66653e+06,1.30235e+06,1.09185e+06,790365,5272.5
7779,11405,513,2225,2612,2499,4093,4285,13081,12516,1628,2331,5272.6
346362,501151,19735,27594,1175,1097,67,82,477017,415199,129406,122441,5272.6
5706,13737,1757,3252,1170,1233,2519,2656,6413,6664,2035,3554,5272.6
7913,15871,315,2050,1680,1842,2452,2717,6487,7403,103,753,5272.7
7135,21664,2375,4430,3367,3701,4215,4508,9848,11032,2985,2577,5272.7
9273,12514,1084,3343,916,869,2841,2668,7922,7700,2590,2208,5272.7
15729,23061,2638,5227,4006,4422,5863,6518,16741,18974,3061,5119,5272.7
