"FSC-A","FSC-H","SSC-A","SSC-H","FL1-A","FL1-H","FL2-A","FL2-H","FL3-A","FL3-H","FL4-A","FL4-H","Time"
3566,7990,406,2273,2189,2651,2853,3643,7120,9292,846,1422,5301.5
7291,13684,1575,4739,2341,3277,3642,4470,11004,12839,2163,4398,5301.5
36212,70280,7985,16056,373,159,152,141,36278,40480,30639,38693,5301.5
906,3130,449,2227,1655,2559,2227,3478,6107,9905,168,923,5301.5
10375,24476,3845,9122,1526,1688,3869,4757,11757,13767,2459,4736,5301.5
3490,13619,4361,11802,1392,1724,2114,2772,5614,7292,136,2173,5301.5
27466,57116,11305,22708,372,273,171,71,33426,39009,24149,33450,5301.5
2490,7167,947,3007,1308,1505,1457,1968,4209,5921,1521,2575,5301.6
239901,429506,45298,78169,734,416,206,109,86063,88730,96985,90654,5301.6
8299,14238,1992,3575,1683,1890,2271,2619,7231,8593,1100,1104,5301.7
11764,13858,2447,3723,4578,5137,5310,6082,14673,16423,3707,4148,5301.7
18905,35421,1294,3590,5680,6346,6962,8392,25781,29411,7063,9277,5301.7
9546,21265,1301,5776,1167,1457,2710,3080,8585,10143,3666,5120,5301.8
2619,14103,781,2779,5661,10068,8884,16113,10526,18281,3089,6662,5301.8
2067,5512,0,754,529,1719,648,2533,1657,5810,1968,2434,5302
3353,18280,736,2634,3318,5096,4505,7007,10963,17047,535,2224,5302
4852,12715,1879,4913,1682,1937,2369,2996,6657,8239,1763,2634,5302
10253,23873,3869,5870,1248,1326,2821,3247,7285,8096,3116,2948,5302
1173,4809,259,1597,139,20,207,80,5210,4646,1549,1653,5302
1902,10462,451,2106,151,10,119,2,2921,4158,785,1292,5302
319402,475534,23884,40752,837,757,0,96,500410,487005,209387,185536,5302
382,1928,490,2654,931,2711,899,2923,2497,8387,1693,2733,5302
3853,10258,911,3220,2740,4154,3169,5264,7995,13592,656,1437,5302
58342,93702,39396,70954,361,231,381,210,66062,74163,49618,63617,5302
20963,36935,8960,17926,171,105,210,145,28468,30783,20908,28101,5302.1
9216,15410,4140,8514,6694,7461,8152,9150,22294,25894,5106,4866,5302.1
4324,9678,2231,4247,3759,4466,4621,5839,13584,15758,1942,3583,5302.1
2494,7582,1081,4635,989,1252,1529,2161,4650,6951,776,1770,5302.2
26814,52131,2035,4380,6311,7235,8013,9139,28373,30588,6760,8415,5302.2
8935,22157,4363,10130,234,120,98,0,22093,27346,8782,19582,5302.2
3374,7332,1534,3745,1329,1566,2009,2565,5801,7986,1109,1522,5302.3
25925,51342,22150,44701,194,148,210,140,36312,40754,25087,37772,5302.3
523134,591861,1.42749e+06,1.73178e+06,989,956,617,397,106283,102417,70249,62653,5302.3
204160,338688,20993,31625,867,493,3362,3448,91966,92069,75633,73337,5302.4
39632,57368,3524,5430,438,174,210,107,36821,40118,23442,41307,5302.4
14058,29227,3453,5928,2773,3101,4420,5177,15722,17496,4366,5107,5302.4
16095,31694,2451,4220,182,103,471,209,12248,13204,12710,12839,5302.4
