FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Predicted_Label,Max_Confidence,Label
2969.0,9932.0,403.0,1890.0,67.0,22.0,38.0,0,4602.0,6237.0,4744.0,5681.0,16.3,Syn,0.6735512039526957,Syn
1816.0,7113.0,0.0,247.0,1.0,0.0,71.0,0,2128.0,22950.0,17321.0,34573.0,16.3,Syn,0.6711565767744225,Syn
245933.0,481581.0,43875.0,93997.0,1136.0,1777.0,0.0,67,436876.0,547635.0,181291.0,217254.0,16.3,Nano1,0.6973416921225328,Nano1
1854.0,11907.0,0.0,517.0,28.0,0.0,70.0,0,2725.0,7538.0,557.0,3418.0,16.3,Syn,0.670044024280908,Syn
2469.0,8975.0,1105.0,3298.0,2081.0,3087.0,2467.0,3808,6759.0,10130.0,1597.0,2066.0,16.3,Syn,0.7755338721975014,Syn
4276.0,7826.0,801.0,2527.0,264.0,119.0,166.0,108,25768.0,18796.0,4043.0,3379.0,16.4,Syn,0.675374887407078,Syn
2565.0,6512.0,528.0,1424.0,320.0,211.0,254.0,116,2703.0,8656.0,4600.0,7191.0,16.4,Syn,0.6808472364179798,Syn
4958.0,12161.0,48.0,1248.0,288.0,218.0,109.0,110,5018.0,19542.0,14358.0,23588.0,16.4,Syn,0.6690608430708319,Syn
420029.0,754054.0,156832.0,308934.0,2579.0,2741.0,831.0,646,1120700.0,1345210.0,516742.0,592468.0,16.4,Nano1,0.9999999999961506,Nano1
1801.0,5669.0,374.0,1626.0,2365.0,4358.0,2127.0,4155,6968.0,12863.0,757.0,1238.0,16.5,Syn,0.7871536040861109,Syn
2986.0,7915.0,262.0,990.0,38.0,0.0,269.0,177,8422.0,8037.0,1131.0,1439.0,16.5,Syn,0.6804879630169047,Syn
9499.0,18855.0,1007.0,2646.0,41.0,32.0,327.0,167,4814.0,6761.0,3230.0,3467.0,16.5,Syn,0.6659785903743258,Syn
315216.0,577998.0,41581.0,88850.0,1094.0,1483.0,629.0,401,697916.0,859629.0,324533.0,400765.0,16.5,Nano1,0.9999794225469721,Nano1
3827.0,10742.0,0.0,211.0,8.0,0.0,128.0,192,1072.0,11908.0,3780.0,6252.0,16.5,Syn,0.6755316850385742,Syn
