FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,Label
344068.0,429489.0,44221.0,65709.0,666,683,3055,3205,208979.0,193875.0,256577.0,228485.0,206.5,1,Crypto
822659.0,906209.0,125356.0,175127.0,10364,8126,91916,80565,787876.0,619178.0,556617.0,440721.0,213.5,1,Crypto
245071.0,329724.0,30786.0,47121.0,738,452,5484,5294,146280.0,137357.0,139490.0,113509.0,224.6,1,Crypto
274433.0,365026.0,38588.0,59686.0,575,580,4447,4250,125537.0,106343.0,127472.0,92652.0,232.2,1,Crypto
429025.0,543322.0,88778.0,129557.0,1214,1340,10744,10097,270187.0,231913.0,208604.0,174296.0,234.3,1,Crypto
314241.0,412325.0,21032.0,29409.0,1084,587,5115,4848,129545.0,118607.0,107855.0,99474.0,236.8,1,Crypto
588883.0,636010.0,500282.0,702289.0,14359,11549,190212,150976,1514770.0,1110950.0,1173800.0,814442.0,237.7,1,Crypto
1097380.0,1047750.0,1022680.0,892973.0,6639,4327,13123,9345,119140.0,73778.0,73334.0,43171.0,256.5,1,Crypto
979155.0,1069180.0,127914.0,161198.0,8970,7531,95380,79844,1090480.0,817082.0,775398.0,569093.0,269.3,1,Crypto
304674.0,410983.0,30525.0,38699.0,714,656,6128,5471,194174.0,167680.0,188979.0,146809.0,274.6,1,Crypto
388664.0,493903.0,55813.0,82023.0,1185,1095,5944,5391,232438.0,202594.0,196369.0,177790.0,283.1,1,Crypto
508335.0,711622.0,37207.0,51625.0,2263,1743,25887,24006,216966.0,181343.0,160811.0,133212.0,284.3,1,Crypto
272518.0,364428.0,29181.0,41896.0,1550,1127,5951,5721,129162.0,118826.0,111690.0,101044.0,286.6,1,Crypto
292937.0,414356.0,38440.0,57862.0,759,520,5593,4966,153927.0,136021.0,161114.0,128710.0,288.7,1,Crypto
290725.0,389508.0,73830.0,110397.0,617,527,2615,2160,124135.0,110814.0,129527.0,109405.0,290.9,1,Crypto
1113110.0,1053060.0,320579.0,412625.0,7533,5610,145465,106302,980061.0,661747.0,788392.0,473338.0,291.1,1,Crypto
581041.0,736944.0,90506.0,126709.0,2912,2332,44485,39934,297050.0,235649.0,165898.0,134138.0,295.8,1,Crypto
3971210.0,2095320.0,16029800.0,11478500.0,56291,34420,61447,44019,243703.0,115392.0,112054.0,41450.0,300.3,1,Crypto
2478770.0,1902460.0,5751820.0,4869730.0,9174,5699,12658,11782,285278.0,176238.0,224948.0,139527.0,305.0,1,Crypto
298211.0,419122.0,16046.0,21435.0,648,561,3842,3320,133485.0,114343.0,121114.0,105085.0,308.2,1,Crypto
469291.0,601708.0,65292.0,85281.0,970,719,200,159,564839.0,440730.0,280085.0,227349.0,20.2,2,Nano1
2150400.0,1127760.0,974167.0,667602.0,3872,1414,949,348,479522.0,359035.0,276218.0,211669.0,21.4,2,Nano1
464912.0,576617.0,53547.0,81393.0,1324,1533,725,350,746659.0,606680.0,302348.0,265627.0,22.4,2,Nano1
445848.0,589373.0,35697.0,47947.0,2890,2220,304,219,689156.0,536838.0,245372.0,193974.0,26.9,2,Nano1
1290280.0,1140460.0,96885.0,107685.0,7710,5657,820,392,2439890.0,1439060.0,1002790.0,629892.0,28.3,2,Nano1
458790.0,456134.0,59500.0,67968.0,6537,4152,119,180,1833870.0,1119340.0,756620.0,480688.0,28.6,2,Nano1
310601.0,417466.0,84267.0,127232.0,1617,1461,171,179,422488.0,340544.0,178209.0,149748.0,29.1,2,Nano1
603996.0,695106.0,62767.0,77087.0,2042,1550,216,287,1170680.0,942454.0,843969.0,656271.0,29.2,2,Nano1
366582.0,538392.0,41114.0,60702.0,433,408,125,83,590346.0,501467.0,169608.0,159763.0,29.4,2,Nano1
511329.0,684113.0,66512.0,99690.0,3409,3394,20,195,679106.0,576241.0,283840.0,272193.0,31.7,2,Nano1
923142.0,825908.0,1725660.0,1997750.0,2468,1622,1296,467,575109.0,468068.0,291201.0,248978.0,32.1,2,Nano1
981323.0,1163640.0,55209.0,67114.0,1465,1400,263,241,1413280.0,1020200.0,582536.0,378896.0,32.6,2,Nano1
519654.0,691980.0,96001.0,126989.0,475,296,469,181,482548.0,384893.0,196173.0,172082.0,33.0,2,Nano1
486937.0,642642.0,87918.0,122725.0,1815,1606,421,198,477186.0,352226.0,267162.0,207678.0,33.0,2,Nano1
450723.0,599852.0,29397.0,41797.0,1631,1403,376,198,708946.0,571008.0,248328.0,207627.0,36.4,2,Nano1
1989200.0,1436570.0,3775220.0,3775170.0,5962,3121,1917,939,1998890.0,1312940.0,1251710.0,771088.0,37.0,2,Nano1
544940.0,753777.0,86620.0,111410.0,1317,1207,137,175,375600.0,311739.0,112864.0,107723.0,38.9,2,Nano1
576799.0,707687.0,106113.0,158933.0,2059,1753,0,130,1038660.0,812143.0,337115.0,295326.0,39.1,2,Nano1
427015.0,577469.0,25108.0,34465.0,598,892,386,116,681397.0,548224.0,206261.0,170766.0,40.0,2,Nano1
398414.0,522497.0,32664.0,51116.0,1697,1185,563,261,715383.0,608695.0,226420.0,225883.0,41.1,2,Nano1
623489.0,818953.0,32130.0,41517.0,1033,1089,10,85,903238.0,721771.0,316009.0,257628.0,42.5,2,Nano1
1897750.0,1835530.0,2663200.0,2991520.0,4094,3163,1564,820,339686.0,256185.0,222815.0,146842.0,44.4,2,Nano1
439229.0,588120.0,49429.0,76241.0,832,743,121,128,560536.0,456264.0,200544.0,171680.0,45.6,2,Nano1
525574.0,632873.0,64453.0,94970.0,1849,2089,283,262,1034090.0,864290.0,431484.0,390533.0,47.8,2,Nano1
471942.0,595885.0,43466.0,64117.0,1248,1205,431,179,944892.0,772993.0,320594.0,302624.0,48.7,2,Nano1
601376.0,796082.0,33529.0,50723.0,1300,1093,351,209,755748.0,597529.0,247427.0,222711.0,50.0,2,Nano1
507654.0,617496.0,27873.0,42140.0,1727,1579,225,201,878491.0,704511.0,348480.0,306793.0,50.3,2,Nano1
506558.0,601988.0,116874.0,178525.0,1553,1347,51,79,958573.0,780143.0,387243.0,337612.0,52.4,2,Nano1
520415.0,661558.0,44132.0,56821.0,2878,2514,518,202,575705.0,458027.0,204072.0,177307.0,53.2,2,Nano1
620270.0,774038.0,136822.0,189024.0,1531,1314,194,215,799983.0,590106.0,288774.0,239331.0,54.7,2,Nano1
469125.0,583600.0,84929.0,121732.0,1606,1147,721,263,826001.0,652896.0,301220.0,242750.0,55.7,2,Nano1
410972.0,486819.0,117130.0,177081.0,1625,1617,535,236,882270.0,707608.0,313949.0,260812.0,55.9,2,Nano1
