PC1,PC2
-144601.87750377937,26377.2905961054
-169923.57685416643,19395.442120977175
-169097.4475886762,18797.940370331213
-132554.84791351215,-352.5364223531906
-112202.38244312938,-7997.892824387527
-144033.23846231808,4110.875898387638
5911.8131885354815,-39375.61231825765
632404.5065904788,552365.6383879572
-159348.1695072711,12384.416177987267
122781.53900407185,30194.007810567673
85029.95279338362,37779.53859410163
-119904.11408766935,-5046.2814305319625
-170432.00488175714,18362.339158057057
-157121.21980739068,13623.779382085602
-115488.13919173827,-3494.9197798358255
-168714.18200525935,17366.974236304748
-165423.7188995193,18222.667866466163
-101841.43502993042,-21356.918338017516
-168093.37383868298,16680.46139831037
-156562.85750741267,9263.86352633737
-162221.47829656242,20219.89463729362
-167614.89846871808,16784.374232135942
-165791.72020557412,14832.479006115751
-162446.90209078495,15530.566825968077
1384848.044653998,1325685.9316858326
-157925.64425846376,12268.011195785144
-50801.932268294506,-50355.32812878073
-166157.55369283777,15857.599834898801
-164371.3606834715,17690.97807916463
-161189.30754533582,11470.566577765858
-135933.1592816388,4203.999857476407
-147639.99199755327,8999.998398691352
-164121.26567822177,13968.940124478311
279512.2206835234,16001.071873014731
-171551.5971366093,20086.43117643824
-163678.06163658184,14444.507215296393
-169124.98157334462,19167.911981663907
-171266.78440546565,19491.265291628628
-168672.8992337018,17633.684605947303
482491.8999824023,588005.8247844874
14596.10821131157,126112.17186386506
-164660.3103174223,16263.460219532013
-137654.45107550683,7012.465966677339
-161062.014661614,18446.781989277082
-166122.0239857513,18783.726542907054
-67386.39369594022,-19071.5950500206
-169753.81814319722,19656.059141496233
-169952.7573661266,17796.02317549765
-163531.75840734193,12337.268882341305
631620.3629741273,-475860.62891754747
-168850.4055308775,16779.10440578431
-165505.1378359494,14203.350865704666
-160451.57037744147,9428.292308854543
-80910.0122921165,-61263.06212323136
3746990.0793974428,-3468666.614069531
-165918.45084162784,15204.331668976574
-158547.95548168218,12927.39504139044
-168469.8542905175,17151.017287530853
-169108.78810652462,18191.19094411398
451174.50859864935,-233489.83949278382
-116739.59397821705,-12402.681576247945
-137626.24469577443,7227.260564194989
-165487.92779690013,15402.047121772925
-161236.29339103462,15255.878875506918
-168392.69042304385,17556.324563041973
-165507.1693394985,13602.15361677807
-167055.05133187043,16011.639151999674
-147292.7346269169,-2446.0387698619925
755523.7652677838,-609360.3787773362
-165525.84271848097,16329.83238737553
-168498.14375917127,19414.67877816657
-152568.9376211517,14347.923697613303
-106321.33548901755,-10749.624494484091
-161970.3996183178,13699.384374459081
-169499.53547630276,18068.067402679004
-162435.73380271773,12558.755459558506
-168539.00667225439,17531.462965823215
-161916.01565147188,11345.158049911457
922499.4111242422,-713305.6771821603
-168122.78473924941,16827.813186998323
-171652.86888780628,19474.220573157996
-166700.53725131325,15722.02093817863
-118473.615397861,54199.84589604819
-160989.03051637873,22343.670394978355
-163172.01684450218,16808.3336964539
231798.96719488857,72787.1669191441
-166996.93154993808,16992.5237875896
-112606.72966686967,-13129.091626736226
-153808.50960197262,14701.92579457374
-166915.201022303,16821.066619499517
-158507.70378502057,15013.573151221792
-153073.15510833016,11625.073583797903
-168209.2637071407,17670.858113427817
219064.63114723575,-212002.3083073359
-161922.81953970084,15655.354980347382
-156501.76105385635,19826.373395459046
-140508.55965506888,6539.917110141696
-160085.99985648203,12937.133429947022
-166490.9701079142,15241.091468434177
-162200.5634834777,10815.263763851835
-159200.186539842,9635.354355939107
1577587.1810447108,-1060478.960592908
-165687.47622291808,15676.73080289548
5399.773525396769,-48755.04145910757
-109894.20499041141,17382.158883271353
-157307.79836904016,11615.874464943494
22582.81816021385,-115027.33508711644
-36733.96369352532,-54832.20032767723
-133485.25014605914,-2899.6464442618453
-128922.16760088268,-2484.0257976254397
56943.683984871284,-25820.393185949455
-169350.18565856793,18188.2111536354
-157202.35424255676,13214.074390235348
-165477.91325066896,18260.628080373943
-169971.70156794807,18752.781845367477
-122590.41726224733,-7576.131199584521
-135665.19246282862,1090.2496504990231
16822770.341308147,-327945.2808488981
-160725.27526519913,18607.885485493684
-169666.5830609625,18352.589287077648
-142221.81705630344,5256.140254487957
-163732.432247977,15059.05592359951
-155423.9126329749,8610.327953778837
-87875.16548660098,-16308.2907883855
-158439.04538418184,13682.529357376843
-165717.6881103844,18887.868456706063
-161118.9106090154,12695.706374410682
-163585.71179450958,15402.031653640315
-162909.8764884953,16295.219908744599
-115308.8340816642,-11580.541097156784
-169210.46275150275,19281.33915143476
-170555.85980992808,18379.117001047893
-167320.90729259796,15986.77948873345
-163110.67320238723,17431.71842464461
-172111.2490096537,19571.980813652848
-169559.31051923198,18757.10770857802
-118872.84520923383,54257.52311320149
-160596.24644288834,15396.167993317302
-71846.36921171227,-30424.704211243763
-166706.34423281616,16324.776934380903
-147589.1621110049,11219.806494391985
-150300.44972118465,6635.585590528368
-167266.99976812257,16911.114721460395
-158888.0182695959,15133.024742703898
-131240.77645437903,-2901.413620154799
-162120.43877767684,14614.212734538389
-157152.92140384467,8078.478918744944
-169665.6620739632,19975.735260952984
-114840.32477370594,-12971.37481276464
-164914.4293503293,16486.40491731094
-167055.0908595377,18000.265999852418
194514.05921983434,-57539.41976807811
-165831.8465150459,17765.2927737552
-107924.92226091416,-9240.451644032248
-163768.81659392244,12427.762795501829
-142519.55371583838,4520.417352548027
122736.9431482025,-97376.46216545958
