PC1,PC2,PC3
-175415.35990458657,-21364.828423930216,-20988.53761843521
-228154.79016041275,-3118.766629389487,-19833.710045617525
-226596.53077882377,-3044.4227586680104,-18186.79605541263
-204524.26243439733,-8800.332229082313,-18716.44325677407
-225752.65795399557,-4634.037804929885,-19248.106970286113
-228394.04051687446,-2770.4779269407904,-24225.197042091062
394158.1932043097,-211227.4620963053,104034.78448052357
-230309.9488742501,-2169.7898457643387,-22763.160356280656
-178979.18968829451,2302.389593790304,-22328.13152878913
-221081.60757030427,-1771.0799586647486,-19735.713231355625
-186166.45331601275,-10419.185271086932,-24844.274093610155
-224622.2741859408,-4328.824585794096,-17560.63280259381
-222240.44378644586,-5910.993654452627,-16601.076245032506
-215765.4587582675,-8098.8631629184865,-18771.878437778312
-64381.45751574793,-43222.16650134022,13558.263607538265
-152573.02849203872,-31071.462681237543,-14864.479074043138
-226663.53231489816,33.20110117199272,-23306.965007240626
-226099.23785375268,-3475.475463823418,-17241.975665830716
-224382.36453275307,-4287.788263821181,-17450.379342490367
-219985.63183631908,-2992.5412255132023,-18318.40370041171
-222346.7638171634,-7087.270426708823,-14976.060071192805
-225441.1967528189,-3227.874718364049,-19021.338835666207
-219684.2035751117,-4731.150803371737,-17443.7669796662
-217076.5299310484,-7221.969701553544,-14226.79446091794
-218085.21923945277,-56.180313822002745,-21212.273285601972
-216294.55252934614,-678.3588691363265,-21465.91556578422
-102406.89964622038,-41764.297485327996,-35080.78079862495
-231765.95787889764,-1564.0583709155012,-21896.98310382835
-184085.38375812193,-2350.2329728748973,-23147.083078197476
-227654.22315387914,-4691.963424026938,-23283.656702117085
-221967.72505713237,-4275.09316300916,-21846.19058253554
-225117.54966916583,-5095.7620025293,-27417.654760891186
-220289.2862855983,-7531.16276502713,-30937.284577969254
-183494.19642549462,-32255.72128770643,-59735.852907022636
1039003.3258630306,-175579.76874888362,-17518.586938466975
-209183.10447057753,3962.2912167983723,-17849.649175704686
561184.0130105595,-414851.2734635911,174924.42210297144
