PC1,PC2,PC3
45276.357102489,-33192.61974071814,5582.848686100733
-109909.01910440257,-24204.379353134544,-21467.859240218848
-77737.53403972139,-30584.095244182157,-18082.800150302162
-117675.5111355313,-28446.30190779979,-24586.610347354654
-121710.35576466813,-29647.026945014415,-25195.57064795798
-82715.13145886397,-26201.039194509183,-6656.871135245219
29762.83710937937,-26504.819910821665,5981.51698478706
-119916.85269702016,-30098.338989420015,-25348.78093676651
-117860.75126070512,-26217.268222896575,-19645.070958261662
617505.5728654353,195061.31354160124,393683.68855943193
-119820.21803635519,-28114.866883980245,-23053.868108245177
-73313.67430237475,-27726.444331840125,-13461.985653662288
-117642.91858207647,-28713.281511550227,-23354.33893483328
-77437.32038497733,-28744.550864083078,-13082.387193594765
-120453.78815225967,-29094.03765299923,-25669.899356141053
-81951.72660067047,-32181.995117764734,-17650.27519422398
169348.06096639973,288284.39744679193,162613.69956059466
170171.23568864615,44514.09398274914,156779.85159692232
-101188.52370866947,-35534.8389770394,-32300.509036585572
-101808.78435411653,-34231.63515988113,-24630.572833372036
-116736.48631905705,-26709.011922605987,-21585.980252625017
-123356.62703665426,-28238.312948361265,-24290.87312823852
33341.25751460747,37109.00807372143,67979.92194685558
-77145.00631445405,-29079.81556519041,-20311.403255283083
-71179.51428660554,-27034.028258216516,-8622.100040268968
108956.12521080482,74435.10809739277,107419.2458254183
-113247.33040392637,-25313.12883166419,-20176.387277204598
-6866.2532508685545,-5694.610730426044,12684.187985555807
3003.6038358802325,-1855.1197610880772,38508.935416812215
-110406.1956439726,-25637.027820409363,-19288.914605119535
-110568.13223048362,-26826.301204986856,-19012.88698023991
-114564.87220118124,-27733.452964035776,-22828.710564602403
-106371.31516996423,-29488.907504505725,-22243.354755085784
-104803.89255019449,-28097.260613598977,-17049.598053294303
-22154.646105114036,-31368.674558497354,-4813.988383576285
-116474.44101965461,-28278.968904368627,-20707.050853302233
373083.6601650718,150979.43259345437,78761.32878364815
-117851.1367446027,-26882.550315336197,-22268.223129853563
-120139.77599627059,-28568.45132995157,-24470.268726877675
-123566.39020874709,-29525.51349487786,-25611.97131684161
-105133.36558412676,-28196.106259657427,-18570.092858905984
41567.14887358212,-25826.084733801013,16352.977867832793
-118405.04671115217,-28067.636630838068,-23217.154171396374
-121176.40093257546,-28224.19234566832,-25802.699431983707
-51774.60270260455,-24493.222665405614,-4114.467524314587
99958.88729396892,286761.22732287005,257856.19616859124
-110014.13935266377,-26463.089819268193,-19075.86025468159
-115947.3817547545,-28198.509665105736,-22221.679482489533
-122876.53775703054,-28492.72743061858,-25558.170278711856
145237.39418034517,6685.151374876492,75225.22995543011
-116370.73383579245,-28029.78690979957,-21691.248392889727
-119311.14975292068,-29255.262979236813,-24656.1014488962
-123146.68357684769,-28775.235091792692,-23931.58330092086
-123372.73565448438,-28883.79325719417,-24493.423318793277
-113229.5641540703,-25582.67692898252,-20109.020881766766
-120586.14492932988,-28712.152293701685,-24862.330816530815
-123810.40353795339,-28825.050305801047,-24908.396898501258
