PC1,PC2
-108126.80066038716,3621.7287795441894
-102117.24134393016,3246.813760379151
-109951.2723919394,5818.103770499211
-109287.56789215645,3719.395601266309
1253798.652683488,-657780.2622979674
-109555.526935094,4156.825719256362
-108067.6882293637,5161.179499247255
-69700.3650648889,-5118.890420321764
-98413.90035914257,104.83409975340783
-103045.81014349911,1699.648189366857
-100325.32834334401,9358.29326050769
-107695.74969032271,4209.075433868358
-66751.31088419512,-3212.3855304316075
-111634.95138220525,6158.524663814611
-102844.09824340967,5595.967196463117
-81333.14721499899,-7484.93011772842
-112922.44763231817,6360.158851460232
-84993.18779338755,-6471.036026245072
-110609.72539891457,6662.60921729116
-105763.69501752843,3985.518563452768
-89820.94447052397,-4191.208763091163
-103783.16938844006,3236.520392652745
-30984.915657096586,-20751.87297028216
-111387.437786922,5184.698620906274
-114617.2207573747,6363.309000833677
-105514.11123961728,4050.5634992301198
-107504.70093450337,5039.989244861556
-111803.88083206958,6521.574927253203
-62177.54597123951,-12677.6122469368
-100780.47002587383,2132.829769581831
-96631.83494805862,1394.6274258162957
-102040.74891466627,4052.42375533212
-99648.56722973357,1821.9828001484593
-85055.99797483892,-5093.94955442211
-658.9108868103212,-22934.411557037514
52890.65638745192,-55610.03173954896
-111694.97689497982,4766.388179185296
-101473.92065003878,904.7096318601734
-103730.18273080967,-616.2676339099316
-36736.08016713221,-20282.423863776778
-96358.29028130855,-750.9422850804458
-83736.8632345922,-5449.485158627285
30252.967954034335,-52141.03616967892
35848.57647179,-49082.47096975948
-103339.39386965938,4074.4121354304116
-106703.31162754395,3772.8291796140843
-67460.8081458483,-11852.17043273413
-12662.64899958887,-22264.72449717026
-110939.69437898089,6378.620521901579
-105910.20499164554,4379.546368534753
5999128.838315751,2278047.247054493
-101828.18722707288,1682.8302121438282
-111668.50023677497,5145.266038691703
-110981.66366562301,4920.2922184801855
239643.45697305255,176980.3061455023
-108636.51639657716,5515.180619809172
-106628.53632140993,6111.511785904452
-113029.91995973833,6114.773646944713
-49204.566576746496,-11253.572636406034
-109543.65480864528,4073.9183066657456
-102765.272385366,3395.3813555552956
-110900.88314026501,7530.161793073714
-113097.36962668861,5444.408024731645
-96191.60448540769,-5578.147820198876
335202.19959249103,152993.62417515457
-92221.53069379805,5397.859923281676
-106638.38875291786,4384.344070264673
-110761.54110019676,4433.142044889049
5885.929670347061,-30060.105557463918
-76347.44373555016,-7379.512481721995
-94428.20759680148,-662.9813584997237
-89883.02825411715,-1596.1655428420145
-111830.8610071375,5558.783588066435
-47962.93776841472,-4166.084695011361
146782.8839122272,-82451.08145539075
-97590.30789930768,639.806951344247
-107915.34693671892,9097.762267478895
-104873.07905808432,4449.373285942513
149730.8418779704,-92870.40529637928
-81302.796788762,-6158.406540266338
-105594.74692425218,3398.9958270846532
-107884.49327434275,3577.9133484992976
-108144.02138690723,3911.1674832043705
-71059.61360234831,-11382.69914918762
-97330.7147909874,312.04644629167797
-100376.38735184098,4018.1793298081056
-107786.67226637925,4110.8792838510235
-72187.62891568712,-9664.143948853454
-111008.87311074788,3914.2674900375096
-68453.06312416735,-4203.268827154352
-108102.59328231282,5352.194031815788
-104717.03081484041,4408.674042173271
-96330.75352707278,965.0919805145495
-78937.195852452,-8961.657833102172
-103338.86585934194,4408.625673882931
-111005.39333093126,6134.822291616352
-112237.25711739222,6162.519660306203
-100556.74129806955,8448.299160361306
-102053.17338574119,-1.3309303486666977
-85872.52129164203,-11917.351669254758
1479185.9261057568,-619987.7019444349
-61452.17505011639,-11883.491539811343
-94106.9093770086,-1880.3422973727702
-103872.24397320622,8011.722274003421
-89803.5291397406,5794.214049790201
-90470.6884371047,6004.182298908059
384540.90371657687,31909.53495938167
-44230.68871731218,-18079.088439917585
-111106.38810763574,6614.379488552661
-108887.52946332678,4270.64995061208
-82018.68168540503,-214.79377522177674
-86098.66093575425,-1340.2198901328356
-103988.10019338274,2601.6066195639714
-110187.80179844378,4451.049562525019
-102291.99712567475,2830.1170305883384
-101280.17055566507,1969.7198438114228
-109947.56181928441,7573.027641948944
-105416.02742101032,2026.408716409207
-111135.55344041533,5757.487575947671
-112034.62462266014,5371.145831063311
-88127.16522396494,-6250.6643524971805
-106243.20043743076,3667.0498069793525
-106931.96181382606,4424.2490692314095
-87037.22814802988,-4292.300990092128
-83373.45999660209,34636.268451763084
-102799.71962905841,3143.1656932093006
-68401.50466195303,1018.2845293604978
