FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,UMAP-1,UMAP-2
5452.0,8235.0,545.0,2183.0,1131,1440,2073.0,2578.0,5767.0,7342.0,2064.0,2332.0,18.1,3,6.4999356,13.867266
3711.0,15992.0,896.0,3478.0,1807,2586,2856.0,4239.0,6673.0,9950.0,807.0,1500.0,18.1,3,12.354754,12.929472
40259.0,95487.0,3270.0,7548.0,0,0,156.0,111.0,45179.0,61661.0,20801.0,56353.0,18.1,0,-1.999052,3.6777263
36154.0,81300.0,4655.0,9751.0,151,145,0.0,32.0,38336.0,49042.0,28684.0,42438.0,18.1,0,-2.261271,4.8303237
4532.0,17993.0,830.0,3071.0,1211,1570,1480.0,2073.0,5542.0,8224.0,1280.0,1946.0,18.1,3,7.0721207,14.504373
4244.0,8955.0,2293.0,4662.0,1583,2021,1984.0,2509.0,5551.0,7202.0,576.0,1515.0,18.2,3,9.352553,14.019117
3535.0,10722.0,738.0,2090.0,1740,2873,2095.0,3782.0,5988.0,9612.0,1374.0,1205.0,18.2,3,13.096992,12.906571
33825.0,70893.0,9986.0,22358.0,500,279,357.0,165.0,32954.0,41057.0,24857.0,34874.0,18.2,0,-1.826251,6.1103754
15308.0,31395.0,2420.0,5005.0,4990,6445,5629.0,7588.0,16340.0,20874.0,4097.0,4904.0,18.4,1,11.191896,-0.5824948
194317.0,377646.0,6586.0,13242.0,369,382,146.0,215.0,168022.0,207004.0,119390.0,122363.0,18.5,2,3.687253,-1.9014059
1931.0,6039.0,456.0,1762.0,134,52,40.0,0.0,834.0,4069.0,12508.0,23572.0,18.5,0,-3.8092713,15.089018
162119.0,316552.0,18935.0,33993.0,165,259,29.0,181.0,85646.0,101271.0,53127.0,66535.0,18.5,2,3.5036302,-0.7234964
28055.0,45205.0,10108.0,19309.0,511,356,291.0,217.0,24930.0,30414.0,25903.0,24707.0,18.5,0,-1.396544,8.401123
6784.0,14723.0,2645.0,5124.0,3475,4419,3889.0,4995.0,10137.0,13012.0,1000.0,2785.0,18.6,1,15.029961,3.2775502
220773.0,407838.0,27770.0,53093.0,524,504,213.0,143.0,131455.0,157264.0,90913.0,118065.0,18.6,2,4.0841875,-1.8151338
29534.0,69572.0,1409.0,2863.0,233,114,188.0,52.0,34162.0,41218.0,24429.0,36146.0,18.6,0,-2.545947,6.1245837
368547.0,663346.0,317146.0,555332.0,810,878,392.0,316.0,84731.0,104288.0,57680.0,67539.0,18.7,2,5.2291436,-3.2595594
5175.0,18370.0,1716.0,4707.0,1837,2732,2420.0,3677.0,6765.0,9951.0,82.0,2745.0,18.8,3,12.566446,12.902278
6816.0,12872.0,1915.0,3746.0,2190,3931,2986.0,4714.0,7606.0,12370.0,2164.0,2574.0,18.9,1,15.237443,7.33564
2154.0,8534.0,1029.0,2805.0,325,1996,598.0,2727.0,1605.0,6929.0,301.0,435.0,18.9,3,8.221141,15.905106
3947.0,16212.0,696.0,1983.0,1366,1962,1712.0,2573.0,5247.0,8545.0,646.0,1092.0,19.0,3,9.120492,14.597069
19929.0,14947.0,1383.0,2143.0,2177,2478,3339.0,4265.0,9464.0,12319.0,4136.0,3881.0,19.0,3,11.665957,11.59593
5864.0,11521.0,1165.0,3008.0,1996,2600,2739.0,3530.0,7569.0,9190.0,1679.0,3103.0,19.0,3,12.27124,12.777326
8317.0,21146.0,6665.0,19020.0,1245,1775,2923.0,3786.0,6537.0,8713.0,480.0,2137.0,19.0,3,8.631773,13.680195
2589.0,6608.0,674.0,3453.0,109,78,222.0,125.0,2885.0,4403.0,1603.0,1829.0,19.1,0,-1.7529681,16.062893
5871.0,9968.0,377.0,1564.0,10,52,386.0,169.0,2547.0,8338.0,8888.0,9479.0,19.1,0,-2.5836246,15.621771
465933.0,799086.0,546054.0,1032190.0,888,1499,608.0,405.0,328212.0,376517.0,176122.0,193897.0,19.1,2,5.627966,-4.1234674
107619.0,202698.0,22313.0,44989.0,409,430,0.0,0.0,97909.0,115879.0,49942.0,66961.0,19.1,2,1.87872,0.7060605
10814.0,32287.0,2373.0,6030.0,2435,3212,3674.0,4753.0,11088.0,14550.0,2122.0,3490.0,19.1,1,13.599791,8.312326
58270.0,134234.0,6558.0,11305.0,203,283,289.0,162.0,55381.0,70272.0,36787.0,61803.0,19.2,2,0.111749485,1.6856394
2021.0,9672.0,616.0,2086.0,1626,2567,1982.0,3404.0,4465.0,7830.0,0.0,1037.0,19.2,3,12.151156,13.55524
12507.0,28248.0,1102.0,3046.0,4729,5995,6444.0,8316.0,16450.0,20388.0,1892.0,4481.0,19.2,1,11.78701,-0.45053998
