FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,Label
2469840.0,2054700.0,643866.0,692184.0,17802.0,9810.0,267100,153208,2217900.0,1207160.0,1744420.0,865583.0,179.0,1,Crypto
522075.0,607515.0,32815.0,43637.0,3992.0,3181.0,43617,37529,304623.0,240114.0,207704.0,175170.0,181.9,1,Crypto
621946.0,882115.0,26031.0,37381.0,1324.0,1171.0,8191,7756,198158.0,177800.0,196734.0,150818.0,184.0,1,Crypto
878617.0,986126.0,103835.0,140338.0,7979.0,7229.0,79335,68578,795244.0,611366.0,592323.0,446266.0,191.1,1,Crypto
913353.0,1041360.0,113580.0,164931.0,5746.0,4223.0,42424,37669,590644.0,458231.0,419603.0,309852.0,196.3,1,Crypto
289579.0,407430.0,22327.0,32263.0,604.0,608.0,4327,3935,130753.0,112272.0,115460.0,89269.0,198.6,1,Crypto
408889.0,566799.0,20802.0,28287.0,798.0,434.0,6014,5133,146015.0,122606.0,154873.0,108067.0,201.0,1,Crypto
1361100.0,1385320.0,189292.0,257513.0,333809.0,306100.0,38778,35502,1464580.0,967812.0,549516.0,385159.0,202.7,1,Crypto
598389.0,699482.0,45287.0,63407.0,3944.0,3644.0,45424,36577,357684.0,270501.0,261267.0,201929.0,206.4,1,Crypto
507174.0,589749.0,90007.0,128327.0,4133.0,3351.0,34267,28923,397156.0,297637.0,401015.0,275913.0,208.0,1,Crypto
1137800.0,1278400.0,137997.0,184753.0,159076.0,143898.0,17371,15770,1440860.0,1066390.0,528820.0,419842.0,210.5,1,Crypto
481320.0,638080.0,41689.0,62066.0,960.0,803.0,8104,7353,187209.0,154415.0,149537.0,117854.0,216.0,1,Crypto
447443.0,609311.0,82293.0,111542.0,11475.0,10600.0,13520,12876,279248.0,231157.0,174796.0,129117.0,218.4,1,Crypto
1832100.0,1489890.0,220910.0,206689.0,14464.0,8129.0,225158,134644,2322410.0,1267160.0,1757600.0,853465.0,219.6,1,Crypto
1026220.0,1191520.0,256588.0,368025.0,4566.0,3479.0,52030,41345,517226.0,376022.0,401480.0,278874.0,220.2,1,Crypto
475086.0,677725.0,46161.0,71149.0,1495.0,1044.0,6233,5501,179641.0,158345.0,136913.0,121585.0,220.9,1,Crypto
511491.0,616088.0,123090.0,180434.0,2431.0,1324.0,11111,9239,314466.0,242437.0,319481.0,224670.0,231.7,1,Crypto
455790.0,621465.0,16841.0,25821.0,2068.0,1761.0,21998,19685,195578.0,156891.0,138271.0,96229.0,232.5,1,Crypto
728106.0,684938.0,497312.0,717825.0,2911.0,2498.0,5263,4823,249298.0,202608.0,171093.0,127097.0,234.8,1,Crypto
355938.0,484282.0,11900.0,17850.0,807.0,731.0,5926,5570,151081.0,130350.0,119658.0,104310.0,235.6,1,Crypto
523069.0,741954.0,282597.0,403590.0,12299.0,11683.0,31793,29096,80589.0,74606.0,40338.0,31619.0,241.0,1,Crypto
437366.0,544544.0,46317.0,70916.0,2412.0,1933.0,25797,23512,214339.0,176831.0,151501.0,125122.0,241.2,1,Crypto
580901.0,550158.0,97862.0,131528.0,13488.0,10922.0,88784,68712,877409.0,639179.0,666057.0,468340.0,245.9,1,Crypto
60411.0,89444.0,13816.0,19240.0,48564.0,45912.0,50763,48050,91366.0,69715.0,22816.0,22027.0,249.0,1,Crypto
395201.0,520021.0,43226.0,63586.0,995.0,633.0,5792,5157,163090.0,139027.0,132597.0,120014.0,250.0,1,Crypto
1003080.0,1003520.0,71372.0,83478.0,306306.0,246360.0,34704,27754,1032550.0,743617.0,458087.0,318192.0,250.2,1,Crypto
514717.0,672408.0,55491.0,82356.0,1507.0,1429.0,25051,22772,230272.0,190642.0,167650.0,144775.0,257.0,1,Crypto
482856.0,704471.0,41830.0,66528.0,1937.0,1699.0,5715,6072,158517.0,141679.0,150092.0,131372.0,258.4,1,Crypto
333977.0,418692.0,48406.0,70397.0,550.0,670.0,5374,4860,167524.0,144932.0,154706.0,114842.0,259.5,1,Crypto
1494090.0,1687520.0,225592.0,313750.0,58429.0,43976.0,7578,5678,754012.0,508485.0,310384.0,209240.0,261.7,1,Crypto
510537.0,649947.0,189641.0,252535.0,27723.0,26524.0,35764,34162,105342.0,99327.0,33182.0,30687.0,262.4,1,Crypto
570749.0,592988.0,251250.0,355889.0,6394.0,4760.0,77504,58637,643879.0,448675.0,580891.0,366190.0,267.0,1,Crypto
226315.0,312212.0,791746.0,1275020.0,19563.0,18356.0,33168,31361,73896.0,65659.0,29886.0,26089.0,268.3,1,Crypto
602032.0,796705.0,256770.0,363856.0,13539.0,12316.0,11941,11331,236033.0,196823.0,149513.0,121152.0,270.4,1,Crypto
2892340.0,2450770.0,3859080.0,3873460.0,34672.0,23695.0,20400,16269,455362.0,297355.0,204101.0,127199.0,273.9,1,Crypto
1495460.0,1096040.0,314393.0,274293.0,19020.0,9667.0,236602,114444,1936980.0,914609.0,1408950.0,646696.0,276.8,1,Crypto
786034.0,875425.0,137406.0,190516.0,8707.0,7013.0,53445,41003,514731.0,361872.0,360147.0,257275.0,279.2,1,Crypto
426800.0,406251.0,128027.0,168257.0,8996.0,7059.0,106977,82567,737550.0,518851.0,494555.0,362430.0,283.8,1,Crypto
388625.0,491932.0,294282.0,445005.0,41119.0,39029.0,53161,50436,261158.0,228233.0,173667.0,131896.0,286.7,1,Crypto
835376.0,947028.0,442113.0,626586.0,17827.0,15118.0,10041,8816,591616.0,437511.0,290534.0,215804.0,298.0,1,Crypto
457870.0,644333.0,41020.0,63850.0,535.0,670.0,6191,5492,142094.0,124368.0,126866.0,104250.0,298.2,1,Crypto
428010.0,572137.0,15529.0,20871.0,1063.0,799.0,4643,4315,147415.0,128274.0,135514.0,111801.0,300.0,1,Crypto
