FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,Label
292595.0,420930.0,29418.0,45083.0,722,591,7925,8318,168098.0,165248.0,145048.0,137292.0,24.3,1,Crypto
390948.0,628410.0,19929.0,33152.0,967,968,4643,4841,152642.0,159378.0,166555.0,158500.0,24.8,1,Crypto
5713320.0,3499440.0,1329120.0,931780.0,242066,127066,164537,126806,506871.0,422323.0,130768.0,91466.0,29.9,1,Crypto
372649.0,496079.0,37549.0,53153.0,2035,1821,20450,19363,181094.0,157763.0,126174.0,107337.0,36.1,1,Crypto
693516.0,781881.0,106318.0,145148.0,5224,4364,91134,75584,517949.0,404050.0,348640.0,258002.0,47.5,1,Crypto
470205.0,609565.0,47716.0,66888.0,877,764,7954,7024,223209.0,184580.0,203861.0,169022.0,53.0,1,Crypto
667539.0,764355.0,42913.0,61251.0,3246,2539,61530,47965,430831.0,309437.0,274939.0,206222.0,57.9,1,Crypto
937795.0,1067520.0,96322.0,136203.0,4200,3510,62480,50966,394079.0,297854.0,289481.0,214744.0,59.9,1,Crypto
789516.0,744446.0,109672.0,118181.0,6608,4546,103828,72038,856699.0,574199.0,579819.0,368946.0,61.2,1,Crypto
394669.0,586483.0,11166.0,17339.0,1193,733,7741,7222,170203.0,154634.0,130950.0,123529.0,62.1,1,Crypto
330338.0,448106.0,39408.0,60316.0,0,331,5487,5182,149749.0,135292.0,164113.0,111217.0,65.0,1,Crypto
2004780.0,1783730.0,447170.0,505483.0,5583,2943,75425,42511,800857.0,463148.0,608284.0,269026.0,66.5,1,Crypto
333322.0,373539.0,203178.0,254369.0,6222,5740,7141,6933,406386.0,336546.0,114431.0,105120.0,68.7,1,Crypto
261204.0,369606.0,17009.0,23572.0,465,627,4562,4147,135679.0,121053.0,99708.0,103971.0,69.9,1,Crypto
1982910.0,1822150.0,214354.0,205278.0,11647,7043,12345,7186,206196.0,162412.0,143328.0,97918.0,70.0,1,Crypto
727816.0,758102.0,95678.0,116157.0,4366,3216,56840,43999,411483.0,294995.0,308812.0,225558.0,74.0,1,Crypto
298802.0,416498.0,19350.0,27018.0,1126,808,6171,5566,163156.0,143363.0,117447.0,108207.0,77.3,1,Crypto
1121030.0,1049480.0,1592020.0,1782430.0,8275,6353,8360,7202,123908.0,94145.0,126136.0,96469.0,80.9,1,Crypto
503812.0,660502.0,53990.0,78303.0,2495,2781,46337,44362,295676.0,261622.0,194683.0,179650.0,87.8,1,Crypto
980353.0,943164.0,110298.0,122414.0,7384,5143,117035,86065,778670.0,534598.0,585804.0,354327.0,91.8,1,Crypto
860024.0,964961.0,255500.0,380498.0,7750,7072,88208,77125,783320.0,633056.0,606252.0,471820.0,101.3,1,Crypto
497653.0,545908.0,184246.0,276856.0,5716,4476,43133,36980,461671.0,364366.0,333676.0,264143.0,105.0,1,Crypto
722420.0,873049.0,123657.0,170665.0,5070,3901,61637,54428,425152.0,337396.0,285288.0,243691.0,137.7,1,Crypto
333539.0,493996.0,20301.0,30028.0,837,466,4429,3928,106104.0,95078.0,96284.0,94730.0,143.7,1,Crypto
766179.0,891908.0,144844.0,207723.0,6156,4928,43016,34601,528294.0,397078.0,400691.0,316644.0,150.2,1,Crypto
827110.0,813832.0,163386.0,203833.0,8031,5705,92103,70796,701550.0,494051.0,507336.0,338180.0,152.8,1,Crypto
823545.0,812858.0,1089910.0,1167200.0,10060,8497,10447,9735,1019890.0,558935.0,644181.0,321044.0,154.4,1,Crypto
373928.0,492751.0,25725.0,37549.0,436,437,7791,7212,190455.0,167163.0,163905.0,134659.0,156.9,1,Crypto
569422.0,611931.0,113201.0,153105.0,3572,2694,66106,52833,441493.0,323356.0,264484.0,194810.0,163.8,1,Crypto
520337.0,667051.0,52998.0,77126.0,6613,6062,36362,33865,260875.0,222782.0,136496.0,137157.0,177.8,1,Crypto
21278.0,32049.0,3371.0,4852.0,19154,18481,34733,34816,82638.0,72150.0,24474.0,28255.0,179.3,1,Crypto
353983.0,473363.0,40793.0,63033.0,1565,1209,9005,8489,185188.0,165010.0,166519.0,146888.0,180.8,1,Crypto
1055670.0,1286270.0,123135.0,180122.0,3717,3130,75229,68226,504085.0,414355.0,314290.0,260138.0,182.6,1,Crypto
236632.0,321557.0,17932.0,27394.0,4577,2655,38497,36358,768744.0,730061.0,854663.0,695503.0,184.1,1,Crypto
416242.0,487299.0,34495.0,45701.0,1583,1050,10928,9378,271557.0,228339.0,239897.0,174729.0,185.2,1,Crypto
505245.0,720958.0,24982.0,34121.0,2739,2418,26102,24187,206359.0,181418.0,156304.0,137050.0,187.2,1,Crypto
38735.0,67643.0,41005.0,61504.0,13032,11608,22745,21729,78608.0,62650.0,39532.0,31106.0,190.8,1,Crypto
338751.0,508239.0,15854.0,27784.0,785,649,3686,3657,137258.0,129941.0,121497.0,136221.0,195.1,1,Crypto
