FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,Label
37252.0,61150.0,7576.0,11461.0,19855.0,20848.0,25190,25937,60774.0,59314.0,13185.0,12568.0,184.2,1,Crypto
427609.0,597573.0,148742.0,227091.0,1124.0,852.0,6239,5845,233354.0,203553.0,218910.0,183501.0,184.7,1,Crypto
275309.0,348673.0,349376.0,514133.0,9957.0,9570.0,21914,21416,58009.0,55711.0,24968.0,20011.0,187.5,1,Crypto
476642.0,648335.0,356248.0,526470.0,2114.0,1353.0,3624,3261,149557.0,124772.0,106035.0,82548.0,193.6,1,Crypto
700214.0,687637.0,105442.0,127535.0,6996.0,5374.0,86490,68065,682051.0,488995.0,486905.0,333262.0,196.0,1,Crypto
225718.0,279523.0,399949.0,518558.0,17818.0,15450.0,21725,19265,126538.0,99273.0,71061.0,60363.0,199.8,1,Crypto
192155.0,281713.0,420603.0,622972.0,15598.0,14545.0,21915,21168,61529.0,54491.0,14694.0,15281.0,201.2,1,Crypto
206901.0,308856.0,40972.0,59976.0,465.0,439.0,2613,2375,95797.0,86472.0,96440.0,79603.0,202.5,1,Crypto
516468.0,723362.0,38550.0,61029.0,2592.0,2034.0,8268,8300,194683.0,171936.0,173490.0,149415.0,209.5,1,Crypto
309944.0,429508.0,42476.0,65885.0,816.0,523.0,5189,4555,193928.0,166672.0,232612.0,162776.0,210.9,1,Crypto
399013.0,489123.0,54191.0,77760.0,1221.0,1300.0,6572,5538,238187.0,200622.0,223030.0,186978.0,213.0,1,Crypto
344340.0,460024.0,40905.0,58357.0,1061.0,626.0,6437,5659,205054.0,170037.0,200779.0,154410.0,213.9,1,Crypto
359536.0,496981.0,67920.0,104800.0,1650.0,1469.0,25752,25331,169316.0,144782.0,128696.0,101177.0,219.2,1,Crypto
402759.0,595384.0,29895.0,45277.0,590.0,472.0,6021,6081,169070.0,149872.0,145575.0,124382.0,221.5,1,Crypto
419811.0,553266.0,50655.0,75371.0,2260.0,1901.0,25224,22760,227551.0,182584.0,162687.0,123644.0,223.4,1,Crypto
681434.0,758098.0,388814.0,474159.0,13401.0,12283.0,15937,15134,186056.0,160126.0,99454.0,71938.0,223.7,1,Crypto
383310.0,510973.0,22825.0,28942.0,518.0,502.0,7804,6736,196929.0,172310.0,191116.0,146476.0,225.3,1,Crypto
407731.0,556731.0,44573.0,63806.0,4601.0,4336.0,3716,3303,273185.0,219092.0,138398.0,118111.0,227.0,1,Crypto
353058.0,440012.0,399198.0,548998.0,17326.0,16701.0,23658,23601,67194.0,62979.0,18989.0,16939.0,231.4,1,Crypto
396991.0,570295.0,20602.0,28662.0,955.0,666.0,6879,6974,152572.0,137600.0,139619.0,119934.0,244.4,1,Crypto
