FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Row_Status
85813.0,0.30460707077934474,7125.0,-0.08278066552111549,408,-0.8111988658252974,178,-0.33376831387259986,84558.0,0.11040920500434974,52225.0,55530.0,1
10406.0,-0.27480393268345826,1405.0,-0.09510035539394324,4049,1.014525755048398,5174,0.2915030328656065,13864.0,-0.21084817486264285,643.0,1861.0,1
4356.0,-0.33244455596168354,2001.0,-0.09334197955033496,3137,0.5792032430963303,3834,0.13251669762130067,7845.0,-0.2422787668598351,399.0,756.0,1
5322.0,-0.3517475247532512,964.0,-0.09932014144810108,12401,5.350102664625071,11158,1.1798789744427407,23923.0,-0.13561374289613815,2499.0,4734.0,1
21947.0,48096.0,6782.0,12874.0,161,220.0,0,0.0,22942.0,24009.0,11085.0,19134.0,0
18621.0,-0.30030871238860113,4243.0,-0.09092480521006484,3819,0.6664061628196379,5276,0.24861979285271363,14715.0,-0.2138899864434616,3057.0,2845.0,1
69853.0,0.20266843688771638,28537.0,-0.05614435220284468,273,-0.8049700858450611,585,-0.32346884574723256,73273.0,0.031869980628713414,22071.0,32619.0,1
45208.0,-0.021316648976540908,11782.0,-0.06977058010142628,358,-0.8264247724436526,93,-0.3401352578046451,41152.0,-0.08509950879104251,32860.0,38266.0,1
24312.0,-0.22527440168874086,10912.0,-0.07329839075621268,104,-0.8271168591081234,102,-0.33395557692942474,23633.0,-0.17327698052434526,20499.0,18168.0,1
10196.0,-0.3208234264992596,5173.0,-0.08537478334250342,5218,1.2975892008169125,6225,0.3782994597039289,15389.0,-0.2071138471006002,3429.0,2710.0,1
4906.0,-0.3185922054135537,878.0,-0.098517576373031,1007,-0.32535402736686897,2332,0.04160048353283131,6012.0,-0.24354545784954207,1888.0,3531.0,1
132791.0,0.6462432372189386,6423.0,-0.0915425275414672,284,-0.816735559141063,83,-0.3421951514297185,188084.0,0.5289870234023223,72806.0,73315.0,1
4265.0,-0.361025648506437,772.0,-0.09994892274707332,1480,-0.08485391146330223,1915,-0.0356455274074233,5339.0,-0.24363311812564634,326.0,524.0,1
12076.0,-0.29139277081566023,1366.0,-0.09755386634194291,2394,0.12311813121014183,3734,0.06088857838579185,8416.0,-0.2511280717325629,2614.0,2815.0,1
1613.0,-0.3717077871311891,878.0,-0.09841962551741221,1490,-0.1647899212096676,2124,-0.048004889157864036,5453.0,-0.25251310409501065,129.0,1572.0,1
4196.0,-0.3590582391322675,3558.0,-0.09275585426913222,35,-0.8873283989170739,266,-0.33414283998624955,5913.0,-0.2592015831617678,787.0,1142.0,1
1155.0,-0.3785221777817217,1766.0,-0.09030708287866247,98,-0.8966715688874283,207,-0.3333937877589501,3587.0,-0.25791736011683997,428.0,829.0,1
1232880.0,5.238597026715055,1852070.0,3.6965124916564878,2726,-0.07620282815741854,791,-0.2969711232065149,386515.0,1.3421412766009133,212091.0,190628.0,1
8975.0,-0.2984441448680814,1151.0,-0.09857919062092024,8018,2.24990045112859,9049,0.649737260571563,21474.0,-0.1849752443704624,4106.0,4071.0,1
3307.0,-0.36452227153052913,1706.0,-0.09710676808161844,3004,0.3283218272257031,4044,0.09553224389839088,9823.0,-0.2352571787438817,720.0,774.0,1
12514.0,-0.34057353378495664,2890.0,-0.09638477548455736,6736,1.8453757957454682,7976,0.5247391701409693,15701.0,-0.20475140265958966,3195.0,3061.0,1
6682.0,-0.3059694857242798,2435.0,-0.0941003087551256,4376,0.9944552417787477,5669,0.29449924177480424,14009.0,-0.2114135836435155,602.0,2900.0,1
29039.0,-0.15777437461496152,4013.0,-0.09158834326425663,252,-0.8437269390554201,0,-0.34481683422526654,35052.0,-0.12591851635900397,24904.0,29778.0,1
1891.0,-0.3537909476714227,660.0,-0.0980562594401167,2613,3.0326504686449467,3959,1.4004748553824253,1731.0,-0.25942511686583375,0.0,311.0,1
15840.0,-0.27259506852245885,3668.0,-0.09507665760629352,3403,0.3695009837617095,4947,0.14721684758205214,12788.0,-0.22371670339475225,5112.0,3358.0,1
11882.0,-0.30866573084388027,1944.0,-0.09636265754941764,2708,0.13522964783837899,3487,0.036638012526972526,10633.0,-0.23588833273183255,1077.0,2200.0,1
5785.0,-0.351045517317468,1795.0,-0.09607038483507124,4260,0.7383831759245904,5575,0.24777710909700176,13991.0,-0.214919994687687,208.0,820.0,1
5444.0,-0.34115928521226624,1084.0,-0.09703093516113938,11584,3.6344198234022165,11052,0.8257645339869311,18317.0,-0.19608180135287562,457.0,3117.0,1
28199.0,-0.22278831166138122,2322.0,-0.0943420261891526,5061,0.9169415353580298,7328,0.3676254654649119,23338.0,-0.18025912151605175,8838.0,8399.0,1
1561.0,-0.3748869418244494,259.0,-0.10013060578572107,477,-0.5713908365862013,460,-0.22534300397100612,1457.0,-0.26602155264268135,2000.0,2778.0,1
2057.0,-0.3675315135960202,1512.0,-0.09860446826107992,3542,0.7342306559377662,4662,0.21060539231726713,13592.0,-0.21063340718618734,1126.0,2118.0,1
12606.0,-0.3486533263738755,818.0,-0.09840382699231241,2127,0.029686431506597902,3178,-0.02984037264585265,8076.0,-0.24906805524411216,962.0,1375.0,1
255438.0,1.2472823296427822,52263.0,0.02892596590207396,979,-0.6215671197603267,342,-0.3278695275826168,366785.0,1.1858517703345792,128807.0,145349.0,1
2601.0,-0.3613699451469166,281.0,-0.10092211189322128,2483,0.3096354872849943,3052,0.053959845283272044,9076.0,-0.23199183345899696,1378.0,2017.0,1
2233.0,-0.35692091713032875,528.0,-0.09944179009136958,2353,0.16291311441720682,3219,0.07596325446019304,8301.0,-0.23639676233323742,1137.0,1891.0,1
1086.0,-0.36686080585482606,0.0,-0.10182578752893012,447,-0.4063281671099404,638,-0.14032557617251984,1516.0,-0.2621864155631188,203.0,932.0,1
19484.0,-0.24618706905917448,3402.0,-0.09309078300124807,225,-0.8637974523250702,439,-0.3231879511619953,23068.0,-0.17520550659863957,4501.0,13159.0,1
13261.0,-0.3360350780695429,2279.0,-0.09746065504385407,4453,0.6729809861321095,6212,0.26472441573965155,16632.0,-0.21483671742538793,1897.0,2988.0,1
37740.0,-0.11182195157327961,8457.0,-0.07838393598583983,370,-0.8035859125161198,250,-0.33779446959433435,34731.0,-0.13189694718931635,16015.0,29538.0,1
4358.0,-0.3199202067411181,2428.0,-0.09423459621847394,1689,-0.020835894999762888,1931,-0.08939002471615802,5262.0,-0.25823732012462064,501.0,1200.0,1
3045.0,-0.32641712906081877,559.0,-0.09781138230106973,533,-0.29836264745251184,482,-0.17936992352050307,1723.0,-0.2656358474278225,145.0,104.0,1
