FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Row_Status
19687.0,50574.0,5482.0,11279.0,222,159.0,0,0.0,27315.0,39568.0,29240.0,36388.0,0
3677.0,-0.29204909343256874,949.0,-0.12264332937575892,2208,0.037214217284438626,2732,0.00855050368257314,8882.0,-0.1981444728460227,1915.0,2678.0,1
11468.0,-0.2385861624274248,1024.0,-0.12026986904640215,3535,0.20776618112802436,4935,0.34213435377768997,13744.0,-0.18127273105859662,4544.0,3847.0,1
6392.0,-0.3096323119895849,1771.0,-0.11977617929911624,776,-0.1943259559794322,1783,-0.22056536827504675,4602.0,-0.2183977577635513,2695.0,3435.0,1
46335.0,-0.0239262778218876,5175.0,-0.1117159130200105,255,-0.2788689065380005,387,-0.48167378948561035,40970.0,-0.08677769439187084,37834.0,48646.0,1
12637.0,-0.28934977164069337,926.0,-0.12320451088596492,0,-0.29411595889307174,289,-0.4899180233315612,2873.0,-0.2242172219228029,1318.0,1520.0,1
3519.0,-0.31885254084959075,636.0,-0.12372319758248049,201,-0.2818987695059954,342,-0.48511914094361963,822.0,-0.2243832551370469,1523.0,4104.0,1
243732.0,1.2466886603340857,25051.0,-0.07433297544704517,1120,-0.1861160047113169,528,-0.480812451621108,518251.0,1.5850743858962584,173874.0,205831.0,1
3201.0,-0.30684464875724815,657.0,-0.12234711552738738,94,-0.2951910715591345,58,-0.5033302843645261,6866.0,-0.20480793917768125,235.0,2903.0,1
100178.0,0.3433876159009076,7787.0,-0.10771640114326395,340,-0.26499017939428177,390,-0.48351951348097244,163878.0,0.3625967343999451,64025.0,84342.0,1
2405.0,-0.3179429512033588,362.0,-0.12224837757793021,167,-0.29108609592507684,314,-0.48105854815382293,699.0,-0.2222026855899759,121.0,2997.0,1
11349.0,-0.23906058868175442,2324.0,-0.1190400191443026,2878,0.11462232924095432,3714,0.1432883553440091,11766.0,-0.19216174269276454,1751.0,4865.0,1
5444.0,-0.3127046309745194,1745.0,-0.1223608638494637,2522,0.054513757456538726,3235,0.07105902299217083,10036.0,-0.19889162231012064,3181.0,4214.0,1
8444.0,-0.24602974676259634,1663.0,-0.12017113109694497,3771,0.23425304771920585,4659,0.2783953518045175,14032.0,-0.18287218435581365,1831.0,4562.0,1
8059.0,-0.3085362237468234,494.0,-0.12157720949111367,1825,-0.04361470770045845,3042,-0.014336473859917353,7358.0,-0.21238458818768172,2815.0,2040.0,1
4323.0,-0.31793640739295426,1395.0,-0.12052858747092919,779,-0.06775587392932131,1098,-0.08238216515560146,3223.0,-0.20960353184909497,1614.0,1701.0,1
981.0,-0.327454379626367,350.0,-0.12116850937120864,794,-0.05006538369683476,962,-0.09751710191757097,2621.0,-0.2105084128667247,65.0,47.0,1
3469.0,-0.31969342048657495,628.0,-0.12276581442698428,1039,-0.14320923558390478,2625,-0.010521977602835604,8023.0,-0.2013212416785576,1426.0,4460.0,1
33558.0,-0.10803060104631997,8886.0,-0.10240204973703698,1921,-0.07303369974453829,3968,0.17343518060159066,11665.0,-0.191265163335847,4899.0,6992.0,1
807.0,-0.328975815545424,475.0,-0.12226837513731394,518,-0.16656850169199475,654,-0.30226941713641065,2546.0,-0.22100171200694443,627.0,1186.0,1
6375.0,-0.28058760950900574,1048.0,-0.1233407442592666,3055,0.10005943949155932,3774,0.12224710179688075,10353.0,-0.19952254852424778,2091.0,2523.0,1
75051.0,0.11137354610251338,11813.0,-0.09109717944792059,92,-0.28678564526082595,89,-0.49619348491579246,55483.0,-0.05087024459137202,42267.0,48249.0,1
10210.0,-0.23458789427024698,696.0,-0.12259833486714553,2836,0.07347483538528121,4199,0.19853702693851574,13652.0,-0.18345883504614238,3429.0,5189.0,1
4995.0,-0.2934985474371758,962.0,-0.12294579246143789,2884,0.06057348339252859,3434,0.06392222354343724,10665.0,-0.1993703514111908,1207.0,2032.0,1
11483.0,-0.2400388883372341,1295.0,-0.1202586204192488,6445,0.6606818260857185,8379,1.0654120634269326,24316.0,-0.1401933466343977,4338.0,6524.0,1
15395.0,-0.21688361522074676,8993.0,-0.10192585785421185,176,-0.2788689065380005,333,-0.4878262028034841,26317.0,-0.14288585192538764,19167.0,24133.0,1
889.0,-0.32896599982981717,0.0,-0.12489055511150589,1803,0.011606988329126612,2181,-0.03131713461724901,5764.0,-0.2084883420934229,0.0,712.0,1
9794.0,-0.27409287768249346,2719.0,-0.11808763537865231,1392,-0.08046175089188069,1965,-0.16273268308703312,5767.0,-0.21307639324703165,886.0,1671.0,1
19313.0,-0.20559881417810652,4426.0,-0.11414686633259549,16,-0.28668790774572933,0,-0.5005001742383042,24092.0,-0.14909549413811263,15929.0,25542.0,1
8882.0,-0.26968889328023377,4583.0,-0.11120097586587938,1591,-0.12112055717207076,2862,-0.01322903946270007,8385.0,-0.20539458986801,1495.0,3329.0,1
27558.0,-0.14440109927478875,2379.0,-0.1183426042607949,281,-0.27320013066239707,38,-0.5062834427571055,31733.0,-0.12203761465681812,21689.0,34327.0,1
2020.0,-0.3255828498506667,865.0,-0.12282705695259696,1692,-0.08075496343717053,2958,-0.03857698233234008,12050.0,-0.19056782383602228,1386.0,4877.0,1
32961.0,-0.14859895364930525,11379.0,-0.09895372059080458,536,-0.2733956056925903,131,-0.49631653318214997,33720.0,-0.1262714616200397,33564.0,32727.0,1
4460.0,-0.3036021907017954,751.0,-0.12335074303895847,4068,0.2849788180543468,4890,0.33918119538511055,11287.0,-0.19319668306155202,1018.0,2446.0,1
