FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Row_Status
5670.0,-0.34601895734274224,2487.0,-0.11034849304964406,2548,0.4392919342757633,3532,0.2874963187923042,9952.0,-0.20509439353379538,1675.0,3873.0,1
6023.0,-0.37800786611676757,7695.0,-0.09397197178941952,1306,-0.32565033225844975,2057,-0.16603640563371277,5551.0,-0.2367963096894219,1249.0,2298.0,1
45938.0,0.021489690030791805,16859.0,-0.05395724600662814,79,-0.8105459385021713,166,-0.6414862617185947,46032.0,-0.025637067054516387,38917.0,41900.0,1
1166.0,-0.39581101747511366,3197.0,-0.0900392587986129,1465,1.1575597574282277,1523,0.45654033426018326,3533.0,-0.21808580174422895,706.0,1968.0,1
670.0,-0.410548930599588,702.0,-0.1090948883756023,3370,2.1152501882981807,3744,1.0200927195876313,6764.0,-0.1997455952207111,656.0,1127.0,1
4833.0,-0.3546779973367436,762.0,-0.11432942160483689,1610,0.06805724108204068,2341,-0.0291085830916952,7388.0,-0.22115107462365033,494.0,1112.0,1
10276.0,-0.33898542247276375,3594.0,-0.11208425336754804,2616,0.4220051033936342,4235,0.3575877398399614,10693.0,-0.2133078847895604,4136.0,3646.0,1
4972.0,-0.3461995690231892,3762.0,-0.10221683329946343,1676,0.0002064298696839338,2401,0.04553986533057745,6997.0,-0.22255513418083495,237.0,1822.0,1
42169.0,-0.14533357869750171,10943.0,-0.08622603655432866,264,-0.8446874294943763,188,-0.6221731457023671,51103.0,-0.0025189435763299595,32179.0,38285.0,1
24477.0,-0.28397626494233785,5522.0,-0.10555628521543088,5,-0.8641351142367715,32,-0.6184841235419641,25167.0,-0.14020421246054104,11119.0,18908.0,1
35743.0,-0.19135859520912168,8745.0,-0.0913305973926091,300,-0.7980129861126277,48,-0.6347592213084481,35799.0,-0.08089426808891795,30581.0,33562.0,1
17190.0,-0.2539328019834129,3462.0,-0.10870287487385345,4136,0.9540073237911575,5696,0.7238859402376249,17318.0,-0.17272387758903335,2183.0,3730.0,1
23209.0,52636.0,13766.0,29163.0,116,74.0,0,0.0,35506.0,37600.0,15749.0,29422.0,0
181845.0,1.0688774662777916,66696.0,0.10453569944642832,272,-0.7945556199362018,96,-0.6252111639521108,196017.0,0.6740783276523276,73190.0,71542.0,1
37977.0,-0.14217029412281587,4696.0,-0.10349769024902786,331,-0.7846156921789776,0,-0.6399672525937229,32545.0,-0.10882116697357919,33754.0,32284.0,1
1985.0,-0.3926270915655196,633.0,-0.1141512336494965,755,-0.11993704476111337,796,-0.19945460638089296,2118.0,-0.23787635550264083,1509.0,2350.0,1
53456.0,0.04532527151606735,12693.0,-0.07368998981391099,152,-0.7820226675466583,365,-0.6252111639521108,55328.0,0.010518752311812998,33643.0,39624.0,1
12229.0,-0.3683890040495336,4155.0,-0.10713482086685806,1507,-0.2310049331787929,2767,-0.02802357657392961,7390.0,-0.23203382196065644,3035.0,2931.0,1
26984.0,-0.1776888711661481,1707.0,-0.11240079902938803,381,-0.8036312061493196,244,-0.6330232108800231,26259.0,-0.13842985148168135,18878.0,18088.0,1
11217.0,-0.3155059040146551,1282.0,-0.11496880191517592,2404,0.19079374034515736,6323,0.8501806989055396,17610.0,-0.18126652566406506,6903.0,8199.0,1
33904.0,-0.2564252431735814,5990.0,-0.10679521558726815,1712,-0.25996037490635915,3882,0.22131092120860318,11201.0,-0.2158588501388775,6143.0,4892.0,1
24152.0,-0.24889631626580544,14032.0,-0.09415644873141897,2700,0.33686746129914835,3594,0.1796466709264045,9878.0,-0.21838924318699046,3283.0,2983.0,1
20916.0,-0.1937117073886596,24754.0,-0.02884322594806566,1320,-0.4254817806027454,3515,0.16467358098123933,8804.0,-0.22168081137965773,2855.0,3680.0,1
5175.0,-0.3691578937748651,612.0,-0.11350346802361205,2769,0.29840426258641106,2789,0.042718848384386915,7092.0,-0.22966286424687582,874.0,1099.0,1
119290.0,0.49876895644627894,35251.0,-0.0002870338581042144,619,-0.7699218859291679,165,-0.6282491822018544,81820.0,0.11041270388396317,71295.0,64186.0,1
54768.0,0.027805938512709377,14372.0,-0.07034844156905719,421,-0.7867765460392437,278,-0.6269471743805358,51978.0,-0.013453121666346499,42612.0,50230.0,1
56419.0,0.09217078109028934,6256.0,-0.10055234816369561,807,-0.7651680074365824,5,-0.6343252187013418,55007.0,0.00219211339942505,38213.0,46213.0,1
74253.0,0.12215232004448959,13080.0,-0.07753046433371788,76,-0.8222145493476084,0,-0.6332402121835762,80407.0,0.12031826691377119,67192.0,56454.0,1
36187.0,-0.10075861596318474,7715.0,-0.09375395358523833,260,-0.8477126248987489,244,-0.6156631065957736,34346.0,-0.09010551595308522,15856.0,22005.0,1
1218.0,-0.41035283791795985,964.0,-0.11577588853642355,100,-0.9099452160744137,548,-0.5455716855481164,20854.0,-0.15237272862280782,27320.0,31935.0,1
10546.0,-0.3326072499861215,1920.0,-0.11241966598936524,195,-0.8399335510017908,497,-0.5896229501693995,13010.0,-0.20001817821166634,49183.0,22623.0,1
2623.0,-0.3805777123128419,672.0,-0.115931016874014,173,-0.8956835805966572,484,-0.49327437139181496,4595.0,-0.23381846909011822,38844.0,56748.0,1
694834.0,2.6235776512317495,227683.0,0.3812008005523416,10862,2.32269215888373,164640,24.518946880051246,1830060.0,5.881853515982031,1513700.0,847327.0,1
7798.0,-0.3441921992033641,1738.0,-0.11188510212334409,2790,0.3334100951227225,3993,0.27469324188267025,10131.0,-0.21320502328353955,2043.0,3594.0,1
1113000.0,2.3124766118286737,331842.0,0.25215708329483494,897,-0.7915304245318293,573,-0.6013410205612678,235206.0,0.021586650359656647,602501.0,174157.0,1
21103.0,-0.18058897872075405,10252.0,-0.0822954198924084,110,-0.8857436528394329,143,-0.6178331196313048,22753.0,-0.14762052704464446,12247.0,21904.0,1
59316.0,0.05953167026665483,16863.0,-0.0589276417961817,5,-0.8645672850088247,311,-0.6178331196313048,67677.0,0.057819615855501674,44609.0,49074.0,1
6115.0,-0.3554314060608939,2717.0,-0.11009902991216752,1257,-0.35590228630217574,2686,0.0974031768797727,6357.0,-0.228479956927636,2040.0,2708.0,1
49531.0,-0.00836800091395907,12045.0,-0.08032067808145968,65,-0.8943870682804975,0,-0.6406182565043822,66266.0,0.07783132185185838,37371.0,49316.0,1
26607.0,-0.12847476841120703,4416.0,-0.10595249137495245,420,-0.7993094984287874,199,-0.6295511900231732,39724.0,-0.06843773970979279,25263.0,29478.0,1
6711.0,-0.36575723384873465,3342.0,-0.10982231449916834,3143,0.5486311396052299,4229,0.3467376746623055,11778.0,-0.20136052086523845,1784.0,2044.0,1
33085.0,-0.12233397127600938,4650.0,-0.09772230416711303,346,-0.7923947660759357,49,-0.6462602903967632,23985.0,-0.14104767680991204,14921.0,17149.0,1
50400.0,-0.03492307827339357,3362.0,-0.11016191977875825,257,-0.8006060107449471,57,-0.6349762226120012,38056.0,-0.0791610517124666,30757.0,31286.0,1
31675.0,-0.12484189346735901,28482.0,-0.023139115048286987,4092,0.784164210374239,5568,0.5008086001850194,16444.0,-0.18873941407647996,4991.0,4429.0,1
10483.0,-0.28298032053301586,4468.0,-0.1034264150668917,5667,1.7548197644057886,7021,1.0632759789947017,16176.0,-0.17562457205882134,1760.0,2576.0,1
2391.0,-0.3571549575257309,130.0,-0.11811329524471213,2081,0.6130245846411608,2966,0.46652239422362674,6755.0,-0.21039690416917028,0.0,362.0,1
41067.0,-0.03692528775949162,32243.0,-0.01100975611182267,575,-0.7526350550470388,81,-0.6271641756840889,40699.0,-0.06792857525498958,30938.0,33178.0,1
53872.0,-0.04423232031700411,7168.0,-0.10093388002101267,160,-0.8248075739799278,275,-0.6152291039886674,42886.0,-0.059951665463072526,38328.0,30806.0,1
4166.0,-0.3687450670767006,2337.0,-0.10905296179787514,2219,0.17091388483070888,3239,0.11281026943204409,8347.0,-0.2253478240693011,155.0,1292.0,1
113748.0,0.4861416198161709,16818.0,-0.06666309538684076,314,-0.8088172554139583,357,-0.6171821157206454,156783.0,0.4070241426456912,55454.0,51039.0,1
1589.0,-0.38711069481129584,897.0,-0.1134615414458849,2787,1.0901411169879243,3624,0.6618235674214331,8390.0,-0.19832610643762333,1086.0,2861.0,1
5089.0,-0.38443248160695337,370.0,-0.1169414473972383,5362,1.423776953013016,7439,1.0917031497601601,23122.0,-0.15273788696918184,3552.0,4756.0,1
4445.0,-0.3581251002664176,1205.0,-0.11578637018085533,1431,0.13720456461055713,2063,0.1093382485751942,5502.0,-0.22559983475905218,1733.0,1527.0,1
