FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Row_Status
26789.0,-0.0578698847544864,4715.0,-0.08408844390962977,243,-0.8128064517360879,74.0,-0.32446958120004826,31930.0,-0.08615881590499302,24932.0,39367.0,1
2458.0,-0.3719098710482791,444.0,-0.10634531063413655,1641,-0.12304568805408256,2421.0,-0.03790327450415404,6246.0,-0.24474582760810756,2342.0,2099.0,1
7650.0,-0.32837849026663257,1373.0,-0.10375643311931808,4288,0.797430214387591,5260.0,0.2731198388255864,13136.0,-0.20247905175331796,889.0,3509.0,1
11519.0,-0.3131420085801781,291.0,-0.10604195901522524,963,-0.4169541206342283,2306.0,-0.014542807478031997,6447.0,-0.23547084885941139,3613.0,4821.0,1
1479.0,-0.3656647576844821,770.0,-0.10373565561117347,1438,-0.06968908619622648,2069.0,0.009239328627983944,5855.0,-0.23203603295247707,668.0,1609.0,1
10872.0,-0.28573428440817505,1390.0,-0.10210669897263601,1698,-0.19905648958343058,2685.0,-0.033011913177384805,7640.0,-0.23618806183997865,2584.0,3001.0,1
7667.0,-0.30219686177499194,1325.0,-0.10307077535054594,2601,0.1914303731751809,3554.0,0.08648910406454637,11355.0,-0.212256567488398,1625.0,2522.0,1
14296.0,-0.21570229089284237,5002.0,-0.08740453420950961,125,-0.8259220410195832,121.0,-0.327252597127348,18733.0,-0.16273471883018323,10524.0,19826.0,1
36957.0,-0.07999443241761087,1278.0,-0.09885086344637554,370,-0.7952196388332191,177.0,-0.3217708990887273,33130.0,-0.077952338127346,34956.0,37430.0,1
5057.0,-0.3291859191293102,1191.0,-0.10312479687172192,1616,-0.14927686662107326,2497.0,-0.02516886829135827,7631.0,-0.23396811690012762,1964.0,2086.0,1
228079.0,2.0311629005302616,131074.0,0.3467103322099102,394,-0.6700253774907635,253.0,-0.3082774885321225,161183.0,0.709210863544614,96748.0,133914.0,1
1996.0,-0.3846243835710614,226.0,-0.10762104963421563,89,-0.8542397906089482,57.0,-0.31873488171349124,1003.0,-0.2626419991232141,836.0,2896.0,1
120796.0,0.7823146722782273,30674.0,0.01227140561263042,439,-0.8002870256018424,494.0,-0.3114821735393162,15352.0,-0.18973510409861286,13498.0,16020.0,1
10891.0,-0.30376187821252765,889.0,-0.10415536127569461,5650,1.4192283790551206,6921.0,0.49179742365856277,16179.0,-0.18467070223583187,1749.0,2929.0,1
13635.0,-0.3019576235934578,4118.0,-0.0894428077584959,3588,0.6400431429856468,4322.0,0.19924341602817514,13760.0,-0.19507272995399086,2462.0,2698.0,1
34254.0,82669.0,19853.0,41626.0,100,349.0,0.0,0.0,29967.0,36920.0,18857.0,30424.0,0
