tSNE1,tSNE2
85.010155,66.34386
59.81002,27.82695
92.016106,40.01309
72.11114,49.94678
86.65407,39.08166
94.27252,45.161674
87.67516,66.08925
88.213264,67.31121
94.640015,44.528217
64.27008,30.019361
34.67334,-2.6219988
91.204956,20.942968
87.89124,66.44859
87.09011,5.737072
69.03685,46.15297
88.10697,68.00456
51.951385,25.23881
68.05709,23.54064
76.870445,20.575455
53.41616,25.694271
75.290634,39.241398
69.872246,40.824764
67.06048,24.422146
84.08514,69.20583
76.21951,38.65756
82.34696,70.86314
67.00587,46.101315
53.786144,25.825846
84.52283,69.89518
60.795094,27.327105
85.962296,65.427826
90.06077,33.33996
59.65653,27.904911
83.13006,69.69373
62.132404,43.769596
67.291626,24.249313
82.536415,71.2201
76.20496,38.5808
66.31654,47.032906
51.858173,25.215572
75.57074,33.877777
52.59667,25.433262
55.16436,26.388914
93.975395,44.726192
103.81601,22.148605
85.65104,58.11377
84.282265,12.873107
95.18055,46.08413
71.880135,48.927387
86.011734,60.10804
88.279106,67.66321
88.69283,67.3903
85.810196,58.30388
85.92022,64.1388
53.76371,25.819866
85.83731,58.402683
85.18509,66.059235
64.97937,29.94043
62.965775,27.436075
85.59696,65.61661
60.016857,27.947306
90.00038,33.242302
60.47524,27.427206
91.26979,34.04934
62.971752,27.402029
85.997986,65.12465
64.195564,29.480272
91.17166,34.182606
62.535034,44.101425
85.70399,58.330517
85.64094,69.9875
70.468544,46.97749
60.537674,28.010876
63.846016,28.707966
85.97616,58.609676
51.785896,25.197905
92.58125,42.282932
71.279396,46.54389
85.99309,25.781898
64.1915,29.44572
82.40024,70.89568
69.35715,40.80678
86.85015,59.943474
84.33465,68.860725
86.40003,69.673004
86.20609,69.83193
55.060917,26.34536
86.17678,60.693256
82.99622,71.9965
68.38351,23.180212
91.26355,34.004208
64.38031,29.788677
70.717064,46.798042
84.33103,69.32315
84.886345,66.695114
26.565626,-16.316828
86.17898,60.3545
91.71914,-4.3702574
71.25029,0.036923587
98.82614,-8.609815
88.9201,25.892982
104.023834,-2.7134457
96.7302,18.526821
93.46769,-1.2583832
106.60047,17.235453
94.741425,17.821205
103.56046,-2.5442798
87.3508,8.803805
105.874054,0.05878836
102.87797,-4.721906
96.444885,17.82607
97.6173,18.266768
101.703316,-1.7857864
98.58709,1.5243751
83.63385,0.9857922
105.55169,18.642216
88.54596,-8.409564
108.242424,22.957415
112.32615,6.5064516
104.027534,32.343224
101.01955,-0.8805947
73.082115,2.864227
73.99058,7.079124
84.27328,25.505228
72.5242,12.040792
111.144394,25.43432
87.57424,9.338068
87.28894,-1.1243612
70.341934,5.078339
87.41389,9.442266
77.51304,-0.12502855
110.5359,24.72385
74.81223,-4.8818803
118.02726,14.952032
103.72346,32.426476
88.857605,-4.4333577
107.82153,13.766805
86.60203,4.883219
89.33104,29.873701
85.04498,2.7356408
86.6499,4.7729645
110.29875,5.0276685
82.909225,2.0863953
74.34861,-5.523589
99.88802,-9.205906
110.63637,6.5842695
118.520065,14.913647
83.24931,25.618484
118.388016,14.920311
