tSNE1,tSNE2
111.54358,44.217167
61.139526,21.85224
59.034283,18.407454
104.79046,40.373936
82.312035,1.4394201
111.52973,44.20678
13.731926,117.0833
104.84073,40.394455
111.62498,44.261456
6.668139,117.948715
103.62311,39.889587
61.810074,22.660257
9.137731,117.33899
9.701933,116.8097
59.36673,20.507875
58.64904,18.808693
108.26793,41.930515
104.5083,40.254898
99.16017,30.610094
103.59254,39.876408
111.53055,44.208153
60.27638,19.759071
98.42012,31.905487
107.98192,41.78787
95.6949,0.59696805
108.002205,41.79876
104.78696,40.371765
111.54784,44.21693
59.4102,20.538136
58.67302,19.125315
105.192024,40.53948
61.884922,22.739897
108.17252,41.881264
61.728355,22.554512
58.274715,19.137194
106.78098,41.216778
106.16403,40.953815
58.542812,19.042982
7.6166306,117.64861
103.678535,39.90999
61.268665,21.997318
12.4610405,116.99173
60.34605,19.792341
8.287763,117.70742
105.7195,21.689499
106.86863,41.260956
61.179276,21.841198
95.65061,0.5172833
106.4333,41.07171
61.32188,22.07453
11.298298,116.16736
58.84951,18.56424
61.0968,21.808907
4.3273582,118.1018
77.08557,21.037666
53.443497,3.6898367
60.699764,-5.629117
76.797615,18.040121
60.05873,-6.020867
68.49676,17.094376
78.588005,22.934921
72.33445,15.811932
100.621925,29.356218
65.55202,12.6509905
67.35466,-4.757061
82.339195,11.171633
104.48138,20.624023
76.505615,23.896358
64.8715,12.500237
59.90943,-1.1085336
74.149536,18.576416
64.90888,6.75387
60.885334,7.1034436
79.62095,20.222223
60.297123,-7.351512
60.95225,6.734955
57.521877,1.3951694
61.407158,-5.6639576
108.280525,11.88093
57.829235,2.5999188
61.683414,0.37118763
95.75914,21.552813
101.053665,28.919764
61.723812,12.115326
59.827953,-7.3959537
61.433086,-7.33363
69.15816,17.647413
59.422237,8.735775
58.85869,7.831288
64.82961,12.017189
76.90602,15.631903
74.71209,19.668741
68.69781,-4.742962
60.157803,-1.1901143
57.754814,1.9235855
79.90694,21.541592
72.34567,15.962066
81.78706,21.334055
96.91405,22.091967
79.51167,20.476608
64.73556,-9.055275
59.475548,-0.67726785
60.36299,9.540421
69.221725,-4.11994
77.79011,22.434797
63.01865,5.1522202
72.316345,15.762413
102.04722,12.180942
62.274387,1.2261416
57.428772,1.0856732
53.769043,4.6542244
104.64316,17.789894
59.715508,-0.18751246
91.667244,13.713732
82.12548,11.258185
62.943996,5.4230576
79.43421,20.44671
77.079155,17.77986
61.999073,0.20064034
96.95136,21.894766
63.55306,6.2433715
100.35984,29.527237
60.709866,2.1747026
92.55649,12.212642
65.65335,-4.6350503
63.92637,6.9953895
102.00228,12.175738
104.577644,17.917171
77.37955,17.446445
64.080765,-4.4653583
76.20042,22.55975
95.56982,22.334036
64.73517,9.413014
69.63406,19.29522
98.315704,30.395668
77.26056,21.21672
61.981003,0.7065089
59.72075,8.454699
76.653305,20.93989
59.731003,-7.4571557
78.06334,22.532202
58.87025,5.3613834
98.38496,10.499092
60.42078,2.2711651
105.53483,21.509485
101.33191,28.60893
74.012344,18.33942
60.83624,-5.863489
81.77172,21.330292
71.96723,16.595234
53.556416,4.083199
68.241,17.198994
94.43609,11.963979
53.6954,4.4713836
62.251015,1.4714795
57.43884,1.1696589
96.83972,10.576645
62.807713,11.185733
64.04165,7.3866696
77.54207,21.633278
65.39598,11.731061
60.62316,8.578622
63.89692,4.522102
92.05557,24.425146
78.02617,22.431717
74.59035,14.816292
66.486626,-4.705853
73.08271,15.29522
77.86172,23.975636
95.67626,22.396523
73.2223,17.553427
65.09407,6.7744775
104.565056,12.39101
58.693016,1.4853078
64.78572,9.624798
