tSNE1,tSNE2
80.38597,34.95975
95.74031,42.96324
97.12943,40.719326
75.8437,28.96678
96.18719,48.18124
95.63943,26.336536
79.889595,33.71491
96.48748,41.722687
78.32756,31.243206
94.060616,23.847178
74.24493,27.678476
96.2322,48.34557
87.716606,44.538857
76.24857,29.176754
84.7023,38.395947
87.87562,25.017563
79.69328,37.210476
79.67395,37.18072
88.025635,44.558254
96.21368,48.208904
80.67519,41.390324
70.951385,6.365876
76.61247,29.55352
82.53441,35.39486
69.47945,7.4809813
81.37718,36.88692
84.92111,29.988283
101.03408,12.7958355
81.58477,37.003716
92.663574,44.95659
84.974884,29.727161
78.22504,31.01625
83.52008,38.42539
85.38295,27.965975
83.57312,38.344894
93.68059,35.26268
86.748245,44.27411
99.04667,53.164043
91.55861,47.232555
76.27316,29.284344
85.39004,27.990393
92.105736,45.395924
88.60744,43.469418
84.94023,29.881308
85.106255,38.384056
75.255875,28.70938
96.461876,41.76425
74.47779,27.878408
80.25099,34.34751
78.31982,31.237974
80.621414,41.30996
91.63704,47.688503
84.28808,39.35143
94.342606,23.603128
82.22398,35.58711
84.4445,37.951546
93.719986,35.294506
95.71033,43.03744
87.91836,24.890522
78.12707,30.483799
97.13205,40.71391
96.39883,25.352451
78.16594,30.448996
75.29655,28.640688
93.867714,35.420357
95.27225,24.922934
74.156784,27.59531
96.49463,46.92975
79.827576,33.49836
74.26238,27.690033
82.87136,37.75213
92.01451,45.598164
80.29245,34.630554
84.30166,37.584072
74.942505,28.285202
79.808464,33.480427
95.739426,43.076015
96.68229,46.058456
95.80131,43.200603
93.69633,35.276096
77.05242,29.142014
91.25362,47.054688
79.820656,37.242397
93.03939,23.97413
84.542244,38.024326
97.12549,40.725662
91.99433,45.30122
92.79223,47.852707
88.64155,43.397045
78.19301,28.826822
79.83082,33.110783
102.26499,25.995516
96.63377,46.0619
81.660385,37.106827
83.083275,38.06851
81.45753,37.040318
101.09051,12.765315
86.229515,-2.3445911
86.227684,-2.538315
80.42353,-13.967051
80.741035,-2.6614797
93.72898,24.036106
91.26928,2.7348158
100.439575,-7.1963115
96.53864,-4.1876965
92.7021,8.938298
103.40166,4.363349
92.98979,-5.4659576
91.45887,2.9761186
90.27355,7.057751
83.67936,16.317175
100.31927,-1.4870231
80.234184,1.6277741
105.46351,8.687658
98.62655,2.231678
92.64659,9.09984
80.74012,-2.1951277
105.56441,15.643964
80.72472,4.4498744
77.63328,-5.0603976
100.26672,-9.414536
109.09279,5.642316
109.27195,13.270331
108.35546,5.96024
79.5213,4.425802
89.04912,-0.70874816
94.912926,-7.0355554
83.4417,-7.996166
88.174324,23.465807
104.60302,15.667931
90.15073,7.062587
91.14508,10.360452
88.50036,0.4509244
78.32389,-12.043429
94.51657,4.474055
102.915306,11.38903
91.053566,-7.97856
100.10717,0.92633486
74.09557,-4.7751207
95.66162,25.145063
109.737625,13.20835
82.854614,0.28774002
79.34641,-2.8616915
92.54509,10.289891
87.25379,21.738346
98.28387,-15.555948
113.560265,8.5495
108.87881,8.540458
100.755135,-5.610416
98.36361,-3.288467
87.70834,10.768778
87.74317,20.84251
93.975296,3.5979722
81.03297,16.359808
87.69984,10.094048
81.3326,16.23271
103.80649,9.254279
79.311775,-13.029688
90.546036,-0.18053019
87.26605,-5.509407
89.16703,-0.17845148
90.48287,10.6632805
97.209946,-3.9377358
88.09772,1.2652881
86.905106,23.320135
99.74495,-11.463647
102.98872,9.379941
111.2785,13.501468
94.86993,-7.0475335
101.83287,3.6076021
92.640816,10.267654
81.75484,4.673817
100.189705,-9.736452
88.16602,-6.0383325
93.90057,-4.7346644
77.10554,9.448925
90.88918,10.435284
100.38947,-7.713258
107.28368,9.539424
97.061,-3.9954364
94.44395,23.442772
88.53079,-6.2853923
91.26805,-5.7650986
103.069145,11.8482895
103.412346,9.338238
108.71105,8.71034
106.39058,8.431401
91.22096,3.0189755
100.08031,5.062501
108.3563,8.426167
99.43405,-2.684657
98.48598,25.054914
95.67686,26.585161
76.931694,9.391942
100.59456,-1.0425787
89.3761,3.380987
94.50976,23.037992
101.530594,3.3396516
82.48152,5.7011623
71.203545,6.012061
85.231445,-5.984103
103.91993,7.8273306
100.40366,-7.3495874
90.28416,-7.1137943
76.476,3.5468776
71.30345,5.8946304
75.41097,8.873877
100.8338,3.3357832
101.29385,3.3956163
97.724075,26.694578
92.63254,9.025347
98.026276,-3.4572432
108.34954,5.856671
81.91354,0.29496244
99.99036,-1.9536335
106.03908,8.555157
80.17256,12.493976
100.22763,-1.6149541
90.76888,9.79643
104.938194,8.530079
77.90646,-5.8901434
77.891556,9.827295
79.41314,-2.8902845
90.547005,8.147117
103.006676,9.27161
89.20683,0.094893515
105.58048,15.512699
90.33509,-6.519602
76.91428,3.3669698
80.96183,-1.760049
100.97327,3.3894026
90.43151,-0.19823152
87.301094,21.701271
75.32631,8.844865
105.30602,8.779177
105.22309,15.677484
87.67702,10.1896715
94.56694,4.4593153
84.42458,16.660946
108.76083,10.310868
93.265076,-5.3282976
77.04724,-10.15054
89.32506,3.2111554
90.6566,-9.447244
90.55034,-9.296953
105.80674,12.044552
89.01445,-9.856482
84.88194,0.44743106
104.28219,8.009585
77.907425,-5.87975
85.06795,0.42954907
76.84383,-11.733149
79.53842,4.39674
100.11009,4.95094
77.73677,-12.101866
85.39738,-6.241066
108.28593,5.841119
82.0198,12.391107
81.668274,15.954446
113.477776,8.385976
86.92765,22.157623
87.39718,21.622757
100.203156,4.8071632
94.59649,4.5533166
95.251595,2.9064708
108.591606,5.803491
100.770164,-5.5059123
82.5756,2.2133782
78.15348,9.879513
77.4132,3.4466686
105.53155,15.131932
77.44568,-9.02217
86.05239,-6.0341706
83.49203,0.4473023
99.11159,-3.0906956
113.47357,8.37641
99.1108,1.9800308
88.16243,0.8700591
89.53349,-6.1997747
105.59728,12.010156
113.4977,8.409035
109.18532,8.676167
90.970276,-8.076509
100.3091,-7.5194893
78.326866,-12.177925
85.56304,-6.0373874
87.5821,-5.574976
96.0942,28.146103
95.100624,24.341427
82.25897,5.761985
99.94558,1.242364
102.61136,3.8081353
90.72807,6.8720393
77.32333,3.46593
95.78039,-4.41915
89.061584,3.1829898
94.10747,3.6578534
80.06264,-1.2213637
105.108345,15.691675
92.35811,-5.790008
85.01767,21.964365
90.96398,-6.4834085
88.37171,23.404352
76.66472,-10.512342
95.96931,25.203524
74.38713,-3.949283
77.65524,-12.333172
89.399315,-0.1658381
108.794426,9.862803
90.22274,-6.5871387
91.66695,10.396077
99.725235,-11.544413
80.22076,1.6567816
78.28829,-1.7121669
75.97215,-10.351496
98.99511,2.2300448
82.881836,0.19870554
82.28512,0.79200953
92.374756,3.4371905
80.03458,-1.5090325
78.10209,-1.5547384
82.642456,5.8363614
80.44645,12.920332
88.9879,3.4580202
82.53435,21.5337
90.47041,7.3850274
77.43372,-9.184393
75.63614,8.927032
86.875496,23.139011
95.72046,27.033316
89.19839,-9.729751
106.38358,11.703623
82.20067,4.33103
100.40388,4.6315637
95.44616,-4.4955373
82.46272,1.9397951
87.551506,21.313997
90.9927,6.437436
98.08174,-3.4254763
84.63616,16.629358
94.32312,4.097517
100.05625,0.7874855
107.211914,9.635626
88.48792,-6.4800563
104.82805,23.07423
83.679146,16.317232
108.23399,33.536045
105.22515,23.147871
103.48263,31.394592
103.35023,31.33456
104.12791,27.288536
102.57076,26.186708
110.68224,29.4097
105.30728,23.424814
111.28752,13.590867
111.27486,13.500912
110.514885,29.251305
108.320885,28.3978
108.359406,27.623089
109.18891,22.400232
111.191826,13.535089
103.11024,27.180405
103.612274,27.153584
98.48598,25.054914
102.96404,27.329842
109.75596,29.257729
109.37088,13.294862
97.72316,26.69548
108.82366,33.38119
104.477104,24.365906
105.22356,15.67757
109.237915,22.370708
109.40566,33.546104
107.65602,28.714497
104.0005,31.361658
103.06878,31.25864
101.88869,30.2157
109.14864,22.21673
102.3784,12.107273
107.6458,33.766026
109.312935,20.853516
103.21761,12.263161
109.04815,28.536734
102.92831,27.282366
108.01043,28.661219
110.55244,29.3321
108.25885,28.77926
107.91911,33.645004
104.67404,31.82974
104.51893,22.897142
109.05422,32.516495
108.611786,28.573889
108.759224,33.207573
99.471794,25.129389
105.21634,32.21423
108.70022,33.31413
108.80289,21.675852
108.97495,20.99677
103.19936,26.561035
110.3218,13.161351
103.536476,31.402113
109.307465,20.843586
104.94286,23.264202
103.05739,27.82949
109.573265,21.379438
109.02623,28.595316
2.463904,-30.508587
66.388794,-79.48119
-23.486658,-20.682032
30.231337,-37.751514
4.510504,-15.508328
41.15592,-33.392746
-22.607157,-36.76728
51.161533,-23.03592
12.1377945,-9.010355
87.42296,-68.72658
-16.127232,-18.071405
66.16378,-76.12864
-34.087673,-44.634407
-4.3251877,-13.321941
28.395924,-39.265102
29.124454,-28.064884
10.990156,-31.584787
-23.021353,-36.19121
12.01909,-83.998405
-28.542837,-34.78943
-39.90681,-45.079956
-36.378746,-48.949093
-20.002687,-48.313717
40.501865,-72.426285
46.215443,-8.026153
28.798367,-5.210864
7.890368,-27.577745
31.646137,-88.262024
11.162832,-22.987165
19.202583,-45.629333
59.782692,-77.96278
24.060547,-58.275597
69.6371,-68.037964
25.459702,-35.498783
71.71196,-25.631218
45.476196,-32.435204
49.268024,-15.89285
65.38623,-85.98887
-8.577621,-23.60579
82.613945,-63.405804
47.48314,-22.54775
60.379333,-34.8443
-10.179423,-47.772564
-4.6458597,-10.836773
-24.137527,-36.33686
10.761194,-29.313206
22.355589,-16.803469
4.436247,-15.630663
0.62923133,-28.472305
-27.753284,-20.575855
-0.15096933,-108.961655
-21.421741,-71.0733
40.373394,-58.331882
-30.014818,-91.86974
-32.367313,-71.61202
26.32093,-34.886723
55.924442,-34.197674
-43.855915,-36.38883
61.812157,-73.997536
-37.783596,-50.414577
16.002256,-75.33475
46.280167,-69.658325
-33.616814,-45.158
-20.172924,-45.0648
-31.554867,-49.04138
62.243946,-37.745544
61.305607,-47.70696
92.85732,-54.634007
42.01509,-96.69607
59.506542,-48.528347
44.96334,-40.701878
9.070361,-35.912277
65.56169,-86.33517
-33.396088,-72.26419
46.75781,-20.492397
-31.722502,-49.065266
29.309622,-98.79306
-10.2314005,-33.320034
-20.403637,-14.887843
-35.28257,-56.20188
-4.6066127,-28.85262
-7.3564806,-111.29831
-3.1131907,-43.093
45.529022,-18.272078
-33.345253,-25.383686
-11.869875,-54.18219
47.48102,-50.64391
85.71574,-69.29606
-19.115242,-22.383566
31.42904,-99.73833
39.012497,-14.587006
81.54661,-67.64829
13.289184,-81.47862
76.132355,-79.592255
16.764833,-24.175114
-13.337233,-10.632449
84.00786,-43.55048
57.415546,-28.998405
-18.984943,-32.54872
33.26409,-98.017975
72.12335,-83.716805
24.754606,-19.664328
39.367096,-38.09526
-32.484035,-44.536594
12.653671,-79.21184
-19.16252,-22.129463
25.2927,-67.584755
60.282753,-95.013145
39.880573,-34.35595
15.525529,-56.761738
44.141205,-40.238342
10.980046,-83.02476
37.348648,-47.44801
66.20677,-20.44659
15.148701,-35.305748
28.573654,-72.06251
29.496378,-30.86844
73.88813,-78.47781
39.545776,-17.742184
50.881905,-40.57608
-29.292824,-21.187065
-21.399048,-63.529507
-29.209671,-65.13152
1.1110046,-26.94946
-23.043606,-35.01708
-0.92596763,-32.80566
43.55301,-10.681688
29.539652,-31.369595
30.851824,-80.11959
-27.998465,-27.030138
55.60301,-93.00862
24.459482,-72.85359
20.334621,-45.44034
49.27077,-103.20826
-30.128061,-48.96867
35.977695,-38.358093
35.605793,-66.91789
3.9992173,-1.7134993
50.175926,-25.781895
31.057621,-18.661182
29.044733,-72.064896
39.39765,-67.75073
11.848061,-24.971264
-7.970218,-27.791325
36.81972,-52.322136
54.020683,-51.079952
-30.534716,-60.967403
18.65591,-11.856696
40.226715,-72.66021
42.412045,-45.271526
26.778372,-34.511982
29.429321,-80.33408
-33.067818,-69.69223
8.192609,-101.564896
-19.650349,-65.03502
-25.192902,-74.60044
42.373787,-7.944177
-0.9343693,-6.6210737
18.958326,-38.492146
12.599575,-27.890686
4.590673,-35.69262
-9.7906,-101.69413
37.366356,-30.160952
39.727207,-30.77045
-27.812082,-69.80327
-31.344175,-68.58148
32.336197,-88.43394
-11.0532255,-18.646496
25.631245,-15.267034
23.957565,-96.13129
40.42057,-26.289804
13.543014,-68.60693
-30.120258,-61.325718
4.8342395,-106.02936
49.276215,-67.58608
-33.27865,-55.103233
82.60617,-41.592243
38.24701,-49.51148
-22.464474,-44.84639
-10.116498,-39.914818
-5.994967,-1.5667765
9.930635,-34.29584
-12.02742,-4.9048786
44.47099,-61.35299
-31.919933,-26.411877
22.569296,-46.454323
33.795986,-69.28548
1.0091089,-8.598427
42.40008,-47.35998
13.4971,-7.700906
27.60138,-69.75369
36.253136,-8.248585
40.631687,-101.19287
6.3954787,-33.33902
22.925499,-28.753477
30.533371,-90.22725
-10.145505,-25.111698
57.733154,-23.710936
31.72788,-10.722296
26.339453,-45.80211
20.866169,-54.90163
-27.658867,-15.116347
39.35488,-38.113277
86.04426,-68.536354
1.5170672,-31.467302
40.391773,-90.59101
49.599663,-22.19371
71.882744,-25.701128
-40.81513,-40.673737
-22.254622,-38.608944
-20.783457,-21.16212
52.197823,-39.8558
33.7833,-56.38454
12.521795,-59.65486
29.586103,-99.357056
13.55104,-19.210226
69.12015,-76.514755
49.13289,-40.912903
19.707628,-49.3341
56.097523,-10.929066
20.07851,-7.1478677
30.681803,-73.03557
27.413177,-35.0768
-12.765301,-28.481142
45.973763,-98.99172
-3.571494,-8.735934
-4.916198,-28.574337
-9.903446,-101.36674
8.086934,-101.50409
10.993503,-102.55892
50.25604,-22.108965
9.930729,-34.169064
7.9359097,-7.5677223
29.729073,-21.872274
12.2716465,-82.198456
6.4673696,-27.035728
45.471027,-6.3852553
-19.890503,-29.397688
51.059483,-22.647451
36.99822,-12.573061
-1.185063,-32.486893
20.846067,-42.06077
41.262024,-28.66639
40.28154,-73.131325
22.725918,-47.877037
-22.34205,-20.192228
-10.251778,-47.76255
12.058613,-29.246078
-13.686243,-28.157448
43.51692,-9.910736
-28.95267,-71.450615
-8.140901,-47.931835
33.398117,-41.261448
42.09144,-96.75186
38.35551,-82.61095
27.936031,-85.25605
3.3599238,-8.556215
-13.644029,-10.286362
-7.2870526,-37.742706
40.79343,-79.92821
11.730346,-27.992584
53.78334,-28.5736
8.887493,-68.51651
-0.87678397,-4.947003
-28.400694,-43.46279
53.969925,-50.98828
21.808914,-97.33852
45.96828,-58.33578
-18.566957,-100.09274
91.15105,-52.080322
81.36821,-77.799515
25.889221,-94.91981
-0.469697,-17.029102
19.12667,-10.781991
28.343159,-28.63078
40.119667,-50.251236
6.6444263,-27.073822
22.525902,-22.846249
-1.7884667,-31.73427
34.05256,-63.705853
25.474464,-7.289328
-6.1560736,-6.7818027
21.86108,-97.30873
29.309877,-14.64919
-22.27283,-19.442928
-31.771772,-36.111942
28.555105,-97.50483
64.914665,-87.89521
1.7133493,-21.033384
63.73257,-45.161644
24.098837,-25.179798
85.38881,-69.3256
37.864418,-61.872158
74.13847,-78.638725
-19.469156,-32.625023
51.187763,-95.15347
-45.98086,-39.869946
58.087097,-49.258503
45.362,-32.429436
-26.08824,-12.539703
57.980488,-35.819866
56.908665,-90.44824
78.67733,-79.01973
69.04079,-76.70376
-26.011496,-39.363033
47.89022,-10.791348
-6.469644,-39.10038
-10.402231,-5.3452826
8.065296,-7.90291
-35.734497,-54.68588
56.20152,-83.935905
-32.00183,-39.45923
55.49859,-35.461296
2.4450316,-13.585504
24.12244,-80.82448
0.97308224,-31.988049
42.78857,-79.28154
27.761795,-88.42758
26.615248,-8.694407
38.42461,-84.83556
46.843018,-57.65608
29.774902,-80.36737
2.3201666,-3.3842745
48.43255,-23.774178
23.901682,-28.186735
50.569347,-25.478167
-29.600163,-62.15806
37.80635,-5.5310454
40.220253,-90.66378
-43.83821,-36.47322
17.665693,-46.497437
48.901592,-29.509727
39.40377,-30.074974
45.0607,-84.98278
24.14444,-24.862427
67.50524,-54.274654
23.570913,-89.23989
-35.999134,-34.894875
78.596725,-66.406265
42.109173,-54.065598
58.455048,-38.417973
14.758323,-7.783785
9.064651,-39.3326
38.889725,-90.02544
-21.589819,-14.685306
28.6715,-87.55957
24.38996,-36.908554
71.268814,-83.88256
52.607964,-30.840254
16.998365,-53.48258
63.965603,-39.24104
15.623414,-55.494545
8.502564,-41.463383
57.8039,-23.823278
36.631897,-7.2716064
29.04762,-18.789679
11.181694,-14.219838
10.637972,-18.081978
-36.12288,-57.325943
24.473032,-62.82231
-33.38453,-71.88483
12.505901,-56.281826
-21.537018,-38.869026
31.7837,-32.09643
37.67254,-22.450382
7.04559,-104.34091
13.353971,-68.38546
-20.378618,-61.81556
-26.113035,-66.52777
27.169044,-48.304672
42.532146,-45.47695
46.740883,-8.573796
-4.199821,-39.1389
33.274097,-56.108437
92.28193,-51.15958
22.253752,-16.514057
29.679932,-76.19198
63.739166,-57.21474
73.125336,-32.96044
48.451168,-64.4401
82.39501,-41.647717
-18.79323,-16.263876
-4.00451,-63.28844
5.0978055,-105.84016
76.20461,-79.344444
-25.798164,-22.950663
55.57413,-62.167408
29.957655,-80.49423
-30.168455,-63.115623
30.976446,-98.01431
50.282593,-19.57685
68.81583,-82.34715
46.36319,-69.8534
-38.205383,-49.42689
31.972883,-76.42014
-30.190878,-43.540928
9.678425,-64.80511
11.291327,-30.929842
17.806286,-20.962875
15.8224535,-70.18802
-31.429045,-21.07398
56.049698,-47.02858
29.935934,-16.485209
35.456596,-54.85537
6.0966854,-24.936174
34.713074,-77.92878
58.688965,-38.377834
-25.695341,-29.205599
-18.344353,-16.530107
1.8902596,-4.646925
32.72627,-23.055294
27.461317,-4.0936537
27.390514,-34.040802
-5.304513,-2.2644975
28.927275,-84.18839
27.737114,-35.589916
61.199917,-92.504265
-25.090437,-41.61893
-43.028934,-32.515064
-28.260286,-40.02915
-26.605158,-52.997177
20.017351,-78.529106
6.2549696,-34.20877
-41.919735,-30.313896
11.560217,-19.914347
71.487755,-26.406862
-25.981747,-39.370605
11.977601,-25.367758
48.45529,-96.67063
-3.4272623,-37.13145
21.973738,-77.13262
86.32464,-64.00542
-28.840559,-20.987736
49.294987,-69.99239
-39.879246,-54.554585
-10.48459,-20.804274
-27.987436,-43.849285
87.370155,-56.862923
44.947914,-55.639812
-31.31717,-91.844124
-10.479054,-21.228086
-38.040234,-50.318726
40.918713,-96.17977
35.074238,-9.710007
38.344307,-84.68568
74.225586,-56.96912
26.070217,-73.05871
46.942654,-72.160255
85.38233,-64.982414
21.935043,-64.71447
-22.698067,-44.788513
21.892025,-97.29335
27.778078,-35.675484
41.47803,-96.59698
62.146076,-91.22682
45.297302,-40.78465
60.999012,-78.451965
-38.806156,-36.40354
47.70572,-10.587617
63.7247,-67.3955
28.749523,-72.152084
-35.721176,-40.52672
-10.907825,-18.568428
84.44485,-43.1779
64.80871,-48.027084
52.594498,-33.791996
-13.83696,-35.43015
-3.5113082,-37.603367
63.33089,-67.38761
23.433859,-61.241486
-8.905235,-13.121899
92.45175,-54.10713
38.76351,-37.607315
53.862034,-29.608904
8.4969635,-38.04674
-30.672895,-26.148176
53.263332,-49.940815
-15.572315,-9.288694
15.483592,-56.93068
24.782362,-11.316861
22.017117,-16.724699
38.818336,-63.62272
-27.880516,-27.024162
22.930056,-44.63729
-22.805725,-51.004814
10.812808,-43.289494
23.54774,-96.30873
-7.7101097,-25.465755
31.869282,-80.28544
60.82906,-77.495186
46.67019,-20.565615
-24.592096,-29.49199
71.156525,-77.139206
44.030186,-55.02823
10.0046835,-15.629032
-33.555378,-71.69839
45.079666,-99.43022
73.145775,-86.18719
46.70709,-19.0127
19.780918,-18.217545
74.01195,-56.949924
24.375484,-36.909653
63.45399,-67.549416
-14.951556,-27.46595
42.429993,-54.215008
14.060752,-54.18362
-28.40456,-40.18389
73.24661,-84.77565
-25.103025,-25.191568
88.73918,-58.4448
-23.280512,-13.975899
-33.233387,-63.352783
-1.982855,-3.2850842
34.328384,-95.28495
44.20531,-85.07211
27.709324,-58.431835
47.233997,-82.24861
-4.073927,-38.92148
28.92347,-62.057724
14.654687,-76.80299
50.59821,-60.622982
58.984478,-72.29336
-10.334698,-12.080212
0.8986421,-33.362045
77.165115,-37.586494
48.40301,-17.49064
23.047033,-81.59668
9.105616,-14.760444
9.068925,-4.3925314
18.87166,-38.16472
1.5315641,-22.39655
68.1851,-67.9743
-28.984402,-50.237736
-39.017242,-55.57411
52.34998,-34.48287
85.39936,-69.33272
55.66166,-62.073486
48.418125,-102.13382
55.667366,-62.069103
13.30695,-81.4329
18.051226,-67.33812
29.600233,-15.6482525
1.240391,-32.456696
35.236687,-26.84445
0.7988162,-31.635637
33.10258,-88.382614
37.274265,-75.09296
15.692604,-30.493324
-31.17166,-39.095547
-7.924289,-27.8545
49.802086,-70.95591
41.363297,-47.08601
-14.489332,-16.515484
3.2778494,-17.178644
25.939978,-8.879966
82.98813,-40.765305
49.85271,-30.55211
16.994135,-25.323305
-3.5461748,-37.899178
27.326756,-23.08344
-8.963025,-47.937145
-21.524601,-41.49231
-5.404461,-1.7602621
28.485336,-97.388336
-7.383233,-13.605039
-16.49672,-14.149964
36.501015,-7.614564
60.157413,-95.017296
11.535214,-32.46105
19.961435,-77.8454
-40.398796,-39.85509
38.615963,-54.847824
64.12998,-38.89171
45.731262,-77.11781
15.996885,-14.224776
21.46365,-31.874685
2.3164876,-21.496376
11.989546,-29.186838
68.75191,-74.45878
31.002367,-11.270639
-37.623005,-55.210457
