FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,UMAP-1,UMAP-2
21139.0,37621.0,2118.0,2925.0,409,236,346,162,28342.0,32684.0,17232.0,23683.0,17.6,2,12.559408,7.9937763
103743.0,186326.0,15220.0,18185.0,544,434,453,176,73407.0,76319.0,64059.0,65380.0,17.7,2,10.669822,0.2832388
5434.0,23472.0,1268.0,3712.0,1843,2217,2238,2756,7008.0,8561.0,167.0,1666.0,17.8,1,-0.4055787,13.714254
4886.0,13592.0,1792.0,5341.0,3463,4448,4176,5242,12726.0,15452.0,865.0,1931.0,17.8,1,-4.490349,5.5713215
11748.0,23274.0,3118.0,5169.0,3363,4163,5582,6748,16867.0,19459.0,5585.0,5920.0,17.8,1,-5.2175465,4.5079074
21982.0,40296.0,6582.0,12533.0,61,126,349,172,17959.0,18741.0,12651.0,16045.0,18.0,2,13.546836,9.215123
2509.0,9133.0,1244.0,4239.0,1647,2590,2508,4586,7348.0,13193.0,1740.0,2294.0,18.1,1,-2.3738155,12.611486
5145.0,23274.0,540.0,1503.0,4910,6112,6431,8341,18777.0,24542.0,3499.0,7345.0,18.2,1,-4.00438,-1.8986977
1193.0,6549.0,0.0,949.0,526,1495,310,1245,1028.0,5410.0,390.0,1195.0,18.2,1,1.9129895,17.404085
14543.0,16295.0,1150.0,2552.0,5452,6493,8047,9374,18822.0,20634.0,4449.0,3343.0,18.2,1,-3.6025016,-3.1999896
18204.0,43859.0,18957.0,32034.0,0,14,144,52,25269.0,28751.0,20607.0,26057.0,18.4,2,13.918858,8.089917
33031.0,50846.0,6780.0,11521.0,146,123,33,69,45525.0,47387.0,37144.0,33806.0,18.6,2,13.695875,5.776962
23407.0,43913.0,11174.0,19570.0,297,200,247,125,34179.0,38545.0,19089.0,32191.0,18.7,2,13.115234,7.0827966
2020.0,7973.0,333.0,866.0,1265,1508,2218,2980,6713.0,9119.0,565.0,1209.0,18.7,1,0.72754854,15.0978985
2085.0,7956.0,399.0,3424.0,1906,2633,2408,3447,7066.0,9909.0,971.0,1463.0,18.7,1,-1.3027139,13.057176
8167.0,19156.0,829.0,2778.0,2785,2878,3427,3876,9041.0,9919.0,1508.0,2047.0,18.8,1,-1.2983229,10.505728
23995.0,40932.0,8323.0,15441.0,273,123,226,125,33337.0,34949.0,17638.0,32431.0,18.8,2,13.286167,7.1324983
2208.0,6455.0,528.0,2560.0,3031,3766,4236,5605,11136.0,14161.0,1994.0,4032.0,18.8,1,-4.2409563,7.484864
5256.0,18439.0,0.0,1174.0,360,1146,539,1776,1566.0,4652.0,130.0,295.0,18.8,1,2.0704577,17.22856
73940.0,116011.0,22215.0,41141.0,26,274,253,138,81193.0,80596.0,74506.0,68470.0,18.9,2,11.850558,1.4993284
9944.0,17113.0,1443.0,3277.0,2805,3130,3478,4114,9116.0,10535.0,1632.0,1809.0,19.0,1,-2.1374662,9.541842
84682.0,125132.0,17828.0,25439.0,764,280,241,131,65121.0,65032.0,54040.0,47873.0,19.0,2,11.648718,2.3597746
2055.0,9123.0,2355.0,6156.0,2127,2860,3336,4029,7709.0,8930.0,778.0,1142.0,19.1,1,-1.7046828,11.262355
45854.0,65317.0,22134.0,35475.0,459,175,127,129,60810.0,63738.0,54629.0,52422.0,19.1,2,12.559531,3.2573438
806.0,5125.0,144.0,1591.0,521,1570,616,1958,1802.0,5911.0,719.0,1131.0,19.1,1,1.2422107,17.314297
3734.0,22186.0,1095.0,4191.0,2145,3469,2410,3877,6299.0,10043.0,118.0,642.0,19.1,1,-2.9853387,11.557037
6946.0,17271.0,566.0,1724.0,2966,3112,3728,4441,10184.0,11351.0,620.0,2029.0,19.2,1,-2.0947673,8.996764
1658.0,7415.0,726.0,2115.0,91,0,55,0,4186.0,5217.0,729.0,1227.0,19.2,-1,12.90843,15.1387415
2965.0,15726.0,221.0,1921.0,106,0,112,0,2384.0,3818.0,1682.0,2386.0,19.2,-1,13.137509,14.805858
570080.0,934928.0,209405.0,338887.0,1510,1596,482,518,275519.0,260835.0,134351.0,130498.0,19.2,3,7.0781345,-4.8996162
630.0,2701.0,379.0,1828.0,1888,3020,2641,4494,6315.0,11068.0,0.0,0.0,19.3,1,-2.6617918,11.866882
6639.0,21101.0,1644.0,5105.0,5067,6485,7641,9856,19771.0,25437.0,1792.0,5097.0,19.4,1,-3.7125673,-3.159816
16031.0,30692.0,4875.0,8837.0,457,200,140,89,30640.0,33114.0,27775.0,31091.0,19.5,2,12.511908,7.878412
3026.0,15594.0,458.0,1479.0,1236,2854,1826,3587,4309.0,9275.0,337.0,1221.0,19.5,1,-2.3937488,14.224434
577.0,3359.0,176.0,1099.0,252,758,376,1144,1016.0,3751.0,77.0,550.0,19.5,1,3.1005542,17.402836
13842.0,23960.0,2277.0,3111.0,9094,10695,11304,12051,22986.0,24783.0,535.0,4260.0,19.6,1,-1.1082234,-7.007003
6233.0,13665.0,4763.0,9166.0,2277,2195,3232,3506,10190.0,11073.0,2484.0,3484.0,19.6,1,-0.053970397,12.574357
3541.0,8246.0,1752.0,5590.0,2136,2513,2852,3155,8143.0,9396.0,997.0,1158.0,19.7,1,-0.8480912,12.695444
13513.0,32503.0,2681.0,5938.0,5132,5850,6975,7967,19379.0,21446.0,1976.0,3415.0,19.9,1,-3.9043927,-1.6527088
5748.0,8895.0,7604.0,13066.0,170,136,275,200,5117.0,4624.0,492.0,744.0,19.9,6,12.616295,14.324173
1129870.0,927237.0,2829030.0,2377920.0,3988,2179,1352,588,396317.0,342159.0,125626.0,115374.0,19.9,3,5.9974327,-5.3318353
278068.0,418598.0,39540.0,64931.0,575,346,547,230,201017.0,189688.0,202222.0,172955.0,19.9,3,8.413971,-3.571536
34498.0,61538.0,7944.0,15275.0,324,232,0,0,47729.0,46486.0,34631.0,35344.0,20.0,-1,12.916401,5.346285
8397.0,12394.0,2097.0,3526.0,2181,2620,3665,4072,10011.0,10683.0,2392.0,2955.0,20.0,1,-0.9913769,11.213331
1739.0,9853.0,896.0,4095.0,551,1415,784,2212,2781.0,7139.0,463.0,601.0,20.0,1,1.3317744,17.160606
26873.0,43582.0,1651.0,3712.0,245,183,0,87,25891.0,27100.0,11584.0,18099.0,20.1,2,12.97711,8.592893
40347.0,55231.0,3367.0,6790.0,213,168,93,114,40903.0,40212.0,37722.0,36169.0,20.2,2,13.362028,5.6355677
23981.0,45098.0,13169.0,23023.0,370,269,124,108,39727.0,40538.0,30020.0,32444.0,20.2,2,12.867754,6.405395
2113.0,7820.0,629.0,2182.0,3955,5275,4871,6590,11902.0,16140.0,1415.0,2052.0,20.3,1,-3.7874403,2.03482
10904.0,20609.0,2298.0,4644.0,2446,2563,3696,3835,10548.0,10925.0,2257.0,3724.0,20.3,1,-0.8471863,11.138464
9170.0,14909.0,1393.0,2259.0,3200,3794,3945,4496,10923.0,12286.0,0.0,441.0,20.3,1,-3.6142747,7.7430334
35473.0,55298.0,5410.0,7675.0,327,189,93,160,35358.0,34115.0,29417.0,31290.0,20.4,2,13.062268,6.3172917
5235.0,13045.0,726.0,1676.0,5800,6755,6617,7698,19280.0,20060.0,1508.0,2180.0,20.4,1,-3.9094696,-3.236952
1182.0,6886.0,0.0,435.0,566,2141,655,2870,1972.0,7954.0,431.0,804.0,20.4,1,-0.8211272,16.318695
32634.0,48440.0,4195.0,7809.0,197,130,452,163,21230.0,20301.0,19099.0,19105.0,20.4,2,13.26694,8.3742895
62740.0,100951.0,14930.0,25855.0,320,365,0,41,86557.0,85205.0,63343.0,63139.0,20.4,2,12.000038,1.771616
33397.0,52168.0,3936.0,8471.0,218,150,0,34,34787.0,34624.0,37009.0,35819.0,20.4,2,13.469608,6.0468774
130721.0,202214.0,11538.0,16587.0,435,293,84,133,219722.0,204646.0,92372.0,87270.0,20.5,3,8.565238,-1.8090997
5721.0,9854.0,2384.0,4890.0,2477,2656,3661,3813,9844.0,10843.0,2049.0,1960.0,20.6,1,-1.0013485,11.099832
5048.0,19421.0,1759.0,4294.0,4702,5843,5288,6504,14212.0,17887.0,1240.0,1666.0,20.7,1,-3.7546976,0.75917894
13504.0,28391.0,885.0,2308.0,5084,5920,6368,7197,18947.0,21837.0,352.0,1477.0,20.7,1,-3.7679603,-0.93107903
9046.0,13895.0,1455.0,2213.0,1426,2135,2000,3506,5153.0,8824.0,2184.0,1788.0,20.7,1,-0.655027,14.6454
2575860.0,1610390.0,6851470.0,4559970.0,9292,3955,2833,926,433830.0,324364.0,261182.0,171218.0,20.7,3,5.8264503,-5.6218066
