FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,UMAP-1,UMAP-2
5506.0,12029.0,2188.0,8701.0,342,225,49,93,14874.0,16122.0,255490.0,448512.0,19.0,0,-5.469644,15.514579
853065.0,1038310.0,426480.0,633663.0,3548,2896,831,624,2534950.0,2276640.0,1754140.0,1494320.0,19.0,1,3.1704826,-4.640818
4947.0,8780.0,520.0,4231.0,1274,2290,1523,2703,3781.0,7236.0,778.0,1188.0,19.1,4,11.35483,12.804294
31758.0,58235.0,3415.0,5898.0,100,109,139,141,31726.0,38737.0,19877.0,28764.0,19.1,1,-5.154793,5.100863
2595.0,8896.0,192.0,2130.0,1526,2571,2089,3832,5719.0,10450.0,1427.0,2241.0,19.2,4,12.523289,11.144696
4760.0,9893.0,1501.0,3696.0,2066,2485,2607,3177,9468.0,11091.0,1842.0,3651.0,19.2,4,13.482686,12.21768
2502.0,15466.0,1127.0,4614.0,1347,2390,1677,3261,8085.0,15251.0,1137.0,2071.0,19.3,4,11.805053,12.148052
7469.0,17481.0,839.0,2248.0,3235,3979,4311,5370,10628.0,13130.0,2394.0,2940.0,19.3,4,14.948378,5.5874157
1635.0,6364.0,2918.0,8151.0,97,3,201,92,3962.0,6392.0,4355.0,7089.0,19.5,0,-1.4912851,15.071536
9011.0,18533.0,1168.0,1946.0,3147,3709,3920,4684,11449.0,13576.0,1952.0,2560.0,19.6,4,14.939397,7.545013
2268.0,8720.0,108.0,590.0,104,0,146,69,3043.0,5568.0,2564.0,4906.0,19.6,0,-1.4029909,15.035201
2193.0,6473.0,813.0,2275.0,240,146,152,23,44966.0,44035.0,7917.0,9969.0,19.6,0,-3.117577,14.571169
853.0,5183.0,0.0,227.0,67,0,102,0,10659.0,25219.0,983.0,1930.0,19.6,-1,-1.8031076,14.579112
2961.0,7154.0,0.0,1018.0,133,135,238,136,4732.0,5847.0,5170.0,7097.0,19.6,0,-1.5931457,14.554604
3105.0,12350.0,1043.0,6033.0,41,20,181,105,15722.0,39838.0,198440.0,382915.0,19.6,0,-5.4785647,15.510576
420190.0,527101.0,125610.0,184145.0,5206,4877,924,614,3350780.0,2988190.0,1403890.0,1261400.0,19.6,1,3.1410253,-4.696195
997.0,5997.0,0.0,241.0,136,105,197,119,5052.0,11187.0,2754.0,6203.0,19.6,0,-1.5901474,14.580107
42608.0,86839.0,6958.0,14558.0,167,173,289,162,45470.0,51293.0,38426.0,48625.0,19.6,1,-3.2671611,3.5746534
248272.0,447727.0,25471.0,47380.0,610,548,3608,4300,92274.0,108500.0,80257.0,112329.0,19.7,-1,6.2357955,-1.3941001
3008.0,13404.0,3017.0,7901.0,2281,3684,3449,5142,9153.0,13479.0,851.0,2274.0,19.8,4,14.067777,8.211735
47291.0,90044.0,21530.0,41652.0,176,202,49,52,55627.0,65892.0,59629.0,53472.0,19.9,1,-2.715678,3.0770655
13975.0,22346.0,16705.0,33962.0,182,212,175,63,11701.0,14490.0,2414.0,2874.0,19.9,0,-1.5192065,14.026014
23500.0,43301.0,2264.0,2889.0,653,235,92,75,14731.0,17634.0,10214.0,16050.0,20.0,1,-4.9828224,7.5916843
45863.0,73043.0,5443.0,8465.0,406,183,177,163,37663.0,39271.0,36463.0,34180.0,20.1,1,-4.202318,4.2358236
2280.0,9025.0,693.0,2795.0,674,2028,1049,2773,2705.0,6728.0,1216.0,1353.0,20.1,4,9.891932,13.665901
11357.0,16729.0,1364.0,4610.0,3141,3715,3990,4738,10742.0,13112.0,1280.0,2561.0,20.2,4,14.951575,7.4179726
216110.0,250202.0,1070310.0,1074000.0,5688,5552,7385,8367,22985.0,23064.0,8019.0,7434.0,20.3,5,11.548845,1.5995744
16060.0,38320.0,3654.0,6502.0,811,1106,1775,2089,5653.0,6905.0,2240.0,3607.0,20.3,4,9.80195,15.673921
39837.0,72153.0,14427.0,25748.0,346,317,317,146,54507.0,59421.0,33520.0,47459.0,20.4,1,-3.590059,4.143833
5497.0,11100.0,3822.0,11757.0,234,176,55,1,10556.0,14552.0,16183.0,13313.0,20.5,0,-2.4120302,14.626221
9166.0,12233.0,38100.0,38951.0,611,304,48,36,75579.0,35996.0,34219.0,15722.0,20.5,0,-3.1545472,14.529105
2783.0,9913.0,7947.0,26214.0,252,193,52,14,13379.0,20428.0,7554.0,8703.0,20.5,0,-2.3685982,14.407577
4228410.0,2361870.0,8156460.0,5864310.0,16988,7214,5151,2008,3621310.0,1213510.0,2496370.0,884191.0,20.5,1,3.6858006,-4.0093703
2810.0,16168.0,0.0,369.0,1419,2382,2525,4401,6990.0,12402.0,836.0,2386.0,20.6,4,12.736674,10.468892
53392.0,93326.0,21580.0,38563.0,328,304,36,36,44696.0,51507.0,35191.0,44278.0,20.7,1,-3.1413844,3.227895
12906.0,28376.0,1256.0,4507.0,3956,5020,6397,7674,20061.0,24505.0,4276.0,6577.0,20.7,4,13.443306,0.1664441
2366.0,14158.0,1227.0,4090.0,843,1393,1418,2533,4907.0,9264.0,766.0,1285.0,20.9,4,9.594823,14.877874
41394.0,75000.0,11863.0,20628.0,2682,3334,4422,5073,13448.0,15672.0,3574.0,4372.0,21.0,4,16.061325,6.6204863
12108.0,25361.0,6445.0,11469.0,3549,4306,5044,6129,17403.0,19469.0,4899.0,5125.0,21.1,4,15.397332,3.1559136
14292.0,25179.0,2434.0,4456.0,1897,2559,3232,4065,9816.0,12809.0,5133.0,3911.0,21.1,4,15.012823,10.760806
41784.0,78926.0,5244.0,9868.0,55,158,245,102,47521.0,53081.0,18992.0,44932.0,21.2,1,-3.603074,3.786529
